VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10       E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2       ME2_BCL ME2_BCU MSESS     MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 277.46833 276.92963 278.00704       NA       NA 10.78257   10.41465   11.17763         NA         NA 278.23214 277.66618 278.79811       NA       NA 11.32823   10.94169   11.74329         NA         NA 0.81618     0.79879     0.83221          NA          NA      NA      NA     0          0          0 -0.76381  -1.09972  -0.4279       NA     NA 6.72345    6.49403    6.96979         NA         NA 0.99725        NA        NA 5.14898      NA      NA 45.75878      NA      NA 45.17537        NA        NA 6.76452       NA       NA  -7.88557      NA      NA -4.83496      NA      NA -1.69061       NA      NA 2.68806      NA      NA 8.9864       NA      NA 7.52303       NA       NA 3.68412      NA      NA  0.085572      0.035757     0.13496              NA            NA 0.58341        NA      NA  0.64343         NA        NA 4.90658        NA        NA 5.07561        NA        NA         0.081866                   NA                   NA 0.024313      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.84426 283.50905 284.17947       NA       NA  7.31636    7.08677    7.56143         NA         NA 283.20186 282.84246 283.56125       NA       NA  7.84413    7.59799    8.10688         NA         NA 0.86802     0.85625     0.87888          NA          NA      NA      NA     0          0          0  0.64241   0.46245   0.82236      NA     NA 3.92779    3.80453    4.05935         NA         NA 1.00227        NA        NA 2.82912      NA      NA 15.83176      NA      NA 15.41908        NA        NA 3.97891       NA       NA  -3.8445       NA      NA -1.78932      NA      NA -0.058987      NA      NA 2.63743      NA      NA 6.60972      NA      NA 4.42674       NA       NA 2.12711      NA      NA -0.039715     -0.085382     0.0061178            NA            NA 0.41268        NA      NA  0.7427          NA        NA 2.84676        NA        NA 2.66138        NA        NA        -0.042551                   NA                   NA 0.01405       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.22257 279.68371 280.76143       NA       NA  7.52932    7.1666     7.93101         NA         NA 280.27956 279.89123 280.66789       NA       NA  5.42607    5.16467    5.71555         NA         NA 0.79937     0.77195     0.82381          NA          NA      NA      NA     0          0          0 -0.056988 -0.38352   0.26955      NA     NA 4.56259    4.34279    4.806           NA         NA 0.9998         NA        NA 3.60779      NA      NA 20.79274      NA      NA 20.7895         NA        NA 4.55991       NA       NA  -6.14635      NA      NA -3.91874      NA      NA -0.17637       NA      NA 2.26758      NA      NA 4.60039      NA      NA 6.18632       NA       NA 3.0004       NA      NA  0.37153       0.30814      0.43164              NA            NA 0.0032476      NA      NA  0.29378         NA        NA 3.94856        NA        NA 4.44166        NA        NA         0.41415                    NA                   NA 0.016269      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.73365 278.22335 279.24394       NA       NA 10.12395    9.77554   10.49831         NA         NA 279.8277  279.31093 280.34447       NA       NA 10.25237    9.89954   10.63147         NA         NA 0.8848      0.87334     0.89528          NA          NA      NA      NA     0          0          0 -1.09405  -1.34062  -0.84747      NA     NA 4.89187    4.72352    5.07276         NA         NA 0.99609        NA        NA 3.71116      NA      NA 25.11155      NA      NA 23.9146         NA        NA 5.01114       NA       NA  -7.0853       NA      NA -4.26719      NA      NA -1.29276       NA      NA 1.05552      NA      NA 4.63857      NA      NA 5.32271       NA       NA 2.63229      NA      NA  0.61162       0.57906      0.64223              NA            NA 1.19694        NA      NA  0.7611          NA        NA 4.58811        NA        NA 6.2235         NA        NA         0.60711                    NA                   NA 0.017908      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.67486 276.46181 276.88791       NA       NA 11.54483   11.39613   11.69749         NA         NA 276.7883  276.57083 277.00577       NA       NA 11.78436   11.63258   11.94019         NA         NA 0.90625     0.9029      0.9095           NA          NA      NA      NA     0          0          0 -0.11344  -0.20675  -0.020133     NA     NA 5.05627    4.99115    5.12313         NA         NA 0.99959        NA        NA 3.7408       NA      NA 25.57648      NA      NA 25.56361        NA        NA 5.05732       NA       NA  -6.03751      NA      NA -3.04741      NA      NA -0.26721       NA      NA 2.84428      NA      NA 6.31794      NA      NA 5.89169       NA       NA 2.92941      NA      NA  0.37017       0.35414      0.38599              NA            NA 0.012869       NA      NA  0.81583         NA        NA 4.29734        NA        NA 4.74589        NA        NA         0.37789                    NA                   NA 0.018271      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.20393 275.99026 276.4176        NA       NA 11.57847   11.42933   11.73157         NA         NA 276.02308 275.80998 276.23618       NA       NA 11.54766   11.39893   11.70036         NA         NA 0.93268     0.93023     0.93504          NA          NA      NA      NA     0          0          0  0.18085   0.10255   0.25916      NA     NA 4.24313    4.18848    4.29924         NA         NA 1.00066        NA        NA 3.12129      NA      NA 18.03529      NA      NA 18.00258        NA        NA 4.2468        NA       NA  -5.28282      NA      NA -2.88801      NA      NA -0.13929       NA      NA 2.23153      NA      NA 5.08742      NA      NA 5.11954       NA       NA 2.56879      NA      NA  0.51541       0.50172      0.52883              NA            NA 0.032708       NA      NA  0.86475         NA        NA 4.44077        NA        NA 4.51397        NA        NA         0.55028                    NA                   NA 0.015386      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 292.10522 292.03776 292.17269       NA       NA  2.77081    2.72391    2.81935         NA         NA 291.84201 291.78167 291.90236       NA       NA  2.47853    2.43658    2.52196         NA         NA 0.89862     0.89383     0.90321          NA          NA      NA      NA     0          0          0  0.26321   0.23361   0.29281      NA     NA 1.21567    1.19509    1.23697         NA         NA 1.0009         NA        NA 0.83198      NA      NA  1.5469       NA      NA  1.47762        NA        NA 1.24374       NA       NA  -0.89758      NA      NA -0.38361      NA      NA  0.10748       NA      NA 0.76037      NA      NA 1.70775      NA      NA 1.14398       NA       NA 0.55414      NA      NA  0.56276       0.54589      0.57917              NA            NA 0.069278       NA      NA  0.74819         NA        NA 1.68602        NA        NA 1.45946        NA        NA         0.69611                    NA                   NA 0.0042617     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.99409 261.84745 262.14073       NA       NA  5.31149    5.20979    5.41726         NA         NA 261.61084 261.4296  261.79208       NA       NA  6.56486    6.43916    6.6956          NA         NA 0.6094      0.59175     0.62647          NA          NA      NA      NA     0          0          0  0.38325   0.23506   0.53144      NA     NA 5.36753    5.26476    5.47443         NA         NA 1.00146        NA        NA 4.33432      NA      NA 28.95159      NA      NA 28.80471        NA        NA 5.38067       NA       NA  -5.73794      NA      NA -2.73316      NA      NA -0.16411       NA      NA 3.74404      NA      NA 6.87828      NA      NA 6.4772        NA       NA 3.24868      NA      NA  0.42435       0.40144      0.44672              NA            NA 0.14688        NA      NA  0.32823         NA        NA 4.83402        NA        NA 5.16964        NA        NA         0.42299                    NA                   NA 0.020567      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.30724 259.10034 259.51415       NA       NA  7.49444    7.35095    7.64369         NA         NA 259.60105 259.36942 259.83268       NA       NA  8.39002    8.22938    8.55711         NA         NA 0.79662     0.78631     0.80649          NA          NA      NA      NA     0          0          0 -0.29381  -0.4356   -0.15202      NA     NA 5.13597    5.03763    5.23825         NA         NA 0.99887        NA        NA 3.83364      NA      NA 26.45926      NA      NA 26.37294        NA        NA 5.14386       NA       NA  -5.81286      NA      NA -3.75629      NA      NA -1.08939       NA      NA 1.98919      NA      NA 4.73286      NA      NA 5.74549       NA       NA 2.83203      NA      NA  0.50486       0.48399      0.52515              NA            NA 0.086325       NA      NA  0.62412         NA        NA 5.39009        NA        NA 5.89657        NA        NA         0.58779                    NA                   NA 0.019814      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 251.78041 251.31987 252.24095       NA       NA  9.21805    8.90352    9.55579         NA         NA 252.69236 252.20959 253.17514       NA       NA  9.6631     9.33338   10.01715         NA         NA 0.83198     0.81593     0.84674          NA          NA      NA      NA     0          0          0 -0.91195  -1.18619  -0.63771      NA     NA 5.4892     5.3019     5.69032         NA         NA 0.99639        NA        NA 4.42753      NA      NA 30.94339      NA      NA 30.11173        NA        NA 5.56268       NA       NA  -8.02541      NA      NA -4.1697       NA      NA -1.25119       NA      NA 3.41486      NA      NA 8.00709      NA      NA 7.58455       NA       NA 3.50762      NA      NA -0.03472      -0.084542     0.015274             NA            NA 0.83165        NA      NA  0.66861         NA        NA 4.32176        NA        NA 3.36408        NA        NA        -0.032629                   NA                   NA 0.022014      NA     NA
