VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR  ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS     MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 279.46198 278.87656 280.0474        NA       NA 11.71761   11.31778   12.14693         NA         NA 280.61089 279.99975 281.22204       NA       NA 12.23247   11.81507   12.68065         NA         NA 0.83457     0.81875     0.84913          NA          NA      NA      NA     0          0          0 -1.14891  -1.49392   -0.8039       NA     NA 6.90562    6.66999    7.15863         NA         NA 0.99591        NA        NA 5.40108      NA      NA 48.97657      NA      NA 47.65657        NA        NA 6.99833       NA       NA -8.49723      NA      NA -5.47104      NA      NA -2.19088        NA      NA 2.52182      NA      NA 7.97521      NA      NA 7.99286       NA       NA 3.87853      NA      NA  0.18897        0.14032      0.2367               NA            NA 1.32            NA      NA  0.67269         NA        NA 5.4218         NA        NA 5.51347        NA        NA         0.18094                    NA                   NA 0.02494       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 284.12775 283.76928 284.48623       NA       NA  7.82409    7.57857    8.08617         NA         NA 283.71115 283.35612 284.06618       NA       NA  7.74903    7.50587    8.00859         NA         NA 0.86594     0.854       0.87696          NA          NA      NA      NA     0          0          0  0.4166    0.23184    0.60136      NA     NA 4.03261    3.90607    4.16769         NA         NA 1.00147        NA        NA 2.86207      NA      NA 16.4266       NA      NA 16.25304        NA        NA 4.05297       NA       NA -4.30264      NA      NA -2.13284      NA      NA -0.12197        NA      NA 1.91909      NA      NA 6.27141      NA      NA 4.05193       NA       NA 2.02654      NA      NA -0.0072589     -0.053063     0.038576             NA            NA 0.17356         NA      NA  0.72644         NA        NA 2.91512        NA        NA 2.85151        NA        NA         0.012177                   NA                   NA 0.014286      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.54946 280.0156  281.08333       NA       NA  7.45956    7.1002     7.85752         NA         NA 280.6074  280.21472 281.00008       NA       NA  5.4868     5.22248    5.77951         NA         NA 0.80538     0.77869     0.82916          NA          NA      NA      NA     0          0          0 -0.057937 -0.37658    0.2607       NA     NA 4.45228    4.2378     4.68981         NA         NA 0.99979        NA        NA 3.54978      NA      NA 19.79974      NA      NA 19.79638        NA        NA 4.44969       NA       NA -5.90148      NA      NA -3.54315      NA      NA -0.10636        NA      NA 2.21031      NA      NA 4.62165      NA      NA 5.75346       NA       NA 2.82119      NA      NA  0.3514         0.28703      0.41261              NA            NA 0.0033567       NA      NA  0.34231         NA        NA 4.08579        NA        NA 4.21868        NA        NA         0.42616                    NA                   NA 0.015857      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.82846 277.3411  278.31582       NA       NA  9.66893    9.33617   10.02646         NA         NA 278.36235 277.88101 278.84369       NA       NA  9.54945    9.22081    9.90257         NA         NA 0.85613     0.84207     0.86904          NA          NA      NA      NA     0          0          0 -0.53389  -0.79377   -0.27402      NA     NA 5.15572    4.97828    5.34636         NA         NA 0.99808        NA        NA 3.87585      NA      NA 26.84887      NA      NA 26.56383        NA        NA 5.18159       NA       NA -6.64724      NA      NA -4.05896      NA      NA -0.90603        NA      NA 1.60165      NA      NA 6.27146      NA      NA 5.66061       NA       NA 2.80057      NA      NA  0.52341        0.48582      0.55907              NA            NA 0.28504         NA      NA  0.70558         NA        NA 4.71333        NA        NA 5.77642        NA        NA         0.52768                    NA                   NA 0.018615      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.01843 276.8018  277.23506       NA       NA 11.73883   11.58763   11.89405         NA         NA 277.08597 276.86532 277.30662       NA       NA 11.95668   11.80267   12.11478         NA         NA 0.90047     0.89692     0.9039           NA          NA      NA      NA     0          0          0 -0.067542 -0.16517    0.030086     NA     NA 5.29031    5.22217    5.36026         NA         NA 0.99976        NA        NA 3.95198      NA      NA 27.98942      NA      NA 27.98486        NA        NA 5.2905        NA       NA -6.21665      NA      NA -3.25019      NA      NA -0.0020259      NA      NA 3.08993      NA      NA 6.4046       NA      NA 6.34013       NA       NA 3.17515      NA      NA  0.32981        0.31326      0.34616              NA            NA 0.0045619       NA      NA  0.80422         NA        NA 4.45749        NA        NA 4.74604        NA        NA         0.34045                    NA                   NA 0.019093      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.16723 275.95261 276.38184       NA       NA 11.62958   11.47979   11.78336         NA         NA 276.1033  275.8899  276.31669       NA       NA 11.56355   11.41461   11.71646         NA         NA 0.92749     0.92487     0.93003          NA          NA      NA      NA     0          0          0  0.063926 -0.017576   0.14543      NA     NA 4.4165     4.35961    4.4749          NA         NA 1.00023        NA        NA 3.24269      NA      NA 19.50781      NA      NA 19.50372        NA        NA 4.41676       NA       NA -5.86423      NA      NA -3.16154      NA      NA -0.3594         NA      NA 2.14056      NA      NA 5.73697      NA      NA 5.30211       NA       NA 2.67161      NA      NA  0.46818        0.45364      0.48246              NA            NA 0.0040866       NA      NA  0.85411         NA        NA 4.33018        NA        NA 4.56481        NA        NA         0.50794                    NA                   NA 0.015997      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 292.11942 292.04567 292.19317       NA       NA  3.02912    2.97785    3.08219         NA         NA 291.84478 291.77793 291.91163       NA       NA  2.74549    2.69902    2.79359         NA         NA 0.89849     0.89369     0.90308          NA          NA      NA      NA     0          0          0  0.27464   0.24225    0.30702      NA     NA 1.33001    1.3075     1.35331         NA         NA 1.00094        NA        NA 0.8862       NA      NA  1.84407      NA      NA  1.76865        NA        NA 1.35797       NA       NA -0.96462      NA      NA -0.39414      NA      NA  0.13131        NA      NA 0.79198      NA      NA 1.76664      NA      NA 1.18611       NA       NA 0.5841       NA      NA  0.48155        0.46262      0.50003              NA            NA 0.075426        NA      NA  0.75535         NA        NA 1.68518        NA        NA 1.50084        NA        NA         0.64216                    NA                   NA 0.004653      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.24907 262.11174 262.38641       NA       NA  4.97441    4.87917    5.07347         NA         NA 261.82506 261.64828 262.00185       NA       NA  6.40335    6.28074    6.53087         NA         NA 0.61939     0.60208     0.63612          NA          NA      NA      NA     0          0          0  0.42401   0.28246    0.56556      NA     NA 5.12725    5.02908    5.22936         NA         NA 1.00162        NA        NA 3.98983      NA      NA 26.46326      NA      NA 26.28347        NA        NA 5.14425       NA       NA -5.70183      NA      NA -2.777        NA      NA  0.43074        NA      NA 3.48606      NA      NA 6.35457      NA      NA 6.26305       NA       NA 3.106        NA      NA  0.44618        0.42379      0.46802              NA            NA 0.17979         NA      NA  0.3546          NA        NA 4.49038        NA        NA 5.20963        NA        NA         0.44544                    NA                   NA 0.019648      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.33264 259.11873 259.54655       NA       NA  7.74824    7.59989    7.90254         NA         NA 259.66314 259.4326  259.89368       NA       NA  8.35046    8.19058    8.51676         NA         NA 0.75076     0.73846     0.76256          NA          NA      NA      NA     0          0          0 -0.3305   -0.48817   -0.17283      NA     NA 5.71097    5.60163    5.8247          NA         NA 0.99873        NA        NA 4.50015      NA      NA 32.71795      NA      NA 32.60872        NA        NA 5.71996       NA       NA -6.94814      NA      NA -4.39709      NA      NA -1.02751        NA      NA 2.41656      NA      NA 6.35963      NA      NA 6.81365       NA       NA 3.39667      NA      NA  0.41379        0.39064      0.43641              NA            NA 0.10923         NA      NA  0.53079         NA        NA 5.3177         NA        NA 6.17476        NA        NA         0.51298                    NA                   NA 0.022028      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.27511 251.81056 252.73966       NA       NA  9.29827    8.981      9.63895         NA         NA 253.22026 252.7222  253.71831       NA       NA  9.96891    9.62876   10.33416         NA         NA 0.83499     0.8192      0.84951          NA          NA      NA      NA     0          0          0 -0.94514  -1.2235    -0.66679      NA     NA 5.57139    5.38129    5.77552         NA         NA 0.99627        NA        NA 4.31046      NA      NA 31.91352      NA      NA 31.02023        NA        NA 5.64921       NA       NA -7.53563      NA      NA -4.16178      NA      NA -1.07758        NA      NA 2.93645      NA      NA 7.12989      NA      NA 7.09823       NA       NA 3.49253      NA      NA -0.04834       -0.098071     0.0016315            NA            NA 0.8933          NA      NA  0.67887         NA        NA 4.36637        NA        NA 3.41338        NA        NA        -0.040163                   NA                   NA 0.022309      NA     NA
