VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS     MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 277.01982 276.471   277.56864       NA       NA 10.98503   10.6102    11.38751         NA         NA 278.45764 277.89164 279.02365       NA       NA 11.32904   10.94247   11.74413         NA         NA 0.78521     0.76527     0.80364          NA          NA      NA      NA     0          0          0 -1.43783  -1.80353   -1.07212      NA     NA 7.31984    7.07007    7.58803         NA         NA 0.99484        NA        NA 5.52123      NA      NA 55.61258      NA      NA 53.54523        NA        NA 7.45738       NA       NA -9.39998      NA      NA -5.46915      NA      NA -2.12841        NA      NA 1.48618      NA      NA 7.72526      NA      NA 6.95533       NA       NA 3.48194      NA      NA  0.17643       0.12758       0.22442             NA            NA 2.06735         NA      NA  0.5667          NA        NA 6.29158        NA        NA 5.11584        NA        NA         0.15757                    NA                   NA 0.026781      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.6111  283.24969 283.97252       NA       NA  7.88827    7.64074    8.1525          NA         NA 283.56854 283.23101 283.90607       NA       NA  7.36705    7.13588    7.61382         NA         NA 0.86245     0.85022     0.87374          NA          NA      NA      NA     0          0          0  0.042564 -0.14218    0.22731      NA     NA 4.03225    3.90572    4.16731         NA         NA 1.00015        NA        NA 2.90687      NA      NA 16.25196      NA      NA 16.25015        NA        NA 4.03137       NA       NA -4.47906      NA      NA -2.77739      NA      NA -0.56392        NA      NA 1.39564      NA      NA 5.90645      NA      NA 4.17303       NA       NA 2.09484      NA      NA -0.043757     -0.0894        0.002069            NA            NA 0.0018117       NA      NA  0.70055         NA        NA 2.91268        NA        NA 2.72036        NA        NA        -0.023216                   NA                   NA 0.014217      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.80605 280.26297 281.34913       NA       NA  7.58828    7.22272    7.99311         NA         NA 280.59778 280.20059 280.99497       NA       NA  5.54979    5.28244    5.84587         NA         NA 0.78988     0.76134     0.81536          NA          NA      NA      NA     0          0          0  0.20827  -0.12629    0.54283      NA     NA 4.67474    4.44954    4.92414         NA         NA 1.00074        NA        NA 3.5943       NA      NA 21.86746      NA      NA 21.82409        NA        NA 4.67627       NA       NA -5.61608      NA      NA -2.78872      NA      NA -0.47812        NA      NA 2.38184      NA      NA 4.98477      NA      NA 5.17056       NA       NA 2.5453       NA      NA  0.37766       0.31458       0.43742             NA            NA 0.043376        NA      NA  0.29002         NA        NA 4.42429        NA        NA 4.42341        NA        NA         0.44131                    NA                   NA 0.016665      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.19331 278.68427 279.70234       NA       NA 10.09886    9.75131   10.47229         NA         NA 279.16144 278.66049 279.66238       NA       NA  9.93839    9.59636   10.30588         NA         NA 0.83686     0.82108     0.85135          NA          NA      NA      NA     0          0          0  0.031869 -0.25669    0.32043      NA     NA 5.72484    5.52782    5.93653         NA         NA 1.00011        NA        NA 4.08326      NA      NA 32.75317      NA      NA 32.75216        NA        NA 5.72304       NA       NA -6.25221      NA      NA -3.29976      NA      NA -0.48437        NA      NA 2.11369      NA      NA 8.32381      NA      NA 5.41345       NA       NA 2.75045      NA      NA  0.37819       0.33414       0.42058             NA            NA 0.0010156       NA      NA  0.66839         NA        NA 4.59824        NA        NA 5.60841        NA        NA         0.38476                    NA                   NA 0.020501      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.8225  276.60788 277.03711       NA       NA 11.62978   11.47999   11.78356         NA         NA 276.84628 276.62887 277.06369       NA       NA 11.7811    11.62936   11.93689         NA         NA 0.877       0.87267     0.88119          NA          NA      NA      NA     0          0          0 -0.023782 -0.13096    0.083392     NA     NA 5.80758    5.73278    5.88438         NA         NA 0.99991        NA        NA 4.25954      NA      NA 33.72558      NA      NA 33.72502        NA        NA 5.80737       NA       NA -6.73115      NA      NA -3.23785      NA      NA -0.085533       NA      NA 3.36303      NA      NA 6.81927      NA      NA 6.60088       NA       NA 3.30434      NA      NA  0.23923       0.22176       0.25655             NA            NA 0.00056558      NA      NA  0.75701         NA        NA 4.71654        NA        NA 4.74694        NA        NA         0.24685                    NA                   NA 0.020977      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.17515 275.96034 276.38997       NA       NA 11.64039   11.49046   11.79431         NA         NA 276.15354 275.94269 276.36439       NA       NA 11.42556   11.27839   11.57664         NA         NA 0.92386     0.92111     0.92652          NA          NA      NA      NA     0          0          0  0.021615 -0.061527   0.10476      NA     NA 4.50531    4.44728    4.56489         NA         NA 1.00008        NA        NA 3.34956      NA      NA 20.2965       NA      NA 20.29603        NA        NA 4.50516       NA       NA -6.15041      NA      NA -3.02198      NA      NA -0.2468         NA      NA 2.51243      NA      NA 5.90889      NA      NA 5.53442       NA       NA 2.77122      NA      NA  0.44184       0.42687       0.45657             NA            NA 0.00046721      NA      NA  0.84452         NA        NA 4.22772        NA        NA 4.67042        NA        NA         0.491                      NA                   NA 0.016314      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 292.02359 291.95388 292.09331       NA       NA  2.8634     2.81494    2.91357         NA         NA 291.82168 291.7602  291.88316       NA       NA  2.52509    2.48236    2.56933         NA         NA 0.87235     0.86641     0.87805          NA          NA      NA      NA     0          0          0  0.20191   0.16782    0.236        NA     NA 1.40011    1.37642    1.42464         NA         NA 1.00069        NA        NA 0.91802      NA      NA  2.00078      NA      NA  1.96001        NA        NA 1.41449       NA       NA -1.14364      NA      NA -0.45769      NA      NA  0.094901       NA      NA 0.72229      NA      NA 1.63979      NA      NA 1.17998       NA       NA 0.58742      NA      NA  0.47837       0.45937       0.49693             NA            NA 0.040769        NA      NA  0.68621         NA        NA 1.68289        NA        NA 1.52502        NA        NA         0.61506                    NA                   NA 0.0048471     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.39231 262.25754 262.52708       NA       NA  4.88161    4.78814    4.97883         NA         NA 261.68389 261.51    261.85777       NA       NA  6.29837    6.17778    6.4238          NA         NA 0.60221     0.58432     0.61952          NA          NA      NA      NA     0          0          0  0.70842   0.56639    0.85046      NA     NA 5.14472    5.04622    5.24718         NA         NA 1.00271        NA        NA 3.97189      NA      NA 26.96479      NA      NA 26.46292        NA        NA 5.19276       NA       NA -5.99326      NA      NA -2.72686      NA      NA  0.50313        NA      NA 3.65933      NA      NA 5.95871      NA      NA 6.38619       NA       NA 3.17397      NA      NA  0.42993       0.40716       0.45218             NA            NA 0.50186         NA      NA  0.32026         NA        NA 4.08797        NA        NA 5.3638         NA        NA         0.42224                    NA                   NA 0.019844      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.16376 258.95347 259.37405       NA       NA  7.61699    7.47115    7.76868         NA         NA 259.78236 259.56173 260.00298       NA       NA  7.99134    7.83833    8.15048         NA         NA 0.74294     0.73031     0.75506          NA          NA      NA      NA     0          0          0 -0.61859  -0.77338   -0.46381      NA     NA 5.60663    5.49929    5.71829         NA         NA 0.99762        NA        NA 4.55134      NA      NA 31.81077      NA      NA 31.42811        NA        NA 5.6401        NA       NA -7.6501       NA      NA -4.25969      NA      NA -0.69879        NA      NA 2.9571       NA      NA 6.32392      NA      NA 7.21679       NA       NA 3.59529      NA      NA  0.44255       0.42008       0.46449             NA            NA 0.38266         NA      NA  0.50188         NA        NA 5.13412        NA        NA 6.38167        NA        NA         0.5383                     NA                   NA 0.021711      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 251.77907 251.33108 252.22706       NA       NA  8.96676    8.6608     9.29529         NA         NA 252.92579 252.44889 253.40269       NA       NA  9.54551    9.2198     9.89525         NA         NA 0.81734     0.80005     0.83328          NA          NA      NA      NA     0          0          0 -1.14672  -1.42759   -0.86586      NA     NA 5.62171    5.42989    5.82769         NA         NA 0.99547        NA        NA 4.26896      NA      NA 32.8981       NA      NA 31.58312        NA        NA 5.73569       NA       NA -6.77953      NA      NA -4.42074      NA      NA -1.57856        NA      NA 1.56556      NA      NA 6.62678      NA      NA 5.9863        NA       NA 2.96747      NA      NA  0.019561     -0.030436      0.069461            NA            NA 1.31498         NA      NA  0.63895         NA        NA 4.48612        NA        NA 3.63956        NA        NA         0.014502                   NA                   NA 0.022677      NA     NA
