VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25       E25_BCL E25_BCU E50       E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2       ME2_BCL ME2_BCU MSESS    MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.09943 277.53403 278.66483       NA       NA 11.31696   10.9308    11.7316          NA         NA 278.23214 277.66618 278.79811       NA       NA 11.32823   10.94169   11.74329         NA         NA 0.9321      0.92522     0.93836          NA          NA      NA      NA     0          0          0 -0.13271  -0.34118   0.075751      NA     NA 4.17257    4.03019    4.32545         NA         NA 0.99952        NA        NA 3.07204      NA      NA 17.41663      NA      NA 17.39901        NA        NA 4.17332       NA       NA -5.05757      NA      NA -2.60082       NA      NA -0.49219       NA      NA 1.97509      NA      NA 4.80359      NA      NA 4.57591       NA       NA 2.25187      NA      NA   0.61603       0.58404       0.64611            NA            NA 0.017613       NA      NA  0.86428        NA        NA 4.42567        NA        NA 5.07561        NA        NA          0.62173                   NA                   NA 0.014999      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.79693 283.4403  284.15356       NA       NA  7.78386    7.5396     8.04459         NA         NA 283.20186 282.84246 283.56125       NA       NA  7.84413    7.59799    8.10688         NA         NA 0.94468     0.93953     0.94941          NA          NA      NA      NA     0          0          0  0.59508   0.47596   0.71419       NA     NA 2.59976    2.51818    2.68684         NA         NA 1.0021         NA        NA 1.9081       NA      NA  7.10918      NA      NA  6.75506        NA        NA 2.6663        NA       NA -2.24299      NA      NA -0.84492       NA      NA  0.40169       NA      NA 1.9855       NA      NA 4.20454      NA      NA 2.83042       NA       NA 1.39119      NA      NA   0.57343       0.54184       0.60339            NA            NA 0.35412        NA      NA  0.88446        NA        NA 2.99158        NA        NA 2.66138        NA        NA          0.56039                   NA                   NA 0.0094149     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.34685 278.83552 279.85817       NA       NA  7.14464    6.80045    7.5258          NA         NA 280.27956 279.89123 280.66789       NA       NA  5.42607    5.16467    5.71555         NA         NA 0.93563     0.92607     0.94399          NA          NA      NA      NA     0          0          0 -0.93271  -1.13443  -0.73099       NA     NA 2.81861    2.68283    2.96898         NA         NA 0.99667        NA        NA 2.42019      NA      NA  8.80392      NA      NA  7.93397        NA        NA 2.96714       NA       NA -5.41655      NA      NA -3.02924       NA      NA -1.56367       NA      NA 0.54712      NA      NA 2.67334      NA      NA 3.57637       NA       NA 1.6872       NA      NA   0.75726       0.72497       0.78622            NA            NA 0.86995        NA      NA  0.70098        NA        NA 3.49176        NA        NA 4.44166        NA        NA          0.74526                   NA                   NA 0.010586      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.72151 278.18853 279.2545        NA       NA 10.57406   10.21016   10.96506         NA         NA 279.8277  279.31093 280.34447       NA       NA 10.25237    9.89954   10.63147         NA         NA 0.89193     0.88113     0.90179          NA          NA      NA      NA     0          0          0 -1.10618  -1.35071  -0.86165       NA     NA 4.85136    4.68441    5.03075         NA         NA 0.99605        NA        NA 3.55101      NA      NA 24.7438       NA      NA 23.52016        NA        NA 4.97431       NA       NA -6.89099      NA      NA -3.63128       NA      NA -1.04143       NA      NA 1.01365      NA      NA 5.36873      NA      NA 4.64493       NA       NA 2.3636       NA      NA   0.66535       0.63628       0.69253            NA            NA 1.22364        NA      NA  0.76459        NA        NA 5.75133        NA        NA 6.2235         NA        NA          0.65747                   NA                   NA 0.017776      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.56116 276.34531 276.77702       NA       NA 11.69709   11.54643   11.85176         NA         NA 276.7883  276.57083 277.00577       NA       NA 11.78436   11.63258   11.94019         NA         NA 0.94513     0.94312     0.94706          NA          NA      NA      NA     0          0          0 -0.22713  -0.29893  -0.15534       NA     NA 3.89036    3.84026    3.94181         NA         NA 0.99918        NA        NA 2.77169      NA      NA 15.18519      NA      NA 15.1336         NA        NA 3.89682       NA       NA -5.15198      NA      NA -2.61335       NA      NA -0.41064       NA      NA 1.66441      NA      NA 4.40001      NA      NA 4.27777       NA       NA 2.13953      NA      NA   0.63132       0.62009       0.64229            NA            NA 0.051589       NA      NA  0.89065        NA        NA 4.32099        NA        NA 4.74589        NA        NA          0.63416                   NA                   NA 0.014079      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.315   276.10104 276.52895       NA       NA 11.59405   11.44472   11.74737         NA         NA 276.02308 275.80998 276.23618       NA       NA 11.54766   11.39893   11.70036         NA         NA 0.95491     0.95326     0.95651          NA          NA      NA      NA     0          0          0  0.29192   0.22779   0.35604       NA     NA 3.47492    3.43016    3.52087         NA         NA 1.00106        NA        NA 2.57288      NA      NA 12.15923      NA      NA 12.07401        NA        NA 3.48701       NA       NA -4.06179      NA      NA -1.5454        NA      NA  0.68365       NA      NA 3.02583      NA      NA 5.83644      NA      NA 4.57123       NA       NA 2.28823      NA      NA   0.68201       0.67202       0.69176            NA            NA 0.085215       NA      NA  0.90882        NA        NA 4.56707        NA        NA 4.51397        NA        NA          0.70517                   NA                   NA 0.012633      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 292.11294 292.04909 292.17678       NA       NA  2.62216    2.57778    2.6681          NA         NA 291.84201 291.78167 291.90236       NA       NA  2.47853    2.43658    2.52196         NA         NA 0.91296     0.90881     0.91693          NA          NA      NA      NA     0          0          0  0.27092   0.24479   0.29706       NA     NA 1.07331    1.05515    1.09212         NA         NA 1.00093        NA        NA 0.72971      NA      NA  1.22522      NA      NA  1.15182        NA        NA 1.1069        NA       NA -0.73672      NA      NA -0.26342       NA      NA  0.18841       NA      NA 0.70204      NA      NA 1.45362      NA      NA 0.96545       NA       NA 0.47843      NA      NA   0.67958       0.66626       0.69247            NA            NA 0.0734         NA      NA  0.80055        NA        NA 1.74136        NA        NA 1.45946        NA        NA          0.77459                   NA                   NA 0.0037928     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.10204 261.96885 262.23524       NA       NA  4.82461    4.73223    4.92069         NA         NA 261.61084 261.4296  261.79208       NA       NA  6.56486    6.43916    6.6956          NA         NA 0.74075     0.72803     0.75296          NA          NA      NA      NA     0          0          0  0.4912    0.36944   0.61296       NA     NA 4.41031    4.32586    4.49814         NA         NA 1.00188        NA        NA 3.39461      NA      NA 19.68822      NA      NA 19.44694        NA        NA 4.43714       NA       NA -5.31172      NA      NA -2.93582       NA      NA -0.36769       NA      NA 2.33784      NA      NA 5.20149      NA      NA 5.27365       NA       NA 2.6461       NA      NA   0.56782       0.54881       0.58623            NA            NA 0.24128        NA      NA  0.54317        NA        NA 4.12139        NA        NA 5.16964        NA        NA          0.56375                   NA                   NA 0.016961      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 260.01783 259.79413 260.24153       NA       NA  8.10273    7.94759    8.26409         NA         NA 259.60105 259.36942 259.83268       NA       NA  8.39002    8.22938    8.55711         NA         NA 0.85621     0.84866     0.86341          NA          NA      NA      NA     0          0          0  0.41678   0.29445   0.53911       NA     NA 4.43094    4.3461     4.51918         NA         NA 1.00161        NA        NA 3.45085      NA      NA 19.80306      NA      NA 19.62935        NA        NA 4.45006       NA       NA -4.42414      NA      NA -1.71911       NA      NA  1.32611       NA      NA 4.69248      NA      NA 8.16518      NA      NA 6.4116        NA       NA 3.2077       NA      NA   0.64874       0.63246       0.66445            NA            NA 0.17371        NA      NA  0.71868        NA        NA 5.94953        NA        NA 5.89657        NA        NA          0.7178                    NA                   NA 0.017142      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.18564 251.70496 252.66632       NA       NA  9.62108    9.29279    9.97359         NA         NA 252.69236 252.20959 253.17514       NA       NA  9.6631     9.33338   10.01715         NA         NA 0.96237     0.95849     0.96589          NA          NA      NA      NA     0          0          0 -0.50672  -0.63889  -0.37455       NA     NA 2.64553    2.55526    2.74246         NA         NA 0.99799        NA        NA 2.07852      NA      NA  7.25107      NA      NA  6.9943         NA        NA 2.69278       NA       NA -3.87551      NA      NA -2.35556       NA      NA -0.75532       NA      NA 0.99657      NA      NA 2.86911      NA      NA 3.35214       NA       NA 1.67749      NA      NA   0.68357       0.65601       0.70931            NA            NA 0.25677        NA      NA  0.92235        NA        NA 3.32418        NA        NA 3.36408        NA        NA          0.67586                   NA                   NA 0.010656      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 260.65732 260.30815 261.00649       NA       NA  7.62113    7.38198    7.87641         NA         NA 260.41317 260.0643  260.76203       NA       NA  7.61438    7.37544    7.86944         NA         NA 0.93751     0.93171     0.94283          NA          NA      NA      NA     0          0          0  0.24415   0.12076   0.36755       NA     NA 2.69318    2.60866    2.78339         NA         NA 1.00094        NA        NA 1.57268      NA      NA  7.30884      NA      NA  7.24923        NA        NA 2.70349       NA       NA -2.25479      NA      NA -0.72516       NA      NA  0.21321       NA      NA 1.11897      NA      NA 2.47842      NA      NA 1.84413       NA       NA 0.92038      NA      NA   0.5857        0.55476       0.61501            NA            NA 0.059611       NA      NA  0.87394        NA        NA 2.90434        NA        NA 3.04756        NA        NA          0.58828                   NA                   NA 0.010382      NA     NA
