VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS    MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2040000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.17973 279.57003 280.78943       NA       NA 12.20357   11.78717   12.6507          NA         NA 280.61089 279.99975 281.22204       NA       NA 12.23247   11.81507   12.68065         NA         NA 0.94661     0.94116     0.95157          NA          NA      NA      NA     0          0          0 -0.43116  -0.63064  -0.23169       NA     NA 3.99261    3.85638    4.1389          NA         NA 0.99846        NA        NA 3.19144      NA      NA 16.1165       NA      NA 15.93059        NA        NA 4.01454       NA       NA -5.22528      NA      NA -3.1002       NA      NA -0.81243       NA      NA 2.23213      NA      NA 4.91053      NA      NA 5.33232       NA       NA 2.61244      NA      NA   0.69948       0.67304       0.72414            NA            NA 0.1859          NA      NA  0.89229        NA        NA 4.78739        NA        NA 5.51347        NA        NA          0.70469                   NA                   NA 0.014306      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2040000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 284.29511 283.93827 284.65195       NA       NA  7.78843    7.54403    8.04931         NA         NA 283.71115 283.35612 284.06618       NA       NA  7.74903    7.50587    8.00859         NA         NA 0.92816     0.92153     0.93424          NA          NA      NA      NA     0          0          0  0.58396   0.44902   0.71889       NA     NA 2.9451     2.85269    3.04375         NA         NA 1.00206        NA        NA 2.13924      NA      NA  9.00989      NA      NA  8.66888        NA        NA 3.00165       NA       NA -3.02004      NA      NA -0.93388      NA      NA  0.36723       NA      NA 2.14163      NA      NA 4.60944      NA      NA 3.07551       NA       NA 1.53131      NA      NA   0.53349       0.49988       0.56548            NA            NA 0.34101         NA      NA  0.84995        NA        NA 3.32136        NA        NA 2.85151        NA        NA          0.53599                   NA                   NA 0.01058       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2040000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.90296 279.38799 280.41793       NA       NA  7.19555    6.84891    7.57943         NA         NA 280.6074  280.21472 281.00008       NA       NA  5.4868     5.22248    5.77951         NA         NA 0.94214     0.93352     0.94968          NA          NA      NA      NA     0          0          0 -0.70444  -0.90029  -0.5086        NA     NA 2.73645    2.60462    2.88243         NA         NA 0.99749        NA        NA 2.27187      NA      NA  7.9744       NA      NA  7.47816        NA        NA 2.8239        NA       NA -4.99745      NA      NA -2.96338      NA      NA -1.29782       NA      NA 0.63915      NA      NA 2.79847      NA      NA 3.60253       NA       NA 1.76304      NA      NA   0.72708       0.69149       0.75916            NA            NA 0.49624         NA      NA  0.73511        NA        NA 3.22359        NA        NA 4.21868        NA        NA          0.74322                   NA                   NA 0.010064      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2040000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.46717 276.97619 277.95815       NA       NA  9.74075    9.40553   10.10094         NA         NA 278.36235 277.88101 278.84369       NA       NA  9.54945    9.22081    9.90257         NA         NA 0.81518     0.79754     0.83143          NA          NA      NA      NA     0          0          0 -0.89518  -1.1909   -0.59946       NA     NA 5.86684    5.66493    6.08377         NA         NA 0.99678        NA        NA 4.17115      NA      NA 35.19834      NA      NA 34.397          NA        NA 5.93282       NA       NA -7.45255      NA      NA -3.88322      NA      NA -0.98095       NA      NA 1.26014      NA      NA 7.21335      NA      NA 5.14336       NA       NA 2.60284      NA      NA   0.44476       0.40339       0.48431            NA            NA 0.80134         NA      NA  0.61402        NA        NA 5.41621        NA        NA 5.77642        NA        NA          0.43955                   NA                   NA 0.021313      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2040000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.76189 276.54241 276.98138       NA       NA 11.89362   11.74043   12.05089         NA         NA 277.08597 276.86532 277.30662       NA       NA 11.95668   11.80267   12.11478         NA         NA 0.93516     0.9328      0.93743          NA          NA      NA      NA     0          0          0 -0.32407  -0.40333  -0.24481       NA     NA 4.29497    4.23965    4.35176         NA         NA 0.99883        NA        NA 3.08364      NA      NA 18.55013      NA      NA 18.44511        NA        NA 4.30699       NA       NA -5.74087      NA      NA -3.16991      NA      NA -0.68064       NA      NA 1.63745      NA      NA 4.75749      NA      NA 4.80736       NA       NA 2.39877      NA      NA   0.53737       0.52411       0.55036            NA            NA 0.10502         NA      NA  0.87024        NA        NA 4.18007        NA        NA 4.74604        NA        NA          0.54055                   NA                   NA 0.015544      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2040000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.39576 276.1827  276.60882       NA       NA 11.54551   11.3968    11.69818         NA         NA 276.1033  275.8899  276.31669       NA       NA 11.56355   11.41461   11.71646         NA         NA 0.9511      0.94931     0.95283          NA          NA      NA      NA     0          0          0  0.29246   0.22578   0.35914       NA     NA 3.61343    3.56689    3.66121         NA         NA 1.00106        NA        NA 2.66945      NA      NA 13.14123      NA      NA 13.0557         NA        NA 3.62508       NA       NA -4.4451       NA      NA -1.50311      NA      NA  0.68177       NA      NA 3.09247      NA      NA 6.33679      NA      NA 4.59558       NA       NA 2.31246      NA      NA   0.66724       0.65688       0.67736            NA            NA 0.085534        NA      NA  0.90172        NA        NA 4.68969        NA        NA 4.56481        NA        NA          0.69343                   NA                   NA 0.013129      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2040000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 292.11879 292.04867 292.18891       NA       NA  2.87999    2.83125    2.93045         NA         NA 291.84478 291.77793 291.91163       NA       NA  2.74549    2.69902    2.79359         NA         NA 0.92093     0.91714     0.92454          NA          NA      NA      NA     0          0          0  0.27401   0.24659   0.30143       NA     NA 1.12631    1.10725    1.14604         NA         NA 1.00094        NA        NA 0.75539      NA      NA  1.34346      NA      NA  1.26838        NA        NA 1.15908       NA       NA -0.80429      NA      NA -0.27191      NA      NA  0.19575       NA      NA 0.69674      NA      NA 1.43575      NA      NA 0.96865       NA       NA 0.48426      NA      NA   0.65978       0.64581       0.67331            NA            NA 0.075082        NA      NA  0.82177        NA        NA 1.76639        NA        NA 1.50084        NA        NA          0.75992                   NA                   NA 0.0039716     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2040000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.08572 261.95656 262.21489       NA       NA  4.67861    4.58903    4.77179         NA         NA 261.82506 261.64828 262.00185       NA       NA  6.40335    6.28074    6.53087         NA         NA 0.66026     0.64439     0.67555          NA          NA      NA      NA     0          0          0  0.26066   0.12731   0.39401       NA     NA 4.83025    4.73777    4.92644         NA         NA 1.001          NA        NA 3.6252       NA      NA 23.39465      NA      NA 23.32671        NA        NA 4.8368        NA       NA -6.32105      NA      NA -3.73632      NA      NA -0.80077       NA      NA 1.876        NA      NA 5.33351      NA      NA 5.61231       NA       NA 2.84335      NA      NA   0.45577       0.43361       0.47737            NA            NA 0.067943        NA      NA  0.42944        NA        NA 3.74651        NA        NA 5.20963        NA        NA          0.45553                   NA                   NA 0.018473      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2040000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 260.2467  260.02067 260.47272       NA       NA  8.187      8.03024    8.35004         NA         NA 259.66314 259.4326  259.89368       NA       NA  8.35046    8.19058    8.51676         NA         NA 0.84913     0.84124     0.85665          NA          NA      NA      NA     0          0          0  0.58356   0.45808   0.70903       NA     NA 4.54488    4.45786    4.63539         NA         NA 1.00225        NA        NA 3.49613      NA      NA 20.99236      NA      NA 20.65182        NA        NA 4.58174       NA       NA -4.77211      NA      NA -1.33847      NA      NA  1.52314       NA      NA 4.64504      NA      NA 8.52621      NA      NA 5.98351       NA       NA 2.98885      NA      NA   0.65276       0.63663       0.66833            NA            NA 0.34054         NA      NA  0.69895        NA        NA 6.09328        NA        NA 6.17476        NA        NA          0.72112                   NA                   NA 0.017645      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2040000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.57457 252.08859 253.06056       NA       NA  9.72732    9.39541   10.08372         NA         NA 253.22026 252.7222  253.71831       NA       NA  9.96891    9.62876   10.33416         NA         NA 0.95129     0.9463      0.95582          NA          NA      NA      NA     0          0          0 -0.64568  -0.79972  -0.49165       NA     NA 3.08312    2.97792    3.19609         NA         NA 0.99745        NA        NA 2.45018      NA      NA  9.91639      NA      NA  9.49948        NA        NA 3.14903       NA       NA -4.35364      NA      NA -2.82287      NA      NA -0.93734       NA      NA 1.32509      NA      NA 3.52416      NA      NA 4.14796       NA       NA 2.04743      NA      NA   0.60871       0.57627       0.63923            NA            NA 0.41691         NA      NA  0.90022        NA        NA 3.62723        NA        NA 3.41338        NA        NA          0.60138                   NA                   NA 0.012436      NA     NA
