VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL      ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS      MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 277.75191 277.20347 278.30034       NA       NA 10.97726   10.6027    11.37946         NA         NA 278.23214 277.66618 278.79811       NA       NA 11.32823   10.94169   11.74329         NA         NA 0.96922     0.96604     0.97211          NA          NA      NA      NA     0          0          0 -0.48024   -0.61958    -0.3409       NA     NA 2.78902    2.69386    2.89121         NA         NA 0.99827        NA        NA 2.20426      NA      NA  8.00422      NA      NA  7.77359        NA        NA 2.82917       NA       NA -3.99095      NA      NA -2.37089      NA      NA -0.4343        NA      NA 1.34735      NA      NA 3.36717      NA      NA 3.71825       NA       NA 1.8518       NA      NA   0.83463       0.81881       0.84918            NA            NA 0.23063         NA      NA  0.93763          NA        NA 4.49695        NA        NA 5.07561        NA        NA          0.83199                   NA                   NA 0.010168      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.62134 283.25808 283.98459       NA       NA  7.9285     7.67971    8.19408         NA         NA 283.20186 282.84246 283.56125       NA       NA  7.84413    7.59799    8.10688         NA         NA 0.94373     0.93849     0.94853          NA          NA      NA      NA     0          0          0  0.41948    0.29821     0.54076      NA     NA 2.64698    2.56392    2.73564         NA         NA 1.00148        NA        NA 1.79407      NA      NA  7.17863      NA      NA  7.00266        NA        NA 2.6793        NA       NA -2.34952      NA      NA -0.89192      NA      NA  0.10031       NA      NA 1.42354      NA      NA 4.00213      NA      NA 2.31546       NA       NA 1.11725      NA      NA   0.61132       0.5818        0.63924            NA            NA 0.17596         NA      NA  0.88333          NA        NA 3.2506         NA        NA 2.66138        NA        NA          0.60517                   NA                   NA 0.0094607     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.89344 279.44728 280.33961       NA       NA  6.23416    5.93384    6.56675         NA         NA 280.27956 279.89123 280.66789       NA       NA  5.42607    5.16467    5.71555         NA         NA 0.95518     0.94845     0.96105          NA          NA      NA      NA     0          0          0 -0.38612   -0.52351    -0.24873      NA     NA 1.91969    1.82721    2.02211         NA         NA 0.99862        NA        NA 1.42531      NA      NA  3.82939      NA      NA  3.6803         NA        NA 1.95688       NA       NA -2.91217      NA      NA -1.66015      NA      NA -0.50606       NA      NA 0.44211      NA      NA 1.38521      NA      NA 2.10226       NA       NA 1.03338      NA      NA   0.89548       0.88033       0.90881            NA            NA 0.14909         NA      NA  0.86994          NA        NA 4.05879        NA        NA 4.44166        NA        NA          0.89786                   NA                   NA 0.0069819     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.73274 279.20869 280.25679       NA       NA 10.39687   10.03907   10.78132         NA         NA 279.8277  279.31093 280.34447       NA       NA 10.25237    9.89954   10.63147         NA         NA 0.94817     0.94282     0.95303          NA          NA      NA      NA     0          0          0 -0.094958  -0.26267     0.072749     NA     NA 3.32721    3.21271    3.45024         NA         NA 0.99966        NA        NA 2.33283      NA      NA 11.07204      NA      NA 11.06302        NA        NA 3.32747       NA       NA -4.54532      NA      NA -1.99269      NA      NA -0.33867       NA      NA 1.40702      NA      NA 3.30076      NA      NA 3.39972       NA       NA 1.71402      NA      NA   0.84093       0.82551       0.85509            NA            NA 0.0090171       NA      NA  0.89466          NA        NA 5.71788        NA        NA 6.2235         NA        NA          0.84802                   NA                   NA 0.011891      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.70385 276.48881 276.9189        NA       NA 11.65321   11.50312   11.80731         NA         NA 276.7883  276.57083 277.00577       NA       NA 11.78436   11.63258   11.94019         NA         NA 0.96861     0.96745     0.96973          NA          NA      NA      NA     0          0          0 -0.084443  -0.13868    -0.030206     NA     NA 2.93903    2.90118    2.9779          NA         NA 0.99969        NA        NA 2.13047      NA      NA  8.64429      NA      NA  8.63716        NA        NA 2.94012       NA       NA -3.81658      NA      NA -1.84276      NA      NA -0.17571       NA      NA 1.65097      NA      NA 4.26725      NA      NA 3.49373       NA       NA 1.74984      NA      NA   0.79073       0.78371       0.79754            NA            NA 0.0071306       NA      NA  0.93775          NA        NA 4.3136         NA        NA 4.74589        NA        NA          0.79344                   NA                   NA 0.010622      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.15316 275.93973 276.36658       NA       NA 11.56523   11.41627   11.71816         NA         NA 276.02308 275.80998 276.23618       NA       NA 11.54766   11.39893   11.70036         NA         NA 0.95496     0.9533      0.95655          NA          NA      NA      NA     0          0          0  0.13008    0.066064    0.19409      NA     NA 3.46868    3.424      3.51454         NA         NA 1.00047        NA        NA 2.4218       NA      NA 12.04756      NA      NA 12.03064        NA        NA 3.47096       NA       NA -4.07381      NA      NA -1.6461       NA      NA  0.25124       NA      NA 2.29341      NA      NA 4.76807      NA      NA 3.93951       NA       NA 1.96707      NA      NA   0.67513       0.66496       0.68505            NA            NA 0.01692         NA      NA  0.90965          NA        NA 4.40983        NA        NA 4.51397        NA        NA          0.69766                   NA                   NA 0.012575      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 292.04357 291.97942 292.10772       NA       NA  2.63469    2.5901     2.68086         NA         NA 291.84201 291.78167 291.90236       NA       NA  2.47853    2.43658    2.52196         NA         NA 0.91802     0.9141      0.92176          NA          NA      NA      NA     0          0          0  0.20155    0.17607     0.22703      NA     NA 1.04649    1.02878    1.06482         NA         NA 1.00069        NA        NA 0.68326      NA      NA  1.13559      NA      NA  1.09496        NA        NA 1.06564       NA       NA -0.74856      NA      NA -0.27979      NA      NA  0.12742       NA      NA 0.62295      NA      NA 1.23231      NA      NA 0.90274       NA       NA 0.44934      NA      NA   0.69075       0.6778        0.70327            NA            NA 0.040623        NA      NA  0.81514          NA        NA 1.68791        NA        NA 1.45946        NA        NA          0.7801                    NA                   NA 0.0036514     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.64189 261.49714 261.78664       NA       NA  5.24307    5.14269    5.34749         NA         NA 261.61084 261.4296  261.79208       NA       NA  6.56486    6.43916    6.6956          NA         NA 0.81382     0.80428     0.82294          NA          NA      NA      NA     0          0          0  0.031052  -0.074306    0.13641      NA     NA 3.81626    3.74319    3.89226         NA         NA 1.00012        NA        NA 2.96997      NA      NA 14.56189      NA      NA 14.56093        NA        NA 3.81601       NA       NA -4.40476      NA      NA -2.21541      NA      NA -0.21375       NA      NA 2.65379      NA      NA 5.78358      NA      NA 4.8692        NA       NA 2.34729      NA      NA   0.69078       0.67607       0.70495            NA            NA 0.00096424      NA      NA  0.66212          NA        NA 4.33837        NA        NA 5.16964        NA        NA          0.69077                   NA                   NA 0.014587      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.88941 259.67656 260.10226       NA       NA  7.70989    7.56227    7.86343         NA         NA 259.60105 259.36942 259.83268       NA       NA  8.39002    8.22938    8.55711         NA         NA 0.85526     0.84766     0.8625           NA          NA      NA      NA     0          0          0  0.28836    0.16742     0.40929      NA     NA 4.38044    4.29657    4.46768         NA         NA 1.00111        NA        NA 3.29523      NA      NA 19.26762      NA      NA 19.18447        NA        NA 4.38949       NA       NA -4.62862      NA      NA -2.13805      NA      NA  0.63136       NA      NA 3.20239      NA      NA 5.45933      NA      NA 5.34045       NA       NA 2.67125      NA      NA   0.64116       0.6246        0.65713            NA            NA 0.083149        NA      NA  0.72628          NA        NA 5.65561        NA        NA 5.89657        NA        NA          0.71199                   NA                   NA 0.016909      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.35412 251.87221 252.83604       NA       NA  9.64589    9.31675    9.9993          NA         NA 252.69236 252.20959 253.17514       NA       NA  9.6631     9.33338   10.01715         NA         NA 0.98017     0.9781      0.98204          NA          NA      NA      NA     0          0          0 -0.33824   -0.43431    -0.24217      NA     NA 1.92294    1.85732    1.99339         NA         NA 0.99866        NA        NA 1.52168      NA      NA  3.80969      NA      NA  3.69528        NA        NA 1.95184       NA       NA -2.84384      NA      NA -1.6401       NA      NA -0.39365       NA      NA 0.81902      NA      NA 2.30724      NA      NA 2.45912       NA       NA 1.22935      NA      NA   0.83139       0.81529       0.8462             NA            NA 0.11441         NA      NA  0.9592           NA        NA 3.26463        NA        NA 3.36408        NA        NA          0.82701                   NA                   NA 0.0077242     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 260.35104 259.99519 260.70689       NA       NA  7.76679    7.52307    8.02695         NA         NA 260.41317 260.0643  260.76203       NA       NA  7.61438    7.37544    7.86944         NA         NA 0.91623     0.90855     0.92329          NA          NA      NA      NA     0          0          0 -0.062129  -0.20652     0.082259     NA     NA 3.15142    3.05253    3.25698         NA         NA 0.99976        NA        NA 1.92651      NA      NA  9.92989      NA      NA  9.92603        NA        NA 3.15117       NA       NA -2.98792      NA      NA -1.31171      NA      NA  0.084933      NA      NA 1.12495      NA      NA 2.61448      NA      NA 2.43666       NA       NA 1.21905      NA      NA   0.51713       0.48275       0.54992            NA            NA 0.00386         NA      NA  0.82873          NA        NA 3.40589        NA        NA 3.04756        NA        NA          0.52785                   NA                   NA 0.012101      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 254.33914 253.99663 254.68165       NA       NA  4.78582    4.55527    5.04114         NA         NA 254.60928 254.29772 254.92083       NA       NA  4.35326    4.14355    4.58551         NA         NA 0.9293      0.91884     0.93846          NA          NA      NA      NA     0          0          0 -0.27014   -0.39681    -0.14346      NA     NA 1.76999    1.68472    1.86442         NA         NA 0.99894        NA        NA 1.34305      NA      NA  3.20167      NA      NA  3.12869        NA        NA 1.78932       NA       NA -2.40075      NA      NA -1.23978      NA      NA -0.35489       NA      NA 0.77667      NA      NA 1.76946      NA      NA 2.01645       NA       NA 1.01882      NA      NA   0.78952       0.76093       0.81504            NA            NA 0.072975        NA      NA  0.83105          NA        NA 3.23461        NA        NA 3.2228         NA        NA          0.84644                   NA                   NA 0.0070277     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 255.53287 255.13319 255.93254       NA       NA  7.92923    7.65635    8.22243         NA         NA 255.76765 255.37503 256.16026       NA       NA  7.78927    7.5212     8.07729         NA         NA 0.93633     0.92981     0.94227          NA          NA      NA      NA     0          0          0 -0.23478   -0.37631    -0.093252     NA     NA 2.80785    2.71122    2.91167         NA         NA 0.99908        NA        NA 1.90434      NA      NA  7.93391      NA      NA  7.87879        NA        NA 2.81672       NA       NA -3.10628      NA      NA -1.91961      NA      NA -0.71324       NA      NA 0.57949      NA      NA 2.56646      NA      NA 2.4991        NA       NA 1.25031      NA      NA   0.73788       0.71402       0.76002            NA            NA 0.055122        NA      NA  0.86923          NA        NA 3.86911        NA        NA 4.25897        NA        NA          0.76388                   NA                   NA 0.011013      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 252.95145 252.76668 253.13622       NA       NA 10.01241    9.88344   10.1448          NA         NA 252.90484 252.72071 253.08898       NA       NA  9.97785    9.84933   10.10979         NA         NA 0.96735     0.96615     0.96852          NA          NA      NA      NA     0          0          0  0.046608  -0.00052926  0.093745     NA     NA 2.55428    2.52138    2.58805         NA         NA 1.00018        NA        NA 1.79491      NA      NA  6.52592      NA      NA  6.52375        NA        NA 2.55459       NA       NA -2.95973      NA      NA -1.46153      NA      NA -0.098769      NA      NA 1.34957      NA      NA 3.39679      NA      NA 2.81109       NA       NA 1.40282      NA      NA   0.72668       0.71785       0.73527            NA            NA 0.0021723       NA      NA  0.93445          NA        NA 3.41814        NA        NA 3.52528        NA        NA          0.72969                   NA                   NA 0.010101      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 254.22166 254.03725 254.40606       NA       NA  9.99261    9.86391   10.12475         NA         NA 254.21253 254.02465 254.40041       NA       NA 10.18095   10.04982   10.31557         NA         NA 0.9394      0.93719     0.94153          NA          NA      NA      NA     0          0          0  0.0091269 -0.055766    0.07402      NA     NA 3.51646    3.47116    3.56295         NA         NA 1.00004        NA        NA 2.37239      NA      NA 12.36444      NA      NA 12.36436        NA        NA 3.51631       NA       NA -3.45148      NA      NA -1.49259      NA      NA  0.10508       NA      NA 1.95641      NA      NA 4.25513      NA      NA 3.449         NA       NA 1.70846      NA      NA   0.63151       0.62028       0.64248            NA            NA 8.33e-05        NA      NA  0.88071          NA        NA 4.23307        NA        NA 4.10429        NA        NA          0.64464                   NA                   NA 0.013832      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 268.39263 268.36215 268.42311       NA       NA  1.25181    1.23063    1.27375         NA         NA 268.27288 268.24354 268.30222       NA       NA  1.20511    1.18471    1.22622         NA         NA 0.73572     0.72435     0.7467           NA          NA      NA      NA     0          0          0  0.11975    0.097981    0.14152      NA     NA 0.89417    0.87904    0.90983         NA         NA 1.00045        NA        NA 0.69958      NA      NA  0.81375      NA      NA  0.79941        NA        NA 0.90208       NA       NA -0.97447      NA      NA -0.40011      NA      NA  0.18212       NA      NA 0.70344      NA      NA 1.15637      NA      NA 1.10356       NA       NA 0.55306      NA      NA   0.51595       0.49785       0.53359            NA            NA 0.014341        NA      NA  0.43967          NA        NA 0.95139        NA        NA 0.94221        NA        NA          0.54615                   NA                   NA 0.0033626     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 239.76032 239.62619 239.89444       NA       NA  4.85823    4.76521    4.95498         NA         NA 239.57378 239.43394 239.71362       NA       NA  5.0653     4.96831    5.16617         NA         NA 0.74626     0.73377     0.75825          NA          NA      NA      NA     0          0          0  0.18653    0.088804    0.28426      NA     NA 3.53991    3.47213    3.6104          NA         NA 1.00078        NA        NA 2.61479      NA      NA 12.56326      NA      NA 12.52846        NA        NA 3.54447       NA       NA -3.51548      NA      NA -1.75057      NA      NA -0.071163      NA      NA 1.88066      NA      NA 4.639        NA      NA 3.63123       NA       NA 1.8018       NA      NA   0.68329       0.66829       0.69773            NA            NA 0.034795        NA      NA  0.51034          NA        NA 4.41184        NA        NA 4.63439        NA        NA          0.69398                   NA                   NA 0.014795      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 240.78341 240.63229 240.93452       NA       NA  5.47371    5.3689     5.58271         NA         NA 240.17466 240.01268 240.33664       NA       NA  5.86727    5.75493    5.98411         NA         NA 0.69925     0.68486     0.71309          NA          NA      NA      NA     0          0          0  0.60875    0.48692     0.73057      NA     NA 4.41275    4.32826    4.50063         NA         NA 1.00253        NA        NA 3.39555      NA      NA 19.83911      NA      NA 19.46853        NA        NA 4.45411       NA       NA -3.29112      NA      NA -1.41909      NA      NA  0.58314       NA      NA 3.21862      NA      NA 5.13191      NA      NA 4.63772       NA       NA 2.25237      NA      NA   0.50094       0.47997       0.52134            NA            NA 0.37057         NA      NA  0.4237           NA        NA 5.02188        NA        NA 4.40515        NA        NA          0.5602                    NA                   NA 0.018545      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P250     t       K         P250    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 221.12867 220.82922 221.42812       NA       NA  5.99379    5.78928    6.2134          NA         NA 221.37228 221.11962 221.62493       NA       NA  5.05714    4.88458    5.24243         NA         NA 0.87733     0.8653      0.88836          NA          NA      NA      NA     0          0          0 -0.24361   -0.38766    -0.099551     NA     NA 2.88335    2.78496    2.98899         NA         NA 0.9989         NA        NA 2.15932      NA      NA  8.36764      NA      NA  8.3083         NA        NA 2.89269       NA       NA -3.81836      NA      NA -2.16136      NA      NA -0.49884       NA      NA 1.21634      NA      NA 3.28442      NA      NA 3.3777        NA       NA 1.68129      NA      NA   0.61493       0.58287       0.64507            NA            NA 0.059344        NA      NA  0.67282          NA        NA 3.50007        NA        NA 3.02678        NA        NA          0.61565                   NA                   NA 0.013067      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P250     t       K         P250    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 227.49214 227.22508 227.7592        NA       NA  5.82884    5.64593    6.02408         NA         NA 226.56434 226.26562 226.86305       NA       NA  6.51979    6.3152     6.73818         NA         NA 0.91701     0.9094      0.92401          NA          NA      NA      NA     0          0          0  0.9278     0.80846     1.04714      NA     NA 2.60477    2.52304    2.69202         NA         NA 1.0041         NA        NA 1.87792      NA      NA  7.64195      NA      NA  6.78114        NA        NA 2.76441       NA       NA -1.56856      NA      NA -0.26942      NA      NA  0.67751       NA      NA 2.33694      NA      NA 4.47735      NA      NA 2.60636       NA       NA 1.21213      NA      NA   0.58307       0.55199       0.61253            NA            NA 0.86081         NA      NA  0.82022          NA        NA 2.83622        NA        NA 3.00998        NA        NA          0.55419                   NA                   NA 0.012201      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P250     t       K         P250    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 220.16398 219.89582 220.43214       NA       NA  3.74691    3.5664     3.9468          NA         NA 219.98459 219.68941 220.27976       NA       NA  4.1244     3.92571    4.34444         NA         NA 0.83443     0.8113      0.85495          NA          NA      NA      NA     0          0          0  0.17939    0.015256    0.34353      NA     NA 2.29345    2.18297    2.41581         NA         NA 1.00082        NA        NA 1.67782      NA      NA  5.2851       NA      NA  5.25292        NA        NA 2.29894       NA       NA -2.19148      NA      NA -1.06203      NA      NA -0.042854      NA      NA 1.62421      NA      NA 3.61123      NA      NA 2.68623       NA       NA 1.24312      NA      NA   0.56072       0.50959       0.60791            NA            NA 0.032182        NA      NA  0.68931          NA        NA 2.31037        NA        NA 2.5757         NA        NA          0.56185                   NA                   NA 0.01045       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P250     t       K         P250    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 221.92449 221.76084 222.08814       NA       NA  3.24673    3.135      3.36679         NA         NA 222.24895 222.06703 222.43087       NA       NA  3.60916    3.48495    3.74262         NA         NA 0.75846     0.73619     0.77908          NA          NA      NA      NA     0          0          0 -0.32446   -0.44577    -0.20315      NA     NA 2.40668    2.32386    2.49568         NA         NA 0.99854        NA        NA 1.67039      NA      NA  5.89357      NA      NA  5.7883         NA        NA 2.42767       NA       NA -2.70209      NA      NA -1.40969      NA      NA -0.404         NA      NA 0.83255      NA      NA 2.83175      NA      NA 2.24225       NA       NA 1.12153      NA      NA   0.53298       0.49589       0.56812            NA            NA 0.10527         NA      NA  0.54756          NA        NA 2.2955         NA        NA 2.69191        NA        NA          0.53583                   NA                   NA 0.010923      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P250     t       K         P250    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 222.02346 221.92877 222.11816       NA       NA  5.13146    5.06537    5.19932         NA         NA 222.46893 222.37678 222.56108       NA       NA  4.99335    4.92903    5.05938         NA         NA 0.81425     0.80793     0.82038          NA          NA      NA      NA     0          0          0 -0.44546   -0.50246    -0.38847      NA     NA 3.0884     3.04862    3.12924         NA         NA 0.998          NA        NA 2.18016      NA      NA  9.73579      NA      NA  9.53735        NA        NA 3.12022       NA       NA -6.00836      NA      NA -2.95194      NA      NA -0.69719       NA      NA 0.94256      NA      NA 3.16375      NA      NA 3.8945        NA       NA 1.89231      NA      NA   0.57404       0.56153       0.58628            NA            NA 0.19844         NA      NA  0.60953          NA        NA 3.30123        NA        NA 3.43272        NA        NA          0.5712                    NA                   NA 0.014025      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P250     t       K         P250    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 222.63851 222.53827 222.73875       NA       NA  5.43178    5.36182    5.50361         NA         NA 222.86527 222.76741 222.96313       NA       NA  5.30266    5.23436    5.37278         NA         NA 0.80305     0.7964      0.80951          NA          NA      NA      NA     0          0          0 -0.22676   -0.28896    -0.16455      NA     NA 3.37074    3.32733    3.41532         NA         NA 0.99898        NA        NA 2.40076      NA      NA 11.41233      NA      NA 11.36091        NA        NA 3.37821       NA       NA -5.24557      NA      NA -2.099        NA      NA  0.029161      NA      NA 1.96012      NA      NA 3.91736      NA      NA 4.05912       NA       NA 2.0157       NA      NA   0.43776       0.42272       0.45256            NA            NA 0.051419        NA      NA  0.59413          NA        NA 3.09499        NA        NA 3.27445        NA        NA          0.43854                   NA                   NA 0.015158      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P250     t       K         P250    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 232.39947 232.36609 232.43285       NA       NA  1.37093    1.34773    1.39495         NA         NA 232.57863 232.54456 232.6127        NA       NA  1.39934    1.37566    1.42386         NA         NA 0.76939     0.75927     0.77915          NA          NA      NA      NA     0          0          0 -0.17916   -0.20207    -0.15624      NA     NA 0.94106    0.92514    0.95755         NA         NA 0.99923        NA        NA 0.75463      NA      NA  0.91756      NA      NA  0.88546        NA        NA 0.95789       NA       NA -1.30851      NA      NA -0.79184      NA      NA -0.22254       NA      NA 0.39378      NA      NA 1.06725      NA      NA 1.18563       NA       NA 0.59267      NA      NA   0.58343       0.56714       0.59927            NA            NA 0.032097        NA      NA  0.53142          NA        NA 1.0208         NA        NA 1.22573        NA        NA          0.65012                   NA                   NA 0.0041186     NA     NA
