VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS     MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.2059  277.66668 278.74512       NA       NA 10.79295   10.42468   11.1884          NA         NA 277.9586  277.38678 278.53042       NA       NA 11.44542   11.05489   11.86478         NA         NA 0.9062     0.89684      0.91474          NA          NA      NA      NA     0          0          0  0.2473    0.004584  0.49001      NA     NA 4.8581     4.69233    5.03609         NA         NA 1.00089        NA        NA 3.57458      NA      NA 23.64691      NA      NA 23.58576        NA        NA 4.86281       NA       NA -5.46571      NA      NA -2.45064      NA      NA  0.23492       NA      NA 2.95487      NA      NA 6.12209      NA      NA 5.40551       NA       NA 2.70967      NA      NA  0.4303        0.38869       0.47016             NA            NA 0.061156        NA      NA  0.81949         NA        NA 4.23746        NA        NA 4.82064        NA        NA         0.42952                    NA                   NA 0.017495      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.40511 283.04465 283.76557       NA       NA  7.86743    7.62055    8.13095         NA         NA 283.37959 283.02723 283.73195       NA       NA  7.6907     7.44936    7.94831         NA         NA 0.90811    0.89972      0.91582          NA          NA      NA      NA     0          0          0  0.02552  -0.12748   0.17852      NA     NA 3.33936    3.23457    3.45121         NA         NA 1.00009        NA        NA 2.28559      NA      NA 11.14587      NA      NA 11.14522        NA        NA 3.33854       NA       NA -3.82831      NA      NA -1.29593      NA      NA  0.011493      NA      NA 1.5202       NA      NA 3.99249      NA      NA 2.81614       NA       NA 1.38191      NA      NA  0.39751       0.35822       0.43541             NA            NA 0.00065128      NA      NA  0.81156         NA        NA 3.4339         NA        NA 2.50214        NA        NA         0.40191                    NA                   NA 0.011781      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.05702 279.57142 280.54262       NA       NA  6.78515    6.45828    7.14713         NA         NA 280.19602 279.73136 280.66067       NA       NA  6.49252    6.17974    6.83889         NA         NA 0.93841    0.92925      0.94642          NA          NA      NA      NA     0          0          0 -0.139    -0.30701   0.029023     NA     NA 2.34768    2.23459    2.47293         NA         NA 0.9995         NA        NA 1.81135      NA      NA  5.52359      NA      NA  5.50427        NA        NA 2.35023       NA       NA -2.98096      NA      NA -1.75826      NA      NA -0.30197       NA      NA 1.12168      NA      NA 2.83603      NA      NA 2.87994       NA       NA 1.43827      NA      NA  0.83831       0.81567       0.85838             NA            NA 0.01932         NA      NA  0.86896         NA        NA 4.27869        NA        NA 4.06104        NA        NA         0.84242                    NA                   NA 0.0083878     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.11321 278.57727 279.64916       NA       NA 10.63282   10.2669    11.026           NA         NA 278.68328 278.21514 279.15143       NA       NA  9.28775    8.96812    9.63119         NA         NA 0.83727    0.82154      0.85173          NA          NA      NA      NA     0          0          0  0.42993   0.13624   0.72362      NA     NA 5.82662    5.6261     6.04207         NA         NA 1.00154        NA        NA 3.88628      NA      NA 34.11191      NA      NA 33.92707        NA        NA 5.84054       NA       NA -6.35751      NA      NA -1.27993      NA      NA  0.89176       NA      NA 3.18035      NA      NA 7.08316      NA      NA 4.46029       NA       NA 2.21582      NA      NA  0.32915       0.28344       0.37337             NA            NA 0.18484         NA      NA  0.60456         NA        NA 4.826          NA        NA 5.22688        NA        NA         0.32703                    NA                   NA 0.020958      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.85017 276.63366 277.06667       NA       NA 11.73198   11.58087   11.88711         NA         NA 276.72066 276.50499 276.93633       NA       NA 11.68663   11.5361    11.84116         NA         NA 0.92081    0.91796      0.92357          NA          NA      NA      NA     0          0          0  0.12951   0.043509  0.21551      NA     NA 4.66013    4.60011    4.72175         NA         NA 1.00047        NA        NA 3.30549      NA      NA 21.73165      NA      NA 21.71487        NA        NA 4.66172       NA       NA -5.11242      NA      NA -2.15302      NA      NA  0.23495       NA      NA 2.97702      NA      NA 5.66612      NA      NA 5.13004       NA       NA 2.56196      NA      NA  0.44163       0.42666       0.45637             NA            NA 0.016772        NA      NA  0.84088         NA        NA 4.22415        NA        NA 4.59457        NA        NA         0.44368                    NA                   NA 0.016846      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.02651 275.8171  276.23591       NA       NA 11.34715   11.20099   11.49719         NA         NA 276.16248 275.95174 276.37323       NA       NA 11.41986   11.27277   11.57087         NA         NA 0.92922    0.92666      0.9317           NA          NA      NA      NA     0          0          0 -0.13598  -0.21503  -0.056932     NA     NA 4.28344    4.22827    4.34009         NA         NA 0.99951        NA        NA 3.0389       NA      NA 18.36476      NA      NA 18.34627        NA        NA 4.28541       NA       NA -4.81324      NA      NA -2.13609      NA      NA  0.075056      NA      NA 2.35259      NA      NA 5.29288      NA      NA 4.48868       NA       NA 2.23624      NA      NA  0.54664       0.53357       0.55945             NA            NA 0.01849         NA      NA  0.85918         NA        NA 4.62474        NA        NA 4.74501        NA        NA         0.58189                    NA                   NA 0.015518      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 292.02885 291.96181 292.09588       NA       NA  2.75338    2.70678    2.80163         NA         NA 291.81309 291.75008 291.87609       NA       NA  2.58769    2.54389    2.63303         NA         NA 0.91171    0.90751      0.91573          NA          NA      NA      NA     0          0          0  0.21576   0.18815   0.24336      NA     NA 1.13381    1.11462    1.15368         NA         NA 1.00074        NA        NA 0.77485      NA      NA  1.33188      NA      NA  1.28533        NA        NA 1.15407       NA       NA -0.92917      NA      NA -0.34046      NA      NA  0.15215       NA      NA 0.71531      NA      NA 1.37054      NA      NA 1.05577       NA       NA 0.52528      NA      NA  0.689         0.67599       0.70158             NA            NA 0.046552        NA      NA  0.8011          NA        NA 1.7458         NA        NA 1.56934        NA        NA         0.76262                    NA                   NA 0.0039548     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.24056 262.09708 262.38405       NA       NA  5.19725    5.09774    5.30075         NA         NA 261.96769 261.79541 262.13997       NA       NA  6.24026    6.12078    6.36453         NA         NA 0.76251    0.7507       0.77383          NA          NA      NA      NA     0          0          0  0.27287   0.16075   0.38499      NA     NA 4.06111    3.98335    4.14198         NA         NA 1.00104        NA        NA 3.18171      NA      NA 16.56379      NA      NA 16.48933        NA        NA 4.06986       NA       NA -4.59254      NA      NA -2.12907      NA      NA  0.41989       NA      NA 3.5356       NA      NA 5.45174      NA      NA 5.66468       NA       NA 2.82374      NA      NA  0.67452       0.65919       0.68929             NA            NA 0.074459        NA      NA  0.57464         NA        NA 4.49107        NA        NA 5.3768         NA        NA         0.67327                    NA                   NA 0.015536      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.80166 259.59192 260.01139       NA       NA  7.59678    7.45133    7.74807         NA         NA 259.47646 259.26149 259.69143       NA       NA  7.78651    7.63742    7.94157         NA         NA 0.81188    0.80225      0.82108          NA          NA      NA      NA     0          0          0  0.32519   0.19485   0.45554      NA     NA 4.72141    4.63101    4.81544         NA         NA 1.00125        NA        NA 3.60262      NA      NA 22.39307      NA      NA 22.28732        NA        NA 4.73213       NA       NA -4.55314      NA      NA -1.88102      NA      NA  0.45093       NA      NA 3.2074       NA      NA 6.20913      NA      NA 5.08842       NA       NA 2.52976      NA      NA  0.64376       0.6273        0.65965             NA            NA 0.10575         NA      NA  0.63066         NA        NA 5.85272        NA        NA 6.40565        NA        NA         0.70543                    NA                   NA 0.018237      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 251.92846 251.43293 252.42398       NA       NA  9.91837    9.57994   10.28177         NA         NA 253.39346 252.92492 253.862         NA       NA  9.37815    9.05815    9.72176         NA         NA 0.94344    0.93767      0.94868          NA          NA      NA      NA     0          0          0 -1.465    -1.6293   -1.30071      NA     NA 3.28852    3.17631    3.40901         NA         NA 0.99422        NA        NA 2.56559      NA      NA 12.95358      NA      NA 10.80735        NA        NA 3.59911       NA       NA -6.29034      NA      NA -3.29189      NA      NA -1.23454       NA      NA 0.4463       NA      NA 1.74529      NA      NA 3.73819       NA       NA 1.84088      NA      NA  0.64332       0.61306       0.6717              NA            NA 2.14623         NA      NA  0.85272         NA        NA 4.18706        NA        NA 3.72361        NA        NA         0.59147                    NA                   NA 0.014204      NA     NA
