VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2       ME2_BCL ME2_BCU MSESS     MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.43948 279.86061 281.01835       NA       NA 11.58658   11.19123   12.0111          NA         NA 280.11352 279.53215 280.69489       NA       NA 11.63656   11.2395    12.06291         NA         NA 0.89767    0.88751      0.90696          NA          NA      NA      NA     0          0          0  0.32596   0.063509  0.58842      NA     NA 5.25319    5.07394    5.44566         NA         NA 1.00116        NA        NA 4.01935      NA      NA 27.68433      NA      NA 27.57808        NA        NA 5.26159       NA       NA -6.41054      NA      NA -2.55132      NA      NA  0.24259       NA      NA 3.38106      NA      NA 7.58446      NA      NA 5.93238       NA       NA 2.94907      NA      NA  0.33705       0.292         0.38061             NA            NA 0.10625        NA      NA  0.79555         NA        NA 4.41829        NA        NA 4.71514        NA        NA         0.33768                    NA                   NA 0.018784      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.87357 283.52656 284.22058       NA       NA  7.5738     7.33614    7.8275          NA         NA 283.41677 283.04169 283.79184       NA       NA  8.18646    7.92957    8.46067         NA         NA 0.90791    0.89951      0.91564          NA          NA      NA      NA     0          0          0  0.4568    0.29946   0.61415      NA     NA 3.4343     3.32653    3.54933         NA         NA 1.00161        NA        NA 2.43855      NA      NA 11.99663      NA      NA 11.78796        NA        NA 3.46361       NA       NA -3.43047      NA      NA -1.04576      NA      NA  0.22848       NA      NA 2.60349      NA      NA 4.76103      NA      NA 3.64925       NA       NA 1.67108      NA      NA  0.4002        0.361         0.43799             NA            NA 0.20867        NA      NA  0.82099         NA        NA 3.4309         NA        NA 2.81732        NA        NA         0.39891                    NA                   NA 0.012221      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.06784 279.55915 280.57652       NA       NA  7.10775    6.76534    7.48694         NA         NA 280.27304 279.77129 280.7748        NA       NA  7.01096    6.67321    7.38499         NA         NA 0.92824    0.91763      0.93753          NA          NA      NA      NA     0          0          0 -0.20521  -0.39673  -0.013685     NA     NA 2.67607    2.54716    2.81884         NA         NA 0.99927        NA        NA 2.03746      NA      NA  7.19393      NA      NA  7.15183        NA        NA 2.68215       NA       NA -3.54431      NA      NA -1.98331      NA      NA -0.5363        NA      NA 1.1661       NA      NA 3.05718      NA      NA 3.14941       NA       NA 1.57462      NA      NA  0.74233       0.70839       0.77285             NA            NA 0.042109       NA      NA  0.85364         NA        NA 3.83444        NA        NA 3.76739        NA        NA         0.75116                    NA                   NA 0.0095698     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.26889 276.74672 277.79105       NA       NA 10.35949   10.00297   10.74255         NA         NA 277.16809 276.70554 277.63063       NA       NA  9.17662    8.86081    9.51594         NA         NA 0.78651    0.76649      0.805            NA          NA      NA      NA     0          0          0  0.1008   -0.22582   0.42742      NA     NA 6.48       6.257      6.71962         NA         NA 1.00036        NA        NA 4.4071       NA      NA 41.97283      NA      NA 41.96267        NA        NA 6.47864       NA       NA -9.41722      NA      NA -2.32967      NA      NA  0.39909       NA      NA 3.11616      NA      NA 7.82744      NA      NA 5.44583       NA       NA 2.72348      NA      NA  0.30603       0.25962       0.35102             NA            NA 0.010161       NA      NA  0.50157         NA        NA 4.82905        NA        NA 6.07789        NA        NA         0.31154                    NA                   NA 0.023374      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.02145 276.8017  277.2412        NA       NA 11.908     11.75462   12.06546         NA         NA 276.95548 276.73708 277.17388       NA       NA 11.83469   11.68225   11.99118         NA         NA 0.91231    0.90917      0.91536          NA          NA      NA      NA     0          0          0  0.065971 -0.025782  0.15772      NA     NA 4.97196    4.90792    5.0377          NA         NA 1.00024        NA        NA 3.63246      NA      NA 24.72252      NA      NA 24.71817        NA        NA 4.97217       NA       NA -5.80421      NA      NA -2.53557      NA      NA  0.23284       NA      NA 3.17851      NA      NA 6.21009      NA      NA 5.71408       NA       NA 2.85229      NA      NA  0.38271       0.36685       0.39835             NA            NA 0.0043522      NA      NA  0.82349         NA        NA 4.23218        NA        NA 4.70294        NA        NA         0.38451                    NA                   NA 0.017953      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.97523 275.76451 276.18595       NA       NA 11.41881   11.27173   11.5698          NA         NA 276.15789 275.94486 276.37093       NA       NA 11.54382   11.39513   11.69646         NA         NA 0.92739    0.92476      0.92993          NA          NA      NA      NA     0          0          0 -0.18266  -0.26344  -0.10189      NA     NA 4.377      4.32062    4.43487         NA         NA 0.99934        NA        NA 3.12139      NA      NA 19.18975      NA      NA 19.15639        NA        NA 4.38061       NA       NA -4.95235      NA      NA -2.20406      NA      NA  0.15719       NA      NA 2.52414      NA      NA 5.54267      NA      NA 4.72819       NA       NA 2.36412      NA      NA  0.51539       0.50171       0.52881             NA            NA 0.033366       NA      NA  0.856           NA        NA 4.48029        NA        NA 4.75656        NA        NA         0.55155                    NA                   NA 0.015863      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 292.03757 291.96368 292.11147       NA       NA  3.03503    2.98367    3.08821         NA         NA 291.8423  291.77264 291.91197       NA       NA  2.86116    2.81274    2.91129         NA         NA 0.92366    0.92         0.92715          NA          NA      NA      NA     0          0          0  0.19527   0.16692   0.22362      NA     NA 1.16453    1.14482    1.18493         NA         NA 1.00067        NA        NA 0.78508      NA      NA  1.39405      NA      NA  1.35592        NA        NA 1.1807        NA       NA -0.95584      NA      NA -0.39259      NA      NA  0.10675       NA      NA 0.68257      NA      NA 1.38184      NA      NA 1.07515       NA       NA 0.53673      NA      NA  0.67677       0.66336       0.68976             NA            NA 0.038131       NA      NA  0.82971         NA        NA 1.76054        NA        NA 1.60542        NA        NA         0.75764                    NA                   NA 0.0040457     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.55906 262.41467 262.70346       NA       NA  5.23035    5.1302     5.33451         NA         NA 262.34874 262.17196 262.52551       NA       NA  6.40313    6.28054    6.53065         NA         NA 0.7195     0.70591      0.73256          NA          NA      NA      NA     0          0          0  0.21033   0.086359  0.3343       NA     NA 4.49039    4.40442    4.57982         NA         NA 1.0008         NA        NA 3.51893      NA      NA 20.20387      NA      NA 20.15964        NA        NA 4.49487       NA       NA -5.16392      NA      NA -2.56076      NA      NA  0.51514       NA      NA 3.5485       NA      NA 5.79924      NA      NA 6.10925       NA       NA 3.0605       NA      NA  0.58603       0.56761       0.60387             NA            NA 0.044238       NA      NA  0.50722         NA        NA 4.35211        NA        NA 5.34876        NA        NA         0.58737                    NA                   NA 0.017133      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.48562 259.27947 259.69177       NA       NA  7.46717    7.3242     7.61588         NA         NA 259.33661 259.12009 259.55314       NA       NA  7.84275    7.69259    7.99893         NA         NA 0.80596    0.79606      0.81542          NA          NA      NA      NA     0          0          0  0.149     0.016981  0.28103      NA     NA 4.78209    4.69053    4.87732         NA         NA 1.00057        NA        NA 3.6646       NA      NA 22.88605      NA      NA 22.86384        NA        NA 4.78394       NA       NA -4.70899      NA      NA -1.94069      NA      NA  0.70037       NA      NA 3.28154      NA      NA 6.54566      NA      NA 5.22223       NA       NA 2.62224      NA      NA  0.60762       0.58991       0.62475             NA            NA 0.022202       NA      NA  0.62792         NA        NA 5.54944        NA        NA 6.1761         NA        NA         0.67186                    NA                   NA 0.018447      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.61469 252.10875 253.12064       NA       NA 10.12684    9.78129   10.49788         NA         NA 254.37203 253.90235 254.84171       NA       NA  9.40098    9.08021    9.74543         NA         NA 0.93564    0.92911      0.94159          NA          NA      NA      NA     0          0          0 -1.75733  -1.93595  -1.57871      NA     NA 3.57515    3.45316    3.70614         NA         NA 0.99309        NA        NA 2.86746      NA      NA 15.86157      NA      NA 12.77336        NA        NA 3.98266       NA       NA -7.23456      NA      NA -3.79569      NA      NA -1.42132       NA      NA 0.28702      NA      NA 2.27968      NA      NA 4.08271       NA       NA 1.96438      NA      NA  0.57574       0.54135       0.60821             NA            NA 3.08821        NA      NA  0.82053         NA        NA 4.25151        NA        NA 3.62476        NA        NA         0.49812                    NA                   NA 0.015657      NA     NA
