VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75       E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS    MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.18324 277.61925 278.74723       NA       NA 11.28866   10.90347   11.70226         NA         NA 278.23214 277.66618 278.79811       NA       NA 11.32823   10.94169   11.74329         NA         NA 0.97368     0.97095     0.97615          NA          NA      NA      NA     0          0          0 -0.048903 -0.17855    0.080745     NA     NA 2.59499    2.50645    2.69007         NA         NA 0.99982        NA        NA 1.93596      NA      NA  6.73201      NA      NA  6.72962        NA        NA 2.59461       NA       NA -3.04942      NA      NA -1.54885      NA      NA -0.097887      NA      NA 1.63108        NA      NA 3.24362      NA      NA 3.17994       NA       NA 1.56955      NA      NA   0.86403       0.85079       0.87617            NA            NA 0.0023915       NA      NA 0.94754         NA        NA 4.9403         NA        NA 5.07561        NA        NA          0.86613                   NA                   NA 0.0093253     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.33391 282.95959 283.70823       NA       NA  8.16987    7.91351    8.44353         NA         NA 283.20186 282.84246 283.56125       NA       NA  7.84413    7.59799    8.10688         NA         NA 0.95149     0.94695     0.95564          NA          NA      NA      NA     0          0          0  0.13206   0.016838   0.24727      NA     NA 2.51474    2.43583    2.59897         NA         NA 1.00047        NA        NA 1.64699      NA      NA  6.3379       NA      NA  6.32046        NA        NA 2.51752       NA       NA -2.59489      NA      NA -1.28394      NA      NA -0.054141      NA      NA 0.89146        NA      NA 2.7406       NA      NA 2.1754        NA       NA 1.10344      NA      NA   0.66876       0.64263       0.69334            NA            NA 0.017439        NA      NA 0.897           NA        NA 3.33192        NA        NA 2.66138        NA        NA          0.66799                   NA                   NA 0.0088895     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.70627 279.21733 280.19521       NA       NA  6.83186    6.50274    7.19634         NA         NA 280.27956 279.89123 280.66789       NA       NA  5.42607    5.16467    5.71555         NA         NA 0.91166     0.89873     0.92301          NA          NA      NA      NA     0          0          0 -0.57329  -0.78226   -0.36432      NA     NA 2.9199     2.77923    3.07567         NA         NA 0.99795        NA        NA 2.03832      NA      NA  8.84309      NA      NA  8.51443        NA        NA 2.97373       NA       NA -3.62949      NA      NA -2.28271      NA      NA -1.11768       NA      NA 0.0051077      NA      NA 1.36068      NA      NA 2.28782       NA       NA 1.14712      NA      NA   0.7472        0.7138        0.77722            NA            NA 0.32866         NA      NA 0.69965         NA        NA 3.84634        NA        NA 4.44166        NA        NA          0.75156                   NA                   NA 0.01061       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.37467 278.84813 279.9012        NA       NA 10.44607   10.08657   10.83233         NA         NA 279.8277  279.31093 280.34447       NA       NA 10.25237    9.89954   10.63147         NA         NA 0.97313     0.97032     0.97568          NA          NA      NA      NA     0          0          0 -0.45303  -0.57435   -0.33171      NA     NA 2.40692    2.32409    2.49593         NA         NA 0.99838        NA        NA 1.7556       NA      NA  5.99469      NA      NA  5.78945        NA        NA 2.44841       NA       NA -3.15647      NA      NA -1.88081      NA      NA -0.50728       NA      NA 0.7776         NA      NA 2.02726      NA      NA 2.65841       NA       NA 1.32898      NA      NA   0.92058       0.91251       0.92793            NA            NA 0.20524         NA      NA 0.94297         NA        NA 6.03961        NA        NA 6.2235         NA        NA          0.92071                   NA                   NA 0.0087497     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.65539 276.43979 276.87099       NA       NA 11.68301   11.53253   11.83749         NA         NA 276.7883  276.57083 277.00577       NA       NA 11.78436   11.63258   11.94019         NA         NA 0.97372     0.97275     0.97466          NA          NA      NA      NA     0          0          0 -0.13291  -0.18258   -0.083231     NA     NA 2.69177    2.65709    2.72736         NA         NA 0.99952        NA        NA 1.92625      NA      NA  7.26262      NA      NA  7.24496        NA        NA 2.69493       NA       NA -3.05689      NA      NA -1.51327      NA      NA -0.043328      NA      NA 1.74262        NA      NA 3.67431      NA      NA 3.2559        NA       NA 1.60611      NA      NA   0.8296        0.82375       0.83526            NA            NA 0.017664        NA      NA 0.9477          NA        NA 4.49655        NA        NA 4.74589        NA        NA          0.83129                   NA                   NA 0.0097364     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.08459 275.87113 276.29806       NA       NA 11.56716   11.41818   11.72012         NA         NA 276.02308 275.80998 276.23618       NA       NA 11.54766   11.39893   11.70036         NA         NA 0.96619     0.96494     0.9674           NA          NA      NA      NA     0          0          0  0.061513  0.0060511  0.11697      NA     NA 3.00539    2.96668    3.04513         NA         NA 1.00022        NA        NA 2.01258      NA      NA  9.03535      NA      NA  9.03157        NA        NA 3.00589       NA       NA -3.43324      NA      NA -1.58091      NA      NA  0.061167      NA      NA 1.63084        NA      NA 3.70052      NA      NA 3.21175       NA       NA 1.60711      NA      NA   0.75924       0.75131       0.76694            NA            NA 0.0037838       NA      NA 0.93224         NA        NA 4.44746        NA        NA 4.51397        NA        NA          0.77508                   NA                   NA 0.01089       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 292.01311 291.94916 292.07706       NA       NA  2.62642    2.58197    2.67244         NA         NA 291.84201 291.78167 291.90236       NA       NA  2.47853    2.43658    2.52196         NA         NA 0.93994     0.93703     0.94271          NA          NA      NA      NA     0          0          0  0.1711    0.14927    0.19293      NA     NA 0.89657    0.88139    0.91228         NA         NA 1.00059        NA        NA 0.60147      NA      NA  0.83298      NA      NA  0.80371        NA        NA 0.91268       NA       NA -0.68996      NA      NA -0.29317      NA      NA  0.095217      NA      NA 0.53308        NA      NA 1.1599       NA      NA 0.82625       NA       NA 0.40399      NA      NA   0.74875       0.73785       0.75926            NA            NA 0.029274        NA      NA 0.8644          NA        NA 1.57864        NA        NA 1.45946        NA        NA          0.82231                   NA                   NA 0.0031273     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.63765 261.48433 261.79098       NA       NA  5.55371    5.44737    5.66431         NA         NA 261.61084 261.4296  261.79208       NA       NA  6.56486    6.43916    6.6956          NA         NA 0.89642     0.89086     0.90172          NA          NA      NA      NA     0          0          0  0.026812 -0.054033   0.10766      NA     NA 2.92832    2.87225    2.98663         NA         NA 1.0001         NA        NA 2.30887      NA      NA  8.57407      NA      NA  8.57335        NA        NA 2.92815       NA       NA -3.33793      NA      NA -1.36702      NA      NA  0.45674       NA      NA 2.69923        NA      NA 4.21633      NA      NA 4.06625       NA       NA 2.0384       NA      NA   0.82638       0.81742       0.83494            NA            NA 0.00071888      NA      NA 0.80105         NA        NA 4.58648        NA        NA 5.16964        NA        NA          0.82636                   NA                   NA 0.011193      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.68316 259.47583 259.89049       NA       NA  7.50996    7.36616    7.65951         NA         NA 259.60105 259.36942 259.83268       NA       NA  8.39002    8.22938    8.55711         NA         NA 0.85192     0.84417     0.85932          NA          NA      NA      NA     0          0          0  0.082107 -0.039601   0.20382      NA     NA 4.40848    4.32407    4.49627         NA         NA 1.00032        NA        NA 3.08429      NA      NA 19.43757      NA      NA 19.43083        NA        NA 4.40881       NA       NA -4.44394      NA      NA -2.13266      NA      NA  0.13817       NA      NA 2.46278        NA      NA 4.53459      NA      NA 4.59544       NA       NA 2.29437      NA      NA   0.65173       0.63555       0.66733            NA            NA 0.0067416       NA      NA 0.72387         NA        NA 5.78672        NA        NA 5.89657        NA        NA          0.71535                   NA                   NA 0.016983      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.72142 252.22937 253.21347       NA       NA  9.84865    9.5126    10.2095          NA         NA 252.69236 252.20959 253.17514       NA       NA  9.6631     9.33338   10.01715         NA         NA 0.96602     0.96251     0.96921          NA          NA      NA      NA     0          0          0  0.029058 -0.098334   0.15645      NA     NA 2.54985    2.46284    2.64327         NA         NA 1.00011        NA        NA 1.93174      NA      NA  6.49834      NA      NA  6.4975         NA        NA 2.54918       NA       NA -3.1835       NA      NA -1.58391      NA      NA -0.002174      NA      NA 1.60547        NA      NA 3.35077      NA      NA 3.18938       NA       NA 1.60342      NA      NA   0.7498        0.72707       0.77089            NA            NA 0.00084438      NA      NA 0.93041         NA        NA 3.76456        NA        NA 3.36408        NA        NA          0.74977                   NA                   NA 0.010088      NA     NA
