VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2       ME2_BCL ME2_BCU MSESS    MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.50692 279.89593 281.1179        NA       NA 12.22938   11.8121    12.67746         NA         NA 280.61089 279.99975 281.22204       NA       NA 12.23247   11.81507   12.68065         NA         NA 0.96595     0.96243     0.96914          NA          NA      NA      NA     0          0          0 -0.10398  -0.26345   0.05549      NA     NA 3.19186    3.08295    3.30881         NA         NA 0.99963        NA        NA 2.35304      NA      NA 10.19218      NA      NA 10.18137        NA        NA 3.19252       NA       NA -3.86547      NA      NA -1.83133      NA      NA -0.18738        NA      NA  1.78487      NA      NA 3.82369      NA      NA 3.6162        NA       NA 1.84748      NA      NA   0.81911       0.80197       0.83491            NA            NA 0.010811       NA      NA  0.93189        NA        NA 5.23433        NA        NA 5.51347        NA        NA          0.82477                   NA                   NA 0.011377      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.84081 283.4731  284.20853       NA       NA  8.02573    7.77389    8.29456         NA         NA 283.71115 283.35612 284.06618       NA       NA  7.74903    7.50587    8.00859         NA         NA 0.95155     0.94702     0.95571          NA          NA      NA      NA     0          0          0  0.12966   0.016483  0.24284      NA     NA 2.47031    2.39279    2.55306         NA         NA 1.00046        NA        NA 1.64069      NA      NA  6.11591      NA      NA  6.09909        NA        NA 2.47304       NA       NA -2.69853      NA      NA -1.13703      NA      NA -0.046529       NA      NA  0.99034      NA      NA 2.85099      NA      NA 2.12737       NA       NA 1.06416      NA      NA   0.68704       0.66206       0.71049            NA            NA 0.016813       NA      NA  0.89815        NA        NA 3.32825        NA        NA 2.85151        NA        NA          0.68976                   NA                   NA 0.0087167     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.66104 279.17142 280.15065       NA       NA  6.84123    6.51166    7.2062          NA         NA 280.6074  280.21472 281.00008       NA       NA  5.4868     5.22248    5.77951         NA         NA 0.91747     0.90535     0.9281           NA          NA      NA      NA     0          0          0 -0.94637  -1.14917  -0.74356      NA     NA 2.83374    2.69723    2.98492         NA         NA 0.99663        NA        NA 2.22626      NA      NA  8.91499      NA      NA  8.01938        NA        NA 2.9858        NA       NA -4.29359      NA      NA -2.70723      NA      NA -1.39175        NA      NA -0.16659      NA      NA 1.32799      NA      NA 2.54064       NA       NA 1.2655       NA      NA   0.71871       0.68222       0.75163            NA            NA 0.89561        NA      NA  0.70387        NA        NA 3.52977        NA        NA 4.21868        NA        NA          0.71659                   NA                   NA 0.01064       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.03371 277.54209 278.52532       NA       NA  9.75339    9.41773   10.11404         NA         NA 278.36235 277.88101 278.84369       NA       NA  9.54945    9.22081    9.90257         NA         NA 0.9403      0.93417     0.94588          NA          NA      NA      NA     0          0          0 -0.32864  -0.49705  -0.16024      NA     NA 3.34101    3.22603    3.46455         NA         NA 0.99882        NA        NA 2.34238      NA      NA 11.26296      NA      NA 11.15495        NA        NA 3.35603       NA       NA -4.34199      NA      NA -2.01058      NA      NA -0.16864        NA      NA  1.33574      NA      NA 3.52585      NA      NA 3.34632       NA       NA 1.67137      NA      NA   0.83588       0.82002       0.85045            NA            NA 0.10801        NA      NA  0.87649        NA        NA 5.95769        NA        NA 5.77642        NA        NA          0.83684                   NA                   NA 0.012056      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.88837 276.6679  277.10884       NA       NA 11.94692   11.79304   12.1049          NA         NA 277.08597 276.86532 277.30662       NA       NA 11.95668   11.80267   12.11478         NA         NA 0.96419     0.96286     0.96546          NA          NA      NA      NA     0          0          0 -0.1976   -0.25663  -0.13857      NA     NA 3.19876    3.15756    3.24106         NA         NA 0.99929        NA        NA 2.3028       NA      NA 10.27023      NA      NA 10.23119        NA        NA 3.20472       NA       NA -3.54368      NA      NA -1.78935      NA      NA -0.039286       NA      NA  1.99221      NA      NA 3.94399      NA      NA 3.78156       NA       NA 1.88227      NA      NA   0.76307       0.75525       0.77067            NA            NA 0.039044       NA      NA  0.92816        NA        NA 4.59978        NA        NA 4.74604        NA        NA          0.76527                   NA                   NA 0.011566      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.20414 275.99204 276.41623       NA       NA 11.49317   11.34513   11.64514         NA         NA 276.1033  275.8899  276.31669       NA       NA 11.56355   11.41461   11.71646         NA         NA 0.96304     0.96168     0.96436          NA          NA      NA      NA     0          0          0  0.10084   0.042981  0.15869      NA     NA 3.13508    3.0947     3.17653         NA         NA 1.00037        NA        NA 2.12133      NA      NA  9.838        NA      NA  9.82783        NA        NA 3.13656       NA       NA -3.78109      NA      NA -1.66395      NA      NA  0.0020518      NA      NA  1.70513      NA      NA 4.26323      NA      NA 3.36907       NA       NA 1.68159      NA      NA   0.74342       0.73505       0.75157            NA            NA 0.010168       NA      NA  0.92643        NA        NA 4.53022        NA        NA 4.56481        NA        NA          0.76216                   NA                   NA 0.01136       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 292.00515 291.9333  292.07699       NA       NA  2.95086    2.90092    3.00256         NA         NA 291.84478 291.77793 291.91163       NA       NA  2.74549    2.69902    2.79359         NA         NA 0.93671     0.93365     0.93963          NA          NA      NA      NA     0          0          0  0.16036   0.13521   0.18552      NA     NA 1.03329    1.0158     1.0514          NA         NA 1.00055        NA        NA 0.67175      NA      NA  1.09325      NA      NA  1.06753        NA        NA 1.04558       NA       NA -0.78334      NA      NA -0.31925      NA      NA  0.10507        NA      NA  0.56489      NA      NA 1.18328      NA      NA 0.88414       NA       NA 0.44015      NA      NA   0.695         0.68219       0.70738            NA            NA 0.025717       NA      NA  0.85496        NA        NA 1.64154        NA        NA 1.50084        NA        NA          0.78215                   NA                   NA 0.0035827     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.61352 261.46874 261.75829       NA       NA  5.24413    5.14373    5.34857         NA         NA 261.82506 261.64828 262.00185       NA       NA  6.40335    6.28074    6.53087         NA         NA 0.87534     0.86873     0.88165          NA          NA      NA      NA     0          0          0 -0.21155  -0.2976   -0.1255       NA     NA 3.117      3.05732    3.17907         NA         NA 0.99919        NA        NA 2.49579      NA      NA  9.75848      NA      NA  9.71373        NA        NA 3.12386       NA       NA -3.46248      NA      NA -1.76967      NA      NA  0.43875        NA      NA  2.60387      NA      NA 4.15755      NA      NA 4.37355       NA       NA 2.18637      NA      NA   0.80597       0.79608       0.81544            NA            NA 0.044753       NA      NA  0.762          NA        NA 4.65487        NA        NA 5.20963        NA        NA          0.80514                   NA                   NA 0.011931      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.89955 259.69258 260.10653       NA       NA  7.49698    7.35344    7.64628         NA         NA 259.66314 259.4326  259.89368       NA       NA  8.35046    8.19058    8.51676         NA         NA 0.81276     0.80318     0.82193          NA          NA      NA      NA     0          0          0  0.23641   0.10068   0.37215      NA     NA 4.9165     4.82236    5.01441         NA         NA 1.00091        NA        NA 3.55561      NA      NA 24.22304      NA      NA 24.16715        NA        NA 4.92169       NA       NA -5.21475      NA      NA -2.25168      NA      NA -0.023046       NA      NA  2.80899      NA      NA 5.83292      NA      NA 5.06068       NA       NA 2.50032      NA      NA   0.61378       0.59628       0.6307             NA            NA 0.055892       NA      NA  0.65262        NA        NA 6.20241        NA        NA 6.17476        NA        NA          0.68377                   NA                   NA 0.018954      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.18074 252.68128 253.6802        NA       NA  9.9971     9.65598   10.36338         NA         NA 253.22026 252.7222  253.71831       NA       NA  9.96891    9.62876   10.33416         NA         NA 0.96633     0.96285     0.96949          NA          NA      NA      NA     0          0          0 -0.039517 -0.16895   0.089918     NA     NA 2.59072    2.50232    2.68565         NA         NA 0.99984        NA        NA 1.86371      NA      NA  6.70905      NA      NA  6.70749        NA        NA 2.59018       NA       NA -2.70118      NA      NA -1.31755      NA      NA -0.12446        NA      NA  1.61276      NA      NA 3.15178      NA      NA 2.93031       NA       NA 1.44452      NA      NA   0.73769       0.71404       0.75966            NA            NA 0.0015616      NA      NA  0.93249        NA        NA 3.70314        NA        NA 3.41338        NA        NA          0.73794                   NA                   NA 0.010229      NA     NA
