VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL      ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2       ME2_BCL ME2_BCU MSESS     MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.32751 277.7658  278.88922       NA       NA 11.24303   10.8594    11.65497         NA         NA 278.45764 277.89164 279.02365       NA       NA 11.32904   10.94247   11.74413         NA         NA 0.94547     0.9399      0.95053          NA          NA      NA      NA     0          0          0 -0.13013  -0.3164      0.056131     NA     NA 3.72821    3.601      3.86481         NA         NA 0.99953        NA        NA 2.67874      NA      NA 13.90746      NA      NA 13.89053        NA        NA 3.72927       NA       NA -4.33588      NA      NA -2.32115      NA      NA -0.27859        NA      NA 1.65516       NA      NA 4.22839      NA      NA 3.97631       NA       NA 1.98431      NA      NA   0.72126       0.69639       0.7444             NA            NA 0.016935       NA      NA  0.89164         NA        NA 4.93562        NA        NA 5.11584        NA        NA          0.72525                   NA                   NA 0.013393      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.48624 283.13123 283.84126       NA       NA  7.74864    7.50549    8.00819         NA         NA 283.56854 283.23101 283.90607       NA       NA  7.36705    7.13588    7.61382         NA         NA 0.95052     0.9459      0.95476          NA          NA      NA      NA     0          0          0 -0.082296 -0.19259     0.027994     NA     NA 2.40722    2.33168    2.48785         NA         NA 0.99971        NA        NA 1.59442      NA      NA  5.79831      NA      NA  5.79154        NA        NA 2.40797       NA       NA -2.75083      NA      NA -1.14859      NA      NA -0.17052        NA      NA 0.86145       NA      NA 2.30811      NA      NA 2.01003       NA       NA 0.99992      NA      NA   0.62174       0.59281       0.64907            NA            NA 0.0067727      NA      NA  0.89316         NA        NA 2.84689        NA        NA 2.72036        NA        NA          0.62669                   NA                   NA 0.0084917     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.57868 279.07893 280.07842       NA       NA  6.9828     6.64641    7.35533         NA         NA 280.59778 280.20059 280.99497       NA       NA  5.54979    5.28244    5.84587         NA         NA 0.91669     0.90446     0.92742          NA          NA      NA      NA     0          0          0 -1.0191   -1.22788    -0.81032      NA     NA 2.91727    2.77673    3.0729          NA         NA 0.99637        NA        NA 2.29343      NA      NA  9.53766      NA      NA  8.49909        NA        NA 3.08831       NA       NA -4.76378      NA      NA -2.96948      NA      NA -1.43879        NA      NA 0.035399      NA      NA 1.82418      NA      NA 3.00488       NA       NA 1.50966      NA      NA   0.74231       0.70837       0.77283            NA            NA 1.03857        NA      NA  0.69034         NA        NA 3.8501         NA        NA 4.42341        NA        NA          0.72963                   NA                   NA 0.011006      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.3589  278.86437 279.85343       NA       NA  9.81113    9.47348   10.17392         NA         NA 279.16144 278.66049 279.66238       NA       NA  9.93839    9.59636   10.30588         NA         NA 0.90776     0.89846     0.91624          NA          NA      NA      NA     0          0          0  0.19746  -0.016411    0.41134      NA     NA 4.24314    4.09711    4.40004         NA         NA 1.00071        NA        NA 2.83913      NA      NA 18.03131      NA      NA 17.99232        NA        NA 4.24633       NA       NA -4.13396      NA      NA -1.81514      NA      NA  0.060194       NA      NA 2.09624       NA      NA 5.40723      NA      NA 3.91138       NA       NA 1.9455       NA      NA   0.7068        0.68064       0.73116            NA            NA 0.038992       NA      NA  0.81744         NA        NA 5.53663        NA        NA 5.60841        NA        NA          0.70974                   NA                   NA 0.015211      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.71117 276.4948  276.92753       NA       NA 11.72444   11.57343   11.87948         NA         NA 276.84628 276.62887 277.06369       NA       NA 11.7811    11.62936   11.93689         NA         NA 0.94883     0.94696     0.95064          NA          NA      NA      NA     0          0          0 -0.13511  -0.2045     -0.065721     NA     NA 3.76016    3.71173    3.80988         NA         NA 0.99951        NA        NA 2.65226      NA      NA 14.15579      NA      NA 14.13754        NA        NA 3.76242       NA       NA -4.07839      NA      NA -1.86143      NA      NA  0.099132       NA      NA 2.5682        NA      NA 4.4715       NA      NA 4.42963       NA       NA 2.18988      NA      NA   0.67064       0.66036       0.68067            NA            NA 0.018255       NA      NA  0.89801         NA        NA 4.5472         NA        NA 4.74694        NA        NA          0.67302                   NA                   NA 0.01359       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.21007 276.00128 276.41887       NA       NA 11.31449   11.16876   11.46411         NA         NA 276.15354 275.94269 276.36439       NA       NA 11.42556   11.27839   11.57664         NA         NA 0.96245     0.96107     0.96379          NA          NA      NA      NA     0          0          0  0.056538 -0.00099916  0.11407      NA     NA 3.11784    3.07768    3.15907         NA         NA 1.0002         NA        NA 2.17916      NA      NA  9.72326      NA      NA  9.72006        NA        NA 3.11821       NA       NA -3.92959      NA      NA -1.79525      NA      NA  0.0057287      NA      NA 1.92302       NA      NA 4.40572      NA      NA 3.71827       NA       NA 1.86486      NA      NA   0.75276       0.74465       0.76064            NA            NA 0.0031965      NA      NA  0.92552         NA        NA 4.58943        NA        NA 4.67042        NA        NA          0.77334                   NA                   NA 0.011292      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.98625 291.9197  292.05279       NA       NA  2.73318    2.68692    2.78107         NA         NA 291.82168 291.7602  291.88316       NA       NA  2.52509    2.48236    2.56933         NA         NA 0.92938     0.92599     0.93263          NA          NA      NA      NA     0          0          0  0.16456   0.14        0.18913      NA     NA 1.00898    0.99191    1.02666         NA         NA 1.00056        NA        NA 0.66333      NA      NA  1.04497      NA      NA  1.01789        NA        NA 1.02224       NA       NA -0.76078      NA      NA -0.32969      NA      NA  0.10096        NA      NA 0.56144       NA      NA 1.12013      NA      NA 0.89113       NA       NA 0.44339      NA      NA   0.73264       0.72115       0.74372            NA            NA 0.027082       NA      NA  0.83611         NA        NA 1.67375        NA        NA 1.52502        NA        NA          0.79964                   NA                   NA 0.003503      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.54748 261.40392 261.69103       NA       NA  5.1999     5.10034    5.30346         NA         NA 261.68389 261.51    261.85777       NA       NA  6.29837    6.17778    6.4238          NA         NA 0.85572     0.84815     0.86295          NA          NA      NA      NA     0          0          0 -0.13641  -0.22654    -0.046284     NA     NA 3.2645     3.202      3.32951         NA         NA 0.99948        NA        NA 2.65523      NA      NA 10.67347      NA      NA 10.65486        NA        NA 3.26703       NA       NA -3.88446      NA      NA -1.62945      NA      NA  1.04539        NA      NA 3.25339       NA      NA 4.45788      NA      NA 4.88284       NA       NA 2.3352       NA      NA   0.80183       0.79175       0.81147            NA            NA 0.018608       NA      NA  0.73094         NA        NA 4.92708        NA        NA 5.3638         NA        NA          0.80167                   NA                   NA 0.012485      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 260.0758  259.8735  260.27811       NA       NA  7.32782    7.18752    7.47375         NA         NA 259.78236 259.56173 260.00298       NA       NA  7.99134    7.83833    8.15048         NA         NA 0.80654     0.79667     0.81598          NA          NA      NA      NA     0          0          0  0.29345   0.16076     0.42613      NA     NA 4.80604    4.71402    4.90175         NA         NA 1.00113        NA        NA 3.61369      NA      NA 23.17956      NA      NA 23.09345        NA        NA 4.81452       NA       NA -5.40138      NA      NA -2.47886      NA      NA  0.087108       NA      NA 3.18296       NA      NA 6.50314      NA      NA 5.66182       NA       NA 2.82597      NA      NA   0.66925       0.65372       0.68422            NA            NA 0.086113       NA      NA  0.63703         NA        NA 6.72743        NA        NA 6.38167        NA        NA          0.73144                   NA                   NA 0.018533      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.72593 252.23591 253.21594       NA       NA  9.80804    9.47337   10.1674          NA         NA 252.92579 252.44889 253.40269       NA       NA  9.54551    9.2198     9.89525         NA         NA 0.95769     0.95335     0.96164          NA          NA      NA      NA     0          0          0 -0.19987  -0.34109    -0.058642     NA     NA 2.82675    2.7303     2.93032         NA         NA 0.99921        NA        NA 1.95642      NA      NA  8.02526      NA      NA  7.98532        NA        NA 2.83289       NA       NA -3.27503      NA      NA -1.48609      NA      NA -0.10206        NA      NA 1.33913       NA      NA 3.09889      NA      NA 2.82522       NA       NA 1.41191      NA      NA   0.70793       0.68209       0.732              NA            NA 0.039947       NA      NA  0.91192         NA        NA 3.75305        NA        NA 3.63956        NA        NA          0.70671                   NA                   NA 0.0112        NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P500     t       K         P500    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 260.16639 259.78237 260.5504        NA       NA  8.38155    8.11854    8.6623          NA         NA 260.36108 260.00483 260.71734       NA       NA  7.77562    7.53163    8.03608         NA         NA 0.98429     0.9828      0.98566          NA          NA      NA      NA     0          0          0 -0.1947   -0.26589    -0.1235       NA     NA 1.55389    1.50513    1.60594         NA         NA 0.99925        NA        NA 1.12453      NA      NA  2.45117      NA      NA  2.41326        NA        NA 1.56562       NA       NA -2.29397      NA      NA -1.06275      NA      NA -0.045884       NA      NA 0.72631       NA      NA 1.35783      NA      NA 1.78906       NA       NA 0.86216      NA      NA   0.87776       0.8668        0.88787            NA            NA 0.037907       NA      NA  0.95946         NA        NA 3.30515        NA        NA 2.89465        NA        NA          0.8807                    NA                   NA 0.0060133     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P500     t       K         P500    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 254.0292  253.73402 254.32438       NA       NA  4.12446    3.92577    4.3445          NA         NA 254.07742 253.77593 254.37892       NA       NA  4.21272    4.00978    4.43747         NA         NA 0.85952     0.83959     0.87713          NA          NA      NA      NA     0          0          0 -0.048221 -0.20647     0.11003      NA     NA 2.21125    2.10473    2.32922         NA         NA 0.99981        NA        NA 1.69912      NA      NA  4.88544      NA      NA  4.88312        NA        NA 2.2103        NA       NA -2.58143      NA      NA -1.53049      NA      NA -0.041102       NA      NA 1.40495       NA      NA 2.67258      NA      NA 2.93544       NA       NA 1.46787      NA      NA   0.65451       0.61157       0.6936             NA            NA 0.0023252      NA      NA  0.72472         NA        NA 3.01729        NA        NA 2.82228        NA        NA          0.71538                   NA                   NA 0.0086993     NA     NA
