VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME          ME_NCL    ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS     MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1800000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.29988 279.70706 280.89271       NA       NA 11.86586   11.46098   12.30062         NA         NA 280.19333 279.58713 280.79954       NA       NA 12.13362   11.7196    12.57819         NA         NA 0.95266     0.94781     0.95707          NA          NA      NA      NA     0          0          0  0.10655    -0.078395  0.2915        NA     NA 3.70185    3.57553    3.83748         NA         NA 1.00038        NA        NA 2.78047      NA      NA 13.70613      NA      NA 13.69478        NA        NA 3.70218       NA       NA -4.15243      NA      NA -2.15626      NA      NA  0.25446       NA      NA 2.33223      NA      NA 4.34618      NA      NA 4.48849       NA       NA 2.23488      NA      NA  0.73913       0.7156        0.761               NA            NA 0.011353        NA      NA  0.9069          NA        NA 4.90902        NA        NA 5.31939        NA        NA          0.74079                   NA                   NA 0.013213      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1800000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.77253 283.40709 284.13797       NA       NA  7.97621    7.72592    8.24338         NA         NA 283.93063 283.57952 284.28174       NA       NA  7.66342    7.42295    7.92012         NA         NA 0.94863     0.94384     0.95303          NA          NA      NA      NA     0          0          0 -0.1581     -0.2738   -0.042391      NA     NA 2.52542    2.44617    2.61001         NA         NA 0.99944        NA        NA 1.79272      NA      NA  6.39925      NA      NA  6.37425        NA        NA 2.52967       NA       NA -3.35983      NA      NA -1.40734      NA      NA -0.1304        NA      NA 1.17119      NA      NA 2.6233       NA      NA 2.57853       NA       NA 1.29547      NA      NA  0.53338       0.49977       0.56538             NA            NA 0.024995        NA      NA  0.89104         NA        NA 2.54692        NA        NA 2.74596        NA        NA          0.54533                   NA                   NA 0.0089095     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1800000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.4507  278.93424 279.96715       NA       NA  7.21633    6.86869    7.60132         NA         NA 280.57015 280.13797 281.00234       NA       NA  6.03882    5.7479     6.36098         NA         NA 0.93404     0.92425     0.9426           NA          NA      NA      NA     0          0          0 -1.11946    -1.31063  -0.92828       NA     NA 2.67122    2.54254    2.81373         NA         NA 0.99601        NA        NA 2.14648      NA      NA  8.37909      NA      NA  7.1259         NA        NA 2.89467       NA       NA -5.54596      NA      NA -3.17015      NA      NA -1.09416       NA      NA 0.21342      NA      NA 1.91996      NA      NA 3.38357       NA       NA 1.58972      NA      NA  0.74585       0.71229       0.776               NA            NA 1.25318         NA      NA  0.77023         NA        NA 3.75571        NA        NA 3.94953        NA        NA          0.71882                   NA                   NA 0.010317      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1800000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.07544 277.60173 278.54916       NA       NA  9.3982     9.07476    9.74571         NA         NA 277.65236 277.18392 278.1208        NA       NA  9.29356    8.97372    9.63721         NA         NA 0.85231     0.8379      0.86554          NA          NA      NA      NA     0          0          0  0.42308     0.16701   0.67915       NA     NA 5.0803     4.90546    5.26815         NA         NA 1.00152        NA        NA 3.37084      NA      NA 25.97135      NA      NA 25.79235        NA        NA 5.09621       NA       NA -4.53613      NA      NA -1.76619      NA      NA  0.24608       NA      NA 2.85682      NA      NA 6.9299       NA      NA 4.623         NA       NA 2.34762      NA      NA  0.55226       0.51622       0.58635             NA            NA 0.179           NA      NA  0.6993          NA        NA 5.12712        NA        NA 5.59234        NA        NA          0.55088                   NA                   NA 0.018355      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1800000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.90929 276.68869 277.12989       NA       NA 11.95389   11.79992   12.11196         NA         NA 276.99219 276.77039 277.214         NA       NA 12.01935   11.86454   12.17828         NA         NA 0.94226     0.94015     0.94429          NA          NA      NA      NA     0          0          0 -0.082904   -0.15808  -0.0077238     NA     NA 4.07389    4.02142    4.12776         NA         NA 0.9997         NA        NA 2.87181      NA      NA 16.60198      NA      NA 16.5951         NA        NA 4.07455       NA       NA -4.28269      NA      NA -1.99474      NA      NA  0.18885       NA      NA 3.0226       NA      NA 5.59015      NA      NA 5.01735       NA       NA 2.51106      NA      NA  0.60983       0.59811       0.62129             NA            NA 0.0068731       NA      NA  0.88508         NA        NA 4.4272         NA        NA 4.7929         NA        NA          0.61195                   NA                   NA 0.01471       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1800000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.17328 275.96508 276.38147       NA       NA 11.28184   11.13653   11.43102         NA         NA 276.21395 276.00307 276.42483       NA       NA 11.42728   11.2801    11.57839         NA         NA 0.96363     0.96229     0.96492          NA          NA      NA      NA     0          0          0 -0.04067    -0.097248  0.015907      NA     NA 3.06585    3.02636    3.10639         NA         NA 0.99985        NA        NA 2.23685      NA      NA  9.40025      NA      NA  9.3986         NA        NA 3.06598       NA       NA -4.3696       NA      NA -1.92192      NA      NA -0.028471      NA      NA 2.06255      NA      NA 4.46709      NA      NA 3.98447       NA       NA 1.98704      NA      NA  0.75785       0.74988       0.76559             NA            NA 0.0016541       NA      NA  0.92801         NA        NA 4.48595        NA        NA 4.70276        NA        NA          0.77832                   NA                   NA 0.0111        NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1800000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 292.04634 291.97149 292.12118       NA       NA  3.07386    3.02184    3.12772         NA         NA 291.86673 291.79777 291.93569       NA       NA  2.83219    2.78426    2.88182         NA         NA 0.93168     0.92839     0.93482          NA          NA      NA      NA     0          0          0  0.17961     0.15241   0.20681       NA     NA 1.11711    1.09821    1.13668         NA         NA 1.00062        NA        NA 0.72862      NA      NA  1.28         NA      NA  1.24774        NA        NA 1.13137       NA       NA -0.83856      NA      NA -0.34385      NA      NA  0.095468      NA      NA 0.59719      NA      NA 1.30518      NA      NA 0.94104       NA       NA 0.47315      NA      NA  0.68824       0.6752        0.70084             NA            NA 0.032258        NA      NA  0.84042         NA        NA 1.76335        NA        NA 1.55169        NA        NA          0.77428                   NA                   NA 0.0038763     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1800000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.50777 261.36496 261.65058       NA       NA  5.17273    5.07369    5.27574         NA         NA 261.67426 261.50416 261.84435       NA       NA  6.16119    6.04322    6.28389         NA         NA 0.82116     0.81196     0.82996          NA          NA      NA      NA     0          0          0 -0.16649    -0.26361  -0.069362      NA     NA 3.51797    3.45061    3.58803         NA         NA 0.99936        NA        NA 2.85364      NA      NA 12.40139      NA      NA 12.37367        NA        NA 3.52156       NA       NA -3.95162      NA      NA -1.87916      NA      NA  1.07408       NA      NA 3.75477      NA      NA 5.88604      NA      NA 5.63393       NA       NA 2.80823      NA      NA  0.77611       0.76489       0.78686             NA            NA 0.027718        NA      NA  0.67331         NA        NA 5.11323        NA        NA 5.38833        NA        NA          0.77632                   NA                   NA 0.013458      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1800000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 260.11045 259.90832 260.31258       NA       NA  7.32144    7.18126    7.46725         NA         NA 259.66784 259.45488 259.88079       NA       NA  7.71362    7.56593    7.86724         NA         NA 0.82391     0.81483     0.83258          NA          NA      NA      NA     0          0          0  0.44262     0.31902   0.56622       NA     NA 4.47698    4.39126    4.56613         NA         NA 1.0017         NA        NA 3.5369       NA      NA 20.23525      NA      NA 20.03934        NA        NA 4.49836       NA       NA -5.39666      NA      NA -2.38663      NA      NA  0.2267        NA      NA 3.48418      NA      NA 6.33079      NA      NA 5.87081       NA       NA 2.90128      NA      NA  0.7243        0.7109        0.73716             NA            NA 0.19591         NA      NA  0.65991         NA        NA 6.80404        NA        NA 6.50585        NA        NA          0.77244                   NA                   NA 0.017324      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1800000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.2478  252.75615 253.73945       NA       NA  9.84074    9.50496   10.2013          NA         NA 253.48076 252.9882  253.97332       NA       NA  9.859      9.5226    10.22023         NA         NA 0.94684     0.94141     0.95178          NA          NA      NA      NA     0          0          0 -0.23296    -0.39342  -0.072492      NA     NA 3.21181    3.10222    3.32949         NA         NA 0.99908        NA        NA 2.33836      NA      NA 10.36328      NA      NA 10.30902        NA        NA 3.21921       NA       NA -3.71056      NA      NA -2.06682      NA      NA -0.15019       NA      NA 1.4631       NA      NA 3.48102      NA      NA 3.52991       NA       NA 1.80362      NA      NA  0.64275       0.61246       0.67117             NA            NA 0.054269        NA      NA  0.89338         NA        NA 3.78766        NA        NA 3.81528        NA        NA          0.64146                   NA                   NA 0.0127        NA     NA
