VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75       E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS     MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.21263 277.66487 278.7604        NA       NA 10.96385   10.58975   11.36556         NA         NA 277.9586  277.38678 278.53042       NA       NA 11.44542   11.05489   11.86478         NA         NA 0.94256     0.9367      0.94788          NA          NA      NA      NA     0          0          0  0.25403   0.062816  0.44525       NA     NA 3.82737    3.69677    3.9676          NA         NA 1.00091        NA        NA 2.83356      NA      NA 14.70376      NA      NA 14.63922        NA        NA 3.83455       NA       NA -4.20135      NA      NA -1.93984      NA      NA  0.41267       NA      NA  2.32941       NA      NA 4.97085      NA      NA 4.26925       NA       NA 2.0837       NA      NA 0.66266        0.63367       0.68978             NA            NA 0.064533        NA      NA  0.88776         NA        NA 4.46808        NA        NA 4.82064        NA        NA          0.66156                   NA                   NA 0.013795      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.51692 283.15739 283.87645       NA       NA  7.84716    7.60092    8.11001         NA         NA 283.37959 283.02723 283.73195       NA       NA  7.6907     7.44936    7.94831         NA         NA 0.95195     0.94746     0.95607          NA          NA      NA      NA     0          0          0  0.13733   0.026762  0.2479        NA     NA 2.41329    2.33757    2.49413         NA         NA 1.00048        NA        NA 1.66709      NA      NA  5.83967      NA      NA  5.82081        NA        NA 2.41654       NA       NA -2.53722      NA      NA -0.85835      NA      NA  0.18057       NA      NA  1.40905       NA      NA 2.72419      NA      NA 2.2674        NA       NA 1.12301      NA      NA 0.52139        0.48721       0.55397             NA            NA 0.01886         NA      NA  0.90127         NA        NA 2.46947        NA        NA 2.50214        NA        NA          0.52754                   NA                   NA 0.0085276     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.47733 278.94361 280.01106       NA       NA  7.45763    7.09836    7.85549         NA         NA 280.19602 279.73136 280.66067       NA       NA  6.49252    6.17974    6.83889         NA         NA 0.92921     0.91874     0.93838          NA          NA      NA      NA     0          0          0 -0.71868  -0.91839  -0.51898       NA     NA 2.79042    2.65599    2.93929         NA         NA 0.99744        NA        NA 2.08952      NA      NA  8.29257      NA      NA  7.77606        NA        NA 2.87968       NA       NA -5.51846      NA      NA -2.31815      NA      NA -0.52301       NA      NA  0.84525       NA      NA 2.55522      NA      NA 3.16339       NA       NA 1.56874      NA      NA 0.77174        0.74109       0.79917             NA            NA 0.5165          NA      NA  0.80327         NA        NA 4.24151        NA        NA 4.06104        NA        NA          0.76023                   NA                   NA 0.010277      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.14777 278.62965 279.66589       NA       NA 10.2792     9.92545   10.6593          NA         NA 278.68328 278.21514 279.15143       NA       NA  9.28775    8.96812    9.63119         NA         NA 0.85604     0.84197     0.86896          NA          NA      NA      NA     0          0          0  0.46449   0.19554   0.73344       NA     NA 5.33575    5.15213    5.53306         NA         NA 1.00167        NA        NA 3.72836      NA      NA 28.6672       NA      NA 28.45145        NA        NA 5.35418       NA       NA -6.08908      NA      NA -1.86247      NA      NA  0.63447       NA      NA  3.37462       NA      NA 6.86853      NA      NA 5.23708       NA       NA 2.59855      NA      NA 0.46026        0.41958       0.49909             NA            NA 0.21575         NA      NA  0.66767         NA        NA 5.05045        NA        NA 5.22688        NA        NA          0.45761                   NA                   NA 0.019212      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.69174 276.47533 276.90814       NA       NA 11.72648   11.57544   11.88154         NA         NA 276.72066 276.50499 276.93633       NA       NA 11.68663   11.5361    11.84116         NA         NA 0.93874     0.93651     0.94089          NA          NA      NA      NA     0          0          0 -0.028925 -0.10455   0.046697      NA     NA 4.0978     4.04502    4.15199         NA         NA 0.9999         NA        NA 2.9551       NA      NA 16.79131      NA      NA 16.79047        NA        NA 4.09772       NA       NA -4.74351      NA      NA -2.16376      NA      NA  0.20942       NA      NA  2.96989       NA      NA 6.29549      NA      NA 5.13365       NA       NA 2.56353      NA      NA 0.57668        0.56423       0.58887             NA            NA 0.00083663      NA      NA  0.87706         NA        NA 4.30463        NA        NA 4.59457        NA        NA          0.57763                   NA                   NA 0.014808      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.11488 275.90544 276.32432       NA       NA 11.34909   11.20291   11.49916         NA         NA 276.16248 275.95174 276.37323       NA       NA 11.41986   11.27277   11.57087         NA         NA 0.96423     0.96291     0.96551          NA          NA      NA      NA     0          0          0 -0.047602 -0.10381   0.0086033     NA     NA 3.04569    3.00646    3.08596         NA         NA 0.99983        NA        NA 2.25304      NA      NA  9.27764      NA      NA  9.27538        NA        NA 3.04592       NA       NA -4.21089      NA      NA -2.12661      NA      NA -0.075557      NA      NA  1.86052       NA      NA 4.66154      NA      NA 3.98713       NA       NA 1.99772      NA      NA 0.7566         0.7486        0.76438             NA            NA 0.002266        NA      NA  0.92886         NA        NA 4.32451        NA        NA 4.74501        NA        NA          0.77824                   NA                   NA 0.011029      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 292.02395 291.95631 292.09159       NA       NA  2.77802    2.73101    2.8267          NA         NA 291.81309 291.75008 291.87609       NA       NA  2.58769    2.54389    2.63303         NA         NA 0.91412     0.91003     0.91804          NA          NA      NA      NA     0          0          0  0.21086   0.18341   0.23831       NA     NA 1.12735    1.10827    1.14711         NA         NA 1.00072        NA        NA 0.74589      NA      NA  1.31519      NA      NA  1.27073        NA        NA 1.14682       NA       NA -0.83672      NA      NA -0.34662      NA      NA  0.13154       NA      NA  0.64498       NA      NA 1.32905      NA      NA 0.9916        NA       NA 0.49652      NA      NA 0.69097        0.67803       0.70348             NA            NA 0.044462        NA      NA  0.80359         NA        NA 1.73776        NA        NA 1.56934        NA        NA          0.76407                   NA                   NA 0.00393       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.69312 261.54939 261.83685       NA       NA  5.20609    5.10641    5.30976         NA         NA 261.96769 261.79541 262.13997       NA       NA  6.24026    6.12078    6.36453         NA         NA 0.80492     0.79498     0.81443          NA          NA      NA      NA     0          0          0 -0.27457  -0.37692  -0.17222       NA     NA 3.70739    3.6364     3.78122         NA         NA 0.99895        NA        NA 3.02016      NA      NA 13.81738      NA      NA 13.74199        NA        NA 3.71717       NA       NA -4.48419      NA      NA -2.38994      NA      NA  0.74672       NA      NA  3.6956        NA      NA 7.35229      NA      NA 6.08554       NA       NA 3.06078      NA      NA 0.74842        0.73602       0.76032             NA            NA 0.07539         NA      NA  0.64517         NA        NA 5.04426        NA        NA 5.3768         NA        NA          0.74731                   NA                   NA 0.014189      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.73899 259.54184 259.93613       NA       NA  7.14094    7.00422    7.28315         NA         NA 259.47646 259.26149 259.69143       NA       NA  7.78651    7.63742    7.94157         NA         NA 0.8452      0.83713     0.85291          NA          NA      NA      NA     0          0          0  0.26253   0.1466    0.37845       NA     NA 4.19894    4.11854    4.28256         NA         NA 1.00101        NA        NA 3.36245      NA      NA 17.69651      NA      NA 17.62759        NA        NA 4.20672       NA       NA -4.96509      NA      NA -2.77135      NA      NA -0.038553      NA      NA  3.38355       NA      NA 6.42887      NA      NA 6.15491       NA       NA 3.03306      NA      NA 0.73683        0.72395       0.7492              NA            NA 0.06892         NA      NA  0.70812         NA        NA 6.25892        NA        NA 6.40565        NA        NA          0.77957                   NA                   NA 0.016212      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.90528 252.4293  253.38127       NA       NA  9.5272     9.20211    9.87627         NA         NA 253.39346 252.92492 253.862         NA       NA  9.37815    9.05815    9.72176         NA         NA 0.9268      0.91941     0.93353          NA          NA      NA      NA     0          0          0 -0.48817  -0.66902  -0.30733       NA     NA 3.6198     3.49628    3.75242         NA         NA 0.99807        NA        NA 2.6965       NA      NA 13.33273      NA      NA 13.09442        NA        NA 3.6514        NA       NA -5.20016      NA      NA -2.52581      NA      NA -0.41818       NA      NA  1.67236       NA      NA 3.68129      NA      NA 4.19817       NA       NA 2.09891      NA      NA 0.54518        0.50908       0.57936             NA            NA 0.23831         NA      NA  0.84841         NA        NA 3.87936        NA        NA 3.72361        NA        NA          0.53935                   NA                   NA 0.01441       NA     NA
