VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75       E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2       ME2_BCL ME2_BCU MSESS    MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.64553 278.08648 279.20458       NA       NA 11.18982   10.808     11.5998          NA         NA 278.99281 278.456   279.52962       NA       NA 10.74469   10.37807   11.13837         NA         NA 0.87829     0.86634     0.88923          NA          NA      NA      NA     0          0          0 -0.34728  -0.61847   -0.076086      NA     NA 5.42812    5.24291    5.627           NA         NA 0.99876        NA        NA 3.68661      NA      NA 29.56597      NA      NA 29.44537        NA        NA 5.43746       NA       NA -5.77778      NA      NA -2.71859      NA      NA -0.052337      NA      NA  2.27425       NA      NA 5.66025      NA      NA 4.99284       NA       NA 2.50704      NA      NA  0.16395       0.11492       0.21218             NA            NA 0.1206         NA      NA  0.7439         NA        NA 4.66469        NA        NA 3.71059        NA        NA         0.17222                    NA                   NA 0.01949       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 282.90248 282.55661 283.24835       NA       NA  7.54909    7.3122     7.80195         NA         NA 282.77418 282.44062 283.10773       NA       NA  7.28026    7.05181    7.52412         NA         NA 0.92753     0.92085     0.93367          NA          NA      NA      NA     0          0          0  0.12831  -0.0015878  0.2582        NA     NA 2.83507    2.74611    2.93004         NA         NA 1.00045        NA        NA 2.02643      NA      NA  8.0497       NA      NA  8.03324        NA        NA 2.8372        NA       NA -3.82834      NA      NA -1.23013      NA      NA  0.15818       NA      NA  1.63498       NA      NA 3.38716      NA      NA 2.86511       NA       NA 1.44731      NA      NA  0.72277       0.70013       0.74395             NA            NA 0.016462       NA      NA  0.84813        NA        NA 3.76618        NA        NA 3.85452        NA        NA         0.72301                    NA                   NA 0.010033      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.3551  279.75166 280.95854       NA       NA  8.43168    8.02549    8.88151         NA         NA 281.12997 280.53824 281.7217        NA       NA  8.26815    7.86984    8.70926         NA         NA 0.93721     0.92787     0.94537          NA          NA      NA      NA     0          0          0 -0.77487  -0.98696   -0.56279       NA     NA 2.96341    2.82065    3.12151         NA         NA 0.99724        NA        NA 2.07411      NA      NA  9.37054      NA      NA  8.77012        NA        NA 3.06113       NA       NA -3.78542      NA      NA -2.20094      NA      NA -0.82094       NA      NA  0.39376       NA      NA 2.45555      NA      NA 2.5947        NA       NA 1.29287      NA      NA  0.75595       0.72352       0.78505             NA            NA 0.60043        NA      NA  0.86293        NA        NA 4.22713        NA        NA 4.55401        NA        NA         0.75939                    NA                   NA 0.010889      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.62222 278.10925 279.13519       NA       NA 10.17706    9.82682   10.55338         NA         NA 278.72196 278.21    279.23392       NA       NA 10.15692    9.80737   10.53249         NA         NA 0.80118     0.78237     0.81854          NA          NA      NA      NA     0          0          0 -0.09974  -0.42289    0.22341       NA     NA 6.41112    6.19049    6.64819         NA         NA 0.99964        NA        NA 4.93205      NA      NA 41.08527      NA      NA 41.07533        NA        NA 6.40978       NA       NA -8.71085      NA      NA -4.85423      NA      NA -0.0649        NA      NA  4.47256       NA      NA 7.67554      NA      NA 9.3268        NA       NA 4.63743      NA      NA  0.23171       0.18344       0.27886             NA            NA 0.0099481      NA      NA  0.60174        NA        NA 4.10395        NA        NA 5.98497        NA        NA         0.23567                    NA                   NA 0.022997      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.77979 276.56641 276.99317       NA       NA 11.56281   11.41388   11.7157          NA         NA 277.167   276.95435 277.37964       NA       NA 11.52291   11.37449   11.67528         NA         NA 0.90505     0.90165     0.90833          NA          NA      NA      NA     0          0          0 -0.3872   -0.48003   -0.29437       NA     NA 5.03031    4.96552    5.09682         NA         NA 0.9986         NA        NA 3.65447      NA      NA 25.45168      NA      NA 25.30175        NA        NA 5.04497       NA       NA -6.3782       NA      NA -3.12406      NA      NA -0.53536       NA      NA  2.40528       NA      NA 5.73131      NA      NA 5.52935       NA       NA 2.74167      NA      NA  0.39266       0.37694       0.40816             NA            NA 0.14993        NA      NA  0.80831        NA        NA 4.16876        NA        NA 4.90971        NA        NA         0.39165                    NA                   NA 0.018202      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.97864 275.7686  276.18868       NA       NA 11.3817    11.2351    11.5322          NA         NA 275.75776 275.54678 275.96873       NA       NA 11.43234   11.28509   11.58351         NA         NA 0.95103     0.94924     0.95276          NA          NA      NA      NA     0          0          0  0.22088   0.155      0.28676       NA     NA 3.57014    3.52415    3.61735         NA         NA 1.0008         NA        NA 2.65138      NA      NA 12.79354      NA      NA 12.74475        NA        NA 3.57681       NA       NA -3.90369      NA      NA -1.87762      NA      NA  0.25784       NA      NA  2.56919       NA      NA 5.45829      NA      NA 4.44681       NA       NA 2.2123       NA      NA  0.68278       0.67281       0.69251             NA            NA 0.048788       NA      NA  0.90211        NA        NA 4.54879        NA        NA 4.71881        NA        NA         0.70266                    NA                   NA 0.012971      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.90583 291.83927 291.97239       NA       NA  2.73387    2.6876     2.78177         NA         NA 291.81409 291.75246 291.87571       NA       NA  2.53099    2.48815    2.57533         NA         NA 0.87858     0.8729      0.88402          NA          NA      NA      NA     0          0          0  0.091746  0.0598     0.12369       NA     NA 1.31205    1.28984    1.33503         NA         NA 1.00031        NA        NA 0.82382      NA      NA  1.72962      NA      NA  1.7212         NA        NA 1.31515       NA       NA -1.07593      NA      NA -0.5161       NA      NA -0.017191      NA      NA  0.54431       NA      NA 1.33768      NA      NA 1.0604        NA       NA 0.52734      NA      NA  0.56454       0.54772       0.58091             NA            NA 0.0084173      NA      NA  0.73           NA        NA 1.64401        NA        NA 1.55248        NA        NA         0.66281                    NA                   NA 0.0045068     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.53896 262.39248 262.68544       NA       NA  5.30585    5.20426    5.41152         NA         NA 263.23739 263.03583 263.43894       NA       NA  7.30067    7.16089    7.44606         NA         NA 0.75292     0.74071     0.76464          NA          NA      NA      NA     0          0          0 -0.69843  -0.83118   -0.56568       NA     NA 4.80845    4.71638    4.9042          NA         NA 0.99735        NA        NA 3.8017       NA      NA 23.60436      NA      NA 23.11656        NA        NA 4.85843       NA       NA -5.8079       NA      NA -3.33196      NA      NA -1.1564        NA      NA  2.2096        NA      NA 5.54263      NA      NA 5.54157       NA       NA 2.72615      NA      NA  0.6319        0.61502       0.6482              NA            NA 0.4878         NA      NA  0.55714        NA        NA 4.62024        NA        NA 6.1961         NA        NA         0.63111                    NA                   NA 0.018456      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.57444 259.37746 259.77142       NA       NA  7.13493    6.99832    7.27702         NA         NA 258.91666 258.70199 259.13133       NA       NA  7.77567    7.62679    7.93052         NA         NA 0.83212     0.82343     0.84042          NA          NA      NA      NA     0          0          0  0.65777   0.53731    0.77824       NA     NA 4.36327    4.27973    4.45017         NA         NA 1.00254        NA        NA 3.32619      NA      NA 19.46705      NA      NA 19.03438        NA        NA 4.41215       NA       NA -3.72061      NA      NA -1.6869       NA      NA  0.71314       NA      NA  3.6261        NA      NA 6.60181      NA      NA 5.313         NA       NA 2.61603      NA      NA  0.65352       0.63741       0.66905             NA            NA 0.43267        NA      NA  0.67802        NA        NA 5.71958        NA        NA 5.76456        NA        NA         0.70481                    NA                   NA 0.017041      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.17738 252.71812 253.63664       NA       NA  9.1925     8.87884    9.52931         NA         NA 253.81827 253.34846 254.28808       NA       NA  9.40362    9.08276    9.74816         NA         NA 0.91128     0.9024      0.91939          NA          NA      NA      NA     0          0          0 -0.64089  -0.83684   -0.44494       NA     NA 3.92208    3.78825    4.06578         NA         NA 0.99748        NA        NA 2.98184      NA      NA 15.78347      NA      NA 15.37273        NA        NA 3.97284       NA       NA -5.35104      NA      NA -3.03811      NA      NA -0.39584       NA      NA  1.76028       NA      NA 4.34922      NA      NA 4.79839       NA       NA 2.45362      NA      NA  0.43677       0.39543       0.47634             NA            NA 0.41074        NA      NA  0.82151        NA        NA 3.97079        NA        NA 3.39384        NA        NA         0.42675                    NA                   NA 0.015652      NA     NA
