VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2       ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.15661 277.58504 278.72818       NA       NA 11.4404    11.05003   11.85956         NA         NA 278.45764 277.89164 279.02365       NA       NA 11.32904   10.94247   11.74413         NA         NA 0.97646     0.97401     0.97867          NA          NA      NA      NA     0          0          0 -0.30104  -0.42459  -0.17748       NA     NA 2.47297    2.38858    2.56357         NA         NA 0.99892        NA        NA 1.7179       NA      NA  6.20221      NA      NA  6.11159        NA        NA 2.49042       NA       NA -3.31778      NA      NA -1.57947      NA      NA -0.29806       NA      NA 0.81213      NA      NA 2.28773      NA      NA 2.3916        NA       NA 1.17146      NA      NA   0.87646       0.86435       0.88756            NA            NA 0.090622       NA      NA 0.95168        NA        NA 4.84911        NA        NA 5.11584        NA        NA          0.87643                   NA                   NA 0.0089436     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.63113 283.28084 283.98142       NA       NA  7.64548    7.40557    7.90157         NA         NA 283.56854 283.23101 283.90607       NA       NA  7.36705    7.13588    7.61382         NA         NA 0.96339     0.95994     0.96654          NA          NA      NA      NA     0          0          0  0.062593 -0.031326  0.15651       NA     NA 2.0499     1.98558    2.11857         NA         NA 1.00022        NA        NA 1.36122      NA      NA  4.20372      NA      NA  4.1998         NA        NA 2.0503        NA       NA -2.07695      NA      NA -0.71301      NA      NA  0.045696      NA      NA 1.07555      NA      NA 2.38382      NA      NA 1.78856       NA       NA 0.86875      NA      NA   0.73948       0.71799       0.75957            NA            NA 0.0039179      NA      NA 0.92255        NA        NA 2.9785         NA        NA 2.72036        NA        NA          0.74471                   NA                   NA 0.0072303     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.13777 279.71264 280.56289       NA       NA  5.94017    5.65401    6.25708         NA         NA 280.59778 280.20059 280.99497       NA       NA  5.54979    5.28244    5.84587         NA         NA 0.94045     0.93158     0.9482           NA          NA      NA      NA     0          0          0 -0.46001  -0.60455  -0.31547       NA     NA 2.01962    1.92232    2.12736         NA         NA 0.99836        NA        NA 1.62151      NA      NA  4.28502      NA      NA  4.07341        NA        NA 2.07003       NA       NA -3.27801      NA      NA -1.83237      NA      NA -0.56347       NA      NA 0.89401      NA      NA 2.21292      NA      NA 2.72637       NA       NA 1.33047      NA      NA   0.87854       0.86111       0.89391            NA            NA 0.21161        NA      NA 0.86088        NA        NA 3.88538        NA        NA 4.42341        NA        NA          0.88376                   NA                   NA 0.0073772     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.36275 278.85116 279.87433       NA       NA 10.14955    9.80026   10.52485         NA         NA 279.16144 278.66049 279.66238       NA       NA  9.93839    9.59636   10.30588         NA         NA 0.96073     0.95665     0.96443          NA          NA      NA      NA     0          0          0  0.20131   0.059041  0.34358       NA     NA 2.82254    2.7254     2.92691         NA         NA 1.00072        NA        NA 1.98792      NA      NA  8.00198      NA      NA  7.96146        NA        NA 2.82878       NA       NA -3.29941      NA      NA -1.38764      NA      NA  0.15224       NA      NA 1.43779      NA      NA 3.66441      NA      NA 2.82542       NA       NA 1.39383      NA      NA   0.88518       0.87376       0.89563            NA            NA 0.040526       NA      NA 0.91898        NA        NA 6.08558        NA        NA 5.60841        NA        NA          0.88611                   NA                   NA 0.010133      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.80479 276.58879 277.02078       NA       NA 11.70435   11.55359   11.85912         NA         NA 276.84628 276.62887 277.06369       NA       NA 11.7811    11.62936   11.93689         NA         NA 0.97319     0.97219     0.97415          NA          NA      NA      NA     0          0          0 -0.041489 -0.091689  0.0087117     NA     NA 2.72029    2.68525    2.75626         NA         NA 0.99985        NA        NA 1.94395      NA      NA  7.40103      NA      NA  7.39931        NA        NA 2.72048       NA       NA -3.15075      NA      NA -1.44364      NA      NA  0.036205      NA      NA 1.5363       NA      NA 3.37724      NA      NA 2.97994       NA       NA 1.49034      NA      NA   0.82793       0.82204       0.83365            NA            NA 0.0017213      NA      NA 0.94668        NA        NA 4.55266        NA        NA 4.74694        NA        NA          0.82964                   NA                   NA 0.0098267     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.10569 275.89203 276.31934       NA       NA 11.57755   11.42843   11.73064         NA         NA 276.15354 275.94269 276.36439       NA       NA 11.42556   11.27839   11.57664         NA         NA 0.97098     0.96991     0.97202          NA          NA      NA      NA     0          0          0 -0.047851 -0.099058  0.0033553     NA     NA 2.7748     2.73906    2.8115          NA         NA 0.99983        NA        NA 1.9369       NA      NA  7.70114      NA      NA  7.69885        NA        NA 2.77509       NA       NA -3.42156      NA      NA -1.59411      NA      NA -0.026934      NA      NA 1.42883      NA      NA 3.24698      NA      NA 3.02293       NA       NA 1.50379      NA      NA   0.80284       0.79618       0.8093             NA            NA 0.0022897      NA      NA 0.94101        NA        NA 4.52516        NA        NA 4.67042        NA        NA          0.8183                    NA                   NA 0.010049      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.96257 291.89583 292.02931       NA       NA  2.74108    2.69469    2.78911         NA         NA 291.82168 291.7602  291.88316       NA       NA  2.52509    2.48236    2.56933         NA         NA 0.94008     0.93718     0.94285          NA          NA      NA      NA     0          0          0  0.14089   0.1181    0.16368       NA     NA 0.93601    0.92017    0.95241         NA         NA 1.00048        NA        NA 0.62277      NA      NA  0.89584      NA      NA  0.87599        NA        NA 0.94649       NA       NA -0.71632      NA      NA -0.32527      NA      NA  0.068502      NA      NA 0.51405      NA      NA 1.10169      NA      NA 0.83932       NA       NA 0.41714      NA      NA   0.76231       0.75192       0.77232            NA            NA 0.01985        NA      NA 0.8595         NA        NA 1.62769        NA        NA 1.52502        NA        NA          0.82167                   NA                   NA 0.0032434     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.9659  261.80876 262.12304       NA       NA  5.69175    5.58277    5.8051          NA         NA 261.68389 261.51    261.85777       NA       NA  6.29837    6.17778    6.4238          NA         NA 0.8842      0.87803     0.89008          NA          NA      NA      NA     0          0          0  0.28201   0.20072   0.36331       NA     NA 2.94455    2.88817    3.00319         NA         NA 1.00108        NA        NA 2.31744      NA      NA  8.74816      NA      NA  8.66863        NA        NA 2.95773       NA       NA -2.96849      NA      NA -1.46159      NA      NA  0.26677       NA      NA 1.89081      NA      NA 3.99201      NA      NA 3.35241       NA       NA 1.66029      NA      NA   0.83954       0.8312        0.8475             NA            NA 0.079531       NA      NA 0.77947        NA        NA 4.92923        NA        NA 5.3638         NA        NA          0.83813                   NA                   NA 0.011303      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.1195  258.9183  259.32069       NA       NA  7.2876     7.14807    7.43273         NA         NA 259.78236 259.56173 260.00298       NA       NA  7.99134    7.83833    8.15048         NA         NA 0.88322     0.87699     0.88914          NA          NA      NA      NA     0          0          0 -0.66286  -0.76652  -0.5592        NA     NA 3.75469    3.6828     3.82946         NA         NA 0.99745        NA        NA 2.80656      NA      NA 14.53429      NA      NA 14.09491        NA        NA 3.81239       NA       NA -4.01517      NA      NA -2.26599      NA      NA -0.35828       NA      NA 1.61115      NA      NA 3.73862      NA      NA 3.87714       NA       NA 1.93959      NA      NA   0.787         0.77626       0.79729            NA            NA 0.43938        NA      NA 0.77241        NA        NA 6.07454        NA        NA 6.38167        NA        NA          0.81375                   NA                   NA 0.014675      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1440000   20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.17535 251.69983 252.65087       NA       NA  9.51787    9.19311    9.8666          NA         NA 252.92579 252.44889 253.40269       NA       NA  9.54551    9.2198     9.89525         NA         NA 0.97408     0.97139     0.97652          NA          NA      NA      NA     0          0          0 -0.75044  -0.85888  -0.642         NA     NA 2.17049    2.09643    2.25002         NA         NA 0.99703        NA        NA 1.64979      NA      NA  5.27114      NA      NA  4.70797        NA        NA 2.2959        NA       NA -3.17734      NA      NA -1.87278      NA      NA -0.74462       NA      NA 0.36179      NA      NA 1.41432      NA      NA 2.23457       NA       NA 1.12074      NA      NA   0.81714       0.79983       0.83309            NA            NA 0.56317        NA      NA 0.94215        NA        NA 3.59384        NA        NA 3.63956        NA        NA          0.79858                   NA                   NA 0.0090773     NA     NA
