VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL    ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75       E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS     MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.0692  279.45335 280.68504       NA       NA 12.32662   11.90601   12.77825         NA         NA 280.19333 279.58713 280.79954       NA       NA 12.13362   11.7196    12.57819         NA         NA 0.95596     0.95144     0.96007          NA          NA      NA      NA     0          0          0 -0.12413   -0.30573   0.057462      NA     NA 3.63479    3.51076    3.76796         NA         NA 0.99956        NA        NA 2.55332      NA      NA 13.2185       NA      NA 13.20309        NA        NA 3.63573       NA       NA -4.21809      NA      NA -2.16244      NA      NA -0.46984       NA      NA  1.3394        NA      NA 3.43831      NA      NA 3.50185       NA       NA 1.73103      NA      NA   0.74411       0.72095       0.76561            NA            NA 0.015409        NA      NA  0.91022         NA        NA 4.75679        NA        NA 5.31939        NA        NA          0.74505                   NA                   NA 0.012976      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.93451 283.57907 284.28994       NA       NA  7.75779    7.51435    8.01765         NA         NA 283.93063 283.57952 284.28174       NA       NA  7.66342    7.42295    7.92012         NA         NA 0.96023     0.9565      0.96366          NA          NA      NA      NA     0          0          0  0.0038765 -0.095844  0.1036        NA     NA 2.17652    2.10822    2.24942         NA         NA 1.00001        NA        NA 1.49135      NA      NA  4.73465      NA      NA  4.73463        NA        NA 2.17592       NA       NA -2.63792      NA      NA -0.82086      NA      NA  0.07976       NA      NA  1.17826       NA      NA 2.41838      NA      NA 1.99912       NA       NA 1.01474      NA      NA   0.67422       0.64843       0.69846            NA            NA 1.5028e-05      NA      NA  0.91938         NA        NA 2.74559        NA        NA 2.74596        NA        NA          0.686                     NA                   NA 0.0076636     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.3007  279.85585 280.74555       NA       NA  6.21584    5.91639    6.54745         NA         NA 280.57015 280.13797 281.00234       NA       NA  6.03882    5.7479     6.36098         NA         NA 0.94456     0.93629     0.95179          NA          NA      NA      NA     0          0          0 -0.26945   -0.416    -0.1229        NA     NA 2.04769    1.94904    2.15693         NA         NA 0.99904        NA        NA 1.54825      NA      NA  4.26004      NA      NA  4.18743        NA        NA 2.06399       NA       NA -2.89602      NA      NA -1.52259      NA      NA -0.18221       NA      NA  0.9631        NA      NA 2.2287       NA      NA 2.4857        NA       NA 1.24201      NA      NA   0.84254       0.82044       0.86213            NA            NA 0.072604        NA      NA  0.88318         NA        NA 3.66174        NA        NA 3.94953        NA        NA          0.85558                   NA                   NA 0.0073564     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.95868 277.46666 278.4507        NA       NA  9.76131    9.42538   10.12226         NA         NA 277.65236 277.18392 278.1208        NA       NA  9.29356    8.97372    9.63721         NA         NA 0.94742     0.942       0.95235          NA          NA      NA      NA     0          0          0  0.30632    0.14886   0.46378       NA     NA 3.12384    3.01634    3.23935         NA         NA 1.0011         NA        NA 2.27317      NA      NA  9.84577      NA      NA  9.75194        NA        NA 3.1378        NA       NA -3.42075      NA      NA -1.82418      NA      NA -0.10924       NA      NA  1.66378       NA      NA 4.77276      NA      NA 3.48797       NA       NA 1.74794      NA      NA   0.86254       0.84904       0.8749             NA            NA 0.093832        NA      NA  0.88601         NA        NA 6.15621        NA        NA 5.59234        NA        NA          0.86163                   NA                   NA 0.011301      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.03596 276.81589 277.25602       NA       NA 11.92497   11.77138   12.08266         NA         NA 276.99219 276.77039 277.214         NA       NA 12.01935   11.86454   12.17828         NA         NA 0.96746     0.96626     0.96862          NA          NA      NA      NA     0          0          0  0.043761  -0.012628  0.10015       NA     NA 3.05562    3.01626    3.09603         NA         NA 1.00016        NA        NA 2.19687      NA      NA  9.33791      NA      NA  9.33599        NA        NA 3.0558        NA       NA -3.36531      NA      NA -1.5678       NA      NA  0.18166       NA      NA  2.05806       NA      NA 4.20007      NA      NA 3.62586       NA       NA 1.80578      NA      NA   0.78541       0.77823       0.79237            NA            NA 0.0019151       NA      NA  0.93536         NA        NA 4.54191        NA        NA 4.7929         NA        NA          0.78697                   NA                   NA 0.011032      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.14905 275.93585 276.36225       NA       NA 11.55308   11.40427   11.70585         NA         NA 276.21395 276.00307 276.42483       NA       NA 11.42728   11.2801    11.57839         NA         NA 0.9689      0.96775     0.97001          NA          NA      NA      NA     0          0          0 -0.064898  -0.11783  -0.011969      NA     NA 2.86817    2.83123    2.9061          NA         NA 0.99977        NA        NA 2.03722      NA      NA  8.2299       NA      NA  8.22569        NA        NA 2.86878       NA       NA -3.52473      NA      NA -1.53974      NA      NA  0.04314       NA      NA  1.57623       NA      NA 3.58026      NA      NA 3.11598       NA       NA 1.55704      NA      NA   0.79143       0.78443       0.79823            NA            NA 0.0042118       NA      NA  0.93698         NA        NA 4.55665        NA        NA 4.70276        NA        NA          0.80847                   NA                   NA 0.010386      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.98256 291.90721 292.05792       NA       NA  3.09496    3.04258    3.14918         NA         NA 291.86673 291.79777 291.93569       NA       NA  2.83219    2.78426    2.88182         NA         NA 0.94509     0.94243     0.94763          NA          NA      NA      NA     0          0          0  0.11583    0.091101  0.14056       NA     NA 1.01573    0.99854    1.03353         NA         NA 1.0004         NA        NA 0.67545      NA      NA  1.04498      NA      NA  1.03156        NA        NA 1.02224       NA       NA -0.84208      NA      NA -0.37461      NA      NA  0.060342      NA      NA  0.547         NA      NA 1.14481      NA      NA 0.92161       NA       NA 0.45714      NA      NA   0.74151       0.73035       0.75228            NA            NA 0.013417        NA      NA  0.86973         NA        NA 1.72369        NA        NA 1.55169        NA        NA          0.81018                   NA                   NA 0.0035024     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.03618 261.88132 262.19103       NA       NA  5.60913    5.50173    5.72083         NA         NA 261.67426 261.50416 261.84435       NA       NA  6.16119    6.04322    6.28389         NA         NA 0.87077     0.86393     0.87729          NA          NA      NA      NA     0          0          0  0.36192    0.27801   0.44583       NA     NA 3.03924    2.98105    3.09976         NA         NA 1.00138        NA        NA 2.40395      NA      NA  9.36612      NA      NA  9.23514        NA        NA 3.06041       NA       NA -2.99074      NA      NA -1.3559       NA      NA  0.67841       NA      NA  2.92848       NA      NA 4.5443       NA      NA 4.28439       NA       NA 2.13962      NA      NA   0.83173       0.82302       0.84005            NA            NA 0.13099         NA      NA  0.75327         NA        NA 5.02856        NA        NA 5.38833        NA        NA          0.82955                   NA                   NA 0.011696      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.16495 258.96784 259.36205       NA       NA  7.13951    7.00281    7.28169         NA         NA 259.66784 259.45488 259.88079       NA       NA  7.71362    7.56593    7.86724         NA         NA 0.86921     0.86229     0.8758           NA          NA      NA      NA     0          0          0 -0.50289   -0.60887  -0.39691       NA     NA 3.8387     3.7652     3.91515         NA         NA 0.99806        NA        NA 2.96262      NA      NA 14.9856       NA      NA 14.7327         NA        NA 3.87112       NA       NA -3.95306      NA      NA -2.05248      NA      NA -0.10544       NA      NA  2.10412       NA      NA 4.3819       NA      NA 4.1566        NA       NA 2.07932      NA      NA   0.79161       0.78107       0.8017             NA            NA 0.2529          NA      NA  0.74814         NA        NA 6.28405        NA        NA 6.50585        NA        NA          0.81733                   NA                   NA 0.014908      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.53852 252.04683 253.03021       NA       NA  9.84144    9.50564   10.20203         NA         NA 253.48076 252.9882  253.97332       NA       NA  9.859      9.5226    10.22023         NA         NA 0.95961     0.95545     0.96338          NA          NA      NA      NA     0          0          0 -0.94224   -1.08212  -0.80236       NA     NA 2.79983    2.7043     2.90242         NA         NA 0.99628        NA        NA 2.18351      NA      NA  8.72179      NA      NA  7.83397        NA        NA 2.95327       NA       NA -4.48464      NA      NA -2.64939      NA      NA -0.97235       NA      NA  0.43103       NA      NA 2.13746      NA      NA 3.08042       NA       NA 1.5269       NA      NA   0.7221        0.69729       0.74518            NA            NA 0.88782         NA      NA  0.91027         NA        NA 3.80146        NA        NA 3.81528        NA        NA          0.69933                   NA                   NA 0.011651      NA     NA
