VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS    MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 277.88625 277.30637 278.46613       NA       NA 11.60668   11.21064   12.03194         NA         NA 277.9586  277.38678 278.53042       NA       NA 11.44542   11.05489   11.86478         NA         NA 0.93094     0.92395     0.93731          NA          NA      NA      NA     0          0          0 -0.072352 -0.28651    0.14181       NA     NA 4.28656    4.1403     4.44362         NA         NA 0.99974        NA        NA 2.91619      NA      NA 18.36789      NA      NA 18.36266        NA        NA 4.28578       NA       NA -4.35389      NA      NA -2.32736      NA      NA -0.55144       NA      NA  1.43669      NA      NA 4.30159      NA      NA 3.76405       NA       NA 1.89045      NA      NA   0.57217      0.53757        0.60485            NA            NA 0.0052348       NA      NA  0.85978        NA        NA 4.41183        NA        NA 4.82064        NA        NA          0.57211                   NA                   NA 0.015419      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.66019 283.31151 284.00886       NA       NA  7.61024    7.37143    7.86516         NA         NA 283.37959 283.02723 283.73195       NA       NA  7.6907     7.44936    7.94831         NA         NA 0.96566     0.96242     0.96862          NA          NA      NA      NA     0          0          0  0.28059   0.18866    0.37253       NA     NA 2.00652    1.94355    2.07373         NA         NA 1.00099        NA        NA 1.43323      NA      NA  4.10264      NA      NA  4.02391        NA        NA 2.0255        NA       NA -1.81729      NA      NA -0.64568      NA      NA  0.2497        NA      NA  1.54556      NA      NA 2.6376       NA      NA 2.19124       NA       NA 1.08466      NA      NA   0.68773      0.66279        0.71114            NA            NA 0.078733        NA      NA  0.93064        NA        NA 2.63351        NA        NA 2.50214        NA        NA          0.69                      NA                   NA 0.0071476     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.30224 279.83645 280.76803       NA       NA  6.50838    6.19485    6.8556          NA         NA 280.19602 279.73136 280.66067       NA       NA  6.49252    6.17974    6.83889         NA         NA 0.93206     0.92199     0.94087          NA          NA      NA      NA     0          0          0  0.10623  -0.06527    0.27772       NA     NA 2.39627    2.28083    2.52411         NA         NA 1.00038        NA        NA 1.79048      NA      NA  5.74575      NA      NA  5.73446        NA        NA 2.39703       NA       NA -2.95832      NA      NA -1.19472      NA      NA  0.26421       NA      NA  1.55605      NA      NA 3.03562      NA      NA 2.75077       NA       NA 1.40154      NA      NA   0.8099       0.78376        0.83319            NA            NA 0.011284        NA      NA  0.86369        NA        NA 3.86076        NA        NA 4.06104        NA        NA          0.81805                   NA                   NA 0.0085548     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.22792 278.72738 279.72846       NA       NA  9.93039    9.58864   10.29759         NA         NA 278.68328 278.21514 279.15143       NA       NA  9.28775    8.96812    9.63119         NA         NA 0.94131     0.93528     0.94679          NA          NA      NA      NA     0          0          0  0.54463   0.37565    0.71361       NA     NA 3.3525     3.23712    3.47646         NA         NA 1.00195        NA        NA 2.38617      NA      NA 11.52843      NA      NA 11.2318         NA        NA 3.39535       NA       NA -3.52154      NA      NA -1.50649      NA      NA  0.12061       NA      NA  1.98799      NA      NA 4.81861      NA      NA 3.49448       NA       NA 1.77466      NA      NA   0.8214       0.80429        0.83714            NA            NA 0.29662         NA      NA  0.86636        NA        NA 5.84186        NA        NA 5.22688        NA        NA          0.81742                   NA                   NA 0.012184      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.8712  276.65586 277.08654       NA       NA 11.66902   11.51872   11.82332         NA         NA 276.72066 276.50499 276.93633       NA       NA 11.68663   11.5361    11.84116         NA         NA 0.959       0.95749     0.96045          NA          NA      NA      NA     0          0          0  0.15054   0.088827   0.21225       NA     NA 3.34415    3.30108    3.38837         NA         NA 1.00054        NA        NA 2.38452      NA      NA 11.20504      NA      NA 11.18238        NA        NA 3.34739       NA       NA -3.60888      NA      NA -1.59222      NA      NA  0.20056       NA      NA  2.30819      NA      NA 4.67649      NA      NA 3.90041       NA       NA 1.93504      NA      NA   0.72639      0.71756        0.73499            NA            NA 0.022662        NA      NA  0.91796        NA        NA 4.46071        NA        NA 4.59457        NA        NA          0.72708                   NA                   NA 0.012097      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.10139 275.88869 276.31409       NA       NA 11.5261    11.37764   11.67851         NA         NA 276.16248 275.95174 276.37323       NA       NA 11.41986   11.27277   11.57087         NA         NA 0.96547     0.96419     0.9667           NA          NA      NA      NA     0          0          0 -0.061095 -0.11677   -0.0054204     NA     NA 3.01692    2.97806    3.05681         NA         NA 0.99978        NA        NA 2.15893      NA      NA  9.10473      NA      NA  9.101          NA        NA 3.0174        NA       NA -3.64117      NA      NA -1.64274      NA      NA  0.11609       NA      NA  1.79402      NA      NA 3.96108      NA      NA 3.43676       NA       NA 1.72228      NA      NA   0.77386      0.76635        0.78116            NA            NA 0.0037326       NA      NA  0.93019        NA        NA 4.61755        NA        NA 4.74501        NA        NA          0.7926                    NA                   NA 0.010926      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.97485 291.90518 292.04451       NA       NA  2.86132    2.8129     2.91146         NA         NA 291.81309 291.75008 291.87609       NA       NA  2.58769    2.54389    2.63303         NA         NA 0.92813     0.92467     0.93143          NA          NA      NA      NA     0          0          0  0.16176   0.13577    0.18775       NA     NA 1.06734    1.04928    1.08604         NA         NA 1.00055        NA        NA 0.72108      NA      NA  1.16521      NA      NA  1.13904        NA        NA 1.07945       NA       NA -0.84075      NA      NA -0.36278      NA      NA  0.088755      NA      NA  0.60954      NA      NA 1.27368      NA      NA 0.97232       NA       NA 0.47937      NA      NA   0.7319       0.72039        0.74301            NA            NA 0.026166        NA      NA  0.82599        NA        NA 1.74513        NA        NA 1.56934        NA        NA          0.79291                   NA                   NA 0.0036991     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.12502 261.96858 262.28146       NA       NA  5.66654    5.55804    5.77939         NA         NA 261.96769 261.79541 262.13997       NA       NA  6.24026    6.12078    6.36453         NA         NA 0.85102     0.84322     0.85846          NA          NA      NA      NA     0          0          0  0.15733   0.066327   0.24833       NA     NA 3.29623    3.23312    3.36187         NA         NA 1.0006         NA        NA 2.63759      NA      NA 10.88771      NA      NA 10.86296        NA        NA 3.29965       NA       NA -3.37947      NA      NA -1.56838      NA      NA  0.69507       NA      NA  3.1698       NA      NA 5.14637      NA      NA 4.73818       NA       NA 2.35549      NA      NA   0.80756      0.79774        0.81696            NA            NA 0.024752        NA      NA  0.7204         NA        NA 5.24273        NA        NA 5.3768         NA        NA          0.8072                    NA                   NA 0.012596      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.17362 258.97519 259.37205       NA       NA  7.18745    7.04984    7.33059         NA         NA 259.47646 259.26149 259.69143       NA       NA  7.78651    7.63742    7.94157         NA         NA 0.87335     0.86663     0.87974          NA          NA      NA      NA     0          0          0 -0.30284  -0.40809   -0.19758       NA     NA 3.8125     3.7395     3.88842         NA         NA 0.99883        NA        NA 2.96507      NA      NA 14.62398      NA      NA 14.53227        NA        NA 3.82413       NA       NA -3.90466      NA      NA -2.00689      NA      NA  0.020314      NA      NA  2.45108      NA      NA 4.85417      NA      NA 4.45797       NA       NA 2.18277      NA      NA   0.79865      0.78842        0.80843            NA            NA 0.091712        NA      NA  0.7588         NA        NA 6.45812        NA        NA 6.40565        NA        NA          0.82328                   NA                   NA 0.014738      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.22855 251.73797 252.71914       NA       NA  9.81943    9.48438   10.17921         NA         NA 253.39346 252.92492 253.862         NA       NA  9.37815    9.05815    9.72176         NA         NA 0.93325     0.92649     0.93941          NA          NA      NA      NA     0          0          0 -1.1649   -1.34145   -0.98835       NA     NA 3.53379    3.41321    3.66327         NA         NA 0.9954         NA        NA 2.76953      NA      NA 13.83659      NA      NA 12.47959        NA        NA 3.71976       NA       NA -5.73957      NA      NA -3.22637      NA      NA -1.33447       NA      NA  0.36192      NA      NA 3.02105      NA      NA 3.58829       NA       NA 1.81189      NA      NA   0.56168      0.52649        0.59495            NA            NA 1.357           NA      NA  0.84268        NA        NA 3.91614        NA        NA 3.72361        NA        NA          0.52684                   NA                   NA 0.01468       NA     NA
