VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10       E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS      MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.82225 280.18505 281.45946       NA       NA 12.75417   12.31898   13.22148         NA         NA 281.11346 280.55144 281.67548       NA       NA 11.2492    10.86536   11.66137         NA         NA 0.83056     0.81439     0.84544          NA          NA      NA      NA     0          0          0 -0.2912   -0.6476     0.06519       NA     NA 7.13348    6.89007    7.39484         NA         NA 0.99896        NA        NA 5.18376      NA      NA 50.93822      NA      NA 50.85342        NA        NA 7.1371        NA       NA -11.48267      NA      NA -3.50716      NA      NA  0.66032        NA      NA 3.9955        NA      NA 7.18541      NA      NA 7.50266       NA       NA 3.74173      NA      NA  -0.12451     -0.1734       -0.075011            NA            NA 0.0848          NA      NA  0.59747          NA        NA 5.54269        NA        NA 3.93841        NA        NA        -0.10778                    NA                   NA 0.025389      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.45412 283.08944 283.81881       NA       NA  7.95966    7.70989    8.22628         NA         NA 282.95742 282.62042 283.29443       NA       NA  7.3555     7.12469    7.60189         NA         NA 0.86033     0.84794     0.87179          NA          NA      NA      NA     0          0          0  0.4967    0.30936    0.68404       NA     NA 4.08894    3.96064    4.22591         NA         NA 1.00176        NA        NA 2.70582      NA      NA 16.95704      NA      NA 16.71033        NA        NA 4.11789       NA       NA  -4.52294      NA      NA -1.61989      NA      NA  0.13713        NA      NA 1.98734       NA      NA 4.19459      NA      NA 3.60723       NA       NA 1.80211      NA      NA   0.43846      0.40069       0.47474             NA            NA 0.24671         NA      NA  0.68658          NA        NA 4.08741        NA        NA 3.60419        NA        NA         0.4324                     NA                   NA 0.014553      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 281.89584 281.33434 282.45733       NA       NA  7.84562    7.46766    8.26418         NA         NA 281.58662 280.9709  282.20235       NA       NA  8.60337    8.18891    9.06235         NA         NA 0.93802     0.9288      0.94608          NA          NA      NA      NA     0          0          0  0.30922   0.095215   0.52322       NA     NA 2.99019    2.84614    3.14971         NA         NA 1.0011         NA        NA 2.09581      NA      NA  9.02491      NA      NA  8.9293         NA        NA 3.00415       NA       NA  -2.84226      NA      NA -1.09159      NA      NA  0.086432       NA      NA 1.80763       NA      NA 4.86419      NA      NA 2.89923       NA       NA 1.40364      NA      NA   0.73198      0.69692       0.76356             NA            NA 0.095614        NA      NA  0.87807          NA        NA 4.10931        NA        NA 4.77875        NA        NA         0.78162                    NA                   NA 0.010669      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.72059 277.2127  278.22848       NA       NA 10.07618    9.72941   10.44877         NA         NA 277.85873 277.39305 278.32441       NA       NA  9.23884    8.92088    9.58046         NA         NA 0.89157     0.88074     0.90146          NA          NA      NA      NA     0          0          0 -0.13814  -0.36852    0.092235      NA     NA 4.57055    4.41326    4.73956         NA         NA 0.9995         NA        NA 3.52695      NA      NA 20.89519      NA      NA 20.87611        NA        NA 4.57113       NA       NA  -6.93173      NA      NA -3.52503      NA      NA  0.1831         NA      NA 2.70036       NA      NA 5.20627      NA      NA 6.22539       NA       NA 3.0092       NA      NA   0.68001      0.65195       0.70621             NA            NA 0.019084        NA      NA  0.7552           NA        NA 5.31169        NA        NA 6.00459        NA        NA         0.67996                    NA                   NA 0.016451      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.32705 277.10681 277.54729       NA       NA 11.93468   11.78096   12.0925          NA         NA 277.42955 277.21645 277.64265       NA       NA 11.54745   11.39871   11.70014         NA         NA 0.91739     0.91441     0.92026          NA          NA      NA      NA     0          0          0 -0.1025   -0.19085   -0.014149      NA     NA 4.78751    4.72585    4.85082         NA         NA 0.99963        NA        NA 3.48941      NA      NA 22.92873      NA      NA 22.91823        NA        NA 4.7884        NA       NA  -5.86074      NA      NA -2.35085      NA      NA  0.50408        NA      NA 3.02067       NA      NA 5.43188      NA      NA 5.37152       NA       NA 2.64282      NA      NA   0.51022      0.49644       0.52374             NA            NA 0.010506        NA      NA  0.82805          NA        NA 4.74279        NA        NA 4.95304        NA        NA         0.51291                    NA                   NA 0.01726       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.92524 275.71206 276.13842       NA       NA 11.55205   11.40326   11.70481         NA         NA 275.84612 275.63503 276.0572        NA       NA 11.43825   11.29092   11.5895          NA         NA 0.9284      0.9258      0.9309           NA          NA      NA      NA     0          0          0  0.079122 -0.0011814  0.15943       NA     NA 4.35152    4.29547    4.40906         NA         NA 1.00029        NA        NA 3.2246       NA      NA 18.94033      NA      NA 18.93407        NA        NA 4.35205       NA       NA  -5.26046      NA      NA -2.50356      NA      NA  0.13902        NA      NA 2.60177       NA      NA 5.62648      NA      NA 5.10533       NA       NA 2.54939      NA      NA   0.57854      0.56613       0.59069             NA            NA 0.0062603       NA      NA  0.85523          NA        NA 5.11745        NA        NA 4.61392        NA        NA         0.60429                    NA                   NA 0.015777      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.99015 291.9127  292.0676        NA       NA  3.1811     3.12726    3.23683         NA         NA 291.87726 291.80746 291.94705       NA       NA  2.86659    2.81808    2.91682         NA         NA 0.92355     0.91988     0.92705          NA          NA      NA      NA     0          0          0  0.11289   0.083139   0.14264       NA     NA 1.22199    1.20131    1.2434          NA         NA 1.00039        NA        NA 0.83804      NA      NA  1.50578      NA      NA  1.49303        NA        NA 1.2271        NA       NA  -1.05041      NA      NA -0.51569      NA      NA  0.038204       NA      NA 0.6931        NA      NA 1.45934      NA      NA 1.20879       NA       NA 0.59709      NA      NA   0.66674      0.65299       0.68004             NA            NA 0.012745        NA      NA  0.81676          NA        NA 1.8279         NA        NA 1.57292        NA        NA         0.74944                    NA                   NA 0.0042042     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 263.1189  262.95241 263.28539       NA       NA  6.03059    5.91513    6.15069         NA         NA 263.42924 263.22711 263.63138       NA       NA  7.32173    7.18154    7.46754         NA         NA 0.78336     0.77245     0.7938           NA          NA      NA      NA     0          0          0 -0.31035  -0.43625   -0.18444       NA     NA 4.56053    4.47321    4.65135         NA         NA 0.99882        NA        NA 3.61361      NA      NA 20.89065      NA      NA 20.79433        NA        NA 4.57063       NA       NA  -5.01594      NA      NA -2.26626      NA      NA  0.83936        NA      NA 3.14001       NA      NA 5.33096      NA      NA 5.40626       NA       NA 2.62157      NA      NA   0.69542      0.68089       0.70941             NA            NA 0.096315        NA      NA  0.61031          NA        NA 5.5871         NA        NA 6.15486        NA        NA         0.70094                    NA                   NA 0.01735       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.48437 259.27804 259.6907        NA       NA  7.47357    7.33047    7.6224          NA         NA 259.01078 258.7948  259.22676       NA       NA  7.82319    7.6734     7.97898         NA         NA 0.76619     0.75454     0.77735          NA          NA      NA      NA     0          0          0  0.47359   0.32891    0.61827       NA     NA 5.24051    5.14017    5.34487         NA         NA 1.00183        NA        NA 4.12243      NA      NA 27.68176      NA      NA 27.45748        NA        NA 5.26135       NA       NA  -5.13432      NA      NA -2.34823      NA      NA  0.36952        NA      NA 3.33465       NA      NA 6.59081      NA      NA 5.68288       NA       NA 2.84159      NA      NA   0.62084      0.60357       0.63752             NA            NA 0.22428         NA      NA  0.5477           NA        NA 6.88258        NA        NA 5.93036        NA        NA         0.672                      NA                   NA 0.020313      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2280000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.73234 253.19241 254.27226       NA       NA 10.807     10.43825   11.20296         NA         NA 254.35091 253.87319 254.82862       NA       NA  9.56186    9.23559    9.9122          NA         NA 0.78957     0.76998     0.80767          NA          NA      NA      NA     0          0          0 -0.61857  -0.95386   -0.28327       NA     NA 6.71115    6.48215    6.95704         NA         NA 0.99757        NA        NA 5.01413      NA      NA 45.3929       NA      NA 45.01027        NA        NA 6.73743       NA       NA -12.53748      NA      NA -4.49946      NA      NA -0.28477        NA      NA 4.27908       NA      NA 7.94424      NA      NA 8.77855       NA       NA 4.45576      NA      NA  -0.21237     -0.25958      -0.16414             NA            NA 0.38263         NA      NA  0.50352          NA        NA 5.03219        NA        NA 3.52634        NA        NA        -0.21512                    NA                   NA 0.026489      NA     NA
