VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10       E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS     MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.81853 278.2252  279.41186       NA       NA 11.87591   11.47069   12.31104         NA         NA 279.5091  278.98313 280.03508       NA       NA 10.52772   10.16849   10.91344         NA         NA 0.79085     0.77137     0.80886          NA          NA      NA      NA     0          0          0 -0.69057  -1.0581   -0.32304      NA     NA 7.3563     7.10529    7.62583         NA         NA 0.99753        NA        NA 5.33045      NA      NA 54.55687      NA      NA 54.07998        NA        NA 7.38626       NA       NA -12.21195      NA      NA -4.05788      NA      NA  0.0912        NA      NA 3.59737       NA      NA 6.77131      NA      NA 7.65526       NA       NA 3.74132      NA      NA -0.1999       -0.24739      -0.15144             NA            NA 0.47689         NA      NA  0.50776         NA        NA 5.54802        NA        NA 3.97365        NA        NA        -0.18113                    NA                   NA 0.026426      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.00734 282.6638  283.35089       NA       NA  7.49828    7.26299    7.74945         NA         NA 282.76465 282.43702 283.09228       NA       NA  7.15087    6.92647    7.39039         NA         NA 0.87693     0.8659      0.88711          NA          NA      NA      NA     0          0          0  0.24269   0.075485  0.4099       NA     NA 3.64945    3.53493    3.77169         NA         NA 1.00086        NA        NA 2.49789      NA      NA 13.37011      NA      NA 13.31121        NA        NA 3.65652       NA       NA  -4.18504      NA      NA -1.74141      NA      NA -0.14327       NA      NA 1.8604        NA      NA 3.96333      NA      NA 3.60182       NA       NA 1.78999      NA      NA  0.50281       0.46777       0.53628             NA            NA 0.058899        NA      NA  0.73853         NA        NA 3.94573        NA        NA 3.28657        NA        NA         0.50125                    NA                   NA 0.012931      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 282.20711 281.62656 282.78766       NA       NA  8.11186    7.72108    8.54462         NA         NA 281.99897 281.41161 282.58633       NA       NA  8.20709    7.81172    8.64493         NA         NA 0.91341     0.90072     0.92454          NA          NA      NA      NA     0          0          0  0.20814  -0.034963  0.45125      NA     NA 3.39684    3.2332     3.57806         NA         NA 1.00074        NA        NA 2.54025      NA      NA 11.56646      NA      NA 11.52313        NA        NA 3.40095       NA       NA  -4.13058      NA      NA -1.88235      NA      NA -0.3106        NA      NA 1.72216       NA      NA 5.15613      NA      NA 3.60452       NA       NA 1.79511      NA      NA  0.64205       0.59795       0.68228             NA            NA 0.043323        NA      NA  0.82828         NA        NA 4.49116        NA        NA 4.76053        NA        NA         0.7312                     NA                   NA 0.01206       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.16115 278.64293 279.67936       NA       NA 10.28102    9.9272    10.66118         NA         NA 279.02707 278.5447  279.50943       NA       NA  9.56981    9.24047    9.92368         NA         NA 0.92361     0.91585     0.93069          NA          NA      NA      NA     0          0          0  0.13408  -0.064599  0.33276      NA     NA 3.94165    3.806      4.0874          NA         NA 1.00048        NA        NA 3.16718      NA      NA 15.54433      NA      NA 15.52635        NA        NA 3.94263       NA       NA  -5.7966       NA      NA -2.65551      NA      NA  0.26236       NA      NA 2.75514       NA      NA 4.79738      NA      NA 5.41065       NA       NA 2.66041      NA      NA  0.73808       0.71424       0.76021             NA            NA 0.017977        NA      NA  0.83027         NA        NA 5.06107        NA        NA 5.70355        NA        NA         0.7379                     NA                   NA 0.01413       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.10321 276.88664 277.31978       NA       NA 11.73564   11.58448   11.89082         NA         NA 277.26637 277.05643 277.47632       NA       NA 11.37661   11.23008   11.52705         NA         NA 0.91635     0.91334     0.91926          NA          NA      NA      NA     0          0          0 -0.16316  -0.25063  -0.075692     NA     NA 4.73982    4.67877    4.80249         NA         NA 0.99941        NA        NA 3.4314       NA      NA 22.49052      NA      NA 22.4639         NA        NA 4.74242       NA       NA  -5.51478      NA      NA -2.38228      NA      NA  0.41592       NA      NA 3.10269       NA      NA 5.53885      NA      NA 5.48496       NA       NA 2.74984      NA      NA  0.51432       0.50061       0.52776             NA            NA 0.026622        NA      NA  0.82623         NA        NA 4.78745        NA        NA 4.84831        NA        NA         0.5156                     NA                   NA 0.017104      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.74141 275.52899 275.95382       NA       NA 11.51043   11.36217   11.66263         NA         NA 275.78096 275.56847 275.99346       NA       NA 11.51475   11.36643   11.66701         NA         NA 0.92937     0.92681     0.93184          NA          NA      NA      NA     0          0          0 -0.039555 -0.11941   0.040297     NA     NA 4.32706    4.27133    4.38428         NA         NA 0.99986        NA        NA 3.22334      NA      NA 18.72337      NA      NA 18.7218         NA        NA 4.32705       NA       NA  -5.24025      NA      NA -2.56485      NA      NA -0.005225      NA      NA 2.54006       NA      NA 5.77048      NA      NA 5.1049        NA       NA 2.5532       NA      NA  0.55807       0.54523       0.57065             NA            NA 0.0015646       NA      NA  0.85879         NA        NA 4.94915        NA        NA 4.49756        NA        NA         0.584                      NA                   NA 0.01569       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.8958  291.82605 291.96556       NA       NA  2.86499    2.8165     2.91518         NA         NA 291.82417 291.76209 291.88625       NA       NA  2.54965    2.5065     2.59432         NA         NA 0.90458     0.90006     0.90891          NA          NA      NA      NA     0          0          0  0.071632  0.041877  0.10139      NA     NA 1.22206    1.20138    1.24347         NA         NA 1.00025        NA        NA 0.84541      NA      NA  1.49833      NA      NA  1.4932         NA        NA 1.22406       NA       NA  -1.08885      NA      NA -0.56188      NA      NA -0.019737      NA      NA 0.67475       NA      NA 1.43084      NA      NA 1.23663       NA       NA 0.59709      NA      NA  0.66998       0.65634       0.68319             NA            NA 0.0051311       NA      NA  0.76951         NA        NA 1.7667         NA        NA 1.58161        NA        NA         0.73802                    NA                   NA 0.0041945     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.94138 262.7656  263.11715       NA       NA  6.36674    6.24484    6.49353         NA         NA 263.32625 263.11545 263.53705       NA       NA  7.6356     7.4894     7.78766         NA         NA 0.78239     0.77145     0.79287          NA          NA      NA      NA     0          0          0 -0.38487  -0.5166   -0.25314      NA     NA 4.77155    4.68019    4.86658         NA         NA 0.99854        NA        NA 3.75645      NA      NA 22.91133      NA      NA 22.7632         NA        NA 4.78658       NA       NA  -4.98051      NA      NA -2.26014      NA      NA  1.01027       NA      NA 3.55144       NA      NA 6.02579      NA      NA 5.81158       NA       NA 2.88831      NA      NA  0.68912       0.67434       0.70335             NA            NA 0.14813         NA      NA  0.60703         NA        NA 5.7596         NA        NA 6.34317        NA        NA         0.6911                     NA                   NA 0.018177      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.01442 258.81467 259.21417       NA       NA  7.23513    7.0966     7.37922         NA         NA 258.48896 258.2712  258.70672       NA       NA  7.88763    7.73661    8.04471         NA         NA 0.77609     0.76487     0.78684          NA          NA      NA      NA     0          0          0  0.52546   0.38473   0.66619      NA     NA 5.09729    4.99969    5.1988          NA         NA 1.00203        NA        NA 4.05988      NA      NA 26.25331      NA      NA 25.9772         NA        NA 5.1238        NA       NA  -4.89731      NA      NA -2.3917       NA      NA  0.26667       NA      NA 3.40678       NA      NA 6.87356      NA      NA 5.79848       NA       NA 2.89018      NA      NA  0.61398       0.59648       0.63089             NA            NA 0.27611         NA      NA  0.57802         NA        NA 6.53315        NA        NA 5.55923        NA        NA         0.65163                    NA                   NA 0.019822      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2400000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.58332 253.05361 254.11302       NA       NA 10.60244   10.24067   10.99091         NA         NA 254.4321  253.98136 254.88283       NA       NA  9.02175    8.71392    9.3523          NA         NA 0.7931      0.7738      0.81093          NA          NA      NA      NA     0          0          0 -0.84878  -1.17287  -0.52469      NA     NA 6.48688    6.26553    6.72455         NA         NA 0.99666        NA        NA 4.90697      NA      NA 42.77266      NA      NA 42.05224        NA        NA 6.54008       NA       NA -12.31952      NA      NA -4.89807      NA      NA -0.40769       NA      NA 3.71892       NA      NA 7.19218      NA      NA 8.61699       NA       NA 4.32279      NA      NA -0.14058      -0.18922      -0.091253            NA            NA 0.72042         NA      NA  0.47449         NA        NA 5.11622        NA        NA 3.47502        NA        NA        -0.12715                    NA                   NA 0.025705      NA     NA
