VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL    ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75       E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.81758 280.20277 281.4324        NA       NA 12.30599   11.88609   12.75687         NA         NA 280.61089 279.99975 281.22204       NA       NA 12.23247   11.81507   12.68065         NA         NA 0.98485     0.98327     0.98628          NA          NA      NA      NA     0          0          0  0.20669    0.099912  0.31346      NA     NA 2.13721    2.06428    2.21551         NA         NA 1.00074        NA        NA 1.60275      NA      NA 4.60741      NA      NA 4.56469        NA        NA 2.14649       NA       NA -2.43114      NA      NA -1.15952      NA      NA -0.034741       NA      NA  1.33022       NA      NA 3.08092      NA      NA 2.48975       NA       NA 1.25014      NA      NA   0.91931       0.9112        0.92671            NA            NA 0.04272         NA      NA 0.96921        NA        NA 5.24323        NA        NA 5.51347        NA        NA          0.92157                   NA                   NA 0.0076493     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.8231  283.45861 284.18758       NA       NA  7.95536    7.70573    8.22184         NA         NA 283.71115 283.35612 284.06618       NA       NA  7.74903    7.50587    8.00859         NA         NA 0.98304     0.98143     0.98452          NA          NA      NA      NA     0          0          0  0.11195    0.045029  0.17886      NA     NA 1.46053    1.4147     1.50945         NA         NA 1.00039        NA        NA 1.00359      NA      NA 2.14451      NA      NA 2.13198        NA        NA 1.46441       NA       NA -1.46574      NA      NA -0.49002      NA      NA  0.1292         NA      NA  0.92067       NA      NA 1.66366      NA      NA 1.41069       NA       NA 0.69402      NA      NA   0.87262       0.86124       0.88313            NA            NA 0.012532        NA      NA 0.96429        NA        NA 2.95505        NA        NA 2.85151        NA        NA          0.87339                   NA                   NA 0.0051616     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.87988 279.45169 280.30807       NA       NA  5.983      5.69477    6.30219         NA         NA 280.6074  280.21472 281.00008       NA       NA  5.4868     5.22248    5.77951         NA         NA 0.97504     0.97125     0.97834          NA          NA      NA      NA     0          0          0 -0.72752   -0.82578  -0.62926      NA     NA 1.37295    1.30681    1.44619         NA         NA 0.99741        NA        NA 1.19692      NA      NA 2.41176      NA      NA 1.88247        NA        NA 1.55299       NA       NA -2.65911      NA      NA -1.66274      NA      NA -0.77447        NA      NA -0.028629      NA      NA 0.76238      NA      NA 1.63411       NA       NA 0.80561      NA      NA   0.94219       0.93357       0.94972            NA            NA 0.52929         NA      NA 0.91989        NA        NA 3.46872        NA        NA 4.21868        NA        NA          0.93681                   NA                   NA 0.0055344     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.50888 278.02555 278.9922        NA       NA  9.58889    9.25889    9.94346         NA         NA 278.36235 277.88101 278.84369       NA       NA  9.54945    9.22081    9.90257         NA         NA 0.96308     0.95924     0.96657          NA          NA      NA      NA     0          0          0  0.14653    0.01545   0.2776       NA     NA 2.60047    2.51097    2.69662         NA         NA 1.00053        NA        NA 1.7619       NA      NA 6.77942      NA      NA 6.75795        NA        NA 2.60373       NA       NA -2.75866      NA      NA -1.35497      NA      NA -0.0039851      NA      NA  1.16615       NA      NA 2.82114      NA      NA 2.52112       NA       NA 1.25865      NA      NA   0.89516       0.88467       0.90474            NA            NA 0.02147         NA      NA 0.92566        NA        NA 5.7434         NA        NA 5.77642        NA        NA          0.89784                   NA                   NA 0.0093537     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.99099 276.77042 277.21156       NA       NA 11.95226   11.79831   12.11031         NA         NA 277.08597 276.86532 277.30662       NA       NA 11.95668   11.80267   12.11478         NA         NA 0.98415     0.98356     0.98472          NA          NA      NA      NA     0          0          0 -0.094978  -0.13426  -0.055696     NA     NA 2.12864    2.10122    2.15679         NA         NA 0.99966        NA        NA 1.5113       NA      NA 4.53972      NA      NA 4.5307         NA        NA 2.13066       NA       NA -2.44394      NA      NA -1.1107       NA      NA  0.038641       NA      NA  1.21151       NA      NA 2.37014      NA      NA 2.32221       NA       NA 1.16015      NA      NA   0.89424       0.89048       0.89787            NA            NA 0.0090209       NA      NA 0.96825        NA        NA 4.54417        NA        NA 4.74604        NA        NA          0.8957                    NA                   NA 0.0076895     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.99673 275.78116 276.21231       NA       NA 11.68181   11.53134   11.83628         NA         NA 276.1033  275.8899  276.31669       NA       NA 11.56355   11.41461   11.71646         NA         NA 0.98317     0.98255     0.98378          NA          NA      NA      NA     0          0          0 -0.10657   -0.14597  -0.067159     NA     NA 2.13544    2.10794    2.16368         NA         NA 0.99961        NA        NA 1.46099      NA      NA 4.57106      NA      NA 4.5597         NA        NA 2.138         NA       NA -3.40303      NA      NA -1.56862      NA      NA -0.18498        NA      NA  0.91339       NA      NA 2.18393      NA      NA 2.48201       NA       NA 1.225        NA      NA   0.87942       0.87517       0.88353            NA            NA 0.011356        NA      NA 0.96582        NA        NA 4.40688        NA        NA 4.56481        NA        NA          0.88701                   NA                   NA 0.0077435     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.97109 291.90245 292.03973       NA       NA  2.81918    2.77147    2.86857         NA         NA 291.84478 291.77793 291.91163       NA       NA  2.74549    2.69902    2.79359         NA         NA 0.95353     0.95126     0.95569          NA          NA      NA      NA     0          0          0  0.12631    0.10558   0.14704      NA     NA 0.85138    0.83697    0.8663          NA         NA 1.00043        NA        NA 0.57006      NA      NA 0.74069      NA      NA 0.72474        NA        NA 0.86063       NA       NA -0.67865      NA      NA -0.2857       NA      NA  0.087544       NA      NA  0.4848        NA      NA 0.9814       NA      NA 0.77051       NA       NA 0.38322      NA      NA   0.77919       0.76944       0.78857            NA            NA 0.015955        NA      NA 0.90174        NA        NA 1.55663        NA        NA 1.50084        NA        NA          0.84214                   NA                   NA 0.0029489     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.74872 261.5916  261.90584       NA       NA  5.69113    5.58216    5.80446         NA         NA 261.82506 261.64828 262.00185       NA       NA  6.40335    6.28074    6.53087         NA         NA 0.9398      0.93649     0.94295          NA          NA      NA      NA     0          0          0 -0.076341  -0.13742  -0.015262     NA     NA 2.21239    2.17003    2.25644         NA         NA 0.99971        NA        NA 1.64173      NA      NA 4.8995       NA      NA 4.89368        NA        NA 2.21348       NA       NA -2.25203      NA      NA -0.82692      NA      NA  0.40736        NA      NA  1.60588       NA      NA 2.41579      NA      NA 2.4328        NA       NA 1.21584      NA      NA   0.9067        0.90166       0.91149            NA            NA 0.005828        NA      NA 0.88051        NA        NA 4.98261        NA        NA 5.20963        NA        NA          0.90662                   NA                   NA 0.0084541     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.34309 259.11167 259.57452       NA       NA  8.38258    8.22208    8.54952         NA         NA 259.66314 259.4326  259.89368       NA       NA  8.35046    8.19058    8.51676         NA         NA 0.94218     0.939       0.9452           NA          NA      NA      NA     0          0          0 -0.32005   -0.3986   -0.2415       NA     NA 2.84532    2.79084    2.90198         NA         NA 0.99877        NA        NA 2.12407      NA      NA 8.19668      NA      NA 8.09425        NA        NA 2.86298       NA       NA -4.09291      NA      NA -2.52876      NA      NA -0.69809        NA      NA  0.92544       NA      NA 2.69867      NA      NA 3.4542        NA       NA 1.72041      NA      NA   0.86454       0.85739       0.87135            NA            NA 0.10243         NA      NA 0.88245        NA        NA 5.60371        NA        NA 6.17476        NA        NA          0.88627                   NA                   NA 0.011026      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260417_120000 20260417_120000 000000   20260417_120000 20260417_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.45077 252.96305 253.93848       NA       NA  9.76199    9.4289    10.11966         NA         NA 253.22026 252.7222  253.71831       NA       NA  9.96891    9.62876   10.33416         NA         NA 0.98598     0.98452     0.98731          NA          NA      NA      NA     0          0          0  0.23051    0.14734   0.31367      NA     NA 1.66461    1.60781    1.7256          NA         NA 1.00091        NA        NA 1.28946      NA      NA 2.82227      NA      NA 2.76913        NA        NA 1.67996       NA       NA -1.75536      NA      NA -0.87001      NA      NA  0.033846       NA      NA  1.19307       NA      NA 2.6023       NA      NA 2.06308       NA       NA 1.01685      NA      NA   0.88581       0.87456       0.89612            NA            NA 0.053135        NA      NA 0.9716         NA        NA 3.53704        NA        NA 3.41338        NA        NA          0.88375                   NA                   NA 0.0066344     NA     NA
