VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS      MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.57819 279.96742 281.18896       NA       NA 12.22503   11.8079    12.67295         NA         NA 280.11352 279.53215 280.69489       NA       NA 11.63656   11.2395    12.06291         NA         NA 0.95507     0.95046     0.95926          NA          NA      NA      NA     0          0          0  0.46467   0.28364    0.64571      NA     NA 3.62349    3.49985    3.75625         NA         NA 1.00166        NA        NA 2.47668      NA      NA 13.33708      NA      NA 13.12116        NA        NA 3.652         NA       NA -3.2901       NA      NA -1.73655      NA      NA -0.13566       NA      NA  1.51768      NA      NA 4.18891      NA      NA 3.25423       NA       NA 1.63527      NA      NA   0.69269       0.66576       0.71781            NA            NA 0.21592         NA      NA  0.90151          NA        NA 4.55212        NA        NA 4.71514        NA        NA          0.68993                   NA                   NA 0.013038      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.28168 282.89912 283.66425       NA       NA  8.34994    8.08792    8.62963         NA         NA 283.41677 283.04169 283.79184       NA       NA  8.18646    7.92957    8.46067         NA         NA 0.96697     0.96386     0.96982          NA          NA      NA      NA     0          0          0 -0.13509  -0.23273   -0.037444     NA     NA 2.13113    2.06426    2.20252         NA         NA 0.99952        NA        NA 1.45669      NA      NA  4.5575       NA      NA  4.53925        NA        NA 2.13483       NA       NA -2.47621      NA      NA -1.19447      NA      NA -0.2103        NA      NA  0.87301      NA      NA 2.107        NA      NA 2.06748       NA       NA 1.02688      NA      NA   0.76406       0.7443        0.78249            NA            NA 0.018248        NA      NA  0.932            NA        NA 3.26518        NA        NA 2.81732        NA        NA          0.76319                   NA                   NA 0.0075325     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 278.95957 278.38933 279.5298        NA       NA  7.96779    7.58395    8.39287         NA         NA 280.27304 279.77129 280.7748        NA       NA  7.01096    6.67321    7.38499         NA         NA 0.94519     0.93701     0.95234          NA          NA      NA      NA     0          0          0 -1.31348  -1.50335   -1.12361      NA     NA 2.65304    2.52523    2.79457         NA         NA 0.99531        NA        NA 2.18809      NA      NA  8.75443      NA      NA  7.02921        NA        NA 2.95879       NA       NA -5.29122      NA      NA -3.70419      NA      NA -0.9864        NA      NA  0.57794      NA      NA 1.42482      NA      NA 4.28213       NA       NA 1.89766      NA      NA   0.70739       0.66971       0.74143            NA            NA 1.72522         NA      NA  0.8219           NA        NA 3.18286        NA        NA 3.76739        NA        NA          0.64921                   NA                   NA 0.010557      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.3387  276.87314 277.80427       NA       NA  9.23652    8.91864    9.57806         NA         NA 277.16809 276.70554 277.63063       NA       NA  9.17662    8.86081    9.51594         NA         NA 0.88531     0.8739      0.89574          NA          NA      NA      NA     0          0          0  0.17062  -0.051656   0.39289      NA     NA 4.40974    4.25798    4.5728          NA         NA 1.00062        NA        NA 3.1317       NA      NA 19.46205      NA      NA 19.43294        NA        NA 4.41158       NA       NA -5.44616      NA      NA -2.24838      NA      NA -0.089552      NA      NA  2.53487      NA      NA 5.93805      NA      NA 4.78325       NA       NA 2.39535      NA      NA   0.68828       0.66079       0.71392            NA            NA 0.02911         NA      NA  0.76889          NA        NA 4.56008        NA        NA 6.07789        NA        NA          0.69046                   NA                   NA 0.015917      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.02667 276.81071 277.24263       NA       NA 11.70253   11.5518    11.85728         NA         NA 276.95548 276.73708 277.17388       NA       NA 11.83469   11.68225   11.99118         NA         NA 0.95313     0.95141     0.95479          NA          NA      NA      NA     0          0          0  0.071192  0.0046552  0.13773      NA     NA 3.60554    3.5591     3.65322         NA         NA 1.00026        NA        NA 2.55798      NA      NA 13.00384      NA      NA 12.99877        NA        NA 3.60608       NA       NA -3.64916      NA      NA -1.71333      NA      NA  0.24979       NA      NA  2.53233      NA      NA 5.13364      NA      NA 4.24566       NA       NA 2.1196       NA      NA   0.67186       0.66161       0.68186            NA            NA 0.0050683       NA      NA  0.90716          NA        NA 4.11011        NA        NA 4.70294        NA        NA          0.67272                   NA                   NA 0.01302       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.9884  275.77433 276.20248       NA       NA 11.60046   11.45105   11.75386         NA         NA 276.15789 275.94486 276.37093       NA       NA 11.54382   11.39513   11.69646         NA         NA 0.96902     0.96787     0.97012          NA          NA      NA      NA     0          0          0 -0.16949  -0.22266   -0.11632      NA     NA 2.88129    2.84418    2.91939         NA         NA 0.99939        NA        NA 2.07587      NA      NA  8.32982      NA      NA  8.3011         NA        NA 2.88614       NA       NA -4.15144      NA      NA -1.99418      NA      NA -0.24512       NA      NA  1.33961      NA      NA 3.3785       NA      NA 3.33379       NA       NA 1.66035      NA      NA   0.80027       0.79353       0.80681            NA            NA 0.028728        NA      NA  0.93749          NA        NA 4.71113        NA        NA 4.75656        NA        NA          0.81419                   NA                   NA 0.010451      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.9987  291.92352 292.07387       NA       NA  3.08748    3.03523    3.14158         NA         NA 291.8423  291.77264 291.91197       NA       NA  2.86116    2.81274    2.91129         NA         NA 0.95175     0.94941     0.954            NA          NA      NA      NA     0          0          0  0.15639   0.13325    0.17954      NA     NA 0.95058    0.93449    0.96723         NA         NA 1.00054        NA        NA 0.67199      NA      NA  0.92791      NA      NA  0.90345        NA        NA 0.96328       NA       NA -0.82329      NA      NA -0.33894      NA      NA  0.11058       NA      NA  0.59683      NA      NA 1.19095      NA      NA 0.93578       NA       NA 0.46539      NA      NA   0.79219       0.78295       0.80109            NA            NA 0.024459        NA      NA  0.88665          NA        NA 1.77381        NA        NA 1.60542        NA        NA          0.84206                   NA                   NA 0.0033007     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.64173 262.49994 262.78353       NA       NA  5.13592    5.03758    5.2382          NA         NA 262.34874 262.17196 262.52551       NA       NA  6.40313    6.28054    6.53065         NA         NA 0.85567     0.84809     0.86289          NA          NA      NA      NA     0          0          0  0.293     0.20102    0.38497      NA     NA 3.3315     3.26772    3.39785         NA         NA 1.00112        NA        NA 2.66058      NA      NA 11.18256      NA      NA 11.09671        NA        NA 3.34403       NA       NA -3.16817      NA      NA -1.57566      NA      NA  1.04175       NA      NA  3.38825      NA      NA 5.66397      NA      NA 4.96391       NA       NA 2.50781      NA      NA   0.78991       0.7793        0.80007            NA            NA 0.085848        NA      NA  0.72726          NA        NA 4.85919        NA        NA 5.34876        NA        NA          0.78948                   NA                   NA 0.012747      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 258.96844 258.75889 259.17799       NA       NA  7.59016    7.44484    7.74132         NA         NA 259.33661 259.12009 259.55314       NA       NA  7.84275    7.69259    7.99893         NA         NA 0.91209     0.90732     0.91661          NA          NA      NA      NA     0          0          0 -0.36818  -0.45777   -0.27859      NA     NA 3.24508    3.18295    3.30971         NA         NA 0.99858        NA        NA 2.58867      NA      NA 10.66402      NA      NA 10.52847        NA        NA 3.26558       NA       NA -4.81375      NA      NA -2.68274      NA      NA -0.53702       NA      NA  1.63651      NA      NA 3.7749       NA      NA 4.31925       NA       NA 2.15788      NA      NA   0.83815       0.82974       0.84618            NA            NA 0.13555         NA      NA  0.82663          NA        NA 6.01307        NA        NA 6.1761         NA        NA          0.85678                   NA                   NA 0.012592      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.91136 252.38768 253.43504       NA       NA 10.48174   10.12409   10.86578         NA         NA 254.37203 253.90235 254.84171       NA       NA  9.40098    9.08021    9.74543         NA         NA 0.96405     0.96034     0.96741          NA          NA      NA      NA     0          0          0 -1.46067  -1.6042    -1.31714      NA     NA 2.87284    2.77481    2.9781          NA         NA 0.99426        NA        NA 2.33093      NA      NA 10.3814       NA      NA  8.24785        NA        NA 3.22202       NA       NA -5.99231      NA      NA -3.23272      NA      NA -1.45319       NA      NA -0.25683      NA      NA 1.29213      NA      NA 2.97589       NA       NA 1.38549      NA      NA   0.73674       0.71302       0.75878            NA            NA 2.13355         NA      NA  0.88253          NA        NA 4.25233        NA        NA 3.62476        NA        NA          0.67602                   NA                   NA 0.012667      NA     NA
