VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS     MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.4729  277.89687 279.04892       NA       NA 11.52963   11.13622   11.95207         NA         NA 278.39072 277.8469  278.93454       NA       NA 10.8849    10.51349   11.28371         NA         NA 0.95172     0.94678     0.95622          NA          NA      NA      NA     0          0          0  0.082173 -0.094697   0.25904       NA     NA 3.54019    3.41939    3.6699          NA         NA 1.0003         NA        NA 2.43647      NA      NA 12.53153      NA      NA 12.52478        NA        NA 3.53999       NA       NA -3.61579      NA      NA -1.80903      NA      NA -0.34486       NA      NA  1.35479      NA      NA 3.87193      NA      NA 3.16382       NA       NA 1.59396      NA      NA   0.60655       0.57398       0.63721            NA            NA 0.0067525       NA      NA  0.89423         NA        NA 4.06047        NA        NA 3.93407        NA        NA          0.60826                   NA                   NA 0.012716      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 282.96513 282.59773 283.33253       NA       NA  8.01887    7.76724    8.28747         NA         NA 282.85997 282.48623 283.2337        NA       NA  8.15717    7.9012     8.43041         NA         NA 0.95458     0.95032     0.95847          NA          NA      NA      NA     0          0          0  0.10516  -0.0067071  0.21703       NA     NA 2.44167    2.36505    2.52345         NA         NA 1.00037        NA        NA 1.57388      NA      NA  5.96953      NA      NA  5.95847        NA        NA 2.44326       NA       NA -2.22226      NA      NA -0.95344      NA      NA -0.044113      NA      NA  0.96447      NA      NA 2.92098      NA      NA 1.91791       NA       NA 0.96065      NA      NA   0.72071       0.69793       0.74202            NA            NA 0.011059        NA      NA  0.91029         NA        NA 3.24025        NA        NA 3.30034        NA        NA          0.72106                   NA                   NA 0.0086377     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 278.77537 278.18271 279.36802       NA       NA  8.28105    7.88212    8.72284         NA         NA 280.35613 279.82675 280.88551       NA       NA  7.39688    7.04055    7.7915          NA         NA 0.93295     0.92301     0.94165          NA          NA      NA      NA     0          0          0 -1.58076  -1.79542   -1.36611       NA     NA 2.99931    2.85482    3.15932         NA         NA 0.99436        NA        NA 2.38468      NA      NA 11.48266      NA      NA  8.98385        NA        NA 3.38861       NA       NA -5.99551      NA      NA -3.96879      NA      NA -1.0717        NA      NA  0.42692      NA      NA 1.38195      NA      NA 4.39571       NA       NA 1.82254      NA      NA   0.67968       0.63919       0.71641            NA            NA 2.49881         NA      NA  0.79013         NA        NA 3.37669        NA        NA 4.09899        NA        NA          0.60404                   NA                   NA 0.012087      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.51858 278.02217 279.015         NA       NA  9.8486     9.50966   10.21277         NA         NA 278.43948 277.94368 278.93528       NA       NA  9.83639    9.49787   10.20011         NA         NA 0.90006     0.89003     0.90922          NA          NA      NA      NA     0          0          0  0.079104 -0.1427     0.30091       NA     NA 4.4004     4.24896    4.56312         NA         NA 1.00028        NA        NA 3.27169      NA      NA 19.35698      NA      NA 19.35072        NA        NA 4.39966       NA       NA -6.69915      NA      NA -2.52533      NA      NA -0.15346       NA      NA  2.54556      NA      NA 5.97894      NA      NA 5.07089       NA       NA 2.53298      NA      NA   0.6877        0.66018       0.71338            NA            NA 0.0062574       NA      NA  0.79994         NA        NA 4.44285        NA        NA 6.06651        NA        NA          0.68981                   NA                   NA 0.015801      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.84717 276.63669 277.05766       NA       NA 11.4058    11.25889   11.55662         NA         NA 276.90171 276.68778 277.11563       NA       NA 11.59221   11.4429    11.74549         NA         NA 0.94812     0.94622     0.94995          NA          NA      NA      NA     0          0          0 -0.054535 -0.12298    0.013907      NA     NA 3.70876    3.66099    3.75781         NA         NA 0.9998         NA        NA 2.68946      NA      NA 13.75669      NA      NA 13.75371        NA        NA 3.709         NA       NA -4.1311       NA      NA -1.79553      NA      NA  0.29903       NA      NA  2.71697      NA      NA 5.1549       NA      NA 4.51249       NA       NA 2.24184      NA      NA   0.64424       0.63332       0.65491            NA            NA 0.002974        NA      NA  0.89763         NA        NA 4.01821        NA        NA 4.67538        NA        NA          0.64537                   NA                   NA 0.013395      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.95977 275.74578 276.17376       NA       NA 11.59588   11.44652   11.74921         NA         NA 276.02605 275.81447 276.23762       NA       NA 11.46485   11.31718   11.61646         NA         NA 0.96428     0.96296     0.96555          NA          NA      NA      NA     0          0          0 -0.066275 -0.1232    -0.0093527     NA     NA 3.08452    3.04479    3.12531         NA         NA 0.99976        NA        NA 2.21486      NA      NA  9.51782      NA      NA  9.51343        NA        NA 3.0851        NA       NA -4.71079      NA      NA -2.1773       NA      NA -0.13457       NA      NA  1.64254      NA      NA 3.80235      NA      NA 3.81984       NA       NA 1.91243      NA      NA   0.78107       0.77377       0.78817            NA            NA 0.0043924       NA      NA  0.92759         NA        NA 4.76632        NA        NA 4.88936        NA        NA          0.79612                   NA                   NA 0.011177      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.98026 291.9107  292.04982       NA       NA  2.85693    2.80858    2.90698         NA         NA 291.75657 291.6937  291.81944       NA       NA  2.58209    2.53839    2.62733         NA         NA 0.94028     0.93739     0.94304          NA          NA      NA      NA     0          0          0  0.22369   0.19988    0.24751       NA     NA 0.97809    0.96154    0.99523         NA         NA 1.00077        NA        NA 0.69799      NA      NA  1.00655      NA      NA  0.95651        NA        NA 1.00327       NA       NA -0.758        NA      NA -0.29977      NA      NA  0.17853       NA      NA  0.67736      NA      NA 1.27703      NA      NA 0.97713       NA       NA 0.48614      NA      NA   0.78408       0.77452       0.79328            NA            NA 0.050038        NA      NA  0.84903         NA        NA 1.77818        NA        NA 1.55569        NA        NA          0.82702                   NA                   NA 0.0034387     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.93387 262.78749 263.08025       NA       NA  5.30204    5.20052    5.40763         NA         NA 262.63451 262.45361 262.8154        NA       NA  6.55229    6.42684    6.68278         NA         NA 0.84169     0.83345     0.84956          NA          NA      NA      NA     0          0          0  0.29936   0.20151    0.39721       NA     NA 3.54435    3.47649    3.61494         NA         NA 1.00114        NA        NA 2.79602      NA      NA 12.64956      NA      NA 12.55994        NA        NA 3.55662       NA       NA -3.51733      NA      NA -1.50795      NA      NA  1.25949       NA      NA  3.7001       NA      NA 5.39333      NA      NA 5.20805       NA       NA 2.58829      NA      NA   0.7693        0.75778       0.78033            NA            NA 0.089616        NA      NA  0.70536         NA        NA 4.95561        NA        NA 5.45563        NA        NA          0.77068                   NA                   NA 0.013542      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 258.98389 258.77074 259.19704       NA       NA  7.7206     7.57278    7.87436         NA         NA 259.34559 259.12768 259.5635        NA       NA  7.89306    7.74193    8.05024         NA         NA 0.88475     0.8786      0.8906           NA          NA      NA      NA     0          0          0 -0.3617   -0.46528   -0.25812       NA     NA 3.75185    3.68001    3.82656         NA         NA 0.99861        NA        NA 2.92653      NA      NA 14.2044       NA      NA 14.07357        NA        NA 3.76887       NA       NA -5.50695      NA      NA -3.4977       NA      NA -0.62671       NA      NA  1.92794      NA      NA 4.4682       NA      NA 5.42564       NA       NA 2.68523      NA      NA   0.79497       0.78458       0.80492            NA            NA 0.13083         NA      NA  0.772           NA        NA 6.20685        NA        NA 6.31819        NA        NA          0.81905                   NA                   NA 0.014532      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.44454 251.9262  252.96287       NA       NA 10.3748    10.02079   10.75492         NA         NA 253.95594 253.5034  254.40849       NA       NA  9.05808    8.74901    9.38996         NA         NA 0.96097     0.95695     0.96462          NA          NA      NA      NA     0          0          0 -1.51141  -1.66187   -1.36094       NA     NA 3.01166    2.9089     3.12201         NA         NA 0.99405        NA        NA 2.45349      NA      NA 11.34857      NA      NA  9.06422        NA        NA 3.36876       NA       NA -6.47789      NA      NA -3.40716      NA      NA -1.45522       NA      NA -0.17056      NA      NA 1.28244      NA      NA 3.2366        NA       NA 1.53916      NA      NA   0.69826       0.67173       0.72301            NA            NA 2.28435         NA      NA  0.86169         NA        NA 4.19089        NA        NA 3.54282        NA        NA          0.63197                   NA                   NA 0.013265      NA     NA
