VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      OBAR      FOBAR       FFBAR       OOBAR       MAE
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 278.41148 278.23214 77588.97268 77640.59508 77541.37144 1.44631
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 283.3858  283.20186 80317.37691 80371.48725 80264.78762 0.84146
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 279.66817 280.27956 78416.36954 78248.83083 78586.03399 1.11228
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 279.77087 279.8277  78389.8408  78375.51948 78408.58136 1.52401
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 276.68466 276.7883  76719.05159 76690.84015 76750.62085 1.32891
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 275.9791  276.02308 76309.87171 76301.01611 76322.07773 1.24786
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 291.98087 291.84201 85218.23913 85259.19085 85177.90335 0.53045
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 261.63888 261.61084 68484.51965 68489.7751  68483.32148 1.49739
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 259.51424 259.60105 67438.9679  67420.14961 67463.08531 1.67855
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 253.05337 252.69236 64035.51316 64126.91767 63946.74418 1.21169
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 260.57855 260.41317 67917.58052 67963.65508 67872.96455 0.81333
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 254.6189  254.60928 64846.01825 64849.13191 64844.80934 1.03205
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 255.71135 255.76765 65462.07481 65448.10334 65477.72171 0.92355
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 252.95497 252.90484 64072.32681 64086.1137  64060.40881 1.01227
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 254.15827 254.21253 64712.54592 64699.86052 64727.65423 1.07949
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 268.4099  268.27288 72008.35799 72045.46753 71971.79029 0.55184
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 239.49745 239.57378 57402.78879 57386.5311  57421.24898 1.14278
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 240.36824 240.17466 57764.74094 57814.18285 57718.28509 1.31251
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P250     t       K         P250    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 221.43516 221.37228 49043.84512 49058.5709  49031.2425  1.08052
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P250     t       K         P250    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 227.01254 226.56434 51472.14951 51572.81633 51373.88423 1.00412
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P250     t       K         P250    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 219.82413 219.98459 48371.1805  48335.68665 48410.20655 1.32283
