VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2       ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.28945 279.68309 280.89581       NA       NA 12.13681   11.72268   12.5815          NA         NA 280.19333 279.58713 280.79954       NA       NA 12.13362   11.7196    12.57819         NA         NA 0.98018     0.97811     0.98205          NA          NA      NA      NA     0          0          0  0.096119 -0.0246    0.21684      NA     NA 2.41629    2.33384    2.50482         NA         NA 1.00034        NA        NA 1.80502      NA      NA  5.8439       NA      NA  5.83467        NA        NA 2.41742       NA       NA -2.84938      NA      NA -1.36051      NA      NA  0.092652      NA      NA 1.45839      NA      NA 2.70891      NA      NA 2.8189        NA       NA 1.40914      NA      NA   0.89057       0.87975       0.90047            NA            NA 0.0092389      NA      NA 0.96031        NA        NA 4.86023        NA        NA 5.31939        NA        NA          0.89106                   NA                   NA 0.0086277     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.704   283.34323 284.06478       NA       NA  7.87435    7.62725    8.13811         NA         NA 283.93063 283.57952 284.28174       NA       NA  7.66342    7.42295    7.92012         NA         NA 0.98704     0.9858      0.98817          NA          NA      NA      NA     0          0          0 -0.22663  -0.28474  -0.16851      NA     NA 1.26847    1.22867    1.31096         NA         NA 0.9992         NA        NA 0.93401      NA      NA  1.6595       NA      NA  1.60814        NA        NA 1.28822       NA       NA -1.76346      NA      NA -0.91822      NA      NA -0.19228       NA      NA 0.51495      NA      NA 1.23922      NA      NA 1.43317       NA       NA 0.71369      NA      NA   0.88988       0.87993       0.89904            NA            NA 0.05136        NA      NA 0.97174        NA        NA 2.72369        NA        NA 2.74596        NA        NA          0.88909                   NA                   NA 0.0045371     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.17806 279.72873 280.62739       NA       NA  6.27836    5.9759     6.61331         NA         NA 280.57015 280.13797 281.00234       NA       NA  6.03882    5.7479     6.36098         NA         NA 0.97825     0.97494     0.98113          NA          NA      NA      NA     0          0          0 -0.39209  -0.48558  -0.2986       NA     NA 1.30629    1.24336    1.37598         NA         NA 0.9986         NA        NA 0.98306      NA      NA  1.85785      NA      NA  1.70411        NA        NA 1.36303       NA       NA -2.48925      NA      NA -1.20726      NA      NA -0.25267       NA      NA 0.42778      NA      NA 1.02349      NA      NA 1.63504       NA       NA 0.77936      NA      NA   0.93711       0.92777       0.94529            NA            NA 0.15374        NA      NA 0.94905        NA        NA 3.67192        NA        NA 3.94953        NA        NA          0.9386                    NA                   NA 0.0048581     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.35111 277.90412 278.7981        NA       NA  8.86804    8.56285    9.19595         NA         NA 277.65236 277.18392 278.1208        NA       NA  9.29356    8.97372    9.63721         NA         NA 0.91028     0.90122     0.91854          NA          NA      NA      NA     0          0          0  0.69875   0.50373   0.89377      NA     NA 3.86913    3.73597    4.0122          NA         NA 1.00252        NA        NA 2.37496      NA      NA 15.4485       NA      NA 14.96025        NA        NA 3.93046       NA       NA -2.75103      NA      NA -1.38533      NA      NA  0.1033        NA      NA 1.48529      NA      NA 4.8264       NA      NA 2.87061       NA       NA 1.45762      NA      NA   0.74198       0.71844       0.76382            NA            NA 0.48825        NA      NA 0.82114        NA        NA 5.1588         NA        NA 5.59234        NA        NA          0.73552                   NA                   NA 0.014156      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.09551 276.87458 277.31644       NA       NA 11.97201   11.81781   12.13032         NA         NA 276.99219 276.77039 277.214         NA       NA 12.01935   11.86454   12.17828         NA         NA 0.97711     0.97626     0.97793          NA          NA      NA      NA     0          0          0  0.10332   0.055938  0.15069      NA     NA 2.5673     2.53423    2.60124         NA         NA 1.00037        NA        NA 1.64777      NA      NA  6.6011       NA      NA  6.59042        NA        NA 2.56926       NA       NA -2.36015      NA      NA -1.00258      NA      NA  0.20616       NA      NA 1.51119      NA      NA 3.40438      NA      NA 2.51377       NA       NA 1.25563      NA      NA   0.84715       0.84186       0.85228            NA            NA 0.010674       NA      NA 0.95431        NA        NA 4.45747        NA        NA 4.7929         NA        NA          0.84814                   NA                   NA 0.0092756     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.93489 275.72423 276.14556       NA       NA 11.41562   11.26859   11.56657         NA         NA 276.21395 276.00307 276.42483       NA       NA 11.42728   11.2801    11.57839         NA         NA 0.98413     0.98353     0.9847           NA          NA      NA      NA     0          0          0 -0.27905  -0.31661  -0.2415       NA     NA 2.0351     2.00888    2.06201         NA         NA 0.99899        NA        NA 1.46057      NA      NA  4.21913      NA      NA  4.14125        NA        NA 2.05405       NA       NA -2.92309      NA      NA -1.50757      NA      NA -0.24247       NA      NA 1.03355      NA      NA 3.37322      NA      NA 2.54112       NA       NA 1.26765      NA      NA   0.89917       0.89558       0.90265            NA            NA 0.077872       NA      NA 0.96769        NA        NA 4.68296        NA        NA 4.70276        NA        NA          0.90422                   NA                   NA 0.0074364     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.95949 291.88883 292.03014       NA       NA  2.90176    2.85265    2.9526          NA         NA 291.86673 291.79777 291.93569       NA       NA  2.83219    2.78426    2.88182         NA         NA 0.9627      0.96087     0.96444          NA          NA      NA      NA     0          0          0  0.092755  0.073615  0.1119       NA     NA 0.78613    0.77282    0.7999          NA         NA 1.00032        NA        NA 0.52827      NA      NA  0.62651      NA      NA  0.6179         NA        NA 0.79152       NA       NA -0.67275      NA      NA -0.28573      NA      NA  0.059365      NA      NA 0.42915      NA      NA 0.91268      NA      NA 0.71488       NA       NA 0.35824      NA      NA   0.83039       0.82267       0.8378             NA            NA 0.0086035      NA      NA 0.92189        NA        NA 1.62128        NA        NA 1.55169        NA        NA          0.87644                   NA                   NA 0.0027119     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.71685 261.5629  261.8708        NA       NA  5.57639    5.46962    5.68744         NA         NA 261.67426 261.50416 261.84435       NA       NA  6.16119    6.04322    6.28389         NA         NA 0.9497      0.94692     0.95234          NA          NA      NA      NA     0          0          0  0.042593 -0.011214  0.0964       NA     NA 1.94897    1.91166    1.98778         NA         NA 1.00016        NA        NA 1.51157      NA      NA  3.79955      NA      NA  3.79774        NA        NA 1.94924       NA       NA -1.97995      NA      NA -0.76777      NA      NA  0.61541       NA      NA 2.15643      NA      NA 4.11894      NA      NA 2.92419       NA       NA 1.44228      NA      NA   0.93225       0.92854       0.93578            NA            NA 0.0018142      NA      NA 0.89991        NA        NA 5.07939        NA        NA 5.38833        NA        NA          0.93233                   NA                   NA 0.0074491     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.3376  259.13374 259.54146       NA       NA  7.3841     7.24272    7.53115         NA         NA 259.66784 259.45488 259.88079       NA       NA  7.71362    7.56593    7.86724         NA         NA 0.93095     0.92717     0.93453          NA          NA      NA      NA     0          0          0 -0.33023  -0.4082   -0.25227      NA     NA 2.82402    2.76994    2.88025         NA         NA 0.99873        NA        NA 2.16558      NA      NA  8.08253      NA      NA  7.97348        NA        NA 2.84298       NA       NA -3.41562      NA      NA -1.9926       NA      NA -0.22566       NA      NA 2.32259      NA      NA 5.20711      NA      NA 4.31519       NA       NA 2.0331       NA      NA   0.89048       0.88462       0.89606            NA            NA 0.10905        NA      NA 0.86416        NA        NA 6.4981         NA        NA 6.50585        NA        NA          0.90441                   NA                   NA 0.010949      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.11489 252.62172 253.60807       NA       NA  9.87124    9.53442   10.23291         NA         NA 253.48076 252.9882  253.97332       NA       NA  9.859      9.5226    10.22023         NA         NA 0.98479     0.9832      0.98623          NA          NA      NA      NA     0          0          0 -0.36587  -0.45184  -0.2799       NA     NA 1.72066    1.66194    1.7837          NA         NA 0.99856        NA        NA 1.32431      NA      NA  3.09259      NA      NA  2.95873        NA        NA 1.75858       NA       NA -2.67884      NA      NA -1.4542       NA      NA -0.43335       NA      NA 0.51029      NA      NA 1.55643      NA      NA 1.96449       NA       NA 0.98353      NA      NA   0.89679       0.88655       0.90615            NA            NA 0.13386        NA      NA 0.96818        NA        NA 3.76811        NA        NA 3.81528        NA        NA          0.89252                   NA                   NA 0.0069377     NA     NA
