VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25       E25_BCL E25_BCU E50        E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2       ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.39462 279.80244 280.98681       NA       NA 11.85295   11.44851   12.28724         NA         NA 280.11352 279.53215 280.69489       NA       NA 11.63656   11.2395    12.06291         NA         NA 0.96657     0.96311     0.9697           NA          NA      NA      NA     0          0          0  0.2811    0.129      0.43321      NA     NA 3.04458    2.9407     3.15614         NA         NA 1.001          NA        NA 2.17744      NA      NA  9.34249      NA      NA  9.26347        NA        NA 3.05655       NA       NA -3.05894      NA      NA -1.52458       NA      NA -0.037862       NA      NA 1.55243      NA      NA 3.9927       NA      NA 3.07701       NA       NA 1.52085      NA      NA   0.77548       0.75476       0.79465            NA            NA 0.07902        NA      NA 0.93101        NA        NA 4.31065        NA        NA 4.71514        NA        NA          0.7742                    NA                   NA 0.010912      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.18372 282.79503 283.57241       NA       NA  8.48355    8.21734    8.76772         NA         NA 283.41677 283.04169 283.79184       NA       NA  8.18646    7.92957    8.46067         NA         NA 0.98794     0.98679     0.989            NA          NA      NA      NA     0          0          0 -0.23305  -0.29388   -0.17222      NA     NA 1.32769    1.28603    1.37216         NA         NA 0.99918        NA        NA 0.98259      NA      NA  1.81611      NA      NA  1.76179        NA        NA 1.34763       NA       NA -1.90318      NA      NA -0.92002       NA      NA -0.20258        NA      NA 0.55072      NA      NA 1.26676      NA      NA 1.47075       NA       NA 0.74207      NA      NA   0.89708       0.88775       0.90567            NA            NA 0.054312       NA      NA 0.9729         NA        NA 2.9928         NA        NA 2.81732        NA        NA          0.89413                   NA                   NA 0.0047549     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.19694 279.67591 280.71798       NA       NA  7.28033    6.9296     7.66873         NA         NA 280.27304 279.77129 280.7748        NA       NA  7.01096    6.67321    7.38499         NA         NA 0.9642      0.95879     0.96891          NA          NA      NA      NA     0          0          0 -0.0761   -0.21427    0.062071     NA     NA 1.93064    1.83763    2.03364         NA         NA 0.99973        NA        NA 1.39954      NA      NA  3.72819      NA      NA  3.7224         NA        NA 1.93085       NA       NA -2.8755       NA      NA -0.99028       NA      NA  0.1147         NA      NA 0.98763      NA      NA 2.02936      NA      NA 1.97792       NA       NA 0.9915       NA      NA   0.85778       0.83762       0.8756             NA            NA 0.0057912      NA      NA 0.92415        NA        NA 3.6424         NA        NA 3.76739        NA        NA          0.86473                   NA                   NA 0.0068892     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.25335 277.83983 278.66687       NA       NA  8.20394    7.92161    8.5073          NA         NA 277.16809 276.70554 277.63063       NA       NA  9.17662    8.86081    9.51594         NA         NA 0.80115     0.78233     0.8185           NA          NA      NA      NA     0          0          0  1.08526   0.80513    1.36539      NA     NA 5.55759    5.36632    5.76309         NA         NA 1.00392        NA        NA 3.77912      NA      NA 32.04413      NA      NA 30.86633        NA        NA 5.66075       NA       NA -4.55858      NA      NA -2.17083       NA      NA -0.0074919      NA      NA 3.07483      NA      NA 8.75369      NA      NA 5.24567       NA       NA 2.50563      NA      NA   0.52433       0.48678       0.55994            NA            NA 1.1778         NA      NA 0.61948        NA        NA 5.2742         NA        NA 6.07789        NA        NA          0.51026                   NA                   NA 0.020424      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.10329 276.88446 277.32213       NA       NA 11.85851   11.70577   12.01532         NA         NA 276.95548 276.73708 277.17388       NA       NA 11.83469   11.68225   11.99118         NA         NA 0.95775     0.9562      0.95925          NA          NA      NA      NA     0          0          0  0.14782   0.084268   0.21137      NA     NA 3.44369    3.39934    3.48923         NA         NA 1.00053        NA        NA 2.2378       NA      NA 11.87981      NA      NA 11.85796        NA        NA 3.44671       NA       NA -3.13438      NA      NA -1.35412       NA      NA  0.1091         NA      NA 1.7892       NA      NA 4.795        NA      NA 3.14331       NA       NA 1.55405      NA      NA   0.71638       0.70728       0.72525            NA            NA 0.02185        NA      NA 0.91518        NA        NA 4.43583        NA        NA 4.70294        NA        NA          0.71698                   NA                   NA 0.012445      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.0545  275.84647 276.26253       NA       NA 11.2728    11.1276    11.42186         NA         NA 276.15789 275.94486 276.37093       NA       NA 11.54382   11.39513   11.69646         NA         NA 0.97722     0.97637     0.97803          NA          NA      NA      NA     0          0          0 -0.1034   -0.14861   -0.058182     NA     NA 2.45012    2.41856    2.48251         NA         NA 0.99963        NA        NA 1.72217      NA      NA  6.01322      NA      NA  6.00253        NA        NA 2.45219       NA       NA -2.97126      NA      NA -1.26672       NA      NA  0.10805        NA      NA 1.82441      NA      NA 4.4457       NA      NA 3.09112       NA       NA 1.51314      NA      NA   0.86522       0.86051       0.86979            NA            NA 0.010691       NA      NA 0.95488        NA        NA 4.987          NA        NA 4.75656        NA        NA          0.87437                   NA                   NA 0.0088797     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.97214 291.89907 292.04521       NA       NA  3.00108    2.95029    3.05366         NA         NA 291.8423  291.77264 291.91197       NA       NA  2.86116    2.81274    2.91129         NA         NA 0.9617      0.95983     0.96349          NA          NA      NA      NA     0          0          0  0.12984   0.1098     0.14988      NA     NA 0.82297    0.80904    0.83739         NA         NA 1.00044        NA        NA 0.59789      NA      NA  0.69403      NA      NA  0.67717        NA        NA 0.83309       NA       NA -0.7578       NA      NA -0.31719       NA      NA  0.11457        NA      NA 0.54211      NA      NA 1.04244      NA      NA 0.8593        NA       NA 0.4296       NA      NA   0.83799       0.83059       0.8451             NA            NA 0.016859       NA      NA 0.91522        NA        NA 1.71921        NA        NA 1.60542        NA        NA          0.87662                   NA                   NA 0.0028546     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.0211  261.8652  262.177         NA       NA  5.64695    5.53883    5.7594          NA         NA 262.34874 262.17196 262.52551       NA       NA  6.40313    6.28054    6.53065         NA         NA 0.91948     0.9151      0.92364          NA          NA      NA      NA     0          0          0 -0.32764  -0.39745   -0.25782      NA     NA 2.52875    2.48034    2.57911         NA         NA 0.99875        NA        NA 1.87777      NA      NA  6.50067      NA      NA  6.39333        NA        NA 2.54964       NA       NA -2.64079      NA      NA -1.26317       NA      NA  0.23796        NA      NA 2.10945      NA      NA 5.92646      NA      NA 3.37263       NA       NA 1.64005      NA      NA   0.88123       0.87491       0.88725            NA            NA 0.10735        NA      NA 0.84145        NA        NA 4.84279        NA        NA 5.34876        NA        NA          0.87946                   NA                   NA 0.0097185     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.73549 259.54476 259.92621       NA       NA  6.90844    6.77617    7.04602         NA         NA 259.33661 259.12009 259.55314       NA       NA  7.84275    7.69259    7.99893         NA         NA 0.8841      0.87792     0.88999          NA          NA      NA      NA     0          0          0  0.39887   0.29769    0.50005      NA     NA 3.66498    3.5948     3.73796         NA         NA 1.00154        NA        NA 2.81883      NA      NA 13.58848      NA      NA 13.42939        NA        NA 3.68626       NA       NA -3.34852      NA      NA -1.32516       NA      NA  0.98763        NA      NA 3.88981      NA      NA 6.30672      NA      NA 5.21496       NA       NA 2.59391      NA      NA   0.82634       0.81738       0.83491            NA            NA 0.1591         NA      NA 0.77908        NA        NA 7.02446        NA        NA 6.1761         NA        NA          0.85169                   NA                   NA 0.014214      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.58659 253.09617 254.07702       NA       NA  9.81626    9.48131   10.17592         NA         NA 254.37203 253.90235 254.84171       NA       NA  9.40098    9.08021    9.74543         NA         NA 0.96745     0.96409     0.9705           NA          NA      NA      NA     0          0          0 -0.78543  -0.90964   -0.66123      NA     NA 2.48604    2.40121    2.57713         NA         NA 0.99691        NA        NA 1.90787      NA      NA  6.79328      NA      NA  6.17638        NA        NA 2.60639       NA       NA -3.70593      NA      NA -2.14692       NA      NA -0.91173        NA      NA 0.35799      NA      NA 2.15427      NA      NA 2.50491       NA       NA 1.25563      NA      NA   0.77561       0.7549        0.79478            NA            NA 0.6169         NA      NA 0.92313        NA        NA 3.83102        NA        NA 3.62476        NA        NA          0.75693                   NA                   NA 0.010246      NA     NA
