VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS    MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.88919 280.29929 281.4791        NA       NA 11.80737   11.40448   12.23998         NA         NA 280.65061 280.08787 281.21336       NA       NA 11.26381   10.87947   11.6765          NA         NA 0.97707     0.97469     0.97923          NA          NA      NA      NA     0          0          0  0.23858   0.11224    0.36491      NA     NA 2.52872    2.44243    2.62137         NA         NA 1.00085        NA        NA 1.92745      NA      NA  6.44716      NA      NA  6.39024        NA        NA 2.53913       NA       NA -2.69011      NA      NA -1.4758       NA      NA -0.10723        NA      NA 1.59769      NA      NA 3.35587      NA      NA 3.07349       NA       NA 1.50129      NA      NA   0.78561       0.7657        0.80401            NA            NA 0.05692         NA      NA 0.94918         NA        NA 3.99095        NA        NA 3.80527        NA        NA          0.78887                   NA                   NA 0.0090473     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 282.92932 282.54458 283.31406       NA       NA  8.39732    8.13382    8.6786          NA         NA 283.27084 282.90827 283.6334        NA       NA  7.9134     7.66508    8.17847         NA         NA 0.97175     0.96908     0.97419          NA          NA      NA      NA     0          0          0 -0.34152  -0.43302   -0.25001      NA     NA 1.99719    1.93452    2.06408         NA         NA 0.99879        NA        NA 1.35022      NA      NA  4.10321      NA      NA  3.98657        NA        NA 2.02564       NA       NA -3.02551      NA      NA -1.20929      NA      NA -0.15066        NA      NA 0.67478      NA      NA 1.57328      NA      NA 1.88407       NA       NA 0.90046      NA      NA   0.86358       0.85145       0.87478            NA            NA 0.11663         NA      NA 0.93448         NA        NA 3.73855        NA        NA 3.89664        NA        NA          0.86003                   NA                   NA 0.0071509     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.75182 280.19136 281.31228       NA       NA  7.83121    7.45395    8.249           NA         NA 280.63343 280.06135 281.2055        NA       NA  7.99352    7.60844    8.41997         NA         NA 0.94619     0.93815     0.95321          NA          NA      NA      NA     0          0          0  0.11839  -0.067731   0.30451      NA     NA 2.60065    2.47537    2.7394          NA         NA 1.00042        NA        NA 1.77743      NA      NA  6.76839      NA      NA  6.75437        NA        NA 2.60161       NA       NA -2.91279      NA      NA -1.16314      NA      NA  0.20904        NA      NA 1.27659      NA      NA 3.0609       NA      NA 2.43972       NA       NA 1.18604      NA      NA   0.76715       0.73598       0.79507            NA            NA 0.014017        NA      NA 0.89407         NA        NA 3.68777        NA        NA 4.14909        NA        NA          0.78578                   NA                   NA 0.0092705     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.35244 277.96105 278.74383       NA       NA  7.76501    7.49778    8.05214         NA         NA 277.29684 276.81627 277.77742       NA       NA  9.5343     9.20618    9.88685         NA         NA 0.84802     0.83323     0.8616           NA          NA      NA      NA     0          0          0  1.0556    0.8004     1.31079      NA     NA 5.06294    4.8887     5.25015         NA         NA 1.00381        NA        NA 3.33881      NA      NA 26.73068      NA      NA 25.61639        NA        NA 5.17017       NA       NA -3.9856       NA      NA -1.7148       NA      NA  0.030183       NA      NA 2.8328       NA      NA 7.67662      NA      NA 4.5476        NA       NA 2.17613      NA      NA   0.65741       0.6278        0.68512            NA            NA 1.11428         NA      NA 0.70594         NA        NA 5.8445         NA        NA 6.3742         NA        NA          0.645                     NA                   NA 0.018645      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.15515 276.94006 277.37024       NA       NA 11.6553    11.50517   11.80942         NA         NA 277.17006 276.95378 277.38634       NA       NA 11.72004   11.56908   11.87501         NA         NA 0.94939     0.94753     0.95118          NA          NA      NA      NA     0          0          0 -0.014912 -0.083545   0.053721     NA     NA 3.71911    3.67121    3.76829         NA         NA 0.99995        NA        NA 2.50295      NA      NA 13.83078      NA      NA 13.83056        NA        NA 3.71898       NA       NA -3.76768      NA      NA -1.64308      NA      NA  0.14374        NA      NA 2.20588      NA      NA 4.27269      NA      NA 3.84897       NA       NA 1.89517      NA      NA   0.68058       0.67055       0.69036            NA            NA 0.00022238      NA      NA 0.89931         NA        NA 4.46213        NA        NA 4.82441        NA        NA          0.68181                   NA                   NA 0.013418      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.04832 275.83953 276.25712       NA       NA 11.31437   11.16863   11.46398         NA         NA 276.00461 275.79128 276.21795       NA       NA 11.56047   11.41157   11.71334         NA         NA 0.96472     0.96341     0.96597          NA          NA      NA      NA     0          0          0  0.043711 -0.012538   0.09996      NA     NA 3.04805    3.00879    3.08836         NA         NA 1.00016        NA        NA 2.1098       NA      NA  9.2917       NA      NA  9.28979        NA        NA 3.04823       NA       NA -3.41766      NA      NA -1.43332      NA      NA  0.26066        NA      NA 2.28187      NA      NA 5.39137      NA      NA 3.71519       NA       NA 1.81877      NA      NA   0.80163       0.79493       0.80813            NA            NA 0.0019106       NA      NA 0.93047         NA        NA 5.09385        NA        NA 4.90396        NA        NA          0.81474                   NA                   NA 0.011044      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.95    291.8765  292.02349       NA       NA  3.01859    2.9675     3.07148         NA         NA 291.84267 291.77236 291.91298       NA       NA  2.88776    2.83889    2.93836         NA         NA 0.94689     0.94431     0.94935          NA          NA      NA      NA     0          0          0  0.10732   0.08368    0.13097      NA     NA 0.97114    0.9547     0.98815         NA         NA 1.00037        NA        NA 0.635        NA      NA  0.95448      NA      NA  0.94296        NA        NA 0.97698       NA       NA -0.84311      NA      NA -0.34274      NA      NA  0.072765       NA      NA 0.5216       NA      NA 1.03783      NA      NA 0.86434       NA       NA 0.43331      NA      NA   0.77823       0.76844       0.78766            NA            NA 0.011519        NA      NA 0.88554         NA        NA 1.74857        NA        NA 1.55939        NA        NA          0.83154                   NA                   NA 0.0033476     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.30081 262.14879 262.45284       NA       NA  5.50668    5.40124    5.61634         NA         NA 262.85458 262.66667 263.04248       NA       NA  6.80612    6.67581    6.94166         NA         NA 0.85767     0.85019     0.8648           NA          NA      NA      NA     0          0          0 -0.55376  -0.65081   -0.45671      NA     NA 3.51535    3.44804    3.58536         NA         NA 0.99789        NA        NA 2.59333      NA      NA 12.66188      NA      NA 12.35523        NA        NA 3.55835       NA       NA -3.59222      NA      NA -1.67387      NA      NA  0.28171        NA      NA 2.91227      NA      NA 4.334        NA      NA 4.58614       NA       NA 2.22632      NA      NA   0.79307       0.78259       0.80309            NA            NA 0.30665         NA      NA 0.72666         NA        NA 5.03387        NA        NA 5.74254        NA        NA          0.78968                   NA                   NA 0.013537      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.7163  259.52237 259.91023       NA       NA  7.02454    6.89004    7.16443         NA         NA 259.18321 258.96644 259.39997       NA       NA  7.85171    7.70137    8.00807         NA         NA 0.84726     0.83928     0.85487          NA          NA      NA      NA     0          0          0  0.53309   0.41749    0.64869      NA     NA 4.18723    4.10706    4.27062         NA         NA 1.00206        NA        NA 3.20511      NA      NA 17.81363      NA      NA 17.52944        NA        NA 4.22062       NA       NA -3.64716      NA      NA -1.3245       NA      NA  1.16153        NA      NA 4.20152      NA      NA 7.04321      NA      NA 5.52602       NA       NA 2.72641      NA      NA   0.74529       0.73275       0.75731            NA            NA 0.28419         NA      NA 0.71105         NA        NA 6.63081        NA        NA 6.09578        NA        NA          0.78318                   NA                   NA 0.016284      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.4255  252.92185 253.92914       NA       NA 10.0808     9.73683   10.45016         NA         NA 254.18924 253.71588 254.6626        NA       NA  9.47471    9.15142    9.82186         NA         NA 0.96271     0.95887     0.9662           NA          NA      NA      NA     0          0          0 -0.76374  -0.90048   -0.62701      NA     NA 2.73687    2.64349    2.83715         NA         NA 0.997          NA        NA 2.09669      NA      NA  8.06891      NA      NA  7.4856         NA        NA 2.84058       NA       NA -4.58721      NA      NA -2.47516      NA      NA -0.77565        NA      NA 0.56374      NA      NA 2.24614      NA      NA 3.0389        NA       NA 1.48798      NA      NA   0.67684       0.64881       0.70303            NA            NA 0.5833          NA      NA 0.91012         NA        NA 3.42248        NA        NA 3.42711        NA        NA          0.65603                   NA                   NA 0.011175      NA     NA
