VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2       ME2_BCL ME2_BCU MSESS    MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 279.27623 278.71017 279.84229       NA       NA 11.3301    10.9435    11.74523         NA         NA 278.99281 278.456   279.52962       NA       NA 10.74469   10.37807   11.13837         NA         NA 0.96974     0.96661     0.97258          NA          NA      NA      NA     0          0          0  0.28342   0.14468    0.42215      NA     NA 2.7768     2.68205    2.87854         NA         NA 1.00102        NA        NA 2.03231      NA      NA  7.78595      NA      NA  7.70562        NA        NA 2.79033       NA       NA -2.83259      NA      NA -1.39264      NA      NA -0.16446       NA      NA 1.599        NA      NA 3.99674      NA      NA 2.99164       NA       NA 1.49169      NA      NA   0.74926       0.72649       0.77038            NA            NA 0.080325       NA      NA  0.93256        NA        NA 4.20154        NA        NA 3.71059        NA        NA          0.75802                   NA                   NA 0.010001      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 282.61262 282.25722 282.96802       NA       NA  7.7571     7.51369    8.01694         NA         NA 282.77418 282.44062 283.10773       NA       NA  7.28026    7.05181    7.52412         NA         NA 0.96513     0.96185     0.96814          NA          NA      NA      NA     0          0          0 -0.16156  -0.25507   -0.068043     NA     NA 2.04103    1.97698    2.1094          NA         NA 0.99943        NA        NA 1.35623      NA      NA  4.18963      NA      NA  4.16353        NA        NA 2.04686       NA       NA -2.72427      NA      NA -0.99024      NA      NA -0.019974      NA      NA 0.8355       NA      NA 1.97482      NA      NA 1.82573       NA       NA 0.91827      NA      NA   0.85459       0.84173       0.86648            NA            NA 0.0261         NA      NA  0.92095        NA        NA 3.72829        NA        NA 3.85452        NA        NA          0.85479                   NA                   NA 0.0072385     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.61432 280.03869 281.18994       NA       NA  8.04304    7.65558    8.47214         NA         NA 281.12997 280.53824 281.7217        NA       NA  8.26815    7.86984    8.70926         NA         NA 0.89263     0.87709     0.90631          NA          NA      NA      NA     0          0          0 -0.51565  -0.78658   -0.24473      NA     NA 3.78556    3.6032     3.98752         NA         NA 0.99817        NA        NA 2.50994      NA      NA 14.57727      NA      NA 14.31137        NA        NA 3.81802       NA       NA -4.45983      NA      NA -1.98084      NA      NA -0.27555       NA      NA 1.2632       NA      NA 3.63736      NA      NA 3.24405       NA       NA 1.6236       NA      NA   0.55617       0.50468       0.60373            NA            NA 0.2659         NA      NA  0.78676        NA        NA 3.75504        NA        NA 4.55401        NA        NA          0.59244                   NA                   NA 0.013581      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.6761  279.25919 280.09301       NA       NA  8.27126    7.98661    8.57711         NA         NA 278.72196 278.21    279.23392       NA       NA 10.15692    9.80737   10.53249         NA         NA 0.90849     0.89927     0.91691          NA          NA      NA      NA     0          0          0  0.95414   0.73483    1.17345      NA     NA 4.35098    4.20124    4.51186         NA         NA 1.00342        NA        NA 2.97947      NA      NA 19.82887      NA      NA 18.91848        NA        NA 4.45296       NA       NA -3.61913      NA      NA -1.32875      NA      NA  0.41664       NA      NA 2.94577      NA      NA 6.68383      NA      NA 4.27452       NA       NA 2.13882      NA      NA   0.71908       0.69382       0.74258            NA            NA 0.91038        NA      NA  0.80779        NA        NA 5.62553        NA        NA 5.98497        NA        NA          0.70745                   NA                   NA 0.015976      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.04018 276.82935 277.25102       NA       NA 11.42469   11.27754   11.57576         NA         NA 277.167   276.95435 277.37964       NA       NA 11.52291   11.37449   11.67528         NA         NA 0.94524     0.94324     0.94717          NA          NA      NA      NA     0          0          0 -0.12681  -0.19691   -0.056716     NA     NA 3.79846    3.74953    3.84868         NA         NA 0.99954        NA        NA 2.6069       NA      NA 14.44307      NA      NA 14.42699        NA        NA 3.8004        NA       NA -4.42551      NA      NA -1.75082      NA      NA  0.12161       NA      NA 1.80997      NA      NA 3.88533      NA      NA 3.56079       NA       NA 1.77941      NA      NA   0.67158       0.66132       0.68159            NA            NA 0.016081       NA      NA  0.89122        NA        NA 4.42749        NA        NA 4.90971        NA        NA          0.67314                   NA                   NA 0.013712      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.82968 275.62197 276.03739       NA       NA 11.25556   11.11059   11.4044          NA         NA 275.75776 275.54678 275.96873       NA       NA 11.43234   11.28509   11.58351         NA         NA 0.95339     0.95168     0.95505          NA          NA      NA      NA     0          0          0  0.071925  0.0079301  0.13592      NA     NA 3.46778    3.42312    3.51364         NA         NA 1.00026        NA        NA 2.38669      NA      NA 12.02962      NA      NA 12.02445        NA        NA 3.46837       NA       NA -4.18883      NA      NA -1.53271      NA      NA  0.29218       NA      NA 2.40624      NA      NA 6.21232      NA      NA 3.93895       NA       NA 1.95758      NA      NA   0.7269        0.71808       0.73549            NA            NA 0.0051732      NA      NA  0.90796        NA        NA 4.91942        NA        NA 4.71881        NA        NA          0.74176                   NA                   NA 0.012578      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.92752 291.8611  291.99395       NA       NA  2.72811    2.68194    2.77591         NA         NA 291.81409 291.75246 291.87571       NA       NA  2.53099    2.48815    2.57533         NA         NA 0.9214      0.91764     0.92499          NA          NA      NA      NA     0          0          0  0.11344   0.087621   0.13926      NA     NA 1.06035    1.0424     1.07892         NA         NA 1.00039        NA        NA 0.6924       NA      NA  1.13703      NA      NA  1.12416        NA        NA 1.06631       NA       NA -0.86115      NA      NA -0.40175      NA      NA  0.06918       NA      NA 0.56768      NA      NA 1.18172      NA      NA 0.96943       NA       NA 0.4831       NA      NA   0.74498       0.73394       0.75562            NA            NA 0.012868       NA      NA  0.8225         NA        NA 1.76227        NA        NA 1.55248        NA        NA          0.80025                   NA                   NA 0.0036541     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.39223 262.23684 262.54761       NA       NA  5.62818    5.52042    5.74026         NA         NA 263.23739 263.03583 263.43894       NA       NA  7.30067    7.16089    7.44606         NA         NA 0.84087     0.83258     0.84877          NA          NA      NA      NA     0          0          0 -0.84516  -0.95516   -0.73516      NA     NA 3.98432    3.90803    4.06366         NA         NA 0.99679        NA        NA 2.99649      NA      NA 16.58592      NA      NA 15.87163        NA        NA 4.07258       NA       NA -4.6257       NA      NA -2.01097      NA      NA  0.16116       NA      NA 1.80644      NA      NA 3.50857      NA      NA 3.81741       NA       NA 1.89364      NA      NA   0.76253       0.75073       0.77385            NA            NA 0.7143         NA      NA  0.68882        NA        NA 5.05996        NA        NA 6.1961         NA        NA          0.75607                   NA                   NA 0.015471      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.59428 259.39614 259.79242       NA       NA  7.177      7.03958    7.31992         NA         NA 258.91666 258.70199 259.13133       NA       NA  7.77567    7.62679    7.93052         NA         NA 0.80031     0.79016     0.81002          NA          NA      NA      NA     0          0          0  0.67762   0.54624    0.809        NA     NA 4.75884    4.66772    4.85361         NA         NA 1.00262        NA        NA 3.60397      NA      NA 23.10123      NA      NA 22.64205        NA        NA 4.80637       NA       NA -4.6065       NA      NA -1.38431      NA      NA  1.15269       NA      NA 4.85873      NA      NA 8.76424      NA      NA 6.24305       NA       NA 3.0507       NA      NA   0.63182       0.61494       0.64812            NA            NA 0.45917        NA      NA  0.61792        NA        NA 6.28295        NA        NA 5.76456        NA        NA          0.68479                   NA                   NA 0.018563      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1680000   20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.18979 252.68266 253.69692       NA       NA 10.1506     9.80425   10.52251         NA         NA 253.81827 253.34846 254.28808       NA       NA  9.40362    9.08276    9.74816         NA         NA 0.94702     0.94161     0.95194          NA          NA      NA      NA     0          0          0 -0.62848  -0.79168   -0.46527      NA     NA 3.26674    3.15527    3.38643         NA         NA 0.99752        NA        NA 2.32502      NA      NA 11.05963      NA      NA 10.66464        NA        NA 3.3256        NA       NA -5.56542      NA      NA -2.22399      NA      NA -0.33282       NA      NA 1.2757       NA      NA 2.97957      NA      NA 3.49969       NA       NA 1.74595      NA      NA   0.55443       0.51884       0.58811            NA            NA 0.39498        NA      NA  0.87493        NA        NA 3.55648        NA        NA 3.39384        NA        NA          0.54295                   NA                   NA 0.013102      NA     NA
