VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL    ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75       E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS      MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 279.48999 278.92758 280.05239       NA       NA 11.25696   10.87285   11.6694          NA         NA 279.5091  278.98313 280.03508       NA       NA 10.52772   10.16849   10.91344         NA         NA 0.91225     0.90346     0.92027          NA          NA      NA      NA     0          0          0 -0.019116  -0.24986   0.21163      NA     NA 4.61858    4.46099    4.7878          NA         NA 0.99993        NA        NA 3.07263      NA      NA 21.31778      NA      NA 21.31742        NA        NA 4.61712       NA       NA -5.23498      NA      NA -2.06748      NA      NA  0.090093      NA      NA  2.40797       NA      NA 4.72242      NA      NA 4.47545       NA       NA 2.24339      NA      NA  0.38496      0.34156         0.42672            NA            NA 0.00036543      NA      NA  0.80766          NA        NA 4.52962        NA        NA 3.97365        NA        NA         0.4164                     NA                   NA 0.016519      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 282.72108 282.37576 283.0664        NA       NA  7.53711    7.3006     7.78958         NA         NA 282.76465 282.43702 283.09228       NA       NA  7.15087    6.92647    7.39039         NA         NA 0.943       0.9377      0.94787          NA          NA      NA      NA     0          0          0 -0.043572  -0.15851   0.071363     NA     NA 2.50858    2.42986    2.59261         NA         NA 0.99985        NA        NA 1.67615      NA      NA  6.29145      NA      NA  6.28955        NA        NA 2.50828       NA       NA -2.8899       NA      NA -1.14346      NA      NA -0.10384       NA      NA  1.18366       NA      NA 2.88697      NA      NA 2.32711       NA       NA 1.13586      NA      NA  0.72821      0.70595         0.74904            NA            NA 0.0018985       NA      NA  0.87696          NA        NA 3.50992        NA        NA 3.28657        NA        NA         0.72947                    NA                   NA 0.0088705     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 281.10495 280.50724 281.70266       NA       NA  8.35169    7.94935    8.79725         NA         NA 281.99897 281.41161 282.58633       NA       NA  8.20709    7.81172    8.64493         NA         NA 0.89865     0.88393     0.91159          NA          NA      NA      NA     0          0          0 -0.89402   -1.16098  -0.62706      NA     NA 3.73019    3.55049    3.92919         NA         NA 0.99683        NA        NA 2.81855      NA      NA 14.69503      NA      NA 13.89575        NA        NA 3.83341       NA       NA -6.29754      NA      NA -3.73464      NA      NA -0.81692       NA      NA  1.04845       NA      NA 3.53798      NA      NA 4.78309       NA       NA 2.25562      NA      NA  0.5288       0.4752          0.57849            NA            NA 0.79928         NA      NA  0.78183          NA        NA 3.56811        NA        NA 4.76053        NA        NA         0.60929                    NA                   NA 0.013594      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.2917  278.85059 279.73281       NA       NA  8.75134    8.45017    9.07494         NA         NA 279.02707 278.5447  279.50943       NA       NA  9.56981    9.24047    9.92368         NA         NA 0.88028     0.8684      0.89114          NA          NA      NA      NA     0          0          0  0.26464    0.035179  0.4941       NA     NA 4.55231    4.39564    4.72064         NA         NA 1.00095        NA        NA 3.30875      NA      NA 20.77984      NA      NA 20.70981        NA        NA 4.55849       NA       NA -5.60637      NA      NA -1.93257      NA      NA -0.12425       NA      NA  2.89614       NA      NA 6.55122      NA      NA 4.82871       NA       NA 2.22549      NA      NA  0.61212      0.5796          0.6427             NA            NA 0.070033        NA      NA  0.7731           NA        NA 4.10983        NA        NA 5.70355        NA        NA         0.61093                    NA                   NA 0.016337      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.11672 276.90614 277.32731       NA       NA 11.4112    11.26422   11.56209         NA         NA 277.26637 277.05643 277.47632       NA       NA 11.37661   11.23008   11.52705         NA         NA 0.9365      0.93419     0.93873          NA          NA      NA      NA     0          0          0 -0.14965   -0.22458  -0.074714     NA     NA 4.0606     4.0083     4.1143          NA         NA 0.99946        NA        NA 2.88248      NA      NA 16.50943      NA      NA 16.48703        NA        NA 4.06318       NA       NA -5.28059      NA      NA -2.07535      NA      NA  0.052256      NA      NA  2.22231       NA      NA 4.5175       NA      NA 4.29766       NA       NA 2.14865      NA      NA  0.60102      0.5891          0.61267            NA            NA 0.022395        NA      NA  0.87244          NA        NA 4.15942        NA        NA 4.84831        NA        NA         0.60243                    NA                   NA 0.014654      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.6505  275.44191 275.8591        NA       NA 11.30349   11.1579    11.45296         NA         NA 275.78096 275.56847 275.99346       NA       NA 11.51475   11.36643   11.66701         NA         NA 0.92967     0.92712     0.93213          NA          NA      NA      NA     0          0          0 -0.13046   -0.20952  -0.051406     NA     NA 4.28401    4.22883    4.34066         NA         NA 0.99953        NA        NA 3.06961      NA      NA 18.36812      NA      NA 18.3511         NA        NA 4.2858        NA       NA -5.23912      NA      NA -1.93193      NA      NA  0.61909       NA      NA  3.63339       NA      NA 7.20971      NA      NA 5.56532       NA       NA 2.76184      NA      NA  0.50302      0.48911         0.51668            NA            NA 0.017021        NA      NA  0.86147          NA        NA 4.37438        NA        NA 4.49756        NA        NA         0.53357                    NA                   NA 0.015541      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.88999 291.82489 291.95509       NA       NA  2.67368    2.62843    2.72053         NA         NA 291.82417 291.76209 291.88625       NA       NA  2.54965    2.5065     2.59432         NA         NA 0.90011     0.89539     0.90464          NA          NA      NA      NA     0          0          0  0.065817   0.037243  0.09439      NA     NA 1.17355    1.15369    1.19412         NA         NA 1.00023        NA        NA 0.73263      NA      NA  1.38135      NA      NA  1.37702        NA        NA 1.17531       NA       NA -0.95524      NA      NA -0.48073      NA      NA -0.017493      NA      NA  0.52155       NA      NA 1.16317      NA      NA 1.00228       NA       NA 0.49309      NA      NA  0.67624      0.66281         0.68924            NA            NA 0.0043318       NA      NA  0.78751          NA        NA 1.69731        NA        NA 1.58161        NA        NA         0.74521                    NA                   NA 0.0040275     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.8609  262.69722 263.02458       NA       NA  5.92872    5.81521    6.04679         NA         NA 263.32625 263.11545 263.53705       NA       NA  7.6356     7.4894     7.78766         NA         NA 0.80661     0.79674     0.81605          NA          NA      NA      NA     0          0          0 -0.46535   -0.59011  -0.34058      NA     NA 4.51915    4.43262    4.60915         NA         NA 0.99823        NA        NA 3.58634      NA      NA 20.63521      NA      NA 20.41866        NA        NA 4.5426        NA       NA -5.78815      NA      NA -2.30405      NA      NA  0.58504       NA      NA  2.70725       NA      NA 4.40228      NA      NA 5.0113        NA       NA 2.43472      NA      NA  0.69858      0.68417         0.71245            NA            NA 0.21655         NA      NA  0.64607          NA        NA 4.80604        NA        NA 6.34317        NA        NA         0.70031                    NA                   NA 0.017251      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.47374 259.27485 259.67264       NA       NA  7.20426    7.06632    7.34773         NA         NA 258.48896 258.2712  258.70672       NA       NA  7.88763    7.73661    8.04471         NA         NA 0.79748     0.7872      0.80731          NA          NA      NA      NA     0          0          0  0.98478    0.85099   1.11857      NA     NA 4.84599    4.7532     4.94249         NA         NA 1.00381        NA        NA 3.97503      NA      NA 24.44872      NA      NA 23.47892        NA        NA 4.94456       NA       NA -4.1469       NA      NA -1.26985      NA      NA  2.57632       NA      NA  5.95143       NA      NA 9.28986      NA      NA 7.22127       NA       NA 3.61116      NA      NA  0.54874      0.52915         0.56775            NA            NA 0.9698          NA      NA  0.60703          NA        NA 5.52558        NA        NA 5.55923        NA        NA         0.60206                    NA                   NA 0.019129      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.79294 253.29416 254.29171       NA       NA  9.98328    9.64263   10.34906         NA         NA 254.4321  253.98136 254.88283       NA       NA  9.02175    8.71392    9.3523          NA         NA 0.87395     0.86161     0.88526          NA          NA      NA      NA     0          0          0 -0.63916   -0.88202  -0.39629      NA     NA 4.86114    4.69527    5.03925         NA         NA 0.99749        NA        NA 3.42708      NA      NA 24.02389      NA      NA 23.61536        NA        NA 4.90142       NA       NA -9.4063       NA      NA -3.22093      NA      NA -0.34687       NA      NA  2.31589       NA      NA 4.61796      NA      NA 5.53682       NA       NA 2.78844      NA      NA  0.16381      0.11478         0.21204            NA            NA 0.40852         NA      NA  0.70484          NA        NA 4.13943        NA        NA 3.47502        NA        NA         0.18029                    NA                   NA 0.019264      NA     NA
