VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50         E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.11724 277.54741 278.68708       NA       NA 11.40567   11.01649   11.82357         NA         NA 278.23214 277.66618 278.79811       NA       NA 11.32823   10.94169   11.74329         NA         NA 0.99179     0.99093     0.99257          NA          NA      NA      NA     0          0          0 -0.1149   -0.18776  -0.042045     NA     NA 1.45825    1.40849    1.51168         NA         NA 0.99959        NA        NA 1.08825      NA      NA 2.13831      NA      NA 2.12511        NA        NA 1.4623        NA       NA -1.87427      NA      NA -0.99533      NA      NA -0.18472         NA      NA 0.69419      NA      NA 1.54561      NA      NA 1.68952       NA       NA 0.84523      NA      NA   0.95761       0.95325       0.96157            NA            NA 0.013202        NA      NA 0.98334        NA        NA 4.99852        NA        NA 5.07561        NA        NA          0.95798                   NA                   NA 0.0052557     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.33464 282.96786 283.70142       NA       NA  8.00539    7.75419    8.27354         NA         NA 283.20186 282.84246 283.56125       NA       NA  7.84413    7.59799    8.10688         NA         NA 0.98839     0.98729     0.9894           NA          NA      NA      NA     0          0          0  0.13279   0.076977  0.18859      NA     NA 1.21809    1.17987    1.25889         NA         NA 1.00047        NA        NA 0.79265      NA      NA 1.50057      NA      NA 1.48294        NA        NA 1.22498       NA       NA -1.09694      NA      NA -0.52853      NA      NA  0.03561         NA      NA 0.59917      NA      NA 1.30631      NA      NA 1.1277        NA       NA 0.5646       NA      NA   0.90072       0.8917        0.90902            NA            NA 0.017632        NA      NA 0.97561        NA        NA 2.78122        NA        NA 2.66138        NA        NA          0.89961                   NA                   NA 0.0043255     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.89541 279.48427 280.30656       NA       NA  5.74483    5.46808    6.05131         NA         NA 280.27956 279.89123 280.66789       NA       NA  5.42607    5.16467    5.71555         NA         NA 0.98592     0.98377     0.98779          NA          NA      NA      NA     0          0          0 -0.38415  -0.45497  -0.31333      NA     NA 0.98954    0.94187    1.04233         NA         NA 0.99863        NA        NA 0.79901      NA      NA 1.12546      NA      NA 0.97789        NA        NA 1.06088       NA       NA -1.8083       NA      NA -1.00211      NA      NA -0.43273         NA      NA 0.1724       NA      NA 0.67612      NA      NA 1.1745        NA       NA 0.59094      NA      NA   0.97459       0.97073       0.97795            NA            NA 0.14757         NA      NA 0.96177        NA        NA 4.03057        NA        NA 4.44166        NA        NA          0.97329                   NA                   NA 0.0037851     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.72576 279.20768 280.24384       NA       NA 10.27835    9.92463   10.65842         NA         NA 279.8277  279.31093 280.34447       NA       NA 10.25237    9.89954   10.63147         NA         NA 0.98437     0.98273     0.98586          NA          NA      NA      NA     0          0          0 -0.10194  -0.19343  -0.010451     NA     NA 1.81508    1.75261    1.88219         NA         NA 0.99964        NA        NA 1.2872       NA      NA 3.30271      NA      NA 3.29232        NA        NA 1.81734       NA       NA -2.24001      NA      NA -1.07982      NA      NA -0.076922        NA      NA 0.82191      NA      NA 1.81182      NA      NA 1.90173       NA       NA 0.95972      NA      NA   0.95455       0.94984       0.95882            NA            NA 0.010392        NA      NA 0.96858        NA        NA 5.87413        NA        NA 6.2235         NA        NA          0.9565                    NA                   NA 0.0064945     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.71403 276.49769 276.93037       NA       NA 11.72301   11.57201   11.87802         NA         NA 276.7883  276.57083 277.00577       NA       NA 11.78436   11.63258   11.94019         NA         NA 0.99242     0.99213     0.99269          NA          NA      NA      NA     0          0          0 -0.074269 -0.101    -0.047536     NA     NA 1.44859    1.42993    1.46775         NA         NA 0.99973        NA        NA 1.05933      NA      NA 2.10375      NA      NA 2.09823        NA        NA 1.45043       NA       NA -1.69964      NA      NA -0.80981      NA      NA  0.028327        NA      NA 0.92594      NA      NA 1.79485      NA      NA 1.73575       NA       NA 0.86433      NA      NA   0.95159       0.94982       0.95331            NA            NA 0.0055159       NA      NA 0.98485        NA        NA 4.52346        NA        NA 4.74589        NA        NA          0.95215                   NA                   NA 0.0052402     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.93007 275.71456 276.14558       NA       NA 11.67819   11.52777   11.83261         NA         NA 276.02308 275.80998 276.23618       NA       NA 11.54766   11.39893   11.70036         NA         NA 0.99216     0.99187     0.99244          NA          NA      NA      NA     0          0          0 -0.093013 -0.11996  -0.066068     NA     NA 1.46011    1.44131    1.47942         NA         NA 0.99966        NA        NA 1.02786      NA      NA 2.14039      NA      NA 2.13174        NA        NA 1.46301       NA       NA -2.35769      NA      NA -1.14949      NA      NA -0.19625         NA      NA 0.62425      NA      NA 1.57163      NA      NA 1.77374       NA       NA 0.87345      NA      NA   0.9435        0.94143       0.94549            NA            NA 0.0086515       NA      NA 0.98395        NA        NA 4.42746        NA        NA 4.51397        NA        NA          0.94664                   NA                   NA 0.0053003     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.94789 291.8865  292.00928       NA       NA  2.5215     2.47883    2.56568         NA         NA 291.84201 291.78167 291.90236       NA       NA  2.47853    2.43658    2.52196         NA         NA 0.96365     0.96187     0.96535          NA          NA      NA      NA     0          0          0  0.10588   0.08943   0.12232      NA     NA 0.67541    0.66398    0.68724         NA         NA 1.00036        NA        NA 0.46678      NA      NA 0.46731      NA      NA 0.4561         NA        NA 0.6836        NA       NA -0.57453      NA      NA -0.24759      NA      NA  0.073846        NA      NA 0.41296      NA      NA 0.85488      NA      NA 0.66055       NA       NA 0.32947      NA      NA   0.85416       0.84744       0.86061            NA            NA 0.01121         NA      NA 0.92393        NA        NA 1.5188         NA        NA 1.45946        NA        NA          0.89538                   NA                   NA 0.0023424     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.74479 261.57981 261.90977       NA       NA  5.97578    5.86136    6.09478         NA         NA 261.61084 261.4296  261.79208       NA       NA  6.56486    6.43916    6.6956          NA         NA 0.97508     0.97369     0.97641          NA          NA      NA      NA     0          0          0  0.13395   0.092059  0.17584      NA     NA 1.51725    1.4882     1.54746         NA         NA 1.00051        NA        NA 1.17184      NA      NA 2.31952      NA      NA 2.30158        NA        NA 1.523         NA       NA -1.47203      NA      NA -0.62052      NA      NA  0.37046         NA      NA 1.23647      NA      NA 2.0285       NA      NA 1.85699       NA       NA 0.92541      NA      NA   0.95624       0.95381       0.95854            NA            NA 0.017942        NA      NA 0.94618        NA        NA 4.82763        NA        NA 5.16964        NA        NA          0.95587                   NA                   NA 0.0058216     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.48127 259.2446  259.71794       NA       NA  8.57258    8.40845    8.7433          NA         NA 259.60105 259.36942 259.83268       NA       NA  8.39002    8.22938    8.55711         NA         NA 0.9737      0.97222     0.97509          NA          NA      NA      NA     0          0          0 -0.11978  -0.17372  -0.065845     NA     NA 1.95368    1.91627    1.99259         NA         NA 0.99954        NA        NA 1.46534      NA      NA 3.83045      NA      NA 3.8161         NA        NA 1.95715       NA       NA -2.92806      NA      NA -1.67017      NA      NA -0.50189         NA      NA 0.74039      NA      NA 2.10964      NA      NA 2.41056       NA       NA 1.20661      NA      NA   0.93174       0.928         0.93529            NA            NA 0.014348        NA      NA 0.94558        NA        NA 5.66914        NA        NA 5.89657        NA        NA          0.94348                   NA                   NA 0.0075391     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.81431 252.33394 253.29467       NA       NA  9.6148     9.28673    9.96708         NA         NA 252.69236 252.20959 253.17514       NA       NA  9.6631     9.33338   10.01715         NA         NA 0.99397     0.99333     0.99454          NA          NA      NA      NA     0          0          0  0.12195   0.06899   0.1749       NA     NA 1.05996    1.02379    1.0988          NA         NA 1.00048        NA        NA 0.81199      NA      NA 1.13766      NA      NA 1.12279        NA        NA 1.06661       NA       NA -1.1268       NA      NA -0.53447      NA      NA  0.09221         NA      NA 0.69821      NA      NA 1.4558       NA      NA 1.23268       NA       NA 0.62076      NA      NA   0.94913       0.94393       0.95386            NA            NA 0.014871        NA      NA 0.98782        NA        NA 3.22044        NA        NA 3.36408        NA        NA          0.94845                   NA                   NA 0.004221      NA     NA
