VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL    ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.42375 279.82779 281.0197        NA       NA 11.92851   11.52149   12.36556         NA         NA 280.11352 279.53215 280.69489       NA       NA 11.63656   11.2395    12.06291         NA         NA 0.97991     0.97782     0.9818           NA          NA      NA      NA     0          0          0  0.31023    0.19133   0.42912      NA     NA 2.37973    2.29853    2.46692         NA         NA 1.00111        NA        NA 1.74719      NA      NA  5.75569      NA      NA  5.65945        NA        NA 2.3991        NA       NA -2.34242      NA      NA -1.0993       NA      NA  0.16791        NA      NA 1.40362      NA      NA 2.99029      NA      NA 2.50292       NA       NA 1.24721      NA      NA   0.86567       0.85259       0.87768            NA            NA 0.096241        NA      NA 0.95749        NA        NA 4.40266        NA        NA 4.71514        NA        NA          0.86372                   NA                   NA 0.0085647     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.47838 283.10251 283.85425       NA       NA  8.20383    7.94639    8.47862         NA         NA 283.41677 283.04169 283.79184       NA       NA  8.18646    7.92957    8.46067         NA         NA 0.98024     0.97837     0.98196          NA          NA      NA      NA     0          0          0  0.061613  -0.013027  0.13625      NA     NA 1.62911    1.57799    1.68368         NA         NA 1.00022        NA        NA 1.07705      NA      NA  2.65636      NA      NA  2.65256        NA        NA 1.62983       NA       NA -1.7763       NA      NA -0.72573      NA      NA  0.03143        NA      NA 0.77621      NA      NA 1.66019      NA      NA 1.50194       NA       NA 0.75113      NA      NA   0.84233       0.82848       0.85515            NA            NA 0.0037962       NA      NA 0.96036        NA        NA 2.96518        NA        NA 2.81732        NA        NA          0.84232                   NA                   NA 0.0057507     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.85019 279.3047  280.39568       NA       NA  7.62203    7.25485    8.02867         NA         NA 280.27304 279.77129 280.7748        NA       NA  7.01096    6.67321    7.38499         NA         NA 0.98658     0.98452     0.98836          NA          NA      NA      NA     0          0          0 -0.42285   -0.51909  -0.32662      NA     NA 1.34466    1.27989    1.4164          NA         NA 0.99849        NA        NA 1.04768      NA      NA  1.98452      NA      NA  1.80571        NA        NA 1.40873       NA       NA -2.37683      NA      NA -1.4781       NA      NA -0.4342         NA      NA 0.39493      NA      NA 1.00588      NA      NA 1.87303       NA       NA 0.90757      NA      NA   0.93766       0.92839       0.94576            NA            NA 0.1788          NA      NA 0.95963        NA        NA 3.88909        NA        NA 3.76739        NA        NA          0.93278                   NA                   NA 0.0050263     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.96629 277.541   278.39158       NA       NA  8.4374     8.14703    8.74939         NA         NA 277.16809 276.70554 277.63063       NA       NA  9.17662    8.86081    9.51594         NA         NA 0.85418     0.83994     0.86725          NA          NA      NA      NA     0          0          0  0.7982     0.5558    1.04061      NA     NA 4.80909    4.64358    4.98691         NA         NA 1.00288        NA        NA 3.01821      NA      NA 23.74914      NA      NA 23.11201        NA        NA 4.87331       NA       NA -3.90314      NA      NA -1.49102      NA      NA  0.084272       NA      NA 1.97746      NA      NA 6.4662       NA      NA 3.46848       NA       NA 1.68973      NA      NA   0.66505       0.63596       0.69225            NA            NA 0.63713         NA      NA 0.71798        NA        NA 5.66644        NA        NA 6.07789        NA        NA          0.65767                   NA                   NA 0.017583      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.07591 276.85679 277.29502       NA       NA 11.87339   11.72046   12.0304          NA         NA 276.95548 276.73708 277.17388       NA       NA 11.83469   11.68225   11.99118         NA         NA 0.97082     0.96974     0.97187          NA          NA      NA      NA     0          0          0  0.12043    0.067584  0.17328      NA     NA 2.86372    2.82683    2.90158         NA         NA 1.00043        NA        NA 1.814        NA      NA  8.21465      NA      NA  8.20014        NA        NA 2.86612       NA       NA -2.51266      NA      NA -1.23549      NA      NA  0.0039204      NA      NA 1.28683      NA      NA 3.07425      NA      NA 2.52232       NA       NA 1.25551      NA      NA   0.8043        0.79768       0.81072            NA            NA 0.014504        NA      NA 0.94135        NA        NA 4.42908        NA        NA 4.70294        NA        NA          0.80461                   NA                   NA 0.010349      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.97114 275.76069 276.18159       NA       NA 11.40403   11.25714   11.55482         NA         NA 276.15789 275.94486 276.37093       NA       NA 11.54382   11.39513   11.69646         NA         NA 0.98163     0.98094     0.98229          NA          NA      NA      NA     0          0          0 -0.18676   -0.22743  -0.14609      NA     NA 2.20391    2.17552    2.23305         NA         NA 0.99932        NA        NA 1.54029      NA      NA  4.89167      NA      NA  4.85679        NA        NA 2.21171       NA       NA -3.03113      NA      NA -1.46454      NA      NA -0.15297        NA      NA 1.00675      NA      NA 2.93809      NA      NA 2.47129       NA       NA 1.23482      NA      NA   0.88371       0.8796        0.88769            NA            NA 0.034878        NA      NA 0.96329        NA        NA 4.72805        NA        NA 4.75656        NA        NA          0.89126                   NA                   NA 0.0080089     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.95211 291.87964 292.02458       NA       NA  2.97646    2.92609    3.02861         NA         NA 291.8423  291.77264 291.91197       NA       NA  2.86116    2.81274    2.91129         NA         NA 0.96716     0.96554     0.96869          NA          NA      NA      NA     0          0          0  0.1098     0.091377  0.12823      NA     NA 0.75677    0.74397    0.77003         NA         NA 1.00038        NA        NA 0.53862      NA      NA  0.58468      NA      NA  0.57262        NA        NA 0.76464       NA       NA -0.72457      NA      NA -0.287        NA      NA  0.098683       NA      NA 0.48533      NA      NA 0.92578      NA      NA 0.77233       NA       NA 0.38667      NA      NA   0.85955       0.85306       0.86578            NA            NA 0.012057        NA      NA 0.92858        NA        NA 1.68233        NA        NA 1.60542        NA        NA          0.89286                   NA                   NA 0.00262       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.1303  261.97091 262.28968       NA       NA  5.77314    5.6626     5.88811         NA         NA 262.34874 262.17196 262.52551       NA       NA  6.40313    6.28054    6.53065         NA         NA 0.91793     0.91347     0.92217          NA          NA      NA      NA     0          0          0 -0.21844   -0.28863  -0.14824      NA     NA 2.54256    2.49388    2.5932          NA         NA 0.99917        NA        NA 1.83935      NA      NA  6.51106      NA      NA  6.46334        NA        NA 2.55168       NA       NA -2.47287      NA      NA -1.30583      NA      NA  0.043971       NA      NA 1.4744       NA      NA 3.19622      NA      NA 2.78023       NA       NA 1.39006      NA      NA   0.87952       0.87311       0.88562            NA            NA 0.047715        NA      NA 0.84119        NA        NA 4.74554        NA        NA 5.34876        NA        NA          0.87891                   NA                   NA 0.0097263     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.56932 259.36116 259.77748       NA       NA  7.53985    7.39549    7.69001         NA         NA 259.33661 259.12009 259.55314       NA       NA  7.84275    7.69259    7.99893         NA         NA 0.91336     0.90866     0.91782          NA          NA      NA      NA     0          0          0  0.23271    0.14394   0.32147      NA     NA 3.21535    3.15379    3.27938         NA         NA 1.0009         NA        NA 2.49136      NA      NA 10.39058      NA      NA 10.33643        NA        NA 3.22344       NA       NA -3.65823      NA      NA -1.82479      NA      NA  0.0095186      NA      NA 2.06842      NA      NA 4.28192      NA      NA 3.8932        NA       NA 1.93669      NA      NA   0.83864       0.83025       0.84664            NA            NA 0.054152        NA      NA 0.83107        NA        NA 6.14787        NA        NA 6.1761         NA        NA          0.86318                   NA                   NA 0.01243       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.69486 253.21499 254.17473       NA       NA  9.60489    9.27716    9.95681         NA         NA 254.37203 253.90235 254.84171       NA       NA  9.40098    9.08021    9.74543         NA         NA 0.98871     0.98752     0.98978          NA          NA      NA      NA     0          0          0 -0.67717   -0.74924  -0.60509      NA     NA 1.44265    1.39343    1.49551         NA         NA 0.99734        NA        NA 1.23338      NA      NA  2.53845      NA      NA  2.0799         NA        NA 1.59325       NA       NA -2.6369       NA      NA -1.6312       NA      NA -0.70366        NA      NA 0.21185      NA      NA 1.01552      NA      NA 1.84305       NA       NA 0.91864      NA      NA   0.92545       0.91793       0.9323             NA            NA 0.45855         NA      NA 0.97128        NA        NA 3.80687        NA        NA 3.62476        NA        NA          0.90922                   NA                   NA 0.0062635     NA     NA
