VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL    ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25       E25_BCL E25_BCU E50         E50_BCL E50_BCU E75       E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS    MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.83586 280.24598 281.42574       NA       NA 11.80682   11.40395   12.23941         NA         NA 280.65061 280.08787 281.21336       NA       NA 11.26381   10.87947   11.6765          NA         NA 0.97423     0.97155     0.97665          NA          NA      NA      NA     0          0          0  0.18525    0.051654  0.31884       NA     NA 2.67392    2.58268    2.77189         NA         NA 1.00066        NA        NA 1.96109      NA      NA  7.1795       NA      NA  7.14519        NA        NA 2.67946       NA       NA -2.87163      NA      NA -1.42443       NA      NA  0.023049        NA      NA  1.61865       NA      NA 3.15272      NA      NA 3.04308       NA       NA 1.52344      NA      NA   0.75809       0.73601       0.77857            NA            NA 0.034316        NA      NA  0.94341        NA        NA 3.95286        NA        NA 3.80527        NA        NA          0.76207                   NA                   NA 0.0095473     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.4338  283.07045 283.79714       NA       NA  7.93045    7.68159    8.19609         NA         NA 283.27084 282.90827 283.6334        NA       NA  7.9134     7.66508    8.17847         NA         NA 0.95239     0.94794     0.95647          NA          NA      NA      NA     0          0          0  0.16296    0.050963  0.27496       NA     NA 2.44449    2.36778    2.52637         NA         NA 1.00058        NA        NA 1.51096      NA      NA  5.99882      NA      NA  5.97227        NA        NA 2.44925       NA       NA -2.68657      NA      NA -0.76039       NA      NA  0.19432         NA      NA  1.04606       NA      NA 2.01123      NA      NA 1.80644       NA       NA 0.89418      NA      NA   0.79117       0.77339       0.80771            NA            NA 0.026556        NA      NA  0.90421        NA        NA 3.62679        NA        NA 3.89664        NA        NA          0.79034                   NA                   NA 0.0086463     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.49575 279.90114 281.09036       NA       NA  8.30835    7.90811    8.7516          NA         NA 280.63343 280.06135 281.2055        NA       NA  7.99352    7.60844    8.41997         NA         NA 0.98131     0.97845     0.98378          NA          NA      NA      NA     0          0          0 -0.13768   -0.25268  -0.022679      NA     NA 1.60688    1.52947    1.69261         NA         NA 0.99951        NA        NA 1.18738      NA      NA  2.59759      NA      NA  2.57863        NA        NA 1.6117        NA       NA -2.41831      NA      NA -1.27644       NA      NA -0.29394         NA      NA  0.6786        NA      NA 1.54978      NA      NA 1.95504       NA       NA 0.98234      NA      NA   0.92305       0.9117        0.93299            NA            NA 0.018956        NA      NA  0.95935        NA        NA 4.26153        NA        NA 4.14909        NA        NA          0.9269                    NA                   NA 0.0057431     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.73195 277.30881 278.15509       NA       NA  8.39475    8.10584    8.70516         NA         NA 277.29684 276.81627 277.77742       NA       NA  9.5343     9.20618    9.88685         NA         NA 0.89029     0.87935     0.9003           NA          NA      NA      NA     0          0          0  0.43511    0.21621   0.65401       NA     NA 4.34284    4.19339    4.50343         NA         NA 1.00157        NA        NA 2.68396      NA      NA 19.03714      NA      NA 18.84783        NA        NA 4.36316       NA       NA -3.347        NA      NA -1.54781       NA      NA -0.058804        NA      NA  1.53717       NA      NA 5.28292      NA      NA 3.08498       NA       NA 1.5278       NA      NA   0.76948       0.74809       0.78928            NA            NA 0.18932         NA      NA  0.79058        NA        NA 6.43443        NA        NA 6.3742         NA        NA          0.76796                   NA                   NA 0.015735      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.16869 276.95299 277.38438       NA       NA 11.68809   11.53754   11.84264         NA         NA 277.17006 276.95378 277.38634       NA       NA 11.72004   11.56908   11.87501         NA         NA 0.9645      0.96319     0.96576          NA          NA      NA      NA     0          0          0 -0.0013746 -0.058932  0.056182      NA     NA 3.11893    3.07875    3.16017         NA         NA 1              NA        NA 2.03811      NA      NA  9.72684      NA      NA  9.72684        NA        NA 3.11879       NA       NA -3.07187      NA      NA -1.51208       NA      NA -0.3576          NA      NA  1.05152       NA      NA 3.08177      NA      NA 2.56361       NA       NA 1.27541      NA      NA   0.78551       0.77833       0.79247            NA            NA 1.8896e-06      NA      NA  0.92919        NA        NA 4.71171        NA        NA 4.82441        NA        NA          0.78633                   NA                   NA 0.011252      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.78006 275.56697 275.99314       NA       NA 11.54683   11.3981    11.69952         NA         NA 276.00461 275.79128 276.21795       NA       NA 11.56047   11.41157   11.71334         NA         NA 0.96298     0.96161     0.9643           NA          NA      NA      NA     0          0          0 -0.22456   -0.28257  -0.16654       NA     NA 3.14381    3.10331    3.18538         NA         NA 0.99919        NA        NA 2.00824      NA      NA  9.93307      NA      NA  9.88265        NA        NA 3.15168       NA       NA -4.68348      NA      NA -1.94674       NA      NA -0.17302         NA      NA  1.23074       NA      NA 3.3777       NA      NA 3.17747       NA       NA 1.56224      NA      NA   0.77525       0.76778       0.78251            NA            NA 0.050426        NA      NA  0.92568        NA        NA 4.74972        NA        NA 4.90396        NA        NA          0.78729                   NA                   NA 0.011419      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.94691 291.87357 292.02026       NA       NA  3.0123     2.96132    3.06508         NA         NA 291.84267 291.77236 291.91298       NA       NA  2.88776    2.83889    2.93836         NA         NA 0.95172     0.94937     0.95396          NA          NA      NA      NA     0          0          0  0.10424    0.081721  0.12676       NA     NA 0.9249     0.90925    0.94111         NA         NA 1.00036        NA        NA 0.61113      NA      NA  0.86618      NA      NA  0.85532        NA        NA 0.93069       NA       NA -0.78748      NA      NA -0.34743       NA      NA  0.050781        NA      NA  0.49977       NA      NA 1.02073      NA      NA 0.84719       NA       NA 0.42516      NA      NA   0.79011       0.78078       0.79908            NA            NA 0.010866        NA      NA  0.89613        NA        NA 1.70735        NA        NA 1.55939        NA        NA          0.84144                   NA                   NA 0.003189      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.88468 262.71324 263.05612       NA       NA  6.20979    6.09089    6.33345         NA         NA 262.85458 262.66667 263.04248       NA       NA  6.80612    6.67581    6.94166         NA         NA 0.8589      0.85148     0.86597          NA          NA      NA      NA     0          0          0  0.030102  -0.066656  0.12686       NA     NA 3.50471    3.4376     3.5745          NA         NA 1.00011        NA        NA 2.48721      NA      NA 12.28145      NA      NA 12.28054        NA        NA 3.50449       NA       NA -3.02209      NA      NA -1.69251       NA      NA -0.58576         NA      NA  0.77101       NA      NA 3.72869      NA      NA 2.46351       NA       NA 1.21183      NA      NA   0.79625       0.78591       0.80613            NA            NA 0.00090612      NA      NA  0.73488        NA        NA 5.17324        NA        NA 5.74254        NA        NA          0.79875                   NA                   NA 0.013332      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.43964 259.21501 259.66426       NA       NA  8.13627    7.98048    8.2983          NA         NA 259.18321 258.96644 259.39997       NA       NA  7.85171    7.70137    8.00807         NA         NA 0.884       0.87782     0.88989          NA          NA      NA      NA     0          0          0  0.25643    0.14986   0.363         NA     NA 3.86024    3.78633    3.93712         NA         NA 1.00099        NA        NA 2.84919      NA      NA 14.96425      NA      NA 14.8985         NA        NA 3.86837       NA       NA -5.79962      NA      NA -2.79995       NA      NA -0.28992         NA      NA  2.0385        NA      NA 4.40158      NA      NA 4.83846       NA       NA 2.4229       NA      NA   0.774         0.76269       0.78484            NA            NA 0.065756        NA      NA  0.75727        NA        NA 6.31819        NA        NA 6.09578        NA        NA          0.80637                   NA                   NA 0.014925      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.56697 253.07029 254.06366       NA       NA  9.94152    9.60229   10.30577         NA         NA 254.18924 253.71588 254.6626        NA       NA  9.47471    9.15142    9.82186         NA         NA 0.97146     0.9685      0.97414          NA          NA      NA      NA     0          0          0 -0.62227   -0.74044  -0.50409       NA     NA 2.3654     2.28469    2.45207         NA         NA 0.99755        NA        NA 1.80368      NA      NA  5.97872      NA      NA  5.5915         NA        NA 2.44514       NA       NA -3.57522      NA      NA -2.18566       NA      NA -0.60603         NA      NA  0.58373       NA      NA 2.18284      NA      NA 2.76939       NA       NA 1.3959       NA      NA   0.77939       0.75898       0.79827            NA            NA 0.38722         NA      NA  0.9334         NA        NA 3.6813         NA        NA 3.42711        NA        NA          0.76562                   NA                   NA 0.0096194     NA     NA
