VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FABAR     OABAR     FOABAR   FFABAR   OOABAR   MAE
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SAL1L2     1539  0.63947   0.45422  11.46284 15.62509 14.4801  1.96109
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SAL1L2     1830  0.139    -0.023961 11.16928 13.15359 15.1838  1.51096
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SAL1L2      750  0.96305   1.10073  16.389   18.16067 17.21492 1.18738
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SAL1L2     1512 -0.096221 -0.53133  31.49755 41.40184 40.6304  2.68396
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  0.29416   0.29553  17.87412 22.20019 23.2749  2.03811
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  1.03871   1.26327  18.33782 22.55986 24.04887 2.00824
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SAL1L2     6480  0.86223   0.75799   2.24028  2.91503  2.4317  0.61113
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SAL1L2     5040  0.63383   0.60373  23.72887 26.76245 32.97673 2.48721
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SAL1L2     5040  2.49295   2.23652  31.05689 39.91947 37.15856 2.84919
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SAL1L2     1539 -0.19924   0.42302   9.65917 13.55199 11.74506 1.80368
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P500     t       K         P500    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SAL1L2     1830 -0.66778  -0.30613   7.39089  8.95987 10.18206 1.41837
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P500     t       K         P500    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SAL1L2      750 -0.24569  -0.28941   4.69211  6.11466  6.05822 1.20085
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P500     t       K         P500    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SAL1L2     1512  1.32196   0.56356  16.55272 24.52451 23.51561 2.38971
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P500     t       K         P500    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  0.31289   0.56742  10.88804 13.81265 14.93588 1.75523
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1320000   20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P500     t       K         P500    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  0.8311    0.8811   10.48373 14.43628 15.22295 1.95184
