VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL     ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50         E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.24991 277.67976 278.82007       NA       NA 11.41207   11.02267   11.8302          NA         NA 278.23214 277.66618 278.79811       NA       NA 11.32823   10.94169   11.74329         NA         NA 0.99441     0.99383     0.99494          NA          NA      NA      NA     0          0          0  0.017769  -0.042428   0.077967     NA     NA 1.20489    1.16378    1.24904         NA         NA 1.00006        NA        NA 0.90338      NA      NA 1.45114      NA      NA 1.45082        NA        NA 1.20463       NA       NA -1.55279      NA      NA -0.71824      NA      NA -0.0080847       NA      NA 0.64667       NA      NA 1.46254      NA      NA 1.36491       NA       NA 0.68003      NA      NA   0.97122       0.96825       0.97393            NA            NA 0.00031575      NA      NA 0.98869        NA        NA 5.04931        NA        NA 5.07561        NA        NA          0.9717                    NA                   NA 0.0043296     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.20466 282.84295 283.56638       NA       NA  7.89492    7.64718    8.15937         NA         NA 283.20186 282.84246 283.56125       NA       NA  7.84413    7.59799    8.10688         NA         NA 0.99437     0.99384     0.99487          NA          NA      NA      NA     0          0          0  0.0028091 -0.035505   0.041124     NA     NA 0.83626    0.81002    0.86427         NA         NA 1.00001        NA        NA 0.58106      NA      NA 0.69896      NA      NA 0.69895        NA        NA 0.83604       NA       NA -0.90784      NA      NA -0.41149      NA      NA  0.010073        NA      NA 0.42219       NA      NA 0.90318      NA      NA 0.83368       NA       NA 0.41909      NA      NA   0.95377       0.94944       0.95774            NA            NA 7.891e-06       NA      NA 0.98864        NA        NA 2.78207        NA        NA 2.66138        NA        NA          0.95378                   NA                   NA 0.0029521     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.0665  279.65384 280.47917       NA       NA  5.76607    5.48829    6.07368         NA         NA 280.27956 279.89123 280.66789       NA       NA  5.42607    5.16467    5.71555         NA         NA 0.99002     0.98849     0.99135          NA          NA      NA      NA     0          0          0 -0.21306   -0.27462   -0.1515       NA     NA 0.86013    0.81869    0.90601         NA         NA 0.99924        NA        NA 0.68857      NA      NA 0.78422      NA      NA 0.73883        NA        NA 0.88556       NA       NA -1.37614      NA      NA -0.89196      NA      NA -0.30218         NA      NA 0.23223       NA      NA 0.73552      NA      NA 1.12419       NA       NA 0.5557       NA      NA   0.98071       0.97777       0.98327            NA            NA 0.045394        NA      NA 0.97336        NA        NA 4.13402        NA        NA 4.44166        NA        NA          0.98122                   NA                   NA 0.0031596     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.84547 279.32377 280.36717       NA       NA 10.3502     9.994     10.73292         NA         NA 279.8277  279.31093 280.34447       NA       NA 10.25237    9.89954   10.63147         NA         NA 0.99276     0.99199     0.99345          NA          NA      NA      NA     0          0          0  0.017778  -0.044895   0.080451     NA     NA 1.24339    1.2006     1.28937         NA         NA 1.00006        NA        NA 0.87019      NA      NA 1.54531      NA      NA 1.54499        NA        NA 1.2431        NA       NA -1.4309       NA      NA -0.57523      NA      NA  0.033551        NA      NA 0.62725       NA      NA 1.28195      NA      NA 1.20248       NA       NA 0.6025       NA      NA   0.97892       0.97671       0.98092            NA            NA 0.00031606      NA      NA 0.9853         NA        NA 6.0763         NA        NA 6.2235         NA        NA          0.97985                   NA                   NA 0.0044424     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.74772 276.53036 276.96508       NA       NA 11.77829   11.62658   11.93404         NA         NA 276.7883  276.57083 277.00577       NA       NA 11.78436   11.63258   11.94019         NA         NA 0.99593     0.99577     0.99607          NA          NA      NA      NA     0          0          0 -0.040577  -0.060199  -0.020955     NA     NA 1.0633     1.04961    1.07736         NA         NA 0.99985        NA        NA 0.78496      NA      NA 1.13216      NA      NA 1.13052        NA        NA 1.06403       NA       NA -1.22783      NA      NA -0.60444      NA      NA -0.00062356      NA      NA 0.5976        NA      NA 1.23333      NA      NA 1.20204       NA       NA 0.60176      NA      NA   0.97422       0.97326       0.97514            NA            NA 0.0016465       NA      NA 0.99185        NA        NA 4.62093        NA        NA 4.74589        NA        NA          0.97454                   NA                   NA 0.0038442     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.89401 275.67821 276.10981       NA       NA 11.6939    11.54328   11.84853         NA         NA 276.02308 275.80998 276.23618       NA       NA 11.54766   11.39893   11.70036         NA         NA 0.99501     0.99482     0.99519          NA          NA      NA      NA     0          0          0 -0.12907   -0.15067   -0.10747      NA     NA 1.17037    1.1553     1.18585         NA         NA 0.99953        NA        NA 0.81274      NA      NA 1.3863       NA      NA 1.36964        NA        NA 1.17741       NA       NA -2.02476      NA      NA -1.04014      NA      NA -0.23743         NA      NA 0.38439       NA      NA 1.08368      NA      NA 1.42453       NA       NA 0.70212      NA      NA   0.96365       0.96231       0.96495            NA            NA 0.016659        NA      NA 0.9896         NA        NA 4.40048        NA        NA 4.51397        NA        NA          0.96543                   NA                   NA 0.0042656     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.87085 291.80937 291.93234       NA       NA  2.52528    2.48254    2.56952         NA         NA 291.84201 291.78167 291.90236       NA       NA  2.47853    2.43658    2.52196         NA         NA 0.97252     0.97117     0.97381          NA          NA      NA      NA     0          0          0  0.028837   0.014512   0.043161     NA     NA 0.58832    0.57836    0.59863         NA         NA 1.0001         NA        NA 0.4046       NA      NA 0.3469       NA      NA 0.34606        NA        NA 0.58898       NA       NA -0.57154      NA      NA -0.25894      NA      NA  0.028841        NA      NA 0.31113       NA      NA 0.67222      NA      NA 0.57007       NA       NA 0.28549      NA      NA   0.89046       0.88531       0.8954             NA            NA 0.00083156      NA      NA 0.94353        NA        NA 1.48673        NA        NA 1.45946        NA        NA          0.92023                   NA                   NA 0.0020181     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.69201 261.52019 261.86382       NA       NA  6.22346    6.1043     6.34739         NA         NA 261.61084 261.4296  261.79208       NA       NA  6.56486    6.43916    6.6956          NA         NA 0.98731     0.98659     0.98799          NA          NA      NA      NA     0          0          0  0.081164   0.051511   0.11082      NA     NA 1.07406    1.05349    1.09545         NA         NA 1.00031        NA        NA 0.80934      NA      NA 1.15996      NA      NA 1.15337        NA        NA 1.07701       NA       NA -1.06246      NA      NA -0.46098      NA      NA  0.13358         NA      NA 0.71936       NA      NA 1.3357       NA      NA 1.18034       NA       NA 0.58909      NA      NA   0.97828       0.97706       0.97944            NA            NA 0.0065876       NA      NA 0.97309        NA        NA 4.98601        NA        NA 5.16964        NA        NA          0.97815                   NA                   NA 0.0041169     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.33351 259.09625 259.57077       NA       NA  8.5939     8.42936    8.76505         NA         NA 259.60105 259.36942 259.83268       NA       NA  8.39002    8.22938    8.55711         NA         NA 0.98126     0.98021     0.98226          NA          NA      NA      NA     0          0          0 -0.26755   -0.31327   -0.22182      NA     NA 1.6563     1.62459    1.68929         NA         NA 0.99897        NA        NA 1.23446      NA      NA 2.81437      NA      NA 2.74279        NA        NA 1.67761       NA       NA -2.7701       NA      NA -1.63508      NA      NA -0.67315         NA      NA 0.35708       NA      NA 1.33918      NA      NA 1.99216       NA       NA 0.99689      NA      NA   0.95105       0.94835       0.95362            NA            NA 0.071581        NA      NA 0.96002        NA        NA 5.5635         NA        NA 5.89657        NA        NA          0.9588                    NA                   NA 0.0064623     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260417_000000 20260417_000000 000000   20260417_000000 20260417_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.84835 252.36857 253.32813       NA       NA  9.60312    9.27545    9.95497         NA         NA 252.69236 252.20959 253.17514       NA       NA  9.6631     9.33338   10.01715         NA         NA 0.99658     0.99622     0.99691          NA          NA      NA      NA     0          0          0  0.15599    0.11608    0.19589      NA     NA 0.79873    0.77148    0.828           NA         NA 1.00062        NA        NA 0.63991      NA      NA 0.66189      NA      NA 0.63756        NA        NA 0.81357       NA       NA -0.9053       NA      NA -0.37068      NA      NA  0.1438          NA      NA 0.68635       NA      NA 1.18583      NA      NA 1.05703       NA       NA 0.53008      NA      NA   0.97145       0.9685        0.97414            NA            NA 0.024332        NA      NA 0.99291        NA        NA 3.24467        NA        NA 3.36408        NA        NA          0.97033                   NA                   NA 0.0032196     NA     NA
