VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL     ME_NCU      ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50         E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.31715 277.74859 278.88571       NA       NA 11.38009   10.99178   11.79704         NA         NA 278.45764 277.89164 279.02365       NA       NA 11.32904   10.94247   11.74413         NA         NA 0.98979     0.98872     0.99075          NA          NA      NA      NA     0          0          0 -0.1405    -0.22162   -0.059376       NA     NA 1.62368    1.56828    1.68317         NA         NA 0.9995         NA        NA 1.26146      NA      NA 2.65437      NA      NA 2.63463        NA        NA 1.62922       NA       NA -2.282        NA      NA -1.17861      NA      NA -0.13941         NA      NA 0.82225       NA      NA 1.86767      NA      NA 2.00086       NA       NA 1.00789      NA      NA   0.94761       0.94226       0.95248            NA            NA 0.019739        NA      NA 0.97932        NA        NA 4.94245        NA        NA 5.11584        NA        NA          0.9481                    NA                   NA 0.0058509     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.39642 283.04615 283.7467        NA       NA  7.64514    7.40524    7.90123         NA         NA 283.56854 283.23101 283.90607       NA       NA  7.36705    7.13588    7.61382         NA         NA 0.9887      0.98762     0.98969          NA          NA      NA      NA     0          0          0 -0.17212   -0.22535   -0.11888        NA     NA 1.16188    1.12542    1.2008          NA         NA 0.99939        NA        NA 0.84923      NA      NA 1.37885      NA      NA 1.34923        NA        NA 1.17424       NA       NA -1.63971      NA      NA -0.7758       NA      NA -0.16005         NA      NA 0.4458        NA      NA 1.18073      NA      NA 1.22161       NA       NA 0.61007      NA      NA   0.92503       0.91812       0.93137            NA            NA 0.029624        NA      NA 0.97459        NA        NA 3.04821        NA        NA 2.72036        NA        NA          0.92334                   NA                   NA 0.004141      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.32072 279.88553 280.75591       NA       NA  6.08087    5.78793    6.40528         NA         NA 280.59778 280.20059 280.99497       NA       NA  5.54979    5.28244    5.84587         NA         NA 0.98876     0.98704     0.99025          NA          NA      NA      NA     0          0          0 -0.27706   -0.35007   -0.20405        NA     NA 1.02019    0.97104    1.07461         NA         NA 0.99901        NA        NA 0.77408      NA      NA 1.11616      NA      NA 1.03939        NA        NA 1.05648       NA       NA -1.86527      NA      NA -1.06236      NA      NA -0.32509         NA      NA 0.24361       NA      NA 0.75586      NA      NA 1.30598       NA       NA 0.63252      NA      NA   0.97121       0.96685       0.97501            NA            NA 0.076763        NA      NA 0.96376        NA        NA 4.06939        NA        NA 4.42341        NA        NA          0.97248                   NA                   NA 0.0037651     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.54884 279.04912 280.04855       NA       NA  9.91401    9.57282   10.2806          NA         NA 279.16144 278.66049 279.66238       NA       NA  9.93839    9.59636   10.30588         NA         NA 0.97333     0.97054     0.97585          NA          NA      NA      NA     0          0          0  0.3874     0.27183    0.50297        NA     NA 2.29282    2.21392    2.3776          NA         NA 1.00139        NA        NA 1.30165      NA      NA 5.40363      NA      NA 5.25356        NA        NA 2.32457       NA       NA -1.52407      NA      NA -0.67631      NA      NA  0.10713         NA      NA 0.91258       NA      NA 2.01935      NA      NA 1.5889        NA       NA 0.79268      NA      NA   0.91529       0.90671       0.9231             NA            NA 0.15008         NA      NA 0.94529        NA        NA 5.62309        NA        NA 5.60841        NA        NA          0.91433                   NA                   NA 0.008327      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.87364 276.65618 277.09109       NA       NA 11.78342   11.63165   11.93923         NA         NA 276.84628 276.62887 277.06369       NA       NA 11.7811    11.62936   11.93689         NA         NA 0.99114     0.99081     0.99146          NA          NA      NA      NA     0          0          0  0.02736   -0.0015851  0.056305       NA     NA 1.56849    1.54828    1.58923         NA         NA 1.0001         NA        NA 1.05743      NA      NA 2.46068      NA      NA 2.45993        NA        NA 1.56866       NA       NA -1.59333      NA      NA -0.72157      NA      NA  0.082398        NA      NA 0.91182       NA      NA 1.86745      NA      NA 1.6334        NA       NA 0.8165       NA      NA   0.94348       0.94142       0.94548            NA            NA 0.00074857      NA      NA 0.98227        NA        NA 4.58773        NA        NA 4.74694        NA        NA          0.94409                   NA                   NA 0.0056662     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.9583  275.74595 276.17064       NA       NA 11.5066    11.35839   11.65875         NA         NA 276.15354 275.94269 276.36439       NA       NA 11.42556   11.27839   11.57664         NA         NA 0.99022     0.98985     0.99057          NA          NA      NA      NA     0          0          0 -0.19524   -0.22487   -0.16561        NA     NA 1.60574    1.58506    1.62698         NA         NA 0.99929        NA        NA 1.12194      NA      NA 2.6163       NA      NA 2.57818        NA        NA 1.6175        NA       NA -2.32221      NA      NA -1.09997      NA      NA -0.17393         NA      NA 0.71603       NA      NA 1.9699       NA      NA 1.816         NA       NA 0.90652      NA      NA   0.93516       0.9328        0.93744            NA            NA 0.038119        NA      NA 0.97996        NA        NA 4.56943        NA        NA 4.67042        NA        NA          0.93894                   NA                   NA 0.0058572     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.90103 291.83789 291.96418       NA       NA  2.59336    2.54947    2.6388          NA         NA 291.82168 291.7602  291.88316       NA       NA  2.52509    2.48236    2.56933         NA         NA 0.9679      0.96632     0.9694           NA          NA      NA      NA     0          0          0  0.079351   0.063476   0.095226       NA     NA 0.65201    0.64098    0.66343         NA         NA 1.00027        NA        NA 0.45587      NA      NA 0.43135      NA      NA 0.42505        NA        NA 0.65677       NA       NA -0.57001      NA      NA -0.26266      NA      NA  0.068234        NA      NA 0.40116       NA      NA 0.79051      NA      NA 0.66382       NA       NA 0.33236      NA      NA   0.88157       0.87602       0.88688            NA            NA 0.0062965       NA      NA 0.93235        NA        NA 1.56638        NA        NA 1.52502        NA        NA          0.91007                   NA                   NA 0.0022506     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.81839 261.65631 261.98047       NA       NA  5.87081    5.75841    5.98773         NA         NA 261.68389 261.51    261.85777       NA       NA  6.29837    6.17778    6.4238          NA         NA 0.97539     0.97401     0.9767           NA          NA      NA      NA     0          0          0  0.13451    0.095438   0.17357        NA     NA 1.41511    1.38801    1.44329         NA         NA 1.00051        NA        NA 1.0735       NA      NA 2.02023      NA      NA 2.00214        NA        NA 1.42135       NA       NA -1.33595      NA      NA -0.53137      NA      NA  0.33339         NA      NA 1.25308       NA      NA 2.063        NA      NA 1.78445       NA       NA 0.89096      NA      NA   0.96475       0.96278       0.96661            NA            NA 0.018092        NA      NA 0.94907        NA        NA 5.07219        NA        NA 5.3638         NA        NA          0.96443                   NA                   NA 0.0054315     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.47461 259.25441 259.69481       NA       NA  7.97584    7.82312    8.13467         NA         NA 259.78236 259.56173 260.00298       NA       NA  7.99134    7.83833    8.15048         NA         NA 0.95738     0.95501     0.95962          NA          NA      NA      NA     0          0          0 -0.30774   -0.3721    -0.24339        NA     NA 2.33102    2.28639    2.37744         NA         NA 0.99882        NA        NA 1.71482      NA      NA 5.52728      NA      NA 5.43257        NA        NA 2.35102       NA       NA -2.98413      NA      NA -1.55984      NA      NA -0.17968         NA      NA 1.12433       NA      NA 2.68404      NA      NA 2.68417       NA       NA 1.33841      NA      NA   0.91529       0.9107        0.91966            NA            NA 0.094707        NA      NA 0.91345        NA        NA 5.90055        NA        NA 6.38167        NA        NA          0.92968                   NA                   NA 0.0090499     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260418_000000 20260418_000000 000000   20260418_000000 20260418_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 252.75524 252.27588 253.23461       NA       NA  9.59481    9.26742    9.94636         NA         NA 252.92579 252.44889 253.40269       NA       NA  9.54551    9.2198     9.89525         NA         NA 0.99225     0.99144     0.99299          NA          NA      NA      NA     0          0          0 -0.17055   -0.23011   -0.11099        NA     NA 1.19215    1.15148    1.23583         NA         NA 0.99933        NA        NA 0.90368      NA      NA 1.4494       NA      NA 1.42031        NA        NA 1.20391       NA       NA -1.7956       NA      NA -0.90183      NA      NA -0.15107         NA      NA 0.52119       NA      NA 1.10858      NA      NA 1.42301       NA       NA 0.70077      NA      NA   0.94507       0.93946       0.95017            NA            NA 0.029088        NA      NA 0.98409        NA        NA 3.51438        NA        NA 3.63956        NA        NA          0.94395                   NA                   NA 0.0047599     NA     NA
