VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25       E25_BCL E25_BCU E50        E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.29783 279.68705 280.90861       NA       NA 12.22522   11.80808   12.67315         NA         NA 280.19333 279.58713 280.79954       NA       NA 12.13362   11.7196    12.57819         NA         NA 0.98686     0.98549     0.9881           NA          NA      NA      NA     0          0          0  0.1045    0.0057515  0.20325      NA     NA 1.97656    1.90912    2.04898         NA         NA 1.00037        NA        NA 1.50885      NA      NA  3.91518      NA      NA 3.90426        NA        NA 1.97868       NA       NA -2.19616      NA      NA -1.16437       NA      NA  0.037792       NA      NA 1.33796      NA      NA 2.28787      NA      NA 2.50234       NA       NA 1.25113      NA      NA   0.92806       0.9208        0.93469            NA            NA 0.010921        NA      NA 0.97341        NA        NA 4.97616        NA        NA 5.31939        NA        NA          0.92827                   NA                   NA 0.0070618     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.67488 283.31885 284.03091       NA       NA  7.77079    7.52695    8.03108         NA         NA 283.93063 283.57952 284.28174       NA       NA  7.66342    7.42295    7.92012         NA         NA 0.98494     0.98351     0.98625          NA          NA      NA      NA     0          0          0 -0.25575  -0.3173    -0.1942       NA     NA 1.34347    1.30131    1.38847         NA         NA 0.9991         NA        NA 0.96818      NA      NA  1.86933      NA      NA 1.80393        NA        NA 1.36724       NA       NA -1.8347       NA      NA -0.92676       NA      NA -0.19373        NA      NA 0.47565      NA      NA 1.29958      NA      NA 1.40241       NA       NA 0.69499      NA      NA   0.88433       0.87392       0.89393            NA            NA 0.065409        NA      NA 0.96817        NA        NA 2.865          NA        NA 2.74596        NA        NA          0.88209                   NA                   NA 0.0048154     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.15673 279.68683 280.62663       NA       NA  6.56576    6.24946    6.91603         NA         NA 280.57015 280.13797 281.00234       NA       NA  6.03882    5.7479     6.36098         NA         NA 0.98792     0.98607     0.98953          NA          NA      NA      NA     0          0          0 -0.41342  -0.49297   -0.33387      NA     NA 1.11153    1.05799    1.17083         NA         NA 0.99853        NA        NA 0.87882      NA      NA  1.40478      NA      NA 1.23386        NA        NA 1.18523       NA       NA -2.35349      NA      NA -1.33934       NA      NA -0.36148        NA      NA 0.2957       NA      NA 0.7109       NA      NA 1.63503       NA       NA 0.73818      NA      NA   0.955         0.94824       0.96089            NA            NA 0.17092         NA      NA 0.96148        NA        NA 3.74621        NA        NA 3.94953        NA        NA          0.95392                   NA                   NA 0.0042244     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.09048 277.62421 278.55675       NA       NA  9.25042    8.93207    9.59247         NA         NA 277.65236 277.18392 278.1208        NA       NA  9.29356    8.97372    9.63721         NA         NA 0.94752     0.94211     0.95244          NA          NA      NA      NA     0          0          0  0.43812   0.2867     0.58955      NA     NA 3.00418    2.90079    3.11527         NA         NA 1.00158        NA        NA 1.81406      NA      NA  9.21108      NA      NA 9.01913        NA        NA 3.03498       NA       NA -2.06721      NA      NA -1.03718       NA      NA -0.065174       NA      NA 1.03205      NA      NA 3.49293      NA      NA 2.06923       NA       NA 1.0296       NA      NA   0.85405       0.83979       0.86713            NA            NA 0.19195         NA      NA 0.89335        NA        NA 5.54609        NA        NA 5.59234        NA        NA          0.85154                   NA                   NA 0.010931      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.08125 276.85987 277.30262       NA       NA 11.99612   11.84161   12.15474         NA         NA 276.99219 276.77039 277.214         NA       NA 12.01935   11.86454   12.17828         NA         NA 0.98612     0.9856      0.98662          NA          NA      NA      NA     0          0          0  0.089051  0.052124   0.12598      NA     NA 2.00101    1.97523    2.02747         NA         NA 1.00032        NA        NA 1.32196      NA      NA  4.0116       NA      NA 4.00367        NA        NA 2.0029        NA       NA -1.802        NA      NA -0.84512       NA      NA  0.10387        NA      NA 1.18438      NA      NA 2.54566      NA      NA 2.0295        NA       NA 1.00663      NA      NA   0.90885       0.90559       0.91201            NA            NA 0.00793         NA      NA 0.97223        NA        NA 4.54798        NA        NA 4.7929         NA        NA          0.90936                   NA                   NA 0.0072309     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.9858  275.77578 276.19582       NA       NA 11.38054   11.23396   11.53103         NA         NA 276.21395 276.00307 276.42483       NA       NA 11.42728   11.2801    11.57839         NA         NA 0.98711     0.98663     0.98758          NA          NA      NA      NA     0          0          0 -0.22815  -0.26194   -0.19435      NA     NA 1.83136    1.80777    1.85558         NA         NA 0.99917        NA        NA 1.29693      NA      NA  3.40563      NA      NA 3.35358        NA        NA 1.84544       NA       NA -2.49838      NA      NA -1.37092       NA      NA -0.20873        NA      NA 0.85078      NA      NA 2.52871      NA      NA 2.2217        NA       NA 1.11789      NA      NA   0.91649       0.91349       0.9194             NA            NA 0.052051        NA      NA 0.97392        NA        NA 4.59682        NA        NA 4.70276        NA        NA          0.92149                   NA                   NA 0.0066812     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.94205 291.8719  292.0122        NA       NA  2.8812     2.83244    2.93168         NA         NA 291.86673 291.79777 291.93569       NA       NA  2.83219    2.78426    2.88182         NA         NA 0.96928     0.96778     0.97072          NA          NA      NA      NA     0          0          0  0.075322  0.058042   0.092602     NA     NA 0.70971    0.6977     0.72214         NA         NA 1.00026        NA        NA 0.48665      NA      NA  0.50928      NA      NA 0.50361        NA        NA 0.71364       NA       NA -0.62656      NA      NA -0.29683       NA      NA  0.033454       NA      NA 0.3912       NA      NA 0.83759      NA      NA 0.68803       NA       NA 0.34427      NA      NA   0.85916       0.85265       0.8654             NA            NA 0.0056734       NA      NA 0.93651        NA        NA 1.59176        NA        NA 1.55169        NA        NA          0.89723                   NA                   NA 0.0024451     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.84857 261.6916  262.00555       NA       NA  5.6858     5.57693    5.79903         NA         NA 261.67426 261.50416 261.84435       NA       NA  6.16119    6.04322    6.28389         NA         NA 0.96668     0.96482     0.96845          NA          NA      NA      NA     0          0          0  0.17432   0.13014    0.21849      NA     NA 1.60008    1.56944    1.63194         NA         NA 1.00067        NA        NA 1.23968      NA      NA  2.59012      NA      NA 2.55973        NA        NA 1.60939       NA       NA -1.5275       NA      NA -0.60601       NA      NA  0.41674        NA      NA 1.65381      NA      NA 2.84665      NA      NA 2.25982       NA       NA 1.10214      NA      NA   0.95499       0.9525        0.95736            NA            NA 0.030387        NA      NA 0.93177        NA        NA 5.04625        NA        NA 5.38833        NA        NA          0.95452                   NA                   NA 0.0061503     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.57188 259.36432 259.77944       NA       NA  7.5182     7.37425    7.66792         NA         NA 259.66784 259.45488 259.88079       NA       NA  7.71362    7.56593    7.86724         NA         NA 0.94261     0.93945     0.94561          NA          NA      NA      NA     0          0          0 -0.095953 -0.16738   -0.024523     NA     NA 2.5873     2.53776    2.63883         NA         NA 0.99963        NA        NA 1.93505      NA      NA  6.70201      NA      NA 6.69281        NA        NA 2.58882       NA       NA -3.02393      NA      NA -1.7774        NA      NA -0.15426        NA      NA 1.52629      NA      NA 3.72881      NA      NA 3.30369       NA       NA 1.64729      NA      NA   0.90112       0.89579       0.90618            NA            NA 0.009207        NA      NA 0.88736        NA        NA 5.97899        NA        NA 6.50585        NA        NA          0.91742                   NA                   NA 0.0099698     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.23923 252.74891 253.72955       NA       NA  9.81412    9.47924   10.1737          NA         NA 253.48076 252.9882  253.97332       NA       NA  9.859      9.5226    10.22023         NA         NA 0.99039     0.98938     0.9913           NA          NA      NA      NA     0          0          0 -0.24153  -0.3097    -0.17336      NA     NA 1.36451    1.31795    1.41451         NA         NA 0.99905        NA        NA 1.01201      NA      NA  1.91902      NA      NA 1.86068        NA        NA 1.38529       NA       NA -2.00283      NA      NA -1.04504       NA      NA -0.17953        NA      NA 0.47962      NA      NA 1.24005      NA      NA 1.52466       NA       NA 0.74105      NA      NA   0.93476       0.92814       0.94079            NA            NA 0.058337        NA      NA 0.98026        NA        NA 3.72605        NA        NA 3.81528        NA        NA          0.93278                   NA                   NA 0.0054651     NA     NA
