VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.23102 277.66032 278.80172       NA       NA 11.42295   11.03318   11.84147         NA         NA 277.9586  277.38678 278.53042       NA       NA 11.44542   11.05489   11.86478         NA         NA 0.9857      0.98421     0.98705          NA          NA      NA      NA     0          0          0  0.27242   0.17579   0.36904      NA     NA 1.93394    1.86795    2.0048          NA         NA 1.00098        NA        NA 1.47369      NA      NA  3.8119       NA      NA  3.73769        NA        NA 1.95241       NA       NA -2.15847      NA      NA -0.95246      NA      NA  0.22262       NA      NA 1.35121      NA      NA 2.44737      NA      NA 2.30367       NA       NA 1.14832      NA      NA   0.91609       0.90767       0.92377            NA            NA 0.07421         NA      NA 0.9709         NA        NA 4.45882        NA        NA 4.82064        NA        NA          0.91437                   NA                   NA 0.0070241     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.27114 282.91249 283.62979       NA       NA  7.82797    7.58233    8.09018         NA         NA 283.37959 283.02723 283.73195       NA       NA  7.6907     7.44936    7.94831         NA         NA 0.98636     0.98506     0.98755          NA          NA      NA      NA     0          0          0 -0.10845  -0.1675   -0.049391     NA     NA 1.28896    1.24851    1.33214         NA         NA 0.99962        NA        NA 0.92472      NA      NA  1.67227      NA      NA  1.66051        NA        NA 1.29316       NA       NA -1.78231      NA      NA -0.79301      NA      NA -0.023351      NA      NA 0.61061      NA      NA 1.32022      NA      NA 1.40363       NA       NA 0.69274      NA      NA   0.87582       0.8647        0.88608            NA            NA 0.011761        NA      NA 0.97173        NA        NA 2.64889        NA        NA 2.50214        NA        NA          0.87547                   NA                   NA 0.0045634     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.85533 279.34974 280.36093       NA       NA  7.06453    6.7242     7.44141         NA         NA 280.19602 279.73136 280.66067       NA       NA  6.49252    6.17974    6.83889         NA         NA 0.9837      0.98121     0.98587          NA          NA      NA      NA     0          0          0 -0.34068  -0.43729  -0.24408      NA     NA 1.34984    1.28481    1.42185         NA         NA 0.99878        NA        NA 1.02033      NA      NA  1.9357       NA      NA  1.81963        NA        NA 1.39129       NA       NA -2.49379      NA      NA -1.38395      NA      NA -0.23864       NA      NA 0.42727      NA      NA 1.03747      NA      NA 1.81122       NA       NA 0.85084      NA      NA   0.94158       0.93287       0.94919            NA            NA 0.11607         NA      NA 0.95408        NA        NA 3.92156        NA        NA 4.06104        NA        NA          0.93984                   NA                   NA 0.0049654     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 279.15538 278.69875 279.612         NA       NA  9.0592     8.74743    9.39418         NA         NA 278.68328 278.21514 279.15143       NA       NA  9.28775    8.96812    9.63119         NA         NA 0.91247     0.90363     0.92054          NA          NA      NA      NA     0          0          0  0.47209   0.2783    0.66588      NA     NA 3.84461    3.71229    3.98677         NA         NA 1.00169        NA        NA 2.4622       NA      NA 14.99408      NA      NA 14.77121        NA        NA 3.87222       NA       NA -3.29075      NA      NA -1.53824      NA      NA -0.21692       NA      NA 1.33172      NA      NA 5.38499      NA      NA 2.86996       NA       NA 1.45127      NA      NA   0.71685       0.69143       0.74051            NA            NA 0.22287         NA      NA 0.82618        NA        NA 4.98302        NA        NA 5.22688        NA        NA          0.7133                    NA                   NA 0.013895      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.8407  276.62447 277.05693       NA       NA 11.71713   11.56621   11.87207         NA         NA 276.72066 276.50499 276.93633       NA       NA 11.68663   11.5361    11.84116         NA         NA 0.97951     0.97874     0.98024          NA          NA      NA      NA     0          0          0  0.12004   0.076313  0.16376      NA     NA 2.36925    2.33874    2.40058         NA         NA 1.00043        NA        NA 1.54801      NA      NA  5.62728      NA      NA  5.61287        NA        NA 2.37219       NA       NA -2.18631      NA      NA -1.08855      NA      NA  0.013062      NA      NA 1.17748      NA      NA 2.84161      NA      NA 2.26603       NA       NA 1.13549      NA      NA   0.86059       0.85573       0.8653             NA            NA 0.014409        NA      NA 0.9588         NA        NA 4.35104        NA        NA 4.59457        NA        NA          0.86074                   NA                   NA 0.0085725     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.972   275.76289 276.1811        NA       NA 11.33112   11.18517   11.48095         NA         NA 276.16248 275.95174 276.37323       NA       NA 11.41986   11.27277   11.57087         NA         NA 0.98509     0.98454     0.98563          NA          NA      NA      NA     0          0          0 -0.19049  -0.22677  -0.1542       NA     NA 1.96622    1.9409     1.99222         NA         NA 0.99931        NA        NA 1.36277      NA      NA  3.90197      NA      NA  3.86568        NA        NA 1.97534       NA       NA -2.73646      NA      NA -1.36505      NA      NA -0.21118       NA      NA 0.90275      NA      NA 2.56301      NA      NA 2.2678        NA       NA 1.13426      NA      NA   0.90551       0.90213       0.90878            NA            NA 0.036286        NA      NA 0.97008        NA        NA 4.65779        NA        NA 4.74501        NA        NA          0.9119                    NA                   NA 0.0071528     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.92245 291.858   291.98691       NA       NA  2.64727    2.60247    2.69365         NA         NA 291.81309 291.75008 291.87609       NA       NA  2.58769    2.54389    2.63303         NA         NA 0.96286     0.96104     0.96459          NA          NA      NA      NA     0          0          0  0.10937   0.091937  0.12679      NA     NA 0.71582    0.7037     0.72836         NA         NA 1.00037        NA        NA 0.5091       NA      NA  0.52428      NA      NA  0.51232        NA        NA 0.72407       NA       NA -0.62085      NA      NA -0.26834      NA      NA  0.087144      NA      NA 0.45056      NA      NA 0.92333      NA      NA 0.71891       NA       NA 0.36012      NA      NA   0.86651       0.86032       0.87245            NA            NA 0.011961        NA      NA 0.9217         NA        NA 1.60518        NA        NA 1.56934        NA        NA          0.89619                   NA                   NA 0.0024813     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.8796  261.72146 262.03773       NA       NA  5.728      5.61833    5.84207         NA         NA 261.96769 261.79541 262.13997       NA       NA  6.24026    6.12078    6.36453         NA         NA 0.94863     0.94579     0.95132          NA          NA      NA      NA     0          0          0 -0.088094 -0.14286  -0.033328     NA     NA 1.98369    1.94571    2.02319         NA         NA 0.99966        NA        NA 1.51744      NA      NA  3.94199      NA      NA  3.93423        NA        NA 1.98544       NA       NA -2.05501      NA      NA -1.10114      NA      NA  0.14157       NA      NA 1.40407      NA      NA 3.13334      NA      NA 2.50521       NA       NA 1.25297      NA      NA   0.92947       0.92561       0.93313            NA            NA 0.0077605       NA      NA 0.89877        NA        NA 5.00205        NA        NA 5.3768         NA        NA          0.92933                   NA                   NA 0.007579      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.64249 259.43672 259.84826       NA       NA  7.45337    7.31066    7.6018          NA         NA 259.47646 259.26149 259.69143       NA       NA  7.78651    7.63742    7.94157         NA         NA 0.93068     0.92689     0.93429          NA          NA      NA      NA     0          0          0  0.16603   0.087181  0.24488      NA     NA 2.85596    2.80128    2.91284         NA         NA 1.00064        NA        NA 2.10016      NA      NA  8.18246      NA      NA  8.1549         NA        NA 2.8605        NA       NA -3.2866       NA      NA -1.78404      NA      NA -0.17803       NA      NA 1.65023      NA      NA 3.96465      NA      NA 3.43426       NA       NA 1.7301       NA      NA   0.87624       0.86967       0.8825             NA            NA 0.027565        NA      NA 0.86504        NA        NA 5.96447        NA        NA 6.40565        NA        NA          0.89546                   NA                   NA 0.011024      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.07303 252.59885 253.54721       NA       NA  9.49104    9.16719    9.83878         NA         NA 253.39346 252.92492 253.862         NA       NA  9.37815    9.05815    9.72176         NA         NA 0.98809     0.98685     0.98922          NA          NA      NA      NA     0          0          0 -0.32043  -0.39339  -0.24747      NA     NA 1.4604     1.41057    1.51391         NA         NA 0.99874        NA        NA 1.10593      NA      NA  2.23405      NA      NA  2.13138        NA        NA 1.49467       NA       NA -2.23777      NA      NA -1.30975      NA      NA -0.26538       NA      NA 0.49128      NA      NA 1.23584      NA      NA 1.80103       NA       NA 0.87093      NA      NA   0.9234        0.91569       0.93044            NA            NA 0.10268         NA      NA 0.9746         NA        NA 3.75328        NA        NA 3.72361        NA        NA          0.92011                   NA                   NA 0.0058986     NA     NA
