VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME          ME_NCL    ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS     MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 282.06646 281.51513 282.6178        NA       NA 11.03542   10.65887   11.43975         NA         NA 281.78922 281.23106 282.34737       NA       NA 11.17192   10.79072   11.58125         NA         NA 0.95862     0.95437     0.96249          NA          NA      NA      NA     0          0          0  0.27725     0.11752   0.43697       NA     NA 3.19703    3.08794    3.31417         NA         NA 1.00098        NA        NA 2.32501      NA      NA 10.29123      NA      NA 10.21436        NA        NA 3.20799       NA       NA -3.39942      NA      NA -1.84992      NA      NA  0.065765       NA      NA 1.85732      NA      NA 3.98465      NA      NA 3.70725       NA       NA 1.86987      NA      NA  0.69748      0.6709         0.72228             NA            NA 0.076866        NA      NA  0.91755         NA        NA 4.4817         NA        NA 4.14231        NA        NA          0.72593                   NA                   NA 0.011384      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.88607 283.55939 284.21275       NA       NA  7.1301     6.90636    7.36893         NA         NA 283.3296  283.00026 283.65894       NA       NA  7.18825    6.96268    7.42903         NA         NA 0.93449     0.92843     0.94006          NA          NA      NA      NA     0          0          0  0.55647     0.43772   0.67523       NA     NA 2.59192    2.51059    2.67874         NA         NA 1.00196        NA        NA 1.90846      NA      NA  7.02405      NA      NA  6.71439        NA        NA 2.65029       NA       NA -2.70595      NA      NA -0.73848      NA      NA  0.5709         NA      NA 1.84253      NA      NA 3.7209       NA      NA 2.581         NA       NA 1.29222      NA      NA  0.67476      0.64901        0.69897             NA            NA 0.30966         NA      NA  0.86406         NA        NA 3.35826        NA        NA 3.13724        NA        NA          0.66897                   NA                   NA 0.0093541     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 281.48446 280.7931  282.17582       NA       NA  9.66021    9.19483   10.17557         NA         NA 282.30543 281.71087 282.89999       NA       NA  8.30764    7.90742    8.75084         NA         NA 0.91809     0.90605     0.92864          NA          NA      NA      NA     0          0          0 -0.82097    -1.09793  -0.544         NA     NA 3.86998    3.68355    4.07644         NA         NA 0.99709        NA        NA 2.4228       NA      NA 15.63078      NA      NA 14.95679        NA        NA 3.95358       NA       NA -6.82388      NA      NA -2.47574      NA      NA -0.16233        NA      NA 1.11726      NA      NA 2.59761      NA      NA 3.59301       NA       NA 1.66337      NA      NA  0.50553      0.45023        0.55696             NA            NA 0.67399         NA      NA  0.77352         NA        NA 4.32385        NA        NA 4.56237        NA        NA          0.60526                   NA                   NA 0.014005      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.72831 277.33257 278.12405       NA       NA  7.85117    7.58098    8.14149         NA         NA 278.00639 277.58627 278.4265        NA       NA  8.3348     8.04796    8.643           NA         NA 0.86714     0.85406     0.87912          NA          NA      NA      NA     0          0          0 -0.27808    -0.48967  -0.06648       NA     NA 4.19794    4.05347    4.35317         NA         NA 0.999          NA        NA 2.89565      NA      NA 17.68839      NA      NA 17.61106        NA        NA 4.20576       NA       NA -6.05886      NA      NA -1.81381      NA      NA -0.29049        NA      NA 1.83304      NA      NA 5.1531       NA      NA 3.64685       NA       NA 1.74365      NA      NA  0.69726      0.67041        0.72228             NA            NA 0.077327        NA      NA  0.74538         NA        NA 5.0697         NA        NA 5.64055        NA        NA          0.69642                   NA                   NA 0.015128      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.50617 277.29683 277.7155        NA       NA 11.34366   11.19755   11.49366         NA         NA 277.66919 277.45532 277.88307       NA       NA 11.58943   11.44016   11.74268         NA         NA 0.93289     0.93045     0.93524          NA          NA      NA      NA     0          0          0 -0.16303    -0.24068  -0.085375      NA     NA 4.20792    4.15372    4.26356         NA         NA 0.99941        NA        NA 2.85011      NA      NA 17.73157      NA      NA 17.70499        NA        NA 4.21089       NA       NA -4.33285      NA      NA -1.68019      NA      NA  0.38493        NA      NA 2.99614      NA      NA 5.83999      NA      NA 4.67633       NA       NA 2.31948      NA      NA  0.58374      0.57145        0.59578             NA            NA 0.026578        NA      NA  0.86799         NA        NA 4.59823        NA        NA 4.66797        NA        NA          0.58707                   NA                   NA 0.015165      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.39872 275.17937 275.61807       NA       NA 11.88631   11.73321   12.04349         NA         NA 275.74972 275.53199 275.96745       NA       NA 11.79845   11.64649   11.95446         NA         NA 0.94862     0.94674     0.95043          NA          NA      NA      NA     0          0          0 -0.351      -0.42107  -0.28092       NA     NA 3.79726    3.74835    3.84747         NA         NA 0.99873        NA        NA 2.73645      NA      NA 14.54109      NA      NA 14.41789        NA        NA 3.81328       NA       NA -5.06676      NA      NA -2.12842      NA      NA  0.19879        NA      NA 2.29233      NA      NA 4.44564      NA      NA 4.42075       NA       NA 2.20316      NA      NA  0.58766      0.57544        0.59961             NA            NA 0.1232          NA      NA  0.89554         NA        NA 4.25307        NA        NA 4.3288         NA        NA          0.60525                   NA                   NA 0.013829      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.86017 291.78826 291.93208       NA       NA  2.95339    2.90341    3.00514         NA         NA 291.90172 291.83209 291.97134       NA       NA  2.85963    2.81123    2.90973         NA         NA 0.9277      0.92422     0.93102          NA          NA      NA      NA     0          0          0 -0.04155    -0.068554 -0.014546      NA     NA 1.10909    1.09032    1.12853         NA         NA 0.99986        NA        NA 0.73575      NA      NA  1.23162      NA      NA  1.2299         NA        NA 1.10979       NA       NA -1.07563      NA      NA -0.53452      NA      NA -0.065161       NA      NA 0.49274      NA      NA 1.06341      NA      NA 1.02726       NA       NA 0.51226      NA      NA  0.70067      0.68806        0.71286             NA            NA 0.0017264       NA      NA  0.84939         NA        NA 1.67133        NA        NA 1.59465        NA        NA          0.77004                   NA                   NA 0.0038019     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 263.34333 263.16256 263.5241        NA       NA  6.54781    6.42244    6.67821         NA         NA 263.27237 263.06343 263.4813        NA       NA  7.56806    7.42316    7.71878         NA         NA 0.63326     0.61643     0.64951          NA          NA      NA      NA     0          0          0  0.070964   -0.097847  0.23977       NA     NA 6.11459    5.99751    6.23636         NA         NA 1.00027        NA        NA 4.33158      NA      NA 37.38578      NA      NA 37.38074        NA        NA 6.11439       NA       NA -4.3336       NA      NA -1.29715      NA      NA  1.76015        NA      NA 4.63424      NA      NA 6.55581      NA      NA 5.9314        NA       NA 2.96295      NA      NA  0.40224      0.37884        0.42513             NA            NA 0.0050359       NA      NA  0.34726         NA        NA 5.21711        NA        NA 5.98827        NA        NA          0.41118                   NA                   NA 0.023225      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 258.27012 258.03222 258.50802       NA       NA  8.6171     8.45211    8.78871         NA         NA 258.09183 257.86102 258.32265       NA       NA  8.36051    8.20044    8.52701         NA         NA 0.88084     0.8745      0.88688          NA          NA      NA      NA     0          0          0  0.17829     0.063673  0.2929        NA     NA 4.1515     4.07201    4.23417         NA         NA 1.00069        NA        NA 3.21084      NA      NA 17.26328      NA      NA 17.2315         NA        NA 4.15491       NA       NA -4.79615      NA      NA -1.91705      NA      NA  0.85736        NA      NA 3.21161      NA      NA 5.08197      NA      NA 5.12865       NA       NA 2.53177      NA      NA  0.66665      0.65102        0.68171             NA            NA 0.031786        NA      NA  0.75302         NA        NA 5.17814        NA        NA 5.33647        NA        NA          0.68809                   NA                   NA 0.016099      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1560000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 254.83589 254.39251 255.27928       NA       NA  8.87468    8.57186    9.19984         NA         NA 254.96763 254.50993 255.42534       NA       NA  9.16134    8.84874    9.497           NA         NA 0.90436     0.89483     0.91307          NA          NA      NA      NA     0          0          0 -0.13174    -0.32928   0.065798      NA     NA 3.95391    3.819      4.09878         NA         NA 0.99948        NA        NA 2.92812      NA      NA 15.64064      NA      NA 15.62328        NA        NA 3.95482       NA       NA -5.39558      NA      NA -2.57307      NA      NA -0.51553        NA      NA 2.28         NA      NA 4.8456       NA      NA 4.85307       NA       NA 2.46876      NA      NA  0.32491      0.27948        0.36889             NA            NA 0.017356        NA      NA  0.81365         NA        NA 3.46887        NA        NA 3.53662        NA        NA          0.36273                   NA                   NA 0.015511      NA     NA
