VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL     ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25       E25_BCL E25_BCU E50       E50_BCL E50_BCU E75       E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2       ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.07033 279.4653  280.67536       NA       NA 12.11008   11.69686   12.55378         NA         NA 280.19333 279.58713 280.79954       NA       NA 12.13362   11.7196    12.57819         NA         NA 0.99073     0.98976     0.99161          NA          NA      NA      NA     0          0          0 -0.123     -0.20545   -0.040544      NA     NA 1.6504     1.59409    1.71087         NA         NA 0.99956        NA        NA 1.18651      NA      NA 2.73719      NA      NA 2.72206        NA        NA 1.65444       NA       NA -1.85962      NA      NA -1.04204       NA      NA -0.18719       NA      NA  0.7379        NA      NA 1.63346      NA      NA 1.77994       NA       NA 0.88281      NA      NA   0.95062       0.94557       0.95521            NA            NA 0.015129       NA      NA 0.98141        NA        NA 5.15588        NA        NA 5.31939        NA        NA          0.95059                   NA                   NA 0.0059047     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.69457 283.33558 284.05355       NA       NA  7.83526    7.58939    8.09771         NA         NA 283.93063 283.57952 284.28174       NA       NA  7.66342    7.42295    7.92012         NA         NA 0.99238     0.99166     0.99305          NA          NA      NA      NA     0          0          0 -0.23606   -0.28058   -0.19155       NA     NA 0.97164    0.94115    1.00418         NA         NA 0.99917        NA        NA 0.68733      NA      NA 0.99929      NA      NA 0.94356        NA        NA 0.99964       NA       NA -1.2579       NA      NA -0.68213       NA      NA -0.17906       NA      NA  0.29725       NA      NA 0.82242      NA      NA 0.97938       NA       NA 0.49505      NA      NA   0.94012       0.93456       0.94522            NA            NA 0.055726       NA      NA 0.98298        NA        NA 2.86354        NA        NA 2.74596        NA        NA          0.93734                   NA                   NA 0.0035207     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.0875  279.63225 280.54275       NA       NA  6.36111    6.05467    6.70047         NA         NA 280.57015 280.13797 281.00234       NA       NA  6.03882    5.7479     6.36098         NA         NA 0.99347     0.99247     0.99434          NA          NA      NA      NA     0          0          0 -0.48265   -0.53833   -0.42698       NA     NA 0.77797    0.74049    0.81948         NA         NA 0.99828        NA        NA 0.70349      NA      NA 0.83739      NA      NA 0.60443        NA        NA 0.91509       NA       NA -1.64233      NA      NA -1.03765       NA      NA -0.48614       NA      NA -0.025741      NA      NA 0.39284      NA      NA 1.01191       NA       NA 0.51508      NA      NA   0.9782        0.97488       0.98109            NA            NA 0.23295        NA      NA 0.97704        NA        NA 3.79038        NA        NA 3.94953        NA        NA          0.97288                   NA                   NA 0.0032615     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.93691 277.46384 278.40997       NA       NA  9.38531    9.06232    9.73235         NA         NA 277.65236 277.18392 278.1208        NA       NA  9.29356    8.97372    9.63721         NA         NA 0.97785     0.97553     0.97996          NA          NA      NA      NA     0          0          0  0.28455    0.18537    0.38374       NA     NA 1.96776    1.90004    2.04052         NA         NA 1.00102        NA        NA 1.30688      NA      NA 3.95048      NA      NA 3.86951        NA        NA 1.98758       NA       NA -1.78873      NA      NA -0.84868       NA      NA  0.035805      NA      NA  0.95058       NA      NA 2.31601      NA      NA 1.79926       NA       NA 0.89041      NA      NA   0.93807       0.93171       0.94384            NA            NA 0.080969       NA      NA 0.95426        NA        NA 5.59777        NA        NA 5.59234        NA        NA          0.9369                    NA                   NA 0.0071585     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.95411 276.7332  277.17502       NA       NA 11.97074   11.81656   12.12903         NA         NA 276.99219 276.77039 277.214         NA       NA 12.01935   11.86454   12.17828         NA         NA 0.99156     0.99125     0.99187          NA          NA      NA      NA     0          0          0 -0.038089  -0.06686   -0.0093183     NA     NA 1.55904    1.53896    1.57965         NA         NA 0.99986        NA        NA 1.05043      NA      NA 2.43184      NA      NA 2.43039        NA        NA 1.55944       NA       NA -1.59961      NA      NA -0.77731       NA      NA  0.01437       NA      NA  0.92675       NA      NA 2.11115      NA      NA 1.70406       NA       NA 0.84787      NA      NA   0.94553       0.94354       0.94746            NA            NA 0.0014508      NA      NA 0.98317        NA        NA 4.63996        NA        NA 4.7929         NA        NA          0.94585                   NA                   NA 0.0056299     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.92269 275.7099  276.13548       NA       NA 11.53084   11.38232   11.68331         NA         NA 276.21395 276.00307 276.42483       NA       NA 11.42728   11.2801    11.57839         NA         NA 0.99305     0.99279     0.9933           NA          NA      NA      NA     0          0          0 -0.29126   -0.3163    -0.26621       NA     NA 1.35706    1.33958    1.375           NA         NA 0.99895        NA        NA 0.96764      NA      NA 1.92627      NA      NA 1.84144        NA        NA 1.3879        NA       NA -2.2164       NA      NA -1.02396       NA      NA -0.18337       NA      NA  0.57512       NA      NA 1.6305       NA      NA 1.59909       NA       NA 0.79912      NA      NA   0.9539        0.95221       0.95554            NA            NA 0.084831       NA      NA 0.98525        NA        NA 4.5453         NA        NA 4.70276        NA        NA          0.95552                   NA                   NA 0.0050247     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.91917 291.84899 291.98936       NA       NA  2.88265    2.83387    2.93316         NA         NA 291.86673 291.79777 291.93569       NA       NA  2.83219    2.78426    2.88182         NA         NA 0.97448     0.97323     0.97568          NA          NA      NA      NA     0          0          0  0.052444   0.036679   0.068208      NA     NA 0.64747    0.63651    0.65881         NA         NA 1.00018        NA        NA 0.44141      NA      NA 0.4219       NA      NA 0.41915        NA        NA 0.64954       NA       NA -0.57878      NA      NA -0.27896       NA      NA  0.023934      NA      NA  0.34501       NA      NA 0.74989      NA      NA 0.62397       NA       NA 0.31062      NA      NA   0.88022       0.87462       0.88559            NA            NA 0.0027504      NA      NA 0.9474         NA        NA 1.55288        NA        NA 1.55169        NA        NA          0.91245                   NA                   NA 0.0022255     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.78236 261.62081 261.94391       NA       NA  5.85152    5.73948    5.96805         NA         NA 261.67426 261.50416 261.84435       NA       NA  6.16119    6.04322    6.28389         NA         NA 0.96637     0.96449     0.96815          NA          NA      NA      NA     0          0          0  0.1081     0.06427    0.15193       NA     NA 1.58769    1.55729    1.6193          NA         NA 1.00041        NA        NA 1.16385      NA      NA 2.53193      NA      NA 2.52025        NA        NA 1.5912        NA       NA -1.50538      NA      NA -0.65155       NA      NA  0.33737       NA      NA  1.51535       NA      NA 2.41699      NA      NA 2.1669        NA       NA 1.05373      NA      NA   0.95557       0.9531        0.95791            NA            NA 0.011686       NA      NA 0.9333         NA        NA 5.18589        NA        NA 5.38833        NA        NA          0.95543                   NA                   NA 0.0060809     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.29121 259.07481 259.5076        NA       NA  7.83813    7.68805    7.99422         NA         NA 259.66784 259.45488 259.88079       NA       NA  7.71362    7.56593    7.86724         NA         NA 0.96959     0.96789     0.9712           NA          NA      NA      NA     0          0          0 -0.37663   -0.42968   -0.32358       NA     NA 1.92159    1.88479    1.95985         NA         NA 0.99855        NA        NA 1.44964      NA      NA 3.83361      NA      NA 3.69176        NA        NA 1.95796       NA       NA -2.87309      NA      NA -1.41256       NA      NA -0.17508       NA      NA  1.03191       NA      NA 2.8077       NA      NA 2.44447       NA       NA 1.22738      NA      NA   0.94687       0.94394       0.94966            NA            NA 0.14185        NA      NA 0.93557        NA        NA 5.97095        NA        NA 6.50585        NA        NA          0.95434                   NA                   NA 0.0075402     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.40946 252.94135 253.87756       NA       NA  9.36946    9.04976    9.71275         NA         NA 253.48076 252.9882  253.97332       NA       NA  9.859      9.5226    10.22023         NA         NA 0.99137     0.99046     0.99218          NA          NA      NA      NA     0          0          0 -0.071306  -0.13898   -0.0036316     NA     NA 1.35454    1.30832    1.40417         NA         NA 0.99972        NA        NA 0.91253      NA      NA 1.83868      NA      NA 1.83359        NA        NA 1.35598       NA       NA -1.33948      NA      NA -0.6942        NA      NA -0.081324      NA      NA  0.53833       NA      NA 1.43277      NA      NA 1.23253       NA       NA 0.61831      NA      NA   0.93492       0.92832       0.94093            NA            NA 0.0050845      NA      NA 0.98108        NA        NA 3.54263        NA        NA 3.81528        NA        NA          0.93473                   NA                   NA 0.0053494     NA     NA
