VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 279.89948 279.32553 280.47344       NA       NA 11.48811   11.09612   11.90903         NA         NA 280.11352 279.53215 280.69489       NA       NA 11.63656   11.2395    12.06291         NA         NA 0.98526     0.98372     0.98665          NA          NA      NA      NA     0          0          0 -0.21403  -0.3135   -0.11457       NA     NA 1.99079    1.92286    2.06373         NA         NA 0.99924        NA        NA 1.48575      NA      NA 4.00648      NA      NA 3.96067        NA        NA 2.00162       NA       NA -2.33689      NA      NA -1.33692      NA      NA -0.29341        NA      NA 0.8245       NA      NA 2.2044       NA      NA 2.16142       NA       NA 1.0859       NA      NA   0.90767       0.89845       0.91609            NA            NA 0.045811        NA      NA 0.97041        NA        NA 4.49615        NA        NA 4.71514        NA        NA          0.90664                   NA                   NA 0.0071457     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.49561 283.1178  283.87342       NA       NA  8.24615    7.98739    8.52237         NA         NA 283.41677 283.04169 283.79184       NA       NA  8.18646    7.92957    8.46067         NA         NA 0.98824     0.98712     0.98927          NA          NA      NA      NA     0          0          0  0.07884   0.021044  0.13664       NA     NA 1.26146    1.22188    1.30372         NA         NA 1.00028        NA        NA 0.85432      NA      NA 1.59664      NA      NA 1.59042        NA        NA 1.26358       NA       NA -1.30962      NA      NA -0.61327      NA      NA  0.0067829      NA      NA 0.63947      NA      NA 1.36129      NA      NA 1.25275       NA       NA 0.6293       NA      NA   0.90384       0.89509       0.9119             NA            NA 0.0062158       NA      NA 0.97618        NA        NA 2.92092        NA        NA 2.81732        NA        NA          0.90364                   NA                   NA 0.0044584     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.82129 279.28528 280.35731       NA       NA  7.48965    7.12884    7.88922         NA         NA 280.27304 279.77129 280.7748        NA       NA  7.01096    6.67321    7.38499         NA         NA 0.99189     0.99065     0.99297          NA          NA      NA      NA     0          0          0 -0.45175  -0.52614  -0.37736       NA     NA 1.03943    0.98935    1.09488         NA         NA 0.99839        NA        NA 0.86585      NA      NA 1.28305      NA      NA 1.07897        NA        NA 1.13272       NA       NA -2.04337      NA      NA -1.29555      NA      NA -0.44986        NA      NA 0.15094      NA      NA 0.73522      NA      NA 1.44649       NA       NA 0.74926      NA      NA   0.96127       0.95543       0.96636            NA            NA 0.20408         NA      NA 0.9739         NA        NA 3.78701        NA        NA 3.76739        NA        NA          0.95505                   NA                   NA 0.0040415     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.54084 277.09454 277.98714       NA       NA  8.85435    8.54964    9.18176         NA         NA 277.16809 276.70554 277.63063       NA       NA  9.17662    8.86081    9.51594         NA         NA 0.94257     0.93666     0.94794          NA          NA      NA      NA     0          0          0  0.37275   0.21791   0.5276        NA     NA 3.07197    2.96625    3.18556         NA         NA 1.00134        NA        NA 1.90608      NA      NA 9.56968      NA      NA 9.43073        NA        NA 3.09349       NA       NA -2.54918      NA      NA -1.16789      NA      NA -0.0198         NA      NA 1.12968      NA      NA 3.89728      NA      NA 2.29757       NA       NA 1.14932      NA      NA   0.86826       0.85528       0.88015            NA            NA 0.13895         NA      NA 0.88636        NA        NA 5.89869        NA        NA 6.07789        NA        NA          0.86699                   NA                   NA 0.011161      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.92406 276.70703 277.14108       NA       NA 11.76025   11.60878   11.91576         NA         NA 276.95548 276.73708 277.17388       NA       NA 11.83469   11.68225   11.99118         NA         NA 0.98225     0.98159     0.98289          NA          NA      NA      NA     0          0          0 -0.03142  -0.072457  0.0096178     NA     NA 2.22376    2.19512    2.25317         NA         NA 0.99989        NA        NA 1.47627      NA      NA 4.94566      NA      NA 4.94468        NA        NA 2.22388       NA       NA -2.28925      NA      NA -1.06964      NA      NA  0.0091453      NA      NA 1.16486      NA      NA 2.73695      NA      NA 2.2345        NA       NA 1.11214      NA      NA   0.88586       0.88182       0.88977            NA            NA 0.0009872       NA      NA 0.96469        NA        NA 4.60584        NA        NA 4.70294        NA        NA          0.88606                   NA                   NA 0.0080298     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.97852 275.76346 276.19359       NA       NA 11.65382   11.50371   11.80792         NA         NA 276.15789 275.94486 276.37093       NA       NA 11.54382   11.39513   11.69646         NA         NA 0.9895      0.98911     0.98988          NA          NA      NA      NA     0          0          0 -0.17937  -0.21045  -0.14829       NA     NA 1.68408    1.66239    1.70635         NA         NA 0.99935        NA        NA 1.1829       NA      NA 2.86806      NA      NA 2.83588        NA        NA 1.69353       NA       NA -2.54897      NA      NA -1.17856      NA      NA -0.12544        NA      NA 0.88441      NA      NA 2.51233      NA      NA 2.06297       NA       NA 1.03412      NA      NA   0.93096       0.92845       0.93337            NA            NA 0.032174        NA      NA 0.97848        NA        NA 4.65158        NA        NA 4.75656        NA        NA          0.93544                   NA                   NA 0.0061325     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.93259 291.86025 292.00492       NA       NA  2.97089    2.92061    3.02295         NA         NA 291.8423  291.77264 291.91197       NA       NA  2.86116    2.81274    2.91129         NA         NA 0.96894     0.96741     0.97039          NA          NA      NA      NA     0          0          0  0.090285  0.072391  0.10818       NA     NA 0.73492    0.72248    0.7478          NA         NA 1.00031        NA        NA 0.52179      NA      NA 0.54818      NA      NA 0.54003        NA        NA 0.74039       NA       NA -0.70845      NA      NA -0.29455      NA      NA  0.061727       NA      NA 0.44531      NA      NA 0.9026       NA      NA 0.73986       NA       NA 0.36898      NA      NA   0.86232       0.85594       0.86844            NA            NA 0.0081514       NA      NA 0.93304        NA        NA 1.62502        NA        NA 1.60542        NA        NA          0.89501                   NA                   NA 0.002537      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.21934 262.0552  262.38347       NA       NA  5.94514    5.83131    6.06353         NA         NA 262.34874 262.17196 262.52551       NA       NA  6.40313    6.28054    6.53065         NA         NA 0.92134     0.91706     0.92541          NA          NA      NA      NA     0          0          0 -0.1294   -0.19814  -0.060665      NA     NA 2.48969    2.44202    2.53927         NA         NA 0.99951        NA        NA 1.78017      NA      NA 6.21409      NA      NA 6.19734        NA        NA 2.49281       NA       NA -2.39114      NA      NA -1.07993      NA      NA  0.22778        NA      NA 1.58457      NA      NA 3.27567      NA      NA 2.66451       NA       NA 1.32263      NA      NA   0.88775       0.88175       0.89346            NA            NA 0.016744        NA      NA 0.84844        NA        NA 5.13292        NA        NA 5.34876        NA        NA          0.88768                   NA                   NA 0.0095019     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 258.92147 258.71173 259.13121       NA       NA  7.59704    7.45158    7.74833         NA         NA 259.33661 259.12009 259.55314       NA       NA  7.84275    7.69259    7.99893         NA         NA 0.95479     0.95228     0.95717          NA          NA      NA      NA     0          0          0 -0.41515  -0.47959  -0.35071       NA     NA 2.3341     2.28941    2.38058         NA         NA 0.9984         NA        NA 1.82975      NA      NA 5.6193       NA      NA 5.44695        NA        NA 2.37051       NA       NA -3.27622      NA      NA -1.79083      NA      NA -0.26648        NA      NA 1.6661       NA      NA 3.59928      NA      NA 3.45693       NA       NA 1.68387      NA      NA   0.91639       0.91185       0.92071            NA            NA 0.17235         NA      NA 0.90864        NA        NA 6.00593        NA        NA 6.1761         NA        NA          0.92464                   NA                   NA 0.0091407     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 254.21161 253.77366 254.64955       NA       NA  8.76573    8.46663    9.0869          NA         NA 254.37203 253.90235 254.84171       NA       NA  9.40098    9.08021    9.74543         NA         NA 0.9874      0.98609     0.9886           NA          NA      NA      NA     0          0          0 -0.16042  -0.23909  -0.081749      NA     NA 1.57465    1.52092    1.63234         NA         NA 0.99937        NA        NA 1.19165      NA      NA 2.50365      NA      NA 2.47791        NA        NA 1.58229       NA       NA -1.95055      NA      NA -0.96875      NA      NA -0.080744       NA      NA 0.7537       NA      NA 2.09385      NA      NA 1.72245       NA       NA 0.86378      NA      NA   0.89867       0.88861       0.90787            NA            NA 0.025734        NA      NA 0.97167        NA        NA 3.48227        NA        NA 3.62476        NA        NA          0.90163                   NA                   NA 0.0062204     NA     NA
