VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL    ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.25448 277.71937 278.78959       NA       NA 10.71064   10.34518   11.10307         NA         NA 278.39072 277.8469  278.93454       NA       NA 10.8849    10.51349   11.28371         NA         NA 0.98199     0.98012     0.98369          NA          NA      NA      NA     0          0          0 -0.13624  -0.23899  -0.033494     NA     NA 2.05654    1.98637    2.13189         NA         NA 0.99951        NA        NA 1.5291       NA      NA  4.24517      NA      NA  4.22661        NA        NA 2.06038       NA       NA -2.50603      NA      NA -1.20558      NA      NA -0.074863       NA      NA 1.04811      NA      NA 2.2958       NA      NA 2.25369       NA       NA 1.13069      NA      NA   0.86196       0.84854       0.87427            NA            NA 0.018562        NA      NA 0.96417        NA        NA 3.89868        NA        NA 3.93407        NA        NA          0.86165                   NA                   NA 0.007401      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.0949  282.72182 283.46798       NA       NA  8.14288    7.88736    8.41563         NA         NA 282.85997 282.48623 283.2337        NA       NA  8.15717    7.9012     8.43041         NA         NA 0.97612     0.97386     0.97819          NA          NA      NA      NA     0          0          0  0.23494   0.15333   0.31654      NA     NA 1.78117    1.72528    1.84083         NA         NA 1.00083        NA        NA 1.03855      NA      NA  3.22603      NA      NA  3.17084        NA        NA 1.79612       NA       NA -1.35593      NA      NA -0.47474      NA      NA  0.14992        NA      NA 0.7531       NA      NA 1.56943      NA      NA 1.22784       NA       NA 0.61379      NA      NA   0.85503       0.8422        0.86688            NA            NA 0.055195        NA      NA 0.95152        NA        NA 3.32053        NA        NA 3.30034        NA        NA          0.85283                   NA                   NA 0.0063498     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.00254 279.44763 280.55745       NA       NA  7.75357    7.38005    8.16722         NA         NA 280.35613 279.82675 280.88551       NA       NA  7.39688    7.04055    7.7915          NA         NA 0.98784     0.98598     0.98946          NA          NA      NA      NA     0          0          0 -0.35359  -0.44188  -0.2653       NA     NA 1.23365    1.17422    1.29947         NA         NA 0.99874        NA        NA 0.97229      NA      NA  1.6449       NA      NA  1.51987        NA        NA 1.28254       NA       NA -2.07103      NA      NA -1.24258      NA      NA -0.40617        NA      NA 0.33121      NA      NA 0.99884      NA      NA 1.57379       NA       NA 0.77263      NA      NA   0.95356       0.94659       0.95964            NA            NA 0.12503         NA      NA 0.96994        NA        NA 4.09817        NA        NA 4.09899        NA        NA          0.95104                   NA                   NA 0.0045747     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.48647 278.00326 278.96969       NA       NA  9.58665    9.25673    9.94114         NA         NA 278.43948 277.94368 278.93528       NA       NA  9.83639    9.49787   10.20011         NA         NA 0.96168     0.9577      0.96529          NA          NA      NA      NA     0          0          0  0.046991 -0.089095  0.18308      NA     NA 2.69986    2.60695    2.79969         NA         NA 1.00017        NA        NA 1.76604      NA      NA  7.28664      NA      NA  7.28443        NA        NA 2.69938       NA       NA -2.51606      NA      NA -1.27416      NA      NA -0.24797        NA      NA 0.93861      NA      NA 3.14451      NA      NA 2.21277       NA       NA 1.10924      NA      NA   0.9023        0.89248       0.91126            NA            NA 0.0022082       NA      NA 0.92469        NA        NA 6.16875        NA        NA 6.06651        NA        NA          0.90278                   NA                   NA 0.0096947     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.80469 276.59176 277.01762       NA       NA 11.53833   11.38972   11.69091         NA         NA 276.90171 276.68778 277.11563       NA       NA 11.59221   11.4429    11.74549         NA         NA 0.98011     0.97937     0.98082          NA          NA      NA      NA     0          0          0 -0.097014 -0.1396   -0.05443      NA     NA 2.30757    2.27785    2.33809         NA         NA 0.99965        NA        NA 1.59408      NA      NA  5.33384      NA      NA  5.32442        NA        NA 2.30951       NA       NA -2.44665      NA      NA -1.08554      NA      NA -0.032262       NA      NA 1.06658      NA      NA 2.68834      NA      NA 2.15212       NA       NA 1.07412      NA      NA   0.8777        0.8734        0.88187            NA            NA 0.0094118       NA      NA 0.96031        NA        NA 4.66722        NA        NA 4.67538        NA        NA          0.87778                   NA                   NA 0.0083405     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.9564  275.74058 276.17223       NA       NA 11.69528   11.54464   11.84993         NA         NA 276.02605 275.81447 276.23762       NA       NA 11.46485   11.31718   11.61646         NA         NA 0.98254     0.98189     0.98317          NA          NA      NA      NA     0          0          0 -0.069645 -0.1098   -0.029486     NA     NA 2.17618    2.14815    2.20495         NA         NA 0.99975        NA        NA 1.38837      NA      NA  4.74017      NA      NA  4.73532        NA        NA 2.17719       NA       NA -2.79459      NA      NA -1.26647      NA      NA -0.098168       NA      NA 0.9058       NA      NA 2.43662      NA      NA 2.17227       NA       NA 1.08308      NA      NA   0.89249       0.88867       0.89618            NA            NA 0.0048504       NA      NA 0.96394        NA        NA 4.82981        NA        NA 4.88936        NA        NA          0.89971                   NA                   NA 0.0078876     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.88483 291.81845 291.95122       NA       NA  2.72647    2.68033    2.77425         NA         NA 291.75657 291.6937  291.81944       NA       NA  2.58209    2.53839    2.62733         NA         NA 0.95701     0.95491     0.95901          NA          NA      NA      NA     0          0          0  0.12826   0.109     0.14753      NA     NA 0.79132    0.77793    0.80519         NA         NA 1.00044        NA        NA 0.56736      NA      NA  0.64255      NA      NA  0.62609        NA        NA 0.80159       NA       NA -0.70674      NA      NA -0.29123      NA      NA  0.11243        NA      NA 0.5069       NA      NA 1.00216      NA      NA 0.79813       NA       NA 0.39963      NA      NA   0.84795       0.84096       0.85465            NA            NA 0.016452        NA      NA 0.90363        NA        NA 1.65615        NA        NA 1.55569        NA        NA          0.87726                   NA                   NA 0.0027475     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.54342 262.37429 262.71255       NA       NA  6.12626    6.00896    6.24826         NA         NA 262.63451 262.45361 262.8154        NA       NA  6.55229    6.42684    6.68278         NA         NA 0.91542     0.91084     0.91979          NA          NA      NA      NA     0          0          0 -0.091088 -0.16398  -0.018194     NA     NA 2.64035    2.58979    2.69293         NA         NA 0.99965        NA        NA 1.85938      NA      NA  6.97835      NA      NA  6.97005        NA        NA 2.64166       NA       NA -2.27577      NA      NA -0.94089      NA      NA  0.057955       NA      NA 1.30331      NA      NA 3.23155      NA      NA 2.2442        NA       NA 1.11366      NA      NA   0.87679       0.87025       0.88302            NA            NA 0.0082971       NA      NA 0.83746        NA        NA 5.15676        NA        NA 5.45563        NA        NA          0.87757                   NA                   NA 0.010058      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 258.79745 258.58146 259.01344       NA       NA  7.82357    7.67378    7.97938         NA         NA 259.34559 259.12768 259.5635        NA       NA  7.89306    7.74193    8.05024         NA         NA 0.94438     0.94131     0.94729          NA          NA      NA      NA     0          0          0 -0.54814  -0.62053  -0.47575      NA     NA 2.62197    2.57176    2.67418         NA         NA 0.99789        NA        NA 1.96214      NA      NA  7.1738       NA      NA  6.87334        NA        NA 2.67839       NA       NA -3.61505      NA      NA -1.99523      NA      NA -0.4062         NA      NA 1.17852      NA      NA 3.40227      NA      NA 3.17375       NA       NA 1.58731      NA      NA   0.90481       0.89967       0.90969            NA            NA 0.30046         NA      NA 0.88485        NA        NA 6.38122        NA        NA 6.31819        NA        NA          0.91108                   NA                   NA 0.010328      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 960000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 254.1232  253.69728 254.54913       NA       NA  8.52517    8.23428    8.83753         NA         NA 253.95594 253.5034  254.40849       NA       NA  9.05808    8.74901    9.38996         NA         NA 0.97786     0.97556     0.97994          NA          NA      NA      NA     0          0          0  0.16726   0.071109  0.26341      NA     NA 1.92449    1.85882    1.995           NA         NA 1.00066        NA        NA 1.48437      NA      NA  3.72922      NA      NA  3.70125        NA        NA 1.93112       NA       NA -2.17417      NA      NA -0.99285      NA      NA  0.22454        NA      NA 1.32654      NA      NA 2.8661       NA      NA 2.3194        NA       NA 1.1624       NA      NA   0.83498       0.81919       0.8495             NA            NA 0.027975        NA      NA 0.95455        NA        NA 3.33624        NA        NA 3.54282        NA        NA          0.84405                   NA                   NA 0.0076042     NA     NA
