VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME        ME_NCL     ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 281.05358 280.47973 281.62743       NA       NA 11.48606   11.09414   11.9069          NA         NA 281.11346 280.55144 281.67548       NA       NA 11.2492    10.86536   11.66137         NA         NA 0.98743     0.98611     0.98862          NA          NA      NA      NA     0          0          0 -0.059877 -0.15071    0.030955     NA     NA 1.81809    1.75605    1.8847          NA         NA 0.99979        NA        NA 1.34871      NA      NA  3.30688      NA      NA  3.30329        NA        NA 1.81848       NA       NA -2.27557      NA      NA -1.171        NA      NA -0.13268        NA      NA 0.87573      NA      NA 1.92381      NA      NA 2.04673       NA       NA 1.02301      NA      NA   0.88677       0.8756        0.897              NA            NA 0.0035853       NA      NA 0.97387        NA        NA 3.80906        NA        NA 3.93841        NA        NA          0.89034                   NA                   NA 0.0064689     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.12792 282.78152 283.47432       NA       NA  7.56056    7.32331    7.81381         NA         NA 282.95742 282.62042 283.29443       NA       NA  7.3555     7.12469    7.60189         NA         NA 0.97372     0.97123     0.97599          NA          NA      NA      NA     0          0          0  0.1705    0.0916     0.24939      NA     NA 1.72198    1.66794    1.77966         NA         NA 1.0006         NA        NA 1.13413      NA      NA  2.99266      NA      NA  2.96359        NA        NA 1.72993       NA       NA -1.97135      NA      NA -0.51839      NA      NA  0.15508        NA      NA 0.92478      NA      NA 1.94391      NA      NA 1.44318       NA       NA 0.71956      NA      NA   0.88444       0.87405       0.89403            NA            NA 0.029069        NA      NA 0.94469        NA        NA 3.56953        NA        NA 3.60419        NA        NA          0.88374                   NA                   NA 0.0061137     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 281.31266 280.67968 281.94563       NA       NA  8.84443    8.41835    9.31627         NA         NA 281.58662 280.9709  282.20235       NA       NA  8.60337    8.18891    9.06235         NA         NA 0.9776      0.97419     0.98056          NA          NA      NA      NA     0          0          0 -0.27396  -0.40723   -0.14069      NA     NA 1.86216    1.77245    1.9615          NA         NA 0.99903        NA        NA 1.32065      NA      NA  3.53805      NA      NA  3.463          NA        NA 1.88097       NA       NA -3.50114      NA      NA -1.23242      NA      NA -0.10068        NA      NA 0.82393      NA      NA 1.72409      NA      NA 2.05636       NA       NA 1.0146       NA      NA   0.9075        0.89399       0.91936            NA            NA 0.075056        NA      NA 0.9522         NA        NA 4.58025        NA        NA 4.77875        NA        NA          0.92008                   NA                   NA 0.0066799     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.36605 276.934   277.79811       NA       NA  8.57162    8.27663    8.88858         NA         NA 277.85873 277.39305 278.32441       NA       NA  9.23884    8.92088    9.58046         NA         NA 0.97073     0.96767     0.9735           NA          NA      NA      NA     0          0          0 -0.49268  -0.6063    -0.37905      NA     NA 2.25427    2.17669    2.33762         NA         NA 0.99823        NA        NA 1.66826      NA      NA  5.32109      NA      NA  5.07836        NA        NA 2.30675       NA       NA -2.93         NA      NA -1.50361      NA      NA -0.58783        NA      NA 0.65956      NA      NA 2.32606      NA      NA 2.16317       NA       NA 1.07322      NA      NA   0.92718       0.91976       0.93394            NA            NA 0.24273         NA      NA 0.93766        NA        NA 5.73667        NA        NA 6.00459        NA        NA          0.9238                    NA                   NA 0.0083019     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.29991 277.08922 277.5106        NA       NA 11.41691   11.26985   11.56787         NA         NA 277.42955 277.21645 277.64265       NA       NA 11.54745   11.39871   11.70014         NA         NA 0.97949     0.97873     0.98023          NA          NA      NA      NA     0          0          0 -0.12964  -0.17262   -0.086662     NA     NA 2.32889    2.29889    2.35969         NA         NA 0.99953        NA        NA 1.61311      NA      NA  5.44006      NA      NA  5.42325        NA        NA 2.33239       NA       NA -3.57188      NA      NA -1.67346      NA      NA -0.24975        NA      NA 1.00256      NA      NA 2.50821      NA      NA 2.67602       NA       NA 1.31966      NA      NA   0.88477       0.88069       0.88871            NA            NA 0.016807        NA      NA 0.9592         NA        NA 4.74062        NA        NA 4.95304        NA        NA          0.88512                   NA                   NA 0.0084072     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.6187  275.40546 275.83194       NA       NA 11.55498   11.40615   11.70778         NA         NA 275.84612 275.63503 276.0572        NA       NA 11.43825   11.29092   11.5895          NA         NA 0.97605     0.97516     0.97691          NA          NA      NA      NA     0          0          0 -0.22741  -0.2739    -0.18093      NA     NA 2.51878    2.48633    2.55208         NA         NA 0.99918        NA        NA 1.65334      NA      NA  6.39539      NA      NA  6.34367        NA        NA 2.52891       NA       NA -3.15779      NA      NA -1.37307      NA      NA  0.030754       NA      NA 1.19656      NA      NA 2.74899      NA      NA 2.56962       NA       NA 1.27193      NA      NA   0.8483        0.84305       0.8534             NA            NA 0.051717        NA      NA 0.95112        NA        NA 4.74899        NA        NA 4.61392        NA        NA          0.85448                   NA                   NA 0.0091678     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.9002  291.82598 291.97441       NA       NA  3.04808    2.99649    3.10148         NA         NA 291.87726 291.80746 291.94705       NA       NA  2.86659    2.81808    2.91682         NA         NA 0.9611      0.9592      0.96291          NA          NA      NA      NA     0          0          0  0.022938  0.0023825  0.043494     NA     NA 0.84425    0.82997    0.85905         NA         NA 1.00008        NA        NA 0.58455      NA      NA  0.71318      NA      NA  0.71265        NA        NA 0.8445        NA       NA -0.81034      NA      NA -0.40591      NA      NA  0.0042686      NA      NA 0.44781      NA      NA 0.93424      NA      NA 0.85372       NA       NA 0.42576      NA      NA   0.82505       0.81712       0.83267            NA            NA 0.00052616      NA      NA 0.91321        NA        NA 1.68127        NA        NA 1.57292        NA        NA          0.86738                   NA                   NA 0.0028933     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 263.51246 263.32159 263.70333       NA       NA  6.91353    6.78116    7.05121         NA         NA 263.42924 263.22711 263.63138       NA       NA  7.32173    7.18154    7.46754         NA         NA 0.90015     0.89478     0.90526          NA          NA      NA      NA     0          0          0  0.083213 -0.0052834  0.17171      NA     NA 3.20548    3.14411    3.26932         NA         NA 1.00032        NA        NA 2.18477      NA      NA 10.28         NA      NA 10.27307        NA        NA 3.20624       NA       NA -4.51378      NA      NA -2.37914      NA      NA -0.36509        NA      NA 1.22762      NA      NA 3.08771      NA      NA 3.60676       NA       NA 1.75563      NA      NA   0.85592       0.84836       0.86313            NA            NA 0.0069244       NA      NA 0.80824        NA        NA 5.93693        NA        NA 6.15486        NA        NA          0.85999                   NA                   NA 0.012171      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.06555 258.85142 259.27967       NA       NA  7.75591    7.60741    7.91036         NA         NA 259.01078 258.7948  259.22676       NA       NA  7.82319    7.6734     7.97898         NA         NA 0.92342     0.91924     0.92738          NA          NA      NA      NA     0          0          0  0.054768 -0.029416   0.13895      NA     NA 3.04926    2.99088    3.10998         NA         NA 1.00021        NA        NA 2.22359      NA      NA  9.29913      NA      NA  9.29614        NA        NA 3.04945       NA       NA -3.36737      NA      NA -1.50669      NA      NA  0.21422        NA      NA 2.02155      NA      NA 3.68528      NA      NA 3.52824       NA       NA 1.76695      NA      NA   0.86488       0.85775       0.87167            NA            NA 0.0029995       NA      NA 0.84806        NA        NA 6.42333        NA        NA 5.93036        NA        NA          0.88113                   NA                   NA 0.011773      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.93915 253.45572 254.42259       NA       NA  9.67637    9.3462    10.03091         NA         NA 254.35091 253.87319 254.82862       NA       NA  9.56186    9.23559    9.9122          NA         NA 0.98375     0.98206     0.98529          NA          NA      NA      NA     0          0          0 -0.41175  -0.49858   -0.32493      NA     NA 1.73787    1.67857    1.80154         NA         NA 0.99838        NA        NA 1.35522      NA      NA  3.18776      NA      NA  3.01822        NA        NA 1.78543       NA       NA -2.78217      NA      NA -1.53514      NA      NA -0.21434        NA      NA 0.73169      NA      NA 1.57114      NA      NA 2.26683       NA       NA 1.105        NA      NA   0.87142       0.85885       0.88294            NA            NA 0.16954         NA      NA 0.96513        NA        NA 3.31663        NA        NA 3.52634        NA        NA          0.8656                    NA                   NA 0.0070196     NA     NA
