VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL     ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1200000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 279.45942 278.91726 280.00157       NA       NA 10.85163   10.48135   11.24922         NA         NA 279.5091  278.98313 280.03508       NA       NA 10.52772   10.16849   10.91344         NA         NA 0.97906     0.97688     0.98104          NA          NA      NA      NA     0          0          0 -0.049686  -0.16016    0.060783     NA     NA 2.21112    2.13567    2.29213         NA         NA 0.99982        NA        NA 1.65665      NA      NA  4.88835      NA      NA  4.88588        NA        NA 2.21096       NA       NA -2.70009      NA      NA -1.4499       NA      NA -0.23725        NA      NA 1.0616       NA      NA 2.43535      NA      NA 2.5115        NA       NA 1.2599       NA      NA   0.83216       0.81613       0.84691            NA            NA 0.0024687       NA      NA 0.95589        NA        NA 3.88412        NA        NA 3.97365        NA        NA          0.8419                    NA                   NA 0.0079102     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1200000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 282.8048  282.46186 283.14774       NA       NA  7.48506    7.25019    7.73579         NA         NA 282.76465 282.43702 283.09228       NA       NA  7.15087    6.92647    7.39039         NA         NA 0.96762     0.96456     0.97041          NA          NA      NA      NA     0          0          0  0.040146  -0.046519   0.12681      NA     NA 1.89156    1.83221    1.95492         NA         NA 1.00014        NA        NA 1.226        NA      NA  3.57766      NA      NA  3.57605        NA        NA 1.89147       NA       NA -2.59438      NA      NA -0.55847      NA      NA  0.14638        NA      NA 0.93897      NA      NA 2.02864      NA      NA 1.49743       NA       NA 0.75498      NA      NA   0.83182       0.81714       0.84541            NA            NA 0.0016117       NA      NA 0.93003        NA        NA 3.24466        NA        NA 3.28657        NA        NA          0.83233                   NA                   NA 0.0066892     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1200000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 281.62148 280.98769 282.25527       NA       NA  8.85578    8.42916    9.32823         NA         NA 281.99897 281.41161 282.58633       NA       NA  8.20709    7.81172    8.64493         NA         NA 0.96973     0.96514     0.97372          NA          NA      NA      NA     0          0          0 -0.37749   -0.53464   -0.22035      NA     NA 2.19578    2.09       2.31292         NA         NA 0.99866        NA        NA 1.54384      NA      NA  4.95751      NA      NA  4.81501        NA        NA 2.22655       NA       NA -4.42678      NA      NA -1.59112      NA      NA -0.066024       NA      NA 0.8535       NA      NA 1.80555      NA      NA 2.44462       NA       NA 1.12655      NA      NA   0.86538       0.84621       0.88231            NA            NA 0.1425          NA      NA 0.9264         NA        NA 4.64186        NA        NA 4.76053        NA        NA          0.88815                   NA                   NA 0.0078956     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1200000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.70622 278.26094 279.15151       NA       NA  8.83414    8.53012    9.16081         NA         NA 279.02707 278.5447  279.50943       NA       NA  9.56981    9.24047    9.92368         NA         NA 0.96615     0.96263     0.96935          NA          NA      NA      NA     0          0          0 -0.32084   -0.447     -0.19469      NA     NA 2.50286    2.41672    2.5954          NA         NA 0.99885        NA        NA 1.65342      NA      NA  6.36309      NA      NA  6.26015        NA        NA 2.52252       NA       NA -2.61202      NA      NA -1.25247      NA      NA -0.41259        NA      NA 0.67019      NA      NA 2.82871      NA      NA 1.92267       NA       NA 0.98495      NA      NA   0.90029       0.89028       0.90943            NA            NA 0.10294         NA      NA 0.93052        NA        NA 5.47028        NA        NA 5.70355        NA        NA          0.8989                    NA                   NA 0.0090404     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1200000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.15382 276.9465  277.36113       NA       NA 11.23397   11.08927   11.38252         NA         NA 277.26637 277.05643 277.47632       NA       NA 11.37661   11.23008   11.52705         NA         NA 0.97522     0.9743      0.97611          NA          NA      NA      NA     0          0          0 -0.11255   -0.15907   -0.066036     NA     NA 2.52078    2.48831    2.55411         NA         NA 0.99959        NA        NA 1.75377      NA      NA  6.36643      NA      NA  6.35376        NA        NA 2.52318       NA       NA -4.07405      NA      NA -1.71806      NA      NA -0.23038        NA      NA 1.19569      NA      NA 2.92637      NA      NA 2.91375       NA       NA 1.45222      NA      NA   0.85833       0.8534        0.86312            NA            NA 0.012669        NA      NA 0.95081        NA        NA 4.60485        NA        NA 4.84831        NA        NA          0.85875                   NA                   NA 0.0091002     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1200000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.60115 275.38744 275.81486       NA       NA 11.58051   11.43135   11.73364         NA         NA 275.78096 275.56847 275.99346       NA       NA 11.51475   11.36643   11.66701         NA         NA 0.97224     0.97122     0.97324          NA          NA      NA      NA     0          0          0 -0.17982   -0.23004   -0.12959      NA     NA 2.72152    2.68646    2.7575          NA         NA 0.99935        NA        NA 1.83239      NA      NA  7.43833      NA      NA  7.406          NA        NA 2.72733       NA       NA -3.25587      NA      NA -1.29213      NA      NA  0.16774        NA      NA 1.50875      NA      NA 3.43279      NA      NA 2.80088       NA       NA 1.39714      NA      NA   0.81          0.80356       0.81625            NA            NA 0.032333        NA      NA 0.9439         NA        NA 4.58485        NA        NA 4.49756        NA        NA          0.81982                   NA                   NA 0.0098895     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1200000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.83483 291.76992 291.89973       NA       NA  2.66579    2.62068    2.7125          NA         NA 291.82417 291.76209 291.88625       NA       NA  2.54965    2.5065     2.59432         NA         NA 0.95096     0.94858     0.95324          NA          NA      NA      NA     0          0          0  0.010656  -0.0094228  0.030735     NA     NA 0.82467    0.81071    0.83911         NA         NA 1.00004        NA        NA 0.58949      NA      NA  0.68008      NA      NA  0.67997        NA        NA 0.82467       NA       NA -0.82748      NA      NA -0.44094      NA      NA -0.022211       NA      NA 0.4395       NA      NA 0.97215      NA      NA 0.88044       NA       NA 0.43747      NA      NA   0.83323       0.82563       0.84053            NA            NA 0.00011355      NA      NA 0.89538        NA        NA 1.62235        NA        NA 1.58161        NA        NA          0.8678                    NA                   NA 0.0028259     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1200000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 263.47271 263.27605 263.66938       NA       NA  7.12347    6.98708    7.26533         NA         NA 263.32625 263.11545 263.53705       NA       NA  7.6356     7.4894     7.78766         NA         NA 0.88392     0.87773     0.88982          NA          NA      NA      NA     0          0          0  0.14647    0.047348   0.24559      NA     NA 3.59022    3.52148    3.66172         NA         NA 1.00056        NA        NA 2.61714      NA      NA 12.90859      NA      NA 12.88714        NA        NA 3.59285       NA       NA -5.28429      NA      NA -2.81277      NA      NA -0.18202        NA      NA 1.65863      NA      NA 3.68128      NA      NA 4.4714        NA       NA 2.1332       NA      NA   0.82452       0.81548       0.83317            NA            NA 0.021452        NA      NA 0.77859        NA        NA 5.73492        NA        NA 6.34317        NA        NA          0.82766                   NA                   NA 0.013644      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1200000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 258.84596 258.63043 259.06149       NA       NA  7.80668    7.65721    7.96215         NA         NA 258.48896 258.2712  258.70672       NA       NA  7.88763    7.73661    8.04471         NA         NA 0.91707     0.91256     0.92135          NA          NA      NA      NA     0          0          0  0.357      0.26874    0.44526      NA     NA 3.19686    3.13565    3.26052         NA         NA 1.00138        NA        NA 2.34191      NA      NA 10.34531      NA      NA 10.21786        NA        NA 3.21641       NA       NA -2.95285      NA      NA -1.04316      NA      NA  0.61416        NA      NA 2.53594      NA      NA 4.99009      NA      NA 3.57909       NA       NA 1.77982      NA      NA   0.83097       0.82223       0.83932            NA            NA 0.12745         NA      NA 0.83372        NA        NA 5.98062        NA        NA 5.55923        NA        NA          0.84709                   NA                   NA 0.012443      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1200000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.85334 253.39202 254.31466       NA       NA  9.23374    8.91867    9.57206         NA         NA 254.4321  253.98136 254.88283       NA       NA  9.02175    8.71392    9.3523          NA         NA 0.97208     0.96919     0.9747           NA          NA      NA      NA     0          0          0 -0.57876   -0.68703   -0.47048      NA     NA 2.16719    2.09324    2.24659         NA         NA 0.99773        NA        NA 1.72898      NA      NA  5.02862      NA      NA  4.69366        NA        NA 2.24246       NA       NA -3.66851      NA      NA -2.0898       NA      NA -0.5405         NA      NA 0.84464      NA      NA 2.16422      NA      NA 2.93444       NA       NA 1.44931      NA      NA   0.77831       0.75781       0.79727            NA            NA 0.33496         NA      NA 0.93822        NA        NA 3.18192        NA        NA 3.47502        NA        NA          0.77649                   NA                   NA 0.0088136     NA     NA
