VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL    ME_NCU      ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 277.77425 277.20343 278.34507       NA       NA 11.42543   11.03558   11.84405         NA         NA 277.9586  277.38678 278.53042       NA       NA 11.44542   11.05489   11.86478         NA         NA 0.99534     0.99486     0.99579          NA          NA      NA      NA     0          0          0 -0.18435   -0.23949  -0.12921        NA     NA 1.10363    1.06597    1.14407         NA         NA 0.99934        NA        NA 0.86182      NA      NA 1.25119      NA      NA 1.21721        NA        NA 1.11857       NA       NA -1.44939      NA      NA -0.8357       NA      NA -0.21333        NA      NA 0.56375       NA      NA 1.21151      NA      NA 1.39945       NA       NA 0.70774      NA      NA   0.97349       0.97074       0.97598            NA            NA 0.033985        NA      NA 0.99045        NA        NA 4.65822        NA        NA 4.82064        NA        NA          0.97273                   NA                   NA 0.0040242     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.281   282.92057 283.64143       NA       NA  7.86681    7.61995    8.13032         NA         NA 283.37959 283.02723 283.73195       NA       NA  7.6907     7.44936    7.94831         NA         NA 0.99547     0.99504     0.99587          NA          NA      NA      NA     0          0          0 -0.098588  -0.13344  -0.063731       NA     NA 0.7608     0.73692    0.78628         NA         NA 0.99965        NA        NA 0.55601      NA      NA 0.58822      NA      NA 0.5785         NA        NA 0.76695       NA       NA -0.95316      NA      NA -0.5139       NA      NA -0.082453       NA      NA 0.34927       NA      NA 0.75356      NA      NA 0.86317       NA       NA 0.43171      NA      NA   0.95528       0.95109       0.95912            NA            NA 0.0097195       NA      NA 0.99005        NA        NA 2.57308        NA        NA 2.50214        NA        NA          0.95471                   NA                   NA 0.0027064     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 279.90958 279.42161 280.39755       NA       NA  6.81829    6.48982    7.18204         NA         NA 280.19602 279.73136 280.66067       NA       NA  6.49252    6.17974    6.83889         NA         NA 0.99464     0.99382     0.99535          NA          NA      NA      NA     0          0          0 -0.28643   -0.34097  -0.23189        NA     NA 0.76206    0.72534    0.80271         NA         NA 0.99898        NA        NA 0.60568      NA      NA 0.662        NA      NA 0.57996        NA        NA 0.81363       NA       NA -1.33938      NA      NA -0.83223      NA      NA -0.28593        NA      NA 0.19298       NA      NA 0.51683      NA      NA 1.02521       NA       NA 0.50452      NA      NA   0.98173       0.97894       0.98415            NA            NA 0.082044        NA      NA 0.9843         NA        NA 4.01803        NA        NA 4.06104        NA        NA          0.97977                   NA                   NA 0.0029038     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.95151 278.47806 279.42496       NA       NA  9.39295    9.0697     9.74028         NA         NA 278.68328 278.21514 279.15143       NA       NA  9.28775    8.96812    9.63119         NA         NA 0.99012     0.98908     0.99106          NA          NA      NA      NA     0          0          0  0.26823    0.20183   0.33462        NA     NA 1.3172     1.27187    1.3659          NA         NA 1.00096        NA        NA 0.9694       NA      NA 1.80581      NA      NA 1.73386        NA        NA 1.3438        NA       NA -1.31643      NA      NA -0.51719      NA      NA  0.12962        NA      NA 0.93571       NA      NA 1.91703      NA      NA 1.4529        NA       NA 0.71681      NA      NA   0.96812       0.96479       0.97113            NA            NA 0.071946        NA      NA 0.97907        NA        NA 4.92072        NA        NA 5.22688        NA        NA          0.96672                   NA                   NA 0.004822      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.72343 276.50828 276.93857       NA       NA 11.65828   11.50812   11.81244         NA         NA 276.72066 276.50499 276.93633       NA       NA 11.68663   11.5361    11.84116         NA         NA 0.99516     0.99498     0.99534          NA          NA      NA      NA     0          0          0  0.0027651 -0.018428  0.023959       NA     NA 1.14844    1.13365    1.16362         NA         NA 1.00001        NA        NA 0.8213       NA      NA 1.3188       NA      NA 1.31879        NA        NA 1.14839       NA       NA -1.19456      NA      NA -0.54123      NA      NA  0.068403       NA      NA 0.79367       NA      NA 1.67406      NA      NA 1.3349        NA       NA 0.65848      NA      NA   0.96828       0.9671        0.96941            NA            NA 7.6459e-06      NA      NA 0.99034        NA        NA 4.51106        NA        NA 4.59457        NA        NA          0.96835                   NA                   NA 0.00415       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.00275 275.79224 276.21326       NA       NA 11.40716   11.26023   11.558           NA         NA 276.16248 275.95174 276.37323       NA       NA 11.41986   11.27277   11.57087         NA         NA 0.99493     0.99474     0.99512          NA          NA      NA      NA     0          0          0 -0.15973   -0.18093  -0.13853        NA     NA 1.14894    1.13415    1.16414         NA         NA 0.99942        NA        NA 0.80505      NA      NA 1.34547      NA      NA 1.31996        NA        NA 1.15994       NA       NA -1.59916      NA      NA -0.75133      NA      NA -0.068316       NA      NA 0.64682       NA      NA 1.59753      NA      NA 1.39814       NA       NA 0.69776      NA      NA   0.96836       0.96719       0.96949            NA            NA 0.025514        NA      NA 0.98968        NA        NA 4.74627        NA        NA 4.74501        NA        NA          0.97013                   NA                   NA 0.0042002     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.85709 291.79271 291.92147       NA       NA  2.64419    2.59944    2.69052         NA         NA 291.81309 291.75008 291.87609       NA       NA  2.58769    2.54389    2.63303         NA         NA 0.971       0.96958     0.97236          NA          NA      NA      NA     0          0          0  0.044001   0.028601  0.0594         NA     NA 0.63249    0.62178    0.64357         NA         NA 1.00015        NA        NA 0.43366      NA      NA 0.40191      NA      NA 0.39998        NA        NA 0.63397       NA       NA -0.57268      NA      NA -0.26151      NA      NA  0.040167       NA      NA 0.3447        NA      NA 0.71014      NA      NA 0.60622       NA       NA 0.3034       NA      NA   0.89535       0.89042       0.90008            NA            NA 0.0019361       NA      NA 0.93998        NA        NA 1.56622        NA        NA 1.56934        NA        NA          0.91824                   NA                   NA 0.0021725     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.0858  261.92033 262.25127       NA       NA  5.99363    5.87888    6.113           NA         NA 261.96769 261.79541 262.13997       NA       NA  6.24026    6.12078    6.36453         NA         NA 0.98234     0.98134     0.98328          NA          NA      NA      NA     0          0          0  0.11811    0.085655  0.15057        NA     NA 1.17558    1.15307    1.19899         NA         NA 1.00045        NA        NA 0.87115      NA      NA 1.39567      NA      NA 1.38172        NA        NA 1.18139       NA       NA -1.00341      NA      NA -0.3503       NA      NA  0.31058        NA      NA 1.09959       NA      NA 1.99696      NA      NA 1.44989       NA       NA 0.72414      NA      NA   0.97591       0.97455       0.97719            NA            NA 0.01395         NA      NA 0.96416        NA        NA 5.32182        NA        NA 5.3768         NA        NA          0.97567                   NA                   NA 0.0045097     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.36276 259.15487 259.57066       NA       NA  7.5302     7.38602    7.68016         NA         NA 259.47646 259.26149 259.69143       NA       NA  7.78651    7.63742    7.94157         NA         NA 0.97825     0.97703     0.97941          NA          NA      NA      NA     0          0          0 -0.1137    -0.15835  -0.069048       NA     NA 1.61731    1.58634    1.64952         NA         NA 0.99956        NA        NA 1.15982      NA      NA 2.6281       NA      NA 2.61518        NA        NA 1.62114       NA       NA -1.89206      NA      NA -0.9087       NA      NA  0.068025       NA      NA 1.25707       NA      NA 2.61245      NA      NA 2.16577       NA       NA 1.06785      NA      NA   0.96346       0.96143       0.96539            NA            NA 0.012927        NA      NA 0.95665        NA        NA 6.46338        NA        NA 6.40565        NA        NA          0.9683                    NA                   NA 0.0062477     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.24192 252.78139 253.70245       NA       NA  9.21777    8.90324    9.5555          NA         NA 253.39346 252.92492 253.862         NA       NA  9.37815    9.05815    9.72176         NA         NA 0.99517     0.99467     0.99563          NA          NA      NA      NA     0          0          0 -0.15154   -0.19787  -0.10521        NA     NA 0.92738    0.89573    0.96136         NA         NA 0.9994         NA        NA 0.71828      NA      NA 0.88243      NA      NA 0.85947        NA        NA 0.93938       NA       NA -1.25194      NA      NA -0.6918       NA      NA -0.14814        NA      NA 0.41324       NA      NA 0.96709      NA      NA 1.10504       NA       NA 0.55413      NA      NA   0.96851       0.96525       0.97146            NA            NA 0.022964        NA      NA 0.98997        NA        NA 3.6905         NA        NA 3.72361        NA        NA          0.96793                   NA                   NA 0.0037072     NA     NA
