VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL     ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50       E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 281.98168 281.42403 282.53933       NA       NA 11.16181   10.78095   11.57077         NA         NA 281.78922 281.23106 282.34737       NA       NA 11.17192   10.79072   11.58125         NA         NA 0.97038     0.96731     0.97316          NA          NA      NA      NA     0          0          0  0.19246    0.056663   0.32826       NA     NA 2.71812    2.62537    2.81771         NA         NA 1.00068        NA        NA 1.91637      NA      NA  7.42042      NA      NA  7.38338        NA        NA 2.72404       NA       NA -2.59834      NA      NA -1.30716      NA      NA  0.024494      NA      NA 1.37066      NA      NA 3.31407      NA      NA 2.67782       NA       NA 1.34404      NA      NA   0.75546       0.73317       0.77613            NA            NA 0.037042        NA      NA 0.94055        NA        NA 4.04288        NA        NA 4.14231        NA        NA          0.77875                   NA                   NA 0.009667      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.68221 283.34984 284.01458       NA       NA  7.25431    7.02667    7.4973          NA         NA 283.3296  283.00026 283.65894       NA       NA  7.18825    6.96268    7.42903         NA         NA 0.96297     0.95948     0.96616          NA          NA      NA      NA     0          0          0  0.35261    0.26252    0.44271       NA     NA 1.96641    1.9047     2.03228         NA         NA 1.00124        NA        NA 1.34537      NA      NA  3.98899      NA      NA  3.86465        NA        NA 1.99724       NA       NA -1.94742      NA      NA -0.43479      NA      NA  0.42403       NA      NA 1.15706      NA      NA 2.3767       NA      NA 1.59184       NA       NA 0.79366      NA      NA   0.7913        0.77352       0.80783            NA            NA 0.12434         NA      NA 0.9228         NA        NA 2.96258        NA        NA 3.13724        NA        NA          0.78705                   NA                   NA 0.0070492     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 282.49877 281.88178 283.11576       NA       NA  8.62107    8.20576    9.081           NA         NA 282.30543 281.71087 282.89999       NA       NA  8.30764    7.90742    8.75084         NA         NA 0.97115     0.96678     0.97496          NA          NA      NA      NA     0          0          0  0.19334    0.046145   0.34054       NA     NA 2.05673    1.95765    2.16645         NA         NA 1.00068        NA        NA 1.47221      NA      NA  4.26187      NA      NA  4.22449        NA        NA 2.06443       NA       NA -2.11615      NA      NA -1.22029      NA      NA -0.10633       NA      NA 1.02077      NA      NA 2.68501      NA      NA 2.24106       NA       NA 1.11699      NA      NA   0.88532       0.86879       0.89987            NA            NA 0.03738         NA      NA 0.93825        NA        NA 5.18483        NA        NA 4.56237        NA        NA          0.91811                   NA                   NA 0.0073127     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.94232 277.53711 278.34753       NA       NA  8.03917    7.76251    8.33644         NA         NA 278.00639 277.58627 278.4265        NA       NA  8.3348     8.04796    8.643           NA         NA 0.95787     0.9535      0.96184          NA          NA      NA      NA     0          0          0 -0.064068  -0.18476    0.056623      NA     NA 2.39445    2.31205    2.48299         NA         NA 0.99977        NA        NA 1.6449       NA      NA  5.73371      NA      NA  5.7296         NA        NA 2.39452       NA       NA -2.65216      NA      NA -1.21072      NA      NA -0.14831       NA      NA 0.97332      NA      NA 3.3134       NA      NA 2.18405       NA       NA 1.08125      NA      NA   0.91109       0.90212       0.91928            NA            NA 0.0041048       NA      NA 0.91746        NA        NA 5.71006        NA        NA 5.64055        NA        NA          0.91106                   NA                   NA 0.0086132     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.55593 277.34339 277.76848       NA       NA 11.51745   11.3691    11.66975         NA         NA 277.66919 277.45532 277.88307       NA       NA 11.58943   11.44016   11.74268         NA         NA 0.97733     0.97649     0.97814          NA          NA      NA      NA     0          0          0 -0.11326   -0.15868   -0.067842      NA     NA 2.46112    2.42942    2.49366         NA         NA 0.99959        NA        NA 1.73139      NA      NA  6.0694       NA      NA  6.05657        NA        NA 2.46362       NA       NA -3.14889      NA      NA -1.53875      NA      NA -0.12281       NA      NA 1.35638      NA      NA 3.04818      NA      NA 2.89514       NA       NA 1.44249      NA      NA   0.85563       0.85061       0.8605             NA            NA 0.012828        NA      NA 0.95481        NA        NA 4.52831        NA        NA 4.66797        NA        NA          0.8569                    NA                   NA 0.0088725     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.67312 275.4544  275.89184       NA       NA 11.85212   11.69946   12.00884         NA         NA 275.74972 275.53199 275.96745       NA       NA 11.79845   11.64649   11.95446         NA         NA 0.9776      0.97677     0.9784           NA          NA      NA      NA     0          0          0 -0.076598  -0.1228    -0.030398      NA     NA 2.50349    2.47125    2.5366          NA         NA 0.99972        NA        NA 1.72529      NA      NA  6.27279      NA      NA  6.26692        NA        NA 2.50455       NA       NA -3.11638      NA      NA -1.30231      NA      NA  0.19575       NA      NA 1.62838      NA      NA 4.25987      NA      NA 2.9307        NA       NA 1.47111      NA      NA   0.81817       0.81198       0.82418            NA            NA 0.0058672       NA      NA 0.95494        NA        NA 4.25113        NA        NA 4.3288         NA        NA          0.82973                   NA                   NA 0.0090827     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.8948  291.82268 291.96692       NA       NA  2.962      2.91187    3.0139          NA         NA 291.90172 291.83209 291.97134       NA       NA  2.85963    2.81123    2.90973         NA         NA 0.95966     0.95769     0.96154          NA          NA      NA      NA     0          0          0 -0.0069188 -0.027199   0.013362      NA     NA 0.83295    0.81885    0.84755         NA         NA 0.99998        NA        NA 0.581        NA      NA  0.69375      NA      NA  0.6937         NA        NA 0.83292       NA       NA -0.88255      NA      NA -0.425        NA      NA -0.026091      NA      NA 0.42839      NA      NA 0.90609      NA      NA 0.85339       NA       NA 0.42417      NA      NA   0.82661       0.81874       0.83417            NA            NA 4.787e-05       NA      NA 0.91516        NA        NA 1.65592        NA        NA 1.59465        NA        NA          0.86935                   NA                   NA 0.0028534     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 263.16212 262.96957 263.35467       NA       NA  6.97441    6.84087    7.1133          NA         NA 263.27237 263.06343 263.4813        NA       NA  7.56806    7.42316    7.71878         NA         NA 0.9134      0.90871     0.91787          NA          NA      NA      NA     0          0          0 -0.11025   -0.19531   -0.025179      NA     NA 3.08125    3.02225    3.14261         NA         NA 0.99958        NA        NA 2.32353      NA      NA  9.50435      NA      NA  9.49219        NA        NA 3.08291       NA       NA -3.88901      NA      NA -2.05426      NA      NA  0.073378      NA      NA 1.98673      NA      NA 3.29549      NA      NA 4.04099       NA       NA 2.00465      NA      NA   0.8559        0.84834       0.86311            NA            NA 0.012154        NA      NA 0.83406        NA        NA 5.25439        NA        NA 5.98827        NA        NA          0.85753                   NA                   NA 0.01171       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 258.19885 257.97311 258.4246        NA       NA  8.17685    8.02029    8.33969         NA         NA 258.09183 257.86102 258.32265       NA       NA  8.36051    8.20044    8.52701         NA         NA 0.93907     0.93572     0.94225          NA          NA      NA      NA     0          0          0  0.10702    0.027175   0.18686       NA     NA 2.89211    2.83674    2.94971         NA         NA 1.00041        NA        NA 2.2577       NA      NA  8.3741       NA      NA  8.36264        NA        NA 2.8938        NA       NA -3.40697      NA      NA -1.52797      NA      NA  0.62106       NA      NA 2.95487      NA      NA 6.23787      NA      NA 4.48284       NA       NA 2.22601      NA      NA   0.84475       0.83666       0.85248            NA            NA 0.011453        NA      NA 0.8802         NA        NA 5.37371        NA        NA 5.33647        NA        NA          0.85402                   NA                   NA 0.011212      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1080000   20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 254.81501 254.34994 255.28007       NA       NA  9.30866    8.99103    9.64972         NA         NA 254.96763 254.50993 255.42534       NA       NA  9.16134    8.84874    9.497           NA         NA 0.97088     0.96787     0.97362          NA          NA      NA      NA     0          0          0 -0.15263   -0.2642    -0.04105       NA     NA 2.23329    2.15709    2.31512         NA         NA 0.9994         NA        NA 1.59536      NA      NA  5.00764      NA      NA  4.98434        NA        NA 2.23778       NA       NA -2.88552      NA      NA -1.16351      NA      NA  0.067145      NA      NA 1.21887      NA      NA 2.22555      NA      NA 2.38238       NA       NA 1.18618      NA      NA   0.7903        0.77077       0.80835            NA            NA 0.023295        NA      NA 0.94034        NA        NA 3.55228        NA        NA 3.53662        NA        NA          0.80071                   NA                   NA 0.0087767     NA     NA
