VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL      ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75       E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 277.88973 277.32123 278.45824       NA       NA 11.37905   10.99077   11.79597         NA         NA 277.9586  277.38678 278.53042       NA       NA 11.44542   11.05489   11.86478         NA         NA 0.99733     0.99705     0.99758          NA          NA      NA      NA     0          0          0 -0.068867  -0.11068    -0.027055      NA     NA 0.83689    0.80833    0.86755         NA         NA 0.99975        NA        NA 0.65262      NA      NA 0.70467       NA      NA 0.69993         NA        NA 0.83945       NA       NA -1.05802      NA      NA -0.59455      NA      NA -0.11747        NA      NA  0.45891       NA      NA 1.04004      NA      NA 1.05346       NA       NA 0.52459      NA      NA   0.98494       0.98336       0.98636            NA            NA 0.0047426       NA      NA 0.99462        NA        NA 4.67755        NA        NA 4.82064        NA        NA          0.98483                   NA                   NA 0.00302       NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.30478 282.94622 283.66334       NA       NA  7.82606    7.58048    8.0882          NA         NA 283.37959 283.02723 283.73195       NA       NA  7.6907     7.44936    7.94831         NA         NA 0.99803     0.99784     0.9982           NA          NA      NA      NA     0          0          0 -0.07481   -0.097958   -0.051661      NA     NA 0.50524    0.48939    0.52216         NA         NA 0.99974        NA        NA 0.3898       NA      NA 0.26073       NA      NA 0.25513         NA        NA 0.51061       NA       NA -0.68784      NA      NA -0.39827      NA      NA -0.081948       NA      NA  0.23292       NA      NA 0.51518      NA      NA 0.63119       NA       NA 0.31576      NA      NA   0.98068       0.97884       0.98235            NA            NA 0.0055965       NA      NA 0.99559        NA        NA 2.5808         NA        NA 2.50214        NA        NA          0.98029                   NA                   NA 0.0018019     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.06686 279.58778 280.54594       NA       NA  6.69408    6.3716     7.05121         NA         NA 280.19602 279.73136 280.66067       NA       NA  6.49252    6.17974    6.83889         NA         NA 0.99736     0.99696     0.99772          NA          NA      NA      NA     0          0          0 -0.12916   -0.16633    -0.091983      NA     NA 0.5194     0.49438    0.54711         NA         NA 0.99954        NA        NA 0.40206      NA      NA 0.2861        NA      NA 0.26942         NA        NA 0.53488       NA       NA -0.8943       NA      NA -0.48786      NA      NA -0.12463        NA      NA  0.19182       NA      NA 0.45278      NA      NA 0.67968       NA       NA 0.33783      NA      NA   0.99147       0.99016       0.99261            NA            NA 0.016681        NA      NA 0.99321        NA        NA 4.01581        NA        NA 4.06104        NA        NA          0.99129                   NA                   NA 0.0019089     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.794   278.31872 279.26927       NA       NA  9.42914    9.10464    9.77781         NA         NA 278.68328 278.21514 279.15143       NA       NA  9.28775    8.96812    9.63119         NA         NA 0.99641     0.99603     0.99676          NA          NA      NA      NA     0          0          0  0.11071    0.070137    0.15129       NA     NA 0.80499    0.77729    0.83476         NA         NA 1.0004         NA        NA 0.60204      NA      NA 0.65984       NA      NA 0.64759         NA        NA 0.81231       NA       NA -0.90736      NA      NA -0.37512      NA      NA  0.053048       NA      NA  0.53645       NA      NA 1.04875      NA      NA 0.91157       NA       NA 0.45629      NA      NA   0.98821       0.98697       0.98934            NA            NA 0.012257        NA      NA 0.99235        NA        NA 5.07797        NA        NA 5.22688        NA        NA          0.98799                   NA                   NA 0.0029148     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.67879 276.46295 276.89463       NA       NA 11.69598   11.54533   11.85064         NA         NA 276.72066 276.50499 276.93633       NA       NA 11.68663   11.5361    11.84116         NA         NA 0.99788     0.9978      0.99796          NA          NA      NA      NA     0          0          0 -0.041867  -0.055918   -0.027815      NA     NA 0.76143    0.75162    0.7715          NA         NA 0.99985        NA        NA 0.55799      NA      NA 0.58147       NA      NA 0.57972         NA        NA 0.76254       NA       NA -0.86774      NA      NA -0.42716      NA      NA -0.009121       NA      NA  0.4409        NA      NA 0.98924      NA      NA 0.86806       NA       NA 0.43102      NA      NA   0.98614       0.98563       0.98664            NA            NA 0.0017528       NA      NA 0.99574        NA        NA 4.54318        NA        NA 4.59457        NA        NA          0.98614                   NA                   NA 0.0027556     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.06158 275.85206 276.27109       NA       NA 11.35321   11.20698   11.50334         NA         NA 276.16248 275.95174 276.37323       NA       NA 11.41986   11.27277   11.57087         NA         NA 0.99773     0.99765     0.99781          NA          NA      NA      NA     0          0          0 -0.10091   -0.11512    -0.086695      NA     NA 0.77004    0.76012    0.78022         NA         NA 0.99963        NA        NA 0.53784      NA      NA 0.60309       NA      NA 0.59291         NA        NA 0.77659       NA       NA -0.95601      NA      NA -0.46613      NA      NA -0.021248       NA      NA  0.45734       NA      NA 1.23884      NA      NA 0.92347       NA       NA 0.46315      NA      NA   0.98608       0.98556       0.98658            NA            NA 0.010182        NA      NA 0.99538        NA        NA 4.8013         NA        NA 4.74501        NA        NA          0.98683                   NA                   NA 0.0028121     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.80984 291.74589 291.8738        NA       NA  2.62655    2.5821     2.67257         NA         NA 291.81309 291.75008 291.87609       NA       NA  2.58769    2.54389    2.63303         NA         NA 0.98332     0.98249     0.9841           NA          NA      NA      NA     0          0          0 -0.0032426 -0.014876    0.0083909     NA     NA 0.47781    0.46972    0.48618         NA         NA 0.99999        NA        NA 0.32944      NA      NA 0.22827       NA      NA 0.22826         NA        NA 0.47778       NA       NA -0.48373      NA      NA -0.23046      NA      NA  0.0034604      NA      NA  0.24107       NA      NA 0.50211      NA      NA 0.47153       NA       NA 0.23599      NA      NA   0.94153       0.9387        0.94423            NA            NA 1.0514e-05      NA      NA 0.96591        NA        NA 1.57192        NA        NA 1.56934        NA        NA          0.95373                   NA                   NA 0.0016373     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 261.96476 261.79556 262.13397       NA       NA  6.12879    6.01145    6.25084         NA         NA 261.96769 261.79541 262.13997       NA       NA  6.24026    6.12078    6.36453         NA         NA 0.99249     0.99206     0.99289          NA          NA      NA      NA     0          0          0 -0.0029269 -0.024081    0.018228      NA     NA 0.76625    0.75158    0.78151         NA         NA 0.99999        NA        NA 0.57743      NA      NA 0.58703       NA      NA 0.58703         NA        NA 0.76618       NA       NA -0.75808      NA      NA -0.35866      NA      NA  0.06403        NA      NA  0.57257       NA      NA 1.14662      NA      NA 0.93123       NA       NA 0.45635      NA      NA   0.98987       0.9893        0.99041            NA            NA 8.5669e-06      NA      NA 0.98492        NA        NA 5.38659        NA        NA 5.3768         NA        NA          0.98987                   NA                   NA 0.0029247     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.53316 259.32373 259.74259       NA       NA  7.58575    7.44051    7.73682         NA         NA 259.47646 259.26149 259.69143       NA       NA  7.78651    7.63742    7.94157         NA         NA 0.98995     0.98938     0.99048          NA          NA      NA      NA     0          0          0  0.056698   0.026104    0.087292      NA     NA 1.10816    1.08694    1.13023         NA         NA 1.00022        NA        NA 0.75709      NA      NA 1.23099       NA      NA 1.22778         NA        NA 1.1095        NA       NA -1.07018      NA      NA -0.45522      NA      NA  0.18123        NA      NA  0.97682       NA      NA 2.08299      NA      NA 1.43204       NA       NA 0.68884      NA      NA   0.98319       0.98225       0.98409            NA            NA 0.0032146       NA      NA 0.9797         NA        NA 6.5647         NA        NA 6.40565        NA        NA          0.98566                   NA                   NA 0.0042759     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260419_000000 20260419_000000 000000   20260419_000000 20260419_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.34081 252.87464 253.80698       NA       NA  9.33076    9.01238    9.67263         NA         NA 253.39346 252.92492 253.862         NA       NA  9.37815    9.05815    9.72176         NA         NA 0.99829     0.99812     0.99846          NA          NA      NA      NA     0          0          0 -0.052645  -0.08004    -0.025251      NA     NA 0.54832    0.52961    0.56841         NA         NA 0.99979        NA        NA 0.413        NA      NA 0.30323       NA      NA 0.30046         NA        NA 0.55066       NA       NA -0.74384      NA      NA -0.37484      NA      NA -0.035692       NA      NA  0.26094       NA      NA 0.56246      NA      NA 0.63578       NA       NA 0.31282      NA      NA   0.98902       0.98787       0.99006            NA            NA 0.0027715       NA      NA 0.99655        NA        NA 3.64752        NA        NA 3.72361        NA        NA          0.98905                   NA                   NA 0.0021732     NA     NA
