VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL      ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.30477 277.76421 278.84533       NA       NA 10.81977   10.45058   11.2162          NA         NA 278.39072 277.8469  278.93454       NA       NA 10.8849    10.51349   11.28371         NA         NA 0.99588     0.99544     0.99627          NA          NA      NA      NA     0          0          0 -0.085952  -0.13529    -0.036612      NA     NA 0.98757    0.95387    1.02375         NA         NA 0.99969        NA        NA 0.76718      NA      NA 0.98204      NA      NA 0.97465        NA        NA 0.99098       NA       NA -1.34303      NA      NA -0.77613      NA      NA -0.078171       NA      NA 0.52617       NA      NA 1.12112      NA      NA 1.30231       NA       NA 0.6328       NA      NA   0.96792       0.9646        0.97093            NA            NA 0.0073877       NA      NA 0.99171        NA        NA 3.77365        NA        NA 3.93407        NA        NA          0.96779                   NA                   NA 0.0035597     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 282.82263 282.44013 283.20514       NA       NA  8.34869    8.08671    8.62834         NA         NA 282.85997 282.48623 283.2337        NA       NA  8.15717    7.9012     8.43041         NA         NA 0.99583     0.99543     0.99619          NA          NA      NA      NA     0          0          0 -0.037333  -0.072968   -0.0016987     NA     NA 0.77777    0.75336    0.80382         NA         NA 0.99987        NA        NA 0.5373       NA      NA 0.60598      NA      NA 0.60459        NA        NA 0.77845       NA       NA -0.94848      NA      NA -0.46258      NA      NA -0.0022045      NA      NA 0.36385       NA      NA 0.76862      NA      NA 0.82643       NA       NA 0.40871      NA      NA   0.97375       0.97127       0.97602            NA            NA 0.0013938       NA      NA 0.99089        NA        NA 3.42345        NA        NA 3.30034        NA        NA          0.97385                   NA                   NA 0.0027521     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.09466 279.5529  280.63643       NA       NA  7.56996    7.20529    7.97382         NA         NA 280.35613 279.82675 280.88551       NA       NA  7.39688    7.04055    7.7915          NA         NA 0.99501     0.99425     0.99568          NA          NA      NA      NA     0          0          0 -0.26147   -0.31637    -0.20656       NA     NA 0.76716    0.7302     0.80809         NA         NA 0.99907        NA        NA 0.63606      NA      NA 0.65611      NA      NA 0.58775        NA        NA 0.81001       NA       NA -1.3457       NA      NA -0.76383      NA      NA -0.29111        NA      NA 0.26555       NA      NA 0.66421      NA      NA 1.02938       NA       NA 0.52026      NA      NA   0.98266       0.98002       0.98496            NA            NA 0.068365        NA      NA 0.98801        NA        NA 4.16821        NA        NA 4.09899        NA        NA          0.98094                   NA                   NA 0.0028892     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.24793 277.75148 278.74438       NA       NA  9.84925    9.51029   10.21345         NA         NA 278.43948 277.94368 278.93528       NA       NA  9.83639    9.49787   10.20011         NA         NA 0.99385     0.9932      0.99444          NA          NA      NA      NA     0          0          0 -0.19155   -0.24656    -0.13654       NA     NA 1.09135    1.05379    1.1317          NA         NA 0.99931        NA        NA 0.82048      NA      NA 1.22695      NA      NA 1.19025        NA        NA 1.10768       NA       NA -1.38956      NA      NA -0.76599      NA      NA -0.25793        NA      NA 0.37043       NA      NA 1.20699      NA      NA 1.13642       NA       NA 0.56196      NA      NA   0.98361       0.98189       0.98517            NA            NA 0.036692        NA      NA 0.98732        NA        NA 6.01741        NA        NA 6.06651        NA        NA          0.98323                   NA                   NA 0.0039782     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.79776 276.58486 277.01066       NA       NA 11.53681   11.38821   11.68936         NA         NA 276.90171 276.68778 277.11563       NA       NA 11.59221   11.4429    11.74549         NA         NA 0.99545     0.99528     0.99562          NA          NA      NA      NA     0          0          0 -0.10395   -0.12432    -0.083573      NA     NA 1.10407    1.08985    1.11867         NA         NA 0.99962        NA        NA 0.80579      NA      NA 1.22966      NA      NA 1.21885        NA        NA 1.1089        NA       NA -1.31467      NA      NA -0.67635      NA      NA -0.050282       NA      NA 0.58011       NA      NA 1.30236      NA      NA 1.25646       NA       NA 0.62785      NA      NA   0.97191       0.97087       0.97292            NA            NA 0.010805        NA      NA 0.99085        NA        NA 4.65022        NA        NA 4.67538        NA        NA          0.97174                   NA                   NA 0.0040047     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.92172 275.70899 276.13445       NA       NA 11.52738   11.37891   11.67981         NA         NA 276.02605 275.81447 276.23762       NA       NA 11.46485   11.31718   11.61646         NA         NA 0.99547     0.9953      0.99564          NA          NA      NA      NA     0          0          0 -0.10433   -0.12454    -0.084108      NA     NA 1.0956     1.08149    1.11009         NA         NA 0.99962        NA        NA 0.76803      NA      NA 1.21113      NA      NA 1.20024        NA        NA 1.10051       NA       NA -1.6795       NA      NA -0.78164      NA      NA -0.10681        NA      NA 0.50048       NA      NA 1.27559      NA      NA 1.28211       NA       NA 0.64068      NA      NA   0.97359       0.97261       0.97453            NA            NA 0.010884        NA      NA 0.99079        NA        NA 4.94083        NA        NA 4.88936        NA        NA          0.97499                   NA                   NA 0.003987      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.81392 291.74815 291.87969       NA       NA  2.70132    2.6556     2.74865         NA         NA 291.75657 291.6937  291.81944       NA       NA  2.58209    2.53839    2.62733         NA         NA 0.97742     0.97631     0.97849          NA          NA      NA      NA     0          0          0  0.057356   0.043387    0.071324      NA     NA 0.57372    0.56401    0.58377         NA         NA 1.0002         NA        NA 0.41321      NA      NA 0.33239      NA      NA 0.3291         NA        NA 0.57653       NA       NA -0.54399      NA      NA -0.24759      NA      NA  0.053807       NA      NA 0.35949       NA      NA 0.71553      NA      NA 0.60708       NA       NA 0.30341      NA      NA   0.92034       0.91653       0.92398            NA            NA 0.0032897       NA      NA 0.95015        NA        NA 1.62359        NA        NA 1.55569        NA        NA          0.93511                   NA                   NA 0.0019761     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.68906 262.51316 262.86496       NA       NA  6.37134    6.24935    6.49822         NA         NA 262.63451 262.45361 262.8154        NA       NA  6.55229    6.42684    6.68278         NA         NA 0.98109     0.98003     0.9821           NA          NA      NA      NA     0          0          0  0.054552   0.019503    0.0896        NA     NA 1.26952    1.24521    1.2948          NA         NA 1.00021        NA        NA 0.89546      NA      NA 1.61433      NA      NA 1.61135        NA        NA 1.27056       NA       NA -1.2243       NA      NA -0.5954       NA      NA  0.056428       NA      NA 0.78863       NA      NA 1.54045      NA      NA 1.38403       NA       NA 0.69543      NA      NA   0.97274       0.97121       0.97418            NA            NA 0.0029759       NA      NA 0.9624         NA        NA 5.46542        NA        NA 5.45563        NA        NA          0.97293                   NA                   NA 0.0048378     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.21028 258.99555 259.42501       NA       NA  7.77791    7.62899    7.9328          NA         NA 259.34559 259.12768 259.5635        NA       NA  7.89306    7.74193    8.05024         NA         NA 0.98054     0.97945     0.98158          NA          NA      NA      NA     0          0          0 -0.13531   -0.1781     -0.092522      NA     NA 1.54986    1.52019    1.58073         NA         NA 0.99948        NA        NA 1.14388      NA      NA 2.4199       NA      NA 2.4016         NA        NA 1.5556        NA       NA -2.30661      NA      NA -1.12259      NA      NA -0.1751         NA      NA 0.73437       NA      NA 1.78697      NA      NA 1.85696       NA       NA 0.93533      NA      NA   0.96701       0.96517       0.96876            NA            NA 0.018309        NA      NA 0.96116        NA        NA 6.4858         NA        NA 6.31819        NA        NA          0.97082                   NA                   NA 0.0059982     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 480000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.97657 253.51925 254.43389       NA       NA  9.15359    8.84126    9.48898         NA         NA 253.95594 253.5034  254.40849       NA       NA  9.05808    8.74901    9.38996         NA         NA 0.99446     0.99387     0.99498          NA          NA      NA      NA     0          0          0  0.020625  -0.027518    0.068769      NA     NA 0.96363    0.93075    0.99893         NA         NA 1.00008        NA        NA 0.70041      NA      NA 0.9284       NA      NA 0.92797        NA        NA 0.96354       NA       NA -1.15628      NA      NA -0.54484      NA      NA  0.0017833      NA      NA 0.50852       NA      NA 1.06153      NA      NA 1.05336       NA       NA 0.53111      NA      NA   0.96094       0.95692       0.96459            NA            NA 0.0004254       NA      NA 0.98868        NA        NA 3.53995        NA        NA 3.54282        NA        NA          0.96299                   NA                   NA 0.0037941     NA     NA
