VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME          ME_NCL     ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.90406 280.33675 281.47136       NA       NA 11.35499   10.96754   11.77103         NA         NA 280.65061 280.08787 281.21336       NA       NA 11.26381   10.87947   11.6765          NA         NA 0.99176     0.9909      0.99255          NA          NA      NA      NA     0          0          0  0.25344     0.18078    0.3261       NA     NA 1.45433    1.4047     1.50761         NA         NA 1.0009         NA        NA 1.08776      NA      NA 2.17792      NA      NA 2.11369        NA        NA 1.47578       NA       NA -1.57894      NA      NA -0.67767      NA      NA  0.16595        NA      NA 1.05123      NA      NA 1.92114      NA      NA 1.72891       NA       NA 0.85533      NA      NA   0.92311       0.91536       0.93017            NA            NA 0.064233        NA      NA 0.98283        NA        NA 3.61264        NA        NA 3.80527        NA        NA          0.92214                   NA                   NA 0.0052584     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.157   282.78371 283.5303        NA       NA  8.14766    7.89199    8.42058         NA         NA 283.27084 282.90827 283.6334        NA       NA  7.9134     7.66508    8.17847         NA         NA 0.98956     0.98856     0.99047          NA          NA      NA      NA     0          0          0 -0.11383    -0.16806   -0.059599     NA     NA 1.1837     1.14655    1.22335         NA         NA 0.9996         NA        NA 0.73626      NA      NA 1.41333      NA      NA 1.40037        NA        NA 1.18883       NA       NA -1.41559      NA      NA -0.55666      NA      NA -0.013938       NA      NA 0.44428      NA      NA 0.89827      NA      NA 1.00094       NA       NA 0.49225      NA      NA   0.95432       0.95004       0.95824            NA            NA 0.012958        NA      NA 0.97743        NA        NA 3.93262        NA        NA 3.89664        NA        NA          0.95393                   NA                   NA 0.0041968     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.49875 279.92102 281.07647       NA       NA  8.07242    7.68354    8.50308         NA         NA 280.63343 280.06135 281.2055        NA       NA  7.99352    7.60844    8.41997         NA         NA 0.99444     0.99359     0.99518          NA          NA      NA      NA     0          0          0 -0.13468    -0.19555   -0.073806     NA     NA 0.85057    0.80959    0.89595         NA         NA 0.99952        NA        NA 0.67415      NA      NA 0.74064      NA      NA 0.7225         NA        NA 0.8606        NA       NA -1.29629      NA      NA -0.71388      NA      NA -0.098827       NA      NA 0.47048      NA      NA 0.99156      NA      NA 1.18436       NA       NA 0.58302      NA      NA   0.97977       0.97669       0.98245            NA            NA 0.018138        NA      NA 0.98841        NA        NA 4.31467        NA        NA 4.14909        NA        NA          0.98008                   NA                   NA 0.0030666     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.05207 276.57503 277.5291        NA       NA  9.46407    9.13836    9.81402         NA         NA 277.29684 276.81627 277.77742       NA       NA  9.5343     9.20618    9.88685         NA         NA 0.99007     0.98902     0.99102          NA          NA      NA      NA     0          0          0 -0.24478    -0.31234   -0.17721      NA     NA 1.34046    1.29433    1.39002         NA         NA 0.99912        NA        NA 0.9381       NA      NA 1.85555      NA      NA 1.79564        NA        NA 1.36219       NA       NA -1.48797      NA      NA -0.83005      NA      NA -0.24283        NA      NA 0.45672      NA      NA 1.29352      NA      NA 1.28676       NA       NA 0.64905      NA      NA   0.97759       0.97524       0.97972            NA            NA 0.059916        NA      NA 0.97959        NA        NA 6.34462        NA        NA 6.3742         NA        NA          0.97707                   NA                   NA 0.0049124     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.16944 276.95378 277.38509       NA       NA 11.68602   11.5355    11.84055         NA         NA 277.17006 276.95378 277.38634       NA       NA 11.72004   11.56908   11.87501         NA         NA 0.99336     0.99311     0.9936           NA          NA      NA      NA     0          0          0 -0.00062086 -0.025511   0.024269     NA     NA 1.34876    1.33139    1.3666          NA         NA 1              NA        NA 0.96745      NA      NA 1.819        NA      NA 1.819          NA        NA 1.3487        NA       NA -1.39048      NA      NA -0.63395      NA      NA  0.055718       NA      NA 0.78113      NA      NA 1.65889      NA      NA 1.41508       NA       NA 0.70799      NA      NA   0.96038       0.95892       0.96178            NA            NA 3.8546e-07      NA      NA 0.98676        NA        NA 4.76717        NA        NA 4.82441        NA        NA          0.96053                   NA                   NA 0.004866      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.87995 275.66582 276.09409       NA       NA 11.60373   11.45427   11.75717         NA         NA 276.00461 275.79128 276.21795       NA       NA 11.56047   11.41157   11.71334         NA         NA 0.99237     0.99208     0.99264          NA          NA      NA      NA     0          0          0 -0.12466    -0.15108   -0.098239     NA     NA 1.43177    1.41333    1.4507          NA         NA 0.99955        NA        NA 0.94636      NA      NA 2.06532      NA      NA 2.04978        NA        NA 1.43712       NA       NA -1.79997      NA      NA -0.80568      NA      NA -0.10738        NA      NA 0.60305      NA      NA 1.47828      NA      NA 1.40873       NA       NA 0.70497      NA      NA   0.95535       0.95371       0.95693            NA            NA 0.01554         NA      NA 0.98455        NA        NA 4.95865        NA        NA 4.90396        NA        NA          0.95759                   NA                   NA 0.0052069     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.85781 291.78483 291.9308        NA       NA  2.99752    2.94679    3.05004         NA         NA 291.84267 291.77236 291.91298       NA       NA  2.88776    2.83889    2.93836         NA         NA 0.97193     0.97055     0.97325          NA          NA      NA      NA     0          0          0  0.015141   -0.0020404  0.032322     NA     NA 0.70566    0.69371    0.71802         NA         NA 1.00005        NA        NA 0.48543      NA      NA 0.4981       NA      NA 0.49788        NA        NA 0.70577       NA       NA -0.72003      NA      NA -0.34137      NA      NA  0.0060927      NA      NA 0.34745      NA      NA 0.75511      NA      NA 0.68882       NA       NA 0.34455      NA      NA   0.87396       0.86808       0.87959            NA            NA 0.00022925      NA      NA 0.94027        NA        NA 1.62946        NA        NA 1.55939        NA        NA          0.90295                   NA                   NA 0.0024183     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.91778 262.73999 263.09556       NA       NA  6.43968    6.31638    6.56793         NA         NA 262.85458 262.66667 263.04248       NA       NA  6.80612    6.67581    6.94166         NA         NA 0.97642     0.97509     0.97767          NA          NA      NA      NA     0          0          0  0.063201    0.022238   0.10416      NA     NA 1.48376    1.45535    1.51331         NA         NA 1.00024        NA        NA 1.0871       NA      NA 2.20509      NA      NA 2.2011         NA        NA 1.48496       NA       NA -1.28405      NA      NA -0.54119      NA      NA  0.15375        NA      NA 0.94325      NA      NA 1.87277      NA      NA 1.48444       NA       NA 0.74182      NA      NA   0.96566       0.96375       0.96748            NA            NA 0.0039944       NA      NA 0.9524         NA        NA 5.5616         NA        NA 5.74254        NA        NA          0.96599                   NA                   NA 0.0056493     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.05206 258.83957 259.26454       NA       NA  7.69663    7.54926    7.8499          NA         NA 259.18321 258.96644 259.39997       NA       NA  7.85171    7.70137    8.00807         NA         NA 0.97243     0.97089     0.97389          NA          NA      NA      NA     0          0          0 -0.13115    -0.18173   -0.080572     NA     NA 1.83201    1.79693    1.86849         NA         NA 0.99949        NA        NA 1.29225      NA      NA 3.37279      NA      NA 3.35559        NA        NA 1.83652       NA       NA -1.99146      NA      NA -0.99674      NA      NA -0.12556        NA      NA 0.85311      NA      NA 1.85617      NA      NA 1.84985       NA       NA 0.9238       NA      NA   0.95095       0.94823       0.95352            NA            NA 0.0172          NA      NA 0.94529        NA        NA 6.28321        NA        NA 6.09578        NA        NA          0.95643                   NA                   NA 0.0070858     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 254.28518 253.81235 254.75802       NA       NA  9.46412    9.14118    9.81087         NA         NA 254.18924 253.71588 254.6626        NA       NA  9.47471    9.15142    9.82186         NA         NA 0.99244     0.99165     0.99316          NA          NA      NA      NA     0          0          0  0.095943    0.037774   0.15411      NA     NA 1.16429    1.12456    1.20695         NA         NA 1.00038        NA        NA 0.84058      NA      NA 1.3639       NA      NA 1.3547         NA        NA 1.16786       NA       NA -1.27612      NA      NA -0.52688      NA      NA  0.096373       NA      NA 0.72619      NA      NA 1.36966      NA      NA 1.25306       NA       NA 0.62825      NA      NA   0.94041       0.93435       0.94593            NA            NA 0.009205        NA      NA 0.98481        NA        NA 3.37015        NA        NA 3.42711        NA        NA          0.9411                    NA                   NA 0.0045945     NA     NA
