VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL      ME_NCU    ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 281.22112 280.65109 281.79116       NA       NA 11.40961   11.0203    11.82765         NA         NA 281.11346 280.55144 281.67548       NA       NA 11.2492    10.86536   11.66137         NA         NA 0.9806      0.97858     0.98243          NA          NA      NA      NA     0          0          0  0.10767   -0.0041237   0.21946      NA     NA 2.23759    2.16124    2.31957         NA         NA 1.00038        NA        NA 1.52259      NA      NA 5.01514      NA      NA 5.00355        NA        NA 2.23945       NA       NA -2.03784      NA      NA -0.89266      NA      NA  0.0013685      NA      NA 1.11433       NA      NA 2.66368      NA      NA 2.00699       NA       NA 0.99206      NA      NA   0.83632       0.82065       0.85074            NA            NA 0.011592        NA      NA 0.96037        NA        NA 4.03011        NA        NA 3.93841        NA        NA          0.84228                   NA                   NA 0.0079664     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.10486 282.76958 283.44014       NA       NA  7.31785    7.08822    7.56297         NA         NA 282.95742 282.62042 283.29443       NA       NA  7.3555     7.12469    7.60189         NA         NA 0.97893     0.97693     0.98076          NA          NA      NA      NA     0          0          0  0.14744    0.078419    0.21645      NA     NA 1.50639    1.45912    1.55685         NA         NA 1.00052        NA        NA 0.9162       NA      NA 2.28971      NA      NA 2.26798        NA        NA 1.51318       NA       NA -1.18975      NA      NA -0.45809      NA      NA  0.081413       NA      NA 0.70142       NA      NA 1.54451      NA      NA 1.15951       NA       NA 0.58089      NA      NA   0.91338       0.90546       0.92067            NA            NA 0.021737        NA      NA 0.95768        NA        NA 3.64227        NA        NA 3.60419        NA        NA          0.91284                   NA                   NA 0.0053477     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 281.45899 280.8352  282.08278       NA       NA  8.71603    8.29614    9.18102         NA         NA 281.58662 280.9709  282.20235       NA       NA  8.60337    8.18891    9.06235         NA         NA 0.98901     0.98733     0.99047          NA          NA      NA      NA     0          0          0 -0.12763   -0.21986    -0.035404     NA     NA 1.28868    1.2266     1.35743         NA         NA 0.99955        NA        NA 0.96129      NA      NA 1.67477      NA      NA 1.65848        NA        NA 1.29413       NA       NA -1.99514      NA      NA -0.94414      NA      NA -0.057876       NA      NA 0.66687       NA      NA 1.33994      NA      NA 1.61101       NA       NA 0.80201      NA      NA   0.95688       0.9504        0.96254            NA            NA 0.01629         NA      NA 0.97737        NA        NA 4.7535         NA        NA 4.77875        NA        NA          0.96315                   NA                   NA 0.0045958     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.62469 277.18257 278.06681       NA       NA  8.77131    8.46945    9.09565         NA         NA 277.85873 277.39305 278.32441       NA       NA  9.23884    8.92088    9.58046         NA         NA 0.97976     0.97763     0.98168          NA          NA      NA      NA     0          0          0 -0.23404   -0.32834    -0.13975      NA     NA 1.87076    1.80638    1.93994         NA         NA 0.99916        NA        NA 1.33093      NA      NA 3.55221      NA      NA 3.49743        NA        NA 1.88473       NA       NA -2.24008      NA      NA -1.27783      NA      NA -0.42415        NA      NA 0.4802        NA      NA 2.07126      NA      NA 1.75802       NA       NA 0.87432      NA      NA   0.95025       0.94511       0.95492            NA            NA 0.054776        NA      NA 0.95838        NA        NA 5.7015         NA        NA 6.00459        NA        NA          0.94946                   NA                   NA 0.0067831     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.3584  277.14607 277.57073       NA       NA 11.50576   11.35757   11.65791         NA         NA 277.42955 277.21645 277.64265       NA       NA 11.54745   11.39871   11.70014         NA         NA 0.98432     0.98374     0.98489          NA          NA      NA      NA     0          0          0 -0.071153  -0.10882    -0.033482     NA     NA 2.04135    2.01505    2.06834         NA         NA 0.99974        NA        NA 1.41179      NA      NA 4.17178      NA      NA 4.16672        NA        NA 2.04249       NA       NA -2.41096      NA      NA -1.12709      NA      NA -0.19828        NA      NA 0.89674       NA      NA 2.28333      NA      NA 2.02383       NA       NA 1.00947      NA      NA   0.91187       0.9087        0.91492            NA            NA 0.0050628       NA      NA 0.96871        NA        NA 4.76328        NA        NA 4.95304        NA        NA          0.91235                   NA                   NA 0.0073622     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.7705  275.55786 275.98314       NA       NA 11.52266   11.37425   11.67503         NA         NA 275.84612 275.63503 276.0572        NA       NA 11.43825   11.29092   11.5895          NA         NA 0.98367     0.98306     0.98426          NA          NA      NA      NA     0          0          0 -0.075615  -0.11393    -0.037295     NA     NA 2.07647    2.04973    2.10393         NA         NA 0.99973        NA        NA 1.34453      NA      NA 4.31708      NA      NA 4.31136        NA        NA 2.07776       NA       NA -2.36054      NA      NA -0.94867      NA      NA  0.079285       NA      NA 1.17429       NA      NA 2.49896      NA      NA 2.12296       NA       NA 1.06328      NA      NA   0.8942        0.89044       0.89784            NA            NA 0.0057176       NA      NA 0.967          NA        NA 4.68278        NA        NA 4.61392        NA        NA          0.9002                    NA                   NA 0.0075323     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.89585 291.82313 291.96857       NA       NA  2.98682    2.93628    3.03916         NA         NA 291.87726 291.80746 291.94705       NA       NA  2.86659    2.81808    2.91682         NA         NA 0.96714     0.96553     0.96868          NA          NA      NA      NA     0          0          0  0.018591   9.4021e-05  0.037088     NA     NA 0.75969    0.74683    0.773           NA         NA 1.00006        NA        NA 0.52967      NA      NA 0.57738      NA      NA 0.57704        NA        NA 0.75986       NA       NA -0.74904      NA      NA -0.36785      NA      NA  0.0071186      NA      NA 0.41144       NA      NA 0.84079      NA      NA 0.77929       NA       NA 0.3873       NA      NA   0.85409       0.84736       0.86054            NA            NA 0.00034562      NA      NA 0.92974        NA        NA 1.65027        NA        NA 1.57292        NA        NA          0.88994                   NA                   NA 0.0026033     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 263.31145 263.11879 263.50411       NA       NA  6.97843    6.84481    7.1174          NA         NA 263.42924 263.22711 263.63138       NA       NA  7.32173    7.18154    7.46754         NA         NA 0.93963     0.93632     0.94279          NA          NA      NA      NA     0          0          0 -0.1178    -0.18702    -0.048576     NA     NA 2.5073     2.45929    2.55723         NA         NA 0.99955        NA        NA 1.81225      NA      NA 6.29917      NA      NA 6.28529        NA        NA 2.50981       NA       NA -2.76013      NA      NA -1.29001      NA      NA -0.32209        NA      NA 1.07274       NA      NA 2.52319      NA      NA 2.36276       NA       NA 1.21349      NA      NA   0.91144       0.90664       0.916              NA            NA 0.013876        NA      NA 0.8825         NA        NA 5.80441        NA        NA 6.15486        NA        NA          0.91356                   NA                   NA 0.0095275     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 258.83752 258.62908 259.04596       NA       NA  7.5501     7.40554    7.70045         NA         NA 259.01078 258.7948  259.22676       NA       NA  7.82319    7.6734     7.97898         NA         NA 0.95846     0.95615     0.96065          NA          NA      NA      NA     0          0          0 -0.17326   -0.23488    -0.11164      NA     NA 2.23198    2.18924    2.27643         NA         NA 0.99933        NA        NA 1.72292      NA      NA 5.01075      NA      NA 4.98074        NA        NA 2.23847       NA       NA -2.79637      NA      NA -1.17007      NA      NA  0.24442        NA      NA 1.79939       NA      NA 3.11786      NA      NA 2.96945       NA       NA 1.47638      NA      NA   0.92324       0.91906       0.92721            NA            NA 0.030018        NA      NA 0.91813        NA        NA 6.10674        NA        NA 5.93036        NA        NA          0.93125                   NA                   NA 0.0086424     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 254.23862 253.7542  254.72303       NA       NA  9.69595    9.36511   10.0512          NA         NA 254.35091 253.87319 254.82862       NA       NA  9.56186    9.23559    9.9122          NA         NA 0.98213     0.98027     0.98381          NA          NA      NA      NA     0          0          0 -0.11229   -0.20349    -0.021093     NA     NA 1.82536    1.76307    1.89224         NA         NA 0.99956        NA        NA 1.33708      NA      NA 3.34238      NA      NA 3.32977        NA        NA 1.82822       NA       NA -2.31206      NA      NA -1.13346      NA      NA -0.059723       NA      NA 0.98669       NA      NA 2.07792      NA      NA 2.12015       NA       NA 1.06118      NA      NA   0.86643       0.85341       0.87837            NA            NA 0.012609        NA      NA 0.96344        NA        NA 3.57269        NA        NA 3.52634        NA        NA          0.86744                   NA                   NA 0.0071878     NA     NA
