VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL     ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25       E25_BCL E25_BCU E50        E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI         SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 279.97316 279.39296 280.55335       NA       NA 11.61299   11.21673   12.03848         NA         NA 280.11352 279.53215 280.69489       NA       NA 11.63656   11.2395    12.06291         NA         NA 0.99814     0.99794     0.99831          NA          NA      NA      NA     0          0          0 -0.14036   -0.17585   -0.10488       NA     NA 0.71024    0.686      0.73626         NA         NA 0.9995         NA        NA 0.54692      NA      NA 0.52381       NA      NA 0.50411         NA        NA 0.72375       NA       NA -0.90055      NA      NA -0.61163       NA      NA -0.21016        NA      NA 0.24109       NA      NA 0.6116       NA      NA 0.85272       NA       NA 0.41873      NA      NA   0.98874       0.98757       0.98981            NA            NA 0.019702        NA      NA 0.99613        NA        NA 4.57933        NA        NA 4.71514        NA        NA          0.9883                    NA                   NA 0.0025838      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.35305 282.97462 283.73147       NA       NA  8.25951    8.00033    8.53617         NA         NA 283.41677 283.04169 283.79184       NA       NA  8.18646    7.92957    8.46067         NA         NA 0.99903     0.99893     0.99911          NA          NA      NA      NA     0          0          0 -0.06372   -0.080683  -0.046756      NA     NA 0.37024    0.35862    0.38264         NA         NA 0.99978        NA        NA 0.28581      NA      NA 0.14106       NA      NA 0.137           NA        NA 0.37558       NA       NA -0.5072       NA      NA -0.29228       NA      NA -0.076193       NA      NA 0.14305       NA      NA 0.39047      NA      NA 0.43533       NA       NA 0.21826      NA      NA   0.9916        0.9908        0.99233            NA            NA 0.0040602       NA      NA 0.9979         NA        NA 2.85856        NA        NA 2.81732        NA        NA          0.99135                   NA                   NA 0.0013252      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.18604 279.67865 280.69342       NA       NA  7.08958    6.74804    7.4678          NA         NA 280.27304 279.77129 280.7748        NA       NA  7.01096    6.67321    7.38499         NA         NA 0.99824     0.99797     0.99848          NA          NA      NA      NA     0          0          0 -0.087008  -0.11747   -0.056549      NA     NA 0.4256     0.4051     0.44831         NA         NA 0.99969        NA        NA 0.32569      NA      NA 0.18847       NA      NA 0.1809          NA        NA 0.43413       NA       NA -0.66924      NA      NA -0.37252       NA      NA -0.081587       NA      NA 0.17127       NA      NA 0.41103      NA      NA 0.54379       NA       NA 0.26415      NA      NA   0.99389       0.99295       0.99471            NA            NA 0.0075704       NA      NA 0.99617        NA        NA 3.85442        NA        NA 3.76739        NA        NA          0.99377                   NA                   NA 0.0015489      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.11548 276.65113 277.57983       NA       NA  9.21238    8.89534    9.55302         NA         NA 277.16809 276.70554 277.63063       NA       NA  9.17662    8.86081    9.51594         NA         NA 0.99877     0.99864     0.99888          NA          NA      NA      NA     0          0          0 -0.052605  -0.075693  -0.029517      NA     NA 0.45805    0.44229    0.47499         NA         NA 0.99981        NA        NA 0.33419      NA      NA 0.21244       NA      NA 0.20967         NA        NA 0.46091       NA       NA -0.62408      NA      NA -0.31115       NA      NA -0.043002       NA      NA 0.18625       NA      NA 0.4198       NA      NA 0.4974        NA       NA 0.24663      NA      NA   0.99715       0.99684       0.99742            NA            NA 0.0027673       NA      NA 0.99748        NA        NA 6.09344        NA        NA 6.07789        NA        NA          0.99714                   NA                   NA 0.0016629      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.91392 276.69579 277.13204       NA       NA 11.81987   11.66763   11.97617         NA         NA 276.95548 276.73708 277.17388       NA       NA 11.83469   11.68225   11.99118         NA         NA 0.99892     0.99888     0.99896          NA          NA      NA      NA     0          0          0 -0.041558  -0.05172   -0.031395      NA     NA 0.55068    0.54359    0.55796         NA         NA 0.99985        NA        NA 0.39776      NA      NA 0.30495       NA      NA 0.30322         NA        NA 0.55222       NA       NA -0.64035      NA      NA -0.29676       NA      NA  0.013813       NA      NA 0.31442       NA      NA 0.67464      NA      NA 0.61118       NA       NA 0.30611      NA      NA   0.99314       0.99288       0.99339            NA            NA 0.001727        NA      NA 0.99782        NA        NA 4.70659        NA        NA 4.70294        NA        NA          0.99311                   NA                   NA 0.0019939      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.04433 275.8313  276.25737       NA       NA 11.54423   11.39554   11.69688         NA         NA 276.15789 275.94486 276.37093       NA       NA 11.54382   11.39513   11.69646         NA         NA 0.99906     0.99902     0.99909          NA          NA      NA      NA     0          0          0 -0.11356   -0.12281   -0.10431       NA     NA 0.50135    0.49489    0.50798         NA         NA 0.99959        NA        NA 0.35896      NA      NA 0.26423       NA      NA 0.25133         NA        NA 0.51403       NA       NA -0.70528      NA      NA -0.38348       NA      NA -0.10521        NA      NA 0.18426       NA      NA 0.52257      NA      NA 0.56774       NA       NA 0.28313      NA      NA   0.99406       0.99384       0.99428            NA            NA 0.012896        NA      NA 0.99802        NA        NA 4.76967        NA        NA 4.75656        NA        NA          0.99418                   NA                   NA 0.0018614      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.79026 291.71939 291.86112       NA       NA  2.91053    2.86127    2.96153         NA         NA 291.8423  291.77264 291.91197       NA       NA  2.86116    2.81274    2.91129         NA         NA 0.99181     0.9914      0.99219          NA          NA      NA      NA     0          0          0 -0.052047  -0.061122  -0.042973      NA     NA 0.3727     0.3664     0.37923         NA         NA 0.99982        NA        NA 0.27089      NA      NA 0.1416        NA      NA 0.13889         NA        NA 0.37629       NA       NA -0.45954      NA      NA -0.24114       NA      NA -0.056368       NA      NA 0.14394       NA      NA 0.36354      NA      NA 0.38508       NA       NA 0.19179      NA      NA   0.96516       0.96345       0.96679            NA            NA 0.0027089       NA      NA 0.9827         NA        NA 1.57726        NA        NA 1.60542        NA        NA          0.9722                    NA                   NA 0.0012894      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.37482 262.1988  262.55084       NA       NA  6.37561    6.25354    6.50258         NA         NA 262.34874 262.17196 262.52551       NA       NA  6.40313    6.28054    6.53065         NA         NA 0.99674     0.99656     0.99692          NA          NA      NA      NA     0          0          0  0.026084   0.011827   0.040341      NA     NA 0.5164     0.50652    0.52669         NA         NA 1.0001         NA        NA 0.39662      NA      NA 0.2673        NA      NA 0.26662         NA        NA 0.51701       NA       NA -0.53174      NA      NA -0.21311       NA      NA  0.11655        NA      NA 0.44148       NA      NA 0.79421      NA      NA 0.65459       NA       NA 0.32791      NA      NA   0.99539       0.99513       0.99564            NA            NA 0.00068037      NA      NA 0.99348        NA        NA 5.38912        NA        NA 5.34876        NA        NA          0.99539                   NA                   NA 0.0019707      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.20253 258.98627 259.4188        NA       NA  7.83346    7.68348    7.98946         NA         NA 259.33661 259.12009 259.55314       NA       NA  7.84275    7.69259    7.99893         NA         NA 0.99607     0.99585     0.99628          NA          NA      NA      NA     0          0          0 -0.13408   -0.15326   -0.1149        NA     NA 0.6947     0.6814     0.70854         NA         NA 0.99948        NA        NA 0.4856       NA      NA 0.5005        NA      NA 0.48252         NA        NA 0.70746       NA       NA -0.85806      NA      NA -0.46822       NA      NA -0.11463        NA      NA 0.29476       NA      NA 0.69454      NA      NA 0.76298       NA       NA 0.37957      NA      NA   0.99316       0.99277       0.99352            NA            NA 0.017977        NA      NA 0.99186        NA        NA 6.26808        NA        NA 6.1761         NA        NA          0.99364                   NA                   NA 0.0027279      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 254.27015 253.79983 254.74047       NA       NA  9.41377    9.09256    9.75869         NA         NA 254.37203 253.90235 254.84171       NA       NA  9.40098    9.08021    9.74543         NA         NA 0.99881     0.99869     0.99892          NA          NA      NA      NA     0          0          0 -0.10188   -0.1248    -0.078954      NA     NA 0.45882    0.44316    0.47563         NA         NA 0.9996         NA        NA 0.35207      NA      NA 0.22076       NA      NA 0.21038         NA        NA 0.46985       NA       NA -0.62607      NA      NA -0.35434       NA      NA -0.095095       NA      NA 0.17534       NA      NA 0.41985      NA      NA 0.52968       NA       NA 0.26626      NA      NA   0.99211       0.99129       0.99286            NA            NA 0.010379        NA      NA 0.9975         NA        NA 3.68918        NA        NA 3.62476        NA        NA          0.9919                    NA                   NA 0.0018471      NA     NA
