VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FABAR       OABAR     FOABAR   FFABAR   OOABAR   MAE
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SAL1L2     1539 -0.02714     0.11322  21.33948 20.97027 22.23251 0.54692
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SAL1L2     1830  0.00042779  0.064147  7.9838   8.17139  7.93729 0.28581
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SAL1L2      750  0.77524     0.86225  14.43063 14.85652 14.1932  0.32569
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SAL1L2     1512 -0.58859    -0.53599  36.92918 37.13001 36.9408  0.33419
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  0.1741      0.21565  21.98233 22.15195 22.11767 0.39776
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  1.2448      1.35836  22.55522 22.74976 22.62491 0.35896
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SAL1L2     6480  0.70811     0.76016   2.46177  2.48776  2.57737 0.27089
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SAL1L2     5040  0.30398     0.2779   28.6923  29.04264 28.60927 0.39662
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SAL1L2     5040  2.19361     2.32769  38.46626 39.28883 38.14419 0.4856
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SAL1L2     1539  0.65414     0.75602  13.2641  13.61008 13.13888 0.35207
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SAL1L2     1830 -1.43278    -1.3454   15.04371 15.1339  15.05917 0.24458
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SAL1L2      750 -0.21618    -0.17566   4.61615  4.68573  4.60894 0.18569
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SAL1L2     1512  0.83614     0.94669  27.6779  27.82086 27.64876 0.25705
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  0.5151      0.56736  14.91339 15.0607  14.89082 0.26136
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  0.65897     0.69767  18.90255 18.89916 19.03716 0.27797
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SAL1L2     6480  0.12405     0.13789   0.97191  1.0375   1.00161 0.241
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SAL1L2     5040  0.58338     0.60636  21.11197 21.17842 21.15662 0.25683
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SAL1L2     5040  1.27374     1.32728  21.7829  21.43785 22.33274 0.35336
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P250     t       K         P250    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SAL1L2     1539 -0.092893    0.042214 12.85791 12.98467 12.94546 0.35262
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P250     t       K         P250    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SAL1L2     1830 -0.34085    -0.27744   5.73615  5.68245  5.93546 0.27
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P250     t       K         P250    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SAL1L2      750 -0.89528    -0.92187   6.62985  6.72835  6.65076 0.24477
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P250     t       K         P250    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SAL1L2     1512  1.27724     1.2714   16.24153 16.25293 16.34831 0.26611
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P250     t       K         P250    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  0.76238     0.85042  14.05287 13.96706 14.3128  0.30178
