VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME          ME_NCL      ME_NCU      ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25       E25_BCL E25_BCU E50         E50_BCL E50_BCU E75       E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.20665 277.66479 278.74851       NA       NA 10.84574   10.47566   11.24312         NA         NA 278.39072 277.8469  278.93454       NA       NA 10.8849    10.51349   11.28371         NA         NA 0.99783     0.9976      0.99803          NA          NA      NA      NA     0          0          0 -0.18407    -0.2199     -0.14824        NA     NA 0.71711    0.69265    0.74339         NA         NA 0.99934        NA        NA 0.57282      NA      NA 0.5478       NA      NA 0.51392        NA        NA 0.74014       NA       NA -1.05607      NA      NA -0.64009       NA      NA -0.19844         NA      NA 0.25677        NA      NA 0.66097      NA      NA 0.89686       NA       NA 0.44766      NA      NA   0.98327       0.98152       0.98485            NA            NA 0.033883        NA      NA 0.99538        NA        NA 3.90718        NA        NA 3.93407        NA        NA          0.9822                    NA                   NA 0.0026586     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 282.78359 282.40238 283.16481       NA       NA  8.32046    8.05937    8.59917         NA         NA 282.85997 282.48623 283.2337        NA       NA  8.15717    7.9012     8.43041         NA         NA 0.99792     0.99772     0.9981           NA          NA      NA      NA     0          0          0 -0.076375   -0.10185    -0.050898       NA     NA 0.55608    0.53863    0.5747          NA         NA 0.99973        NA        NA 0.40361      NA      NA 0.31488      NA      NA 0.30905        NA        NA 0.56115       NA       NA -0.72242      NA      NA -0.37589       NA      NA -0.069352        NA      NA 0.22987        NA      NA 0.54626      NA      NA 0.60576       NA       NA 0.30341      NA      NA   0.98661       0.98533       0.98778            NA            NA 0.0058332       NA      NA 0.99527        NA        NA 3.40566        NA        NA 3.30034        NA        NA          0.98649                   NA                   NA 0.0019838     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.18681 279.65058 280.72304       NA       NA  7.49262    7.13167    7.89235         NA         NA 280.35613 279.82675 280.88551       NA       NA  7.39688    7.04055    7.7915          NA         NA 0.99657     0.99605     0.99703          NA          NA      NA      NA     0          0          0 -0.16932    -0.21395    -0.12469        NA     NA 0.62358    0.59354    0.65685         NA         NA 0.9994         NA        NA 0.4896       NA      NA 0.417        NA      NA 0.38833        NA        NA 0.64576       NA       NA -1.07696      NA      NA -0.52318       NA      NA -0.12507         NA      NA 0.25247        NA      NA 0.55942      NA      NA 0.77565       NA       NA 0.38476      NA      NA   0.98883       0.98712       0.99031            NA            NA 0.028669        NA      NA 0.99238        NA        NA 4.19628        NA        NA 4.09899        NA        NA          0.98815                   NA                   NA 0.0023033     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.27749 277.78226 278.77272       NA       NA  9.82503    9.48691   10.18833         NA         NA 278.43948 277.94368 278.93528       NA       NA  9.83639    9.49787   10.20011         NA         NA 0.99736     0.99708     0.99761          NA          NA      NA      NA     0          0          0 -0.16199    -0.19801    -0.12598        NA     NA 0.7145     0.68991    0.74092         NA         NA 0.99942        NA        NA 0.53312      NA      NA 0.53642      NA      NA 0.51018        NA        NA 0.73241       NA       NA -0.95375      NA      NA -0.5261        NA      NA -0.15573         NA      NA 0.24043        NA      NA 0.73963      NA      NA 0.76654       NA       NA 0.38216      NA      NA   0.99301       0.99227       0.99368            NA            NA 0.026241        NA      NA 0.99446        NA        NA 6.06578        NA        NA 6.06651        NA        NA          0.99271                   NA                   NA 0.0026304     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 276.8202  276.60666 277.03375       NA       NA 11.57154   11.4225    11.72456         NA         NA 276.90171 276.68778 277.11563       NA       NA 11.59221   11.4429    11.74549         NA         NA 0.9981      0.99803     0.99817          NA          NA      NA      NA     0          0          0 -0.081505   -0.094693   -0.068318       NA     NA 0.71461    0.70541    0.72406         NA         NA 0.99971        NA        NA 0.531        NA      NA 0.51727      NA      NA 0.51063        NA        NA 0.71922       NA       NA -0.87587      NA      NA -0.44205       NA      NA -0.052558        NA      NA 0.36725        NA      NA 0.82247      NA      NA 0.8093        NA       NA 0.40564      NA      NA   0.9884        0.98797       0.98882            NA            NA 0.0066431       NA      NA 0.99615        NA        NA 4.70735        NA        NA 4.67538        NA        NA          0.98827                   NA                   NA 0.0025974     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.90369 275.68996 276.11743       NA       NA 11.58203   11.43285   11.73518         NA         NA 276.02605 275.81447 276.23762       NA       NA 11.46485   11.31718   11.61646         NA         NA 0.99786     0.99778     0.99793          NA          NA      NA      NA     0          0          0 -0.12235    -0.13644    -0.10826        NA     NA 0.76361    0.75378    0.77371         NA         NA 0.99956        NA        NA 0.53284      NA      NA 0.59802      NA      NA 0.58305        NA        NA 0.77332       NA       NA -1.12773      NA      NA -0.54765       NA      NA -0.1001          NA      NA 0.31177        NA      NA 0.74518      NA      NA 0.85942       NA       NA 0.4273       NA      NA   0.98703       0.98655       0.9875             NA            NA 0.01497         NA      NA 0.99545        NA        NA 4.8992         NA        NA 4.88936        NA        NA          0.98752                   NA                   NA 0.0028016     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.76814 291.70327 291.83301       NA       NA  2.66418    2.61909    2.71086         NA         NA 291.75657 291.6937  291.81944       NA       NA  2.58209    2.53839    2.62733         NA         NA 0.98597     0.98528     0.98664          NA          NA      NA      NA     0          0          0  0.011571    0.00069058  0.022452       NA     NA 0.44688    0.43932    0.45471         NA         NA 1.00004        NA        NA 0.3241       NA      NA 0.19981      NA      NA 0.19967        NA        NA 0.447         NA       NA -0.47773      NA      NA -0.22964       NA      NA  0.002205        NA      NA 0.24996        NA      NA 0.53095      NA      NA 0.4796        NA       NA 0.23762      NA      NA   0.95026       0.94784       0.95257            NA            NA 0.00013389      NA      NA 0.97003        NA        NA 1.57405        NA        NA 1.55569        NA        NA          0.95927                   NA                   NA 0.0015321     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.67952 262.49965 262.85939       NA       NA  6.51513    6.39039    6.64487         NA         NA 262.63451 262.45361 262.8154        NA       NA  6.55229    6.42684    6.68278         NA         NA 0.99437     0.99405     0.99467          NA          NA      NA      NA     0          0          0  0.045014    0.02584     0.064187       NA     NA 0.69449    0.68119    0.70832         NA         NA 1.00017        NA        NA 0.52791      NA      NA 0.48425      NA      NA 0.48222        NA        NA 0.69588       NA       NA -0.78597      NA      NA -0.37084       NA      NA  0.03884         NA      NA 0.49293        NA      NA 0.92874      NA      NA 0.86377       NA       NA 0.42927      NA      NA   0.99197       0.99152       0.9924             NA            NA 0.0020262       NA      NA 0.98872        NA        NA 5.51581        NA        NA 5.45563        NA        NA          0.99201                   NA                   NA 0.0026496     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.04127 258.82055 259.26198       NA       NA  7.99479    7.84172    8.15401         NA         NA 259.34559 259.12768 259.5635        NA       NA  7.89306    7.74193    8.05024         NA         NA 0.99088     0.99037     0.99137          NA          NA      NA      NA     0          0          0 -0.30433    -0.33408    -0.27458        NA     NA 1.0776     1.05697    1.09906         NA         NA 0.99883        NA        NA 0.76151      NA      NA 1.25361      NA      NA 1.16099        NA        NA 1.11965       NA       NA -1.54391      NA      NA -0.75656       NA      NA -0.13342         NA      NA 0.35733        NA      NA 0.88074      NA      NA 1.11389       NA       NA 0.54956      NA      NA   0.98373       0.98282       0.9846             NA            NA 0.092616        NA      NA 0.97988        NA        NA 6.34423        NA        NA 6.31819        NA        NA          0.98437                   NA                   NA 0.0043172     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.95371 253.49639 254.41104       NA       NA  9.15373    8.84139    9.48911         NA         NA 253.95594 253.5034  254.40849       NA       NA  9.05808    8.74901    9.38996         NA         NA 0.99738     0.99711     0.99763          NA          NA      NA      NA     0          0          0 -0.0022317  -0.035492    0.031029       NA     NA 0.66574    0.64302    0.69013         NA         NA 0.99999        NA        NA 0.48683      NA      NA 0.44292      NA      NA 0.44292        NA        NA 0.66552       NA       NA -0.79433      NA      NA -0.39396       NA      NA -0.02388         NA      NA 0.34915        NA      NA 0.756        NA      NA 0.74311       NA       NA 0.37211      NA      NA   0.98161       0.9797        0.98335            NA            NA 4.9807e-06      NA      NA 0.9946         NA        NA 3.57373        NA        NA 3.54282        NA        NA          0.98255                   NA                   NA 0.0026206     NA     NA
