VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL      ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25       E25_BCL E25_BCU E50        E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.71205 280.14536 281.27875       NA       NA 11.3428    10.95576   11.75839         NA         NA 280.65061 280.08787 281.21336       NA       NA 11.26381   10.87947   11.6765          NA         NA 0.99568     0.99523     0.99609          NA          NA      NA      NA     0          0          0  0.061439   0.0088026   0.11407       NA     NA 1.05355    1.0176     1.09215         NA         NA 1.00022        NA        NA 0.8077       NA      NA 1.11302      NA      NA 1.10925        NA        NA 1.055         NA       NA -1.36254      NA      NA -0.6487        NA      NA  0.035795       NA      NA 0.67382       NA      NA 1.28237      NA      NA 1.32252       NA       NA 0.65683      NA      NA   0.96044       0.95637       0.96414            NA            NA 0.0037747       NA      NA 0.99123        NA        NA 3.61899        NA        NA 3.80527        NA        NA          0.96085                   NA                   NA 0.0037591     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.13471 282.76477 283.50465       NA       NA  8.07431    7.82094    8.34477         NA         NA 283.27084 282.90827 283.6334        NA       NA  7.9134     7.66508    8.17847         NA         NA 0.99584     0.99544     0.9962           NA          NA      NA      NA     0          0          0 -0.13612   -0.17034    -0.10191       NA     NA 0.74674    0.72331    0.77175         NA         NA 0.99952        NA        NA 0.51177      NA      NA 0.57585      NA      NA 0.55732        NA        NA 0.75885       NA       NA -1.01335      NA      NA -0.4984        NA      NA -0.093581       NA      NA 0.2345        NA      NA 0.5895       NA      NA 0.7329        NA       NA 0.3572       NA      NA   0.98169       0.97995       0.98329            NA            NA 0.01853         NA      NA 0.9908         NA        NA 3.90942        NA        NA 3.89664        NA        NA          0.9811                    NA                   NA 0.0026789     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.55966 279.98345 281.13588       NA       NA  8.05128    7.66341    8.48081         NA         NA 280.63343 280.06135 281.2055        NA       NA  7.99352    7.60844    8.41997         NA         NA 0.99675     0.99625     0.99718          NA          NA      NA      NA     0          0          0 -0.073762  -0.12023    -0.027294      NA     NA 0.64929    0.61801    0.68393         NA         NA 0.99974        NA        NA 0.49975      NA      NA 0.42646      NA      NA 0.42101        NA        NA 0.65304       NA       NA -0.95159      NA      NA -0.45846       NA      NA -0.034184       NA      NA 0.35451       NA      NA 0.77848      NA      NA 0.81298       NA       NA 0.4033       NA      NA   0.98887       0.98717       0.99035            NA            NA 0.0054408       NA      NA 0.99333        NA        NA 4.33766        NA        NA 4.14909        NA        NA          0.98914                   NA                   NA 0.002327      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.05558 276.57853 277.53263       NA       NA  9.46444    9.13873    9.81441         NA         NA 277.29684 276.81627 277.77742       NA       NA  9.5343     9.20618    9.88685         NA         NA 0.99566     0.9952      0.99608          NA          NA      NA      NA     0          0          0 -0.24126   -0.286      -0.19652       NA     NA 0.88763    0.85708    0.92045         NA         NA 0.99913        NA        NA 0.68485      NA      NA 0.84558      NA      NA 0.78737        NA        NA 0.91955       NA       NA -1.34439      NA      NA -0.70912       NA      NA -0.21992        NA      NA 0.26189       NA      NA 0.85439      NA      NA 0.97101       NA       NA 0.48525      NA      NA   0.99035       0.98933       0.99127            NA            NA 0.058208        NA      NA 0.9907         NA        NA 6.44835        NA        NA 6.3742         NA        NA          0.98978                   NA                   NA 0.0033161     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.1413  276.92568 277.35693       NA       NA 11.68428   11.53378   11.83878         NA         NA 277.17006 276.95378 277.38634       NA       NA 11.72004   11.56908   11.87501         NA         NA 0.99664     0.99651     0.99676          NA          NA      NA      NA     0          0          0 -0.028756  -0.046472   -0.011039      NA     NA 0.96003    0.94766    0.97272         NA         NA 0.9999         NA        NA 0.70454      NA      NA 0.9224       NA      NA 0.92157        NA        NA 0.96042       NA       NA -1.03791      NA      NA -0.46658       NA      NA  0.04629        NA      NA 0.57047       NA      NA 1.22161      NA      NA 1.03706       NA       NA 0.51839      NA      NA   0.98015       0.97941       0.98086            NA            NA 0.00082688      NA      NA 0.99328        NA        NA 4.82717        NA        NA 4.82441        NA        NA          0.9802                    NA                   NA 0.0034651     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.83859 275.6235  276.05367       NA       NA 11.65502   11.5049    11.80914         NA         NA 276.00461 275.79128 276.21795       NA       NA 11.56047   11.41157   11.71334         NA         NA 0.99642     0.99628     0.99655          NA          NA      NA      NA     0          0          0 -0.16603   -0.18425    -0.14781       NA     NA 0.98722    0.97451    1.00028         NA         NA 0.9994         NA        NA 0.68496      NA      NA 1.00209      NA      NA 0.97453        NA        NA 1.00104       NA       NA -1.39474      NA      NA -0.72159       NA      NA -0.16942        NA      NA 0.32457       NA      NA 0.94673      NA      NA 1.04615       NA       NA 0.52412      NA      NA   0.97868       0.97789       0.97944            NA            NA 0.027565        NA      NA 0.9925         NA        NA 4.92632        NA        NA 4.90396        NA        NA          0.97927                   NA                   NA 0.0036269     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.80606 291.73392 291.8782        NA       NA  2.96298    2.91284    3.0149          NA         NA 291.84267 291.77236 291.91298       NA       NA  2.88776    2.83889    2.93836         NA         NA 0.9809      0.97996     0.9818           NA          NA      NA      NA     0          0          0 -0.036612  -0.05065    -0.022574      NA     NA 0.57657    0.56681    0.58667         NA         NA 0.99987        NA        NA 0.39536      NA      NA 0.33372      NA      NA 0.33238        NA        NA 0.57769       NA       NA -0.63353      NA      NA -0.30748       NA      NA -0.028771       NA      NA 0.24963       NA      NA 0.55317      NA      NA 0.55711       NA       NA 0.27861      NA      NA   0.91231       0.90814       0.91631            NA            NA 0.0013404       NA      NA 0.95998        NA        NA 1.56435        NA        NA 1.55939        NA        NA          0.9316                    NA                   NA 0.0019794     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.98557 262.80207 263.16907       NA       NA  6.64666    6.51939    6.77902         NA         NA 262.85458 262.66667 263.04248       NA       NA  6.80612    6.67581    6.94166         NA         NA 0.98881     0.98818     0.98941          NA          NA      NA      NA     0          0          0  0.13099    0.10287     0.15912       NA     NA 1.01883    0.99932    1.03911         NA         NA 1.0005         NA        NA 0.77967      NA      NA 1.05496      NA      NA 1.0378         NA        NA 1.02711       NA       NA -0.85376      NA      NA -0.29597       NA      NA  0.17299        NA      NA 0.73486       NA      NA 1.48457      NA      NA 1.03083       NA       NA 0.51204      NA      NA   0.98399       0.98309       0.98484            NA            NA 0.01716         NA      NA 0.97723        NA        NA 5.70908        NA        NA 5.74254        NA        NA          0.98393                   NA                   NA 0.0039075     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 258.84146 258.62389 259.05904       NA       NA  7.8809     7.73001    8.03785         NA         NA 259.18321 258.96644 259.39997       NA       NA  7.85171    7.70137    8.00807         NA         NA 0.98641     0.98565     0.98714          NA          NA      NA      NA     0          0          0 -0.34175   -0.37755    -0.30594       NA     NA 1.29703    1.2722     1.32286         NA         NA 0.99868        NA        NA 0.94774      NA      NA 1.79875      NA      NA 1.68196        NA        NA 1.34118       NA       NA -1.80287      NA      NA -0.93612       NA      NA -0.27204        NA      NA 0.39175       NA      NA 1.07147      NA      NA 1.32787       NA       NA 0.66414      NA      NA   0.97627       0.97494       0.97753            NA            NA 0.11679         NA      NA 0.97082        NA        NA 6.24762        NA        NA 6.09578        NA        NA          0.97669                   NA                   NA 0.0051746     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 254.3434  253.86867 254.81812       NA       NA  9.50197    9.17775    9.85012         NA         NA 254.18924 253.71588 254.6626        NA       NA  9.47471    9.15142    9.82186         NA         NA 0.99695     0.99663     0.99724          NA          NA      NA      NA     0          0          0  0.15416    0.1171      0.19121       NA     NA 0.7417     0.71639    0.76888         NA         NA 1.00061        NA        NA 0.56148      NA      NA 0.57353      NA      NA 0.54977        NA        NA 0.75732       NA       NA -0.74829      NA      NA -0.28515       NA      NA  0.14734        NA      NA 0.55278       NA      NA 0.99149      NA      NA 0.83793       NA       NA 0.4191       NA      NA   0.97615       0.97367       0.97839            NA            NA 0.023764        NA      NA 0.99361        NA        NA 3.43649        NA        NA 3.42711        NA        NA          0.97565                   NA                   NA 0.0029793     NA     NA
