VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL     ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50         E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 281.88302 281.32384 282.44219       NA       NA 11.19228   10.81038   11.60236         NA         NA 281.78922 281.23106 282.34737       NA       NA 11.17192   10.79072   11.58125         NA         NA 0.98491     0.98334     0.98634          NA          NA      NA      NA     0          0          0  0.093803  -0.0032541  0.19086       NA     NA 1.94266    1.87638    2.01384         NA         NA 1.00033        NA        NA 1.41734      NA      NA 3.78029      NA      NA 3.77149        NA        NA 1.9443        NA       NA -2.08399      NA      NA -1.14986      NA      NA -0.00033451      NA      NA 1.06265       NA      NA 2.21497      NA      NA 2.21251       NA       NA 1.10412      NA      NA   0.87266       0.8602        0.88408            NA            NA 0.008799        NA      NA 0.96971        NA        NA 3.84371        NA        NA 4.14231        NA        NA          0.88409                   NA                   NA 0.0068998     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.42957 283.09367 283.76547       NA       NA  7.33138    7.10133    7.57696         NA         NA 283.3296  283.00026 283.65894       NA       NA  7.18825    6.96268    7.42903         NA         NA 0.98694     0.9857      0.98808          NA          NA      NA      NA     0          0          0  0.099976   0.045831   0.15412       NA     NA 1.18179    1.1447     1.22137         NA         NA 1.00035        NA        NA 0.81909      NA      NA 1.40585      NA      NA 1.39586        NA        NA 1.18569       NA       NA -1.40498      NA      NA -0.45124      NA      NA  0.20635         NA      NA 0.67725       NA      NA 1.27355      NA      NA 1.12849       NA       NA 0.55088      NA      NA   0.92793       0.92128       0.93404            NA            NA 0.0099952       NA      NA 0.97279        NA        NA 3.0954         NA        NA 3.13724        NA        NA          0.92771                   NA                   NA 0.0041848     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 282.27438 281.65032 282.89845       NA       NA  8.71995    8.29988    9.18516         NA         NA 282.30543 281.71087 282.89999       NA       NA  8.30764    7.90742    8.75084         NA         NA 0.984       0.98156     0.98612          NA          NA      NA      NA     0          0          0 -0.031042  -0.14393    0.081842      NA     NA 1.57729    1.50131    1.66144         NA         NA 0.99989        NA        NA 1.16822      NA      NA 2.4855       NA      NA 2.48454        NA        NA 1.57655       NA       NA -2.08869      NA      NA -1.29458      NA      NA -0.15643         NA      NA 0.82278       NA      NA 1.76107      NA      NA 2.11736       NA       NA 1.04334      NA      NA   0.92868       0.91814       0.93792            NA            NA 0.00096358      NA      NA 0.96399        NA        NA 4.91543        NA        NA 4.56237        NA        NA          0.94736                   NA                   NA 0.0055845     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.61615 277.19154 278.04077       NA       NA  8.42415    8.13423    8.73565         NA         NA 278.00639 277.58627 278.4265        NA       NA  8.3348     8.04796    8.643           NA         NA 0.97971     0.97758     0.98164          NA          NA      NA      NA     0          0          0 -0.39023   -0.47543   -0.30503       NA     NA 1.69034    1.63217    1.75284         NA         NA 0.9986         NA        NA 1.21         NA      NA 3.00763      NA      NA 2.85535        NA        NA 1.73425       NA       NA -2.39541      NA      NA -1.20065      NA      NA -0.29043         NA      NA 0.48499       NA      NA 1.54201      NA      NA 1.68565       NA       NA 0.85085      NA      NA   0.95415       0.9494        0.95846            NA            NA 0.15228         NA      NA 0.95671        NA        NA 5.47144        NA        NA 5.64055        NA        NA          0.95174                   NA                   NA 0.0062382     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.57244 277.3601  277.78477       NA       NA 11.50619   11.35799   11.65834         NA         NA 277.66919 277.45532 277.88307       NA       NA 11.58943   11.44016   11.74268         NA         NA 0.98838     0.98794     0.9888           NA          NA      NA      NA     0          0          0 -0.096757  -0.12928   -0.064231      NA     NA 1.76256    1.73986    1.78586         NA         NA 0.99965        NA        NA 1.25313      NA      NA 3.1157       NA      NA 3.10634        NA        NA 1.76513       NA       NA -1.97914      NA      NA -1.05851      NA      NA -0.096315        NA      NA 0.87889       NA      NA 2.19848      NA      NA 1.9374        NA       NA 0.96936      NA      NA   0.92706       0.92442       0.92961            NA            NA 0.009362        NA      NA 0.9768         NA        NA 4.60612        NA        NA 4.66797        NA        NA          0.92764                   NA                   NA 0.006357      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.6105  275.39079 275.83021       NA       NA 11.90572   11.75238   12.06316         NA         NA 275.74972 275.53199 275.96745       NA       NA 11.79845   11.64649   11.95446         NA         NA 0.98656     0.98606     0.98704          NA          NA      NA      NA     0          0          0 -0.13922   -0.17513   -0.1033        NA     NA 1.94619    1.92113    1.97193         NA         NA 0.9995         NA        NA 1.33972      NA      NA 3.80672      NA      NA 3.78734        NA        NA 1.95108       NA       NA -2.3611       NA      NA -1.05122      NA      NA  0.045807        NA      NA 0.99122       NA      NA 2.12116      NA      NA 2.04244       NA       NA 1.01235      NA      NA   0.89268       0.88887       0.89637            NA            NA 0.019381        NA      NA 0.97265        NA        NA 4.33275        NA        NA 4.3288         NA        NA          0.89852                   NA                   NA 0.0070756     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.88425 291.81133 291.95717       NA       NA  2.99488    2.94419    3.04735         NA         NA 291.90172 291.83209 291.97134       NA       NA  2.85963    2.81123    2.90973         NA         NA 0.96631     0.96466     0.96789          NA          NA      NA      NA     0          0          0 -0.017467  -0.036253   0.0013179     NA     NA 0.77154    0.75848    0.78506         NA         NA 0.99994        NA        NA 0.51924      NA      NA 0.59549      NA      NA 0.59518        NA        NA 0.77168       NA       NA -0.76698      NA      NA -0.37063      NA      NA -0.020136        NA      NA 0.36673       NA      NA 0.80653      NA      NA 0.73735       NA       NA 0.36798      NA      NA   0.85458       0.84788       0.86102            NA            NA 0.00030511      NA      NA 0.92718        NA        NA 1.67006        NA        NA 1.59465        NA        NA          0.88927                   NA                   NA 0.0026436     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 263.47124 263.27368 263.66881       NA       NA  7.15618    7.01916    7.29869         NA         NA 263.27237 263.06343 263.4813        NA       NA  7.56806    7.42316    7.71878         NA         NA 0.96469     0.96272     0.96656          NA          NA      NA      NA     0          0          0  0.19888    0.1437     0.25406       NA     NA 1.99857    1.96031    2.03837         NA         NA 1.00076        NA        NA 1.47332      NA      NA 4.03306      NA      NA 3.9935         NA        NA 2.00825       NA       NA -1.92984      NA      NA -1.02844      NA      NA  0.12932         NA      NA 1.27209       NA      NA 2.68611      NA      NA 2.30053       NA       NA 1.14975      NA      NA   0.94271       0.93956       0.94571            NA            NA 0.039553        NA      NA 0.92959        NA        NA 5.89805        NA        NA 5.98827        NA        NA          0.94302                   NA                   NA 0.007628      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 257.92349 257.69573 258.15124       NA       NA  8.24955    8.0916     8.41383         NA         NA 258.09183 257.86102 258.32265       NA       NA  8.36051    8.20044    8.52701         NA         NA 0.9716      0.97001     0.97311          NA          NA      NA      NA     0          0          0 -0.16835   -0.22307   -0.11362       NA     NA 1.98227    1.94432    2.02175         NA         NA 0.99935        NA        NA 1.49778      NA      NA 3.95697      NA      NA 3.92863        NA        NA 1.98921       NA       NA -2.30883      NA      NA -1.05746      NA      NA  0.14507         NA      NA 1.29475       NA      NA 2.24282      NA      NA 2.35221       NA       NA 1.17825      NA      NA   0.92824       0.92431       0.93196            NA            NA 0.028341        NA      NA 0.94339        NA        NA 5.38311        NA        NA 5.33647        NA        NA          0.93117                   NA                   NA 0.0077074     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 254.99861 254.54452 255.45271       NA       NA  9.08904    8.77891    9.42206         NA         NA 254.96763 254.50993 255.42534       NA       NA  9.16134    8.84874    9.497           NA         NA 0.98725     0.98592     0.98846          NA          NA      NA      NA     0          0          0  0.03098   -0.041905   0.10386       NA     NA 1.45885    1.40907    1.5123          NA         NA 1.00012        NA        NA 1.07568      NA      NA 2.12781      NA      NA 2.12685        NA        NA 1.4587        NA       NA -1.73516      NA      NA -0.78591      NA      NA  0.089426        NA      NA 0.92715       NA      NA 1.74949      NA      NA 1.71306       NA       NA 0.84623      NA      NA   0.90724       0.89798       0.91569            NA            NA 0.00095975      NA      NA 0.97465        NA        NA 3.46927        NA        NA 3.53662        NA        NA          0.91347                   NA                   NA 0.0057211     NA     NA
