VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME          ME_NCL      ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25       E25_BCL E25_BCU E50        E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI         SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 280.72531 280.15891 281.2917        NA       NA 11.33682   10.94999   11.75219         NA         NA 280.65061 280.08787 281.21336       NA       NA 11.26381   10.87947   11.6765          NA         NA 0.99804     0.99784     0.99823          NA          NA      NA      NA     0          0          0  0.074693    0.03919     0.1102        NA     NA 0.71062    0.68637    0.73665         NA         NA 1.00027        NA        NA 0.53883      NA      NA 0.51023       NA      NA 0.50465         NA        NA 0.7143        NA       NA -0.84394      NA      NA -0.38674       NA      NA  0.051214       NA      NA 0.4718        NA      NA 0.84942      NA      NA 0.85855       NA       NA 0.42701      NA      NA   0.98239       0.98055       0.98405            NA            NA 0.005579        NA      NA 0.99598        NA        NA 3.67091        NA        NA 3.80527        NA        NA          0.98238                   NA                   NA 0.0025452      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.18701 282.82227 283.55175       NA       NA  7.96091    7.7111     8.22757         NA         NA 283.27084 282.90827 283.6334        NA       NA  7.9134     7.66508    8.17847         NA         NA 0.99887     0.99876     0.99897          NA          NA      NA      NA     0          0          0 -0.083822   -0.10122    -0.066421      NA     NA 0.3798     0.36788    0.39252         NA         NA 0.9997         NA        NA 0.29025      NA      NA 0.1512        NA      NA 0.14417         NA        NA 0.38884       NA       NA -0.52668      NA      NA -0.29783       NA      NA -0.094259       NA      NA 0.11423       NA      NA 0.36745      NA      NA 0.41206       NA       NA 0.20698      NA      NA   0.99525       0.99479       0.99566            NA            NA 0.0070261       NA      NA 0.99759        NA        NA 3.89378        NA        NA 3.89664        NA        NA          0.99502                   NA                   NA 0.0013727      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 280.67344 280.09661 281.25026       NA       NA  8.05979    7.67152    8.48978         NA         NA 280.63343 280.06135 281.2055        NA       NA  7.99352    7.60844    8.41997         NA         NA 0.99891     0.99874     0.99905          NA          NA      NA      NA     0          0          0  0.04001     0.01273     0.06729       NA     NA 0.38118    0.36282    0.40152         NA         NA 1.00014        NA        NA 0.29842      NA      NA 0.14671       NA      NA 0.14511         NA        NA 0.38302       NA       NA -0.4458       NA      NA -0.22694       NA      NA  0.019494       NA      NA 0.29716       NA      NA 0.4914       NA      NA 0.5241        NA       NA 0.2559       NA      NA   0.99577       0.99511       0.99633            NA            NA 0.0016008       NA      NA 0.9977         NA        NA 4.23908        NA        NA 4.14909        NA        NA          0.99606                   NA                   NA 0.0013648      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.24272 276.76448 277.72096       NA       NA  9.48802    9.16149    9.83886         NA         NA 277.29684 276.81627 277.77742       NA       NA  9.5343     9.20618    9.88685         NA         NA 0.99857     0.99841     0.9987           NA          NA      NA      NA     0          0          0 -0.054121   -0.079895   -0.028347      NA     NA 0.51134    0.49374    0.53025         NA         NA 0.9998         NA        NA 0.37225      NA      NA 0.26422       NA      NA 0.2613          NA        NA 0.51403       NA       NA -0.65788      NA      NA -0.33072       NA      NA -0.058002       NA      NA 0.23072       NA      NA 0.53582      NA      NA 0.56144       NA       NA 0.28378      NA      NA   0.99676       0.99642       0.99707            NA            NA 0.0029291       NA      NA 0.99709        NA        NA 6.34125        NA        NA 6.3742         NA        NA          0.99674                   NA                   NA 0.0018537      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.17943 276.96344 277.39541       NA       NA 11.70386   11.55311   11.85862         NA         NA 277.17006 276.95378 277.38634       NA       NA 11.72004   11.56908   11.87501         NA         NA 0.99893     0.99889     0.99897          NA          NA      NA      NA     0          0          0  0.009369   -0.00061527  0.019353      NA     NA 0.54103    0.53406    0.54819         NA         NA 1.00003        NA        NA 0.39048      NA      NA 0.29278       NA      NA 0.29269         NA        NA 0.54109       NA       NA -0.57312      NA      NA -0.2366        NA      NA  0.057897       NA      NA 0.38934       NA      NA 0.73163      NA      NA 0.62594       NA       NA 0.31449      NA      NA   0.99367       0.99343       0.9939             NA            NA 8.7778e-05      NA      NA 0.99787        NA        NA 4.79186        NA        NA 4.82441        NA        NA          0.99369                   NA                   NA 0.0019522      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.90836 275.69525 276.12147       NA       NA 11.5481    11.39935   11.7008          NA         NA 276.00461 275.79128 276.21795       NA       NA 11.56047   11.41157   11.71334         NA         NA 0.99911     0.99907     0.99914          NA          NA      NA      NA     0          0          0 -0.096258   -0.10528    -0.087235      NA     NA 0.48894    0.48264    0.49541         NA         NA 0.99965        NA        NA 0.34929      NA      NA 0.24831       NA      NA 0.23904         NA        NA 0.49831       NA       NA -0.64892      NA      NA -0.34274       NA      NA -0.084703       NA      NA 0.18112       NA      NA 0.48112      NA      NA 0.52386       NA       NA 0.26225      NA      NA   0.99474       0.99454       0.99493            NA            NA 0.0092657       NA      NA 0.99814        NA        NA 4.91351        NA        NA 4.90396        NA        NA          0.99485                   NA                   NA 0.0018054      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.77322 291.70269 291.84374       NA       NA  2.89657    2.84755    2.94733         NA         NA 291.84267 291.77236 291.91298       NA       NA  2.88776    2.83889    2.93836         NA         NA 0.99262     0.99225     0.99297          NA          NA      NA      NA     0          0          0 -0.069455   -0.078015   -0.060895      NA     NA 0.35157    0.34562    0.35773         NA         NA 0.99976        NA        NA 0.24519      NA      NA 0.12841       NA      NA 0.12359         NA        NA 0.35834       NA       NA -0.44068      NA      NA -0.23759       NA      NA -0.057278       NA      NA 0.1034        NA      NA 0.28229      NA      NA 0.341         NA       NA 0.17031      NA      NA   0.96661       0.96497       0.96817            NA            NA 0.0048241       NA      NA 0.9846         NA        NA 1.52236        NA        NA 1.55939        NA        NA          0.97324                   NA                   NA 0.0012279      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 262.89685 262.71302 263.08069       NA       NA  6.65869    6.5312     6.79129         NA         NA 262.85458 262.66667 263.04248       NA       NA  6.80612    6.67581    6.94166         NA         NA 0.99628     0.99607     0.99648          NA          NA      NA      NA     0          0          0  0.042277    0.02573     0.058824      NA     NA 0.59937    0.58789    0.61131         NA         NA 1.00016        NA        NA 0.45953      NA      NA 0.36096       NA      NA 0.35917         NA        NA 0.6008        NA       NA -0.54181      NA      NA -0.17748       NA      NA  0.17779        NA      NA 0.54389       NA      NA 0.82908      NA      NA 0.72137       NA       NA 0.36043      NA      NA   0.9945        0.99419       0.9948             NA            NA 0.0017873       NA      NA 0.99221        NA        NA 5.67752        NA        NA 5.74254        NA        NA          0.99453                   NA                   NA 0.0022857      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 259.09805 258.88294 259.31317       NA       NA  7.79168    7.6425     7.94685         NA         NA 259.18321 258.96644 259.39997       NA       NA  7.85171    7.70137    8.00807         NA         NA 0.99651     0.99632     0.9967           NA          NA      NA      NA     0          0          0 -0.085152   -0.10326    -0.067046      NA     NA 0.65583    0.64327    0.66889         NA         NA 0.99967        NA        NA 0.45482      NA      NA 0.43728       NA      NA 0.43003         NA        NA 0.66127       NA       NA -0.76083      NA      NA -0.37356       NA      NA -0.068117       NA      NA 0.26931       NA      NA 0.61452      NA      NA 0.64287       NA       NA 0.32129      NA      NA   0.99356       0.9932        0.99391            NA            NA 0.0072508       NA      NA 0.99291        NA        NA 6.15364        NA        NA 6.09578        NA        NA          0.99422                   NA                   NA 0.0025514      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 254.23856 253.76774 254.70938       NA       NA  9.42376    9.1022     9.76903         NA         NA 254.18924 253.71588 254.6626        NA       NA  9.47471    9.15142    9.82186         NA         NA 0.99904     0.99894     0.99913          NA          NA      NA      NA     0          0          0  0.049317    0.028473    0.070161      NA     NA 0.41721    0.40297    0.4325          NA         NA 1.00019        NA        NA 0.33064      NA      NA 0.17638       NA      NA 0.17395         NA        NA 0.41998       NA       NA -0.50894      NA      NA -0.19831       NA      NA  0.071118       NA      NA 0.3212        NA      NA 0.56283      NA      NA 0.5195        NA       NA 0.26009      NA      NA   0.99246       0.99167       0.99317            NA            NA 0.0024322       NA      NA 0.99804        NA        NA 3.39748        NA        NA 3.42711        NA        NA          0.99246                   NA                   NA 0.0016522      NA     NA
