VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL     ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50         E50_BCL E50_BCU E75        E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 278.91778 278.37883 279.45674       NA       NA 10.78756   10.41947   11.18281         NA         NA 278.99281 278.456   279.52962       NA       NA 10.74469   10.37807   11.13837         NA         NA 0.99742     0.99715     0.99767          NA          NA      NA      NA     0          0          0 -0.075027  -0.11372   -0.036336      NA     NA 0.77444    0.74801    0.80281         NA         NA 0.99973        NA        NA 0.59382      NA      NA 0.60499       NA      NA 0.59936         NA        NA 0.77781       NA       NA -1.02297      NA      NA -0.5733       NA      NA -0.12614         NA      NA  0.34376        NA      NA 0.81491      NA      NA 0.91706       NA       NA 0.46069      NA      NA   0.97756       0.97523       0.97968            NA            NA 0.0056291       NA      NA 0.99476        NA        NA 3.535          NA        NA 3.71059        NA        NA          0.97811                   NA                   NA 0.0027879     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 282.70513 282.36721 283.04305       NA       NA  7.3755     7.14406    7.62256         NA         NA 282.77418 282.44062 283.10773       NA       NA  7.28026    7.05181    7.52412         NA         NA 0.99663     0.99631     0.99693          NA          NA      NA      NA     0          0          0 -0.069044  -0.096947  -0.041141      NA     NA 0.60902    0.58991    0.62942         NA         NA 0.99976        NA        NA 0.42066      NA      NA 0.37547       NA      NA 0.37071         NA        NA 0.61276       NA       NA -0.7397       NA      NA -0.3623       NA      NA -0.043555        NA      NA  0.24427        NA      NA 0.56551      NA      NA 0.60658       NA       NA 0.30197      NA      NA   0.98817       0.98704       0.9892             NA            NA 0.0047671       NA      NA 0.99292        NA        NA 3.96504        NA        NA 3.85452        NA        NA          0.98812                   NA                   NA 0.002167      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 281.05878 280.45702 281.66055       NA       NA  8.40827    8.0032     8.85684         NA         NA 281.12997 280.53824 281.7217        NA       NA  8.26815    7.86984    8.70926         NA         NA 0.99821     0.99793     0.99845          NA          NA      NA      NA     0          0          0 -0.071186  -0.10828   -0.034089      NA     NA 0.51834    0.49337    0.546           NA         NA 0.99975        NA        NA 0.40867      NA      NA 0.27339       NA      NA 0.26832         NA        NA 0.52287       NA       NA -0.76546      NA      NA -0.48722      NA      NA -0.11162         NA      NA  0.22321        NA      NA 0.53385      NA      NA 0.71043       NA       NA 0.35409      NA      NA   0.99319       0.99214       0.9941             NA            NA 0.0050674       NA      NA 0.996          NA        NA 4.62706        NA        NA 4.55401        NA        NA          0.99364                   NA                   NA 0.0018599     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 278.59508 278.0893  279.10086       NA       NA 10.03432    9.68899   10.40536         NA         NA 278.72196 278.21    279.23392       NA       NA 10.15692    9.80737   10.53249         NA         NA 0.99615     0.99574     0.99652          NA          NA      NA      NA     0          0          0 -0.12688   -0.17197   -0.081792      NA     NA 0.8945     0.86371    0.92757         NA         NA 0.99954        NA        NA 0.65637      NA      NA 0.8157        NA      NA 0.7996          NA        NA 0.90316       NA       NA -1.32553      NA      NA -0.6235       NA      NA -0.087351        NA      NA  0.39128        NA      NA 0.92456      NA      NA 1.01477       NA       NA 0.50499      NA      NA   0.98915       0.988         0.99019            NA            NA 0.016098        NA      NA 0.99209        NA        NA 5.75939        NA        NA 5.98497        NA        NA          0.98891                   NA                   NA 0.0032404     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.09598 276.88416 277.30781       NA       NA 11.47828   11.33044   11.63006         NA         NA 277.167   276.95435 277.37964       NA       NA 11.52291   11.37449   11.67528         NA         NA 0.99782     0.99774     0.9979           NA          NA      NA      NA     0          0          0 -0.071012  -0.085055  -0.056969      NA     NA 0.76097    0.75117    0.77103         NA         NA 0.99974        NA        NA 0.56194      NA      NA 0.58407       NA      NA 0.57902         NA        NA 0.76424       NA       NA -0.93552      NA      NA -0.46329      NA      NA -0.057924        NA      NA  0.39311        NA      NA 0.91394      NA      NA 0.85641       NA       NA 0.42606      NA      NA   0.98784       0.98738       0.98828            NA            NA 0.0050428       NA      NA 0.9956         NA        NA 4.83281        NA        NA 4.90971        NA        NA          0.98782                   NA                   NA 0.0027573     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.72497 275.51369 275.93624       NA       NA 11.4485    11.30104   11.59989         NA         NA 275.75776 275.54678 275.96873       NA       NA 11.43234   11.28509   11.58351         NA         NA 0.99794     0.99787     0.99802          NA          NA      NA      NA     0          0          0 -0.032793  -0.046337  -0.019248      NA     NA 0.73397    0.72451    0.74367         NA         NA 0.99988        NA        NA 0.5144       NA      NA 0.53974       NA      NA 0.53866         NA        NA 0.73467       NA       NA -0.91274      NA      NA -0.46105      NA      NA -0.068197        NA      NA  0.33474        NA      NA 0.80724      NA      NA 0.79579       NA       NA 0.39794      NA      NA   0.98763       0.98717       0.98808            NA            NA 0.0010754       NA      NA 0.99587        NA        NA 4.79495        NA        NA 4.71881        NA        NA          0.9882                    NA                   NA 0.0026642     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.79711 291.73358 291.86065       NA       NA  2.60959    2.56542    2.65531         NA         NA 291.81409 291.75246 291.87571       NA       NA  2.53099    2.48815    2.57533         NA         NA 0.98507     0.98433     0.98577          NA          NA      NA      NA     0          0          0 -0.01697   -0.027952  -0.0059884     NA     NA 0.45104    0.44341    0.45895         NA         NA 0.99994        NA        NA 0.31832      NA      NA 0.2037        NA      NA 0.20341         NA        NA 0.45133       NA       NA -0.49855      NA      NA -0.24868      NA      NA -0.020972        NA      NA  0.20274        NA      NA 0.47956      NA      NA 0.45142       NA       NA 0.22525      NA      NA   0.94702       0.94445       0.94947            NA            NA 0.00028799      NA      NA 0.9682         NA        NA 1.5575         NA        NA 1.55248        NA        NA          0.95788                   NA                   NA 0.0015466     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 263.25726 263.05907 263.45545       NA       NA  7.17886    7.04141    7.32183         NA         NA 263.23739 263.03583 263.43894       NA       NA  7.30067    7.16089    7.44606         NA         NA 0.99348     0.99311     0.99383          NA          NA      NA      NA     0          0          0  0.019874  -0.0032009  0.04295       NA     NA 0.83582    0.81982    0.85247         NA         NA 1.00008        NA        NA 0.64419      NA      NA 0.69885       NA      NA 0.69846         NA        NA 0.83597       NA       NA -0.8996       NA      NA -0.42512      NA      NA -0.00068512      NA      NA  0.5467         NA      NA 1.08049      NA      NA 0.97181       NA       NA 0.48027      NA      NA   0.99067       0.99014       0.99117            NA            NA 0.00039499      NA      NA 0.98689        NA        NA 6.11661        NA        NA 6.1961         NA        NA          0.99086                   NA                   NA 0.0031757     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 258.88512 258.67245 259.0978        NA       NA  7.70352    7.55603    7.85694         NA         NA 258.91666 258.70199 259.13133       NA       NA  7.77567    7.62679    7.93052         NA         NA 0.99239     0.99196     0.9928           NA          NA      NA      NA     0          0          0 -0.031537  -0.057966  -0.0051084     NA     NA 0.9573     0.93897    0.97636         NA         NA 0.99988        NA        NA 0.67499      NA      NA 0.91723       NA      NA 0.91624         NA        NA 0.95772       NA       NA -1.11472      NA      NA -0.58757      NA      NA -0.10728         NA      NA  0.37482        NA      NA 0.93456      NA      NA 0.96239       NA       NA 0.48056      NA      NA   0.98529       0.98447       0.98608            NA            NA 0.0009946       NA      NA 0.98483        NA        NA 5.91865        NA        NA 5.76456        NA        NA          0.98691                   NA                   NA 0.003699      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260421_000000 20260421_000000 000000   20260421_000000 20260421_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 253.91073 253.43992 254.38153       NA       NA  9.42348    9.10194    9.76875         NA         NA 253.81827 253.34846 254.28808       NA       NA  9.40362    9.08276    9.74816         NA         NA 0.99816     0.99797     0.99834          NA          NA      NA      NA     0          0          0  0.092459   0.063928   0.12099       NA     NA 0.57107    0.55159    0.592           NA         NA 1.00036        NA        NA 0.43931      NA      NA 0.33446       NA      NA 0.32591         NA        NA 0.57833       NA       NA -0.6528       NA      NA -0.20496      NA      NA  0.1304          NA      NA  0.42511        NA      NA 0.76225      NA      NA 0.63007       NA       NA 0.31784      NA      NA   0.98563       0.98413       0.98699            NA            NA 0.0085487       NA      NA 0.99622        NA        NA 3.43055        NA        NA 3.39384        NA        NA          0.98569                   NA                   NA 0.0022785     NA     NA
