VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL     ME_NCU      ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL MSE_BCU BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25       E25_BCL E25_BCU E50        E50_BCL E50_BCU E75       E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 281.17102 280.60596 281.73607       NA       NA 11.30999   10.92407   11.72438         NA         NA 281.11346 280.55144 281.67548       NA       NA 11.2492    10.86536   11.66137         NA         NA 0.99818     0.99799     0.99836          NA          NA      NA      NA     0          0          0  0.057561   0.023466   0.091656       NA     NA 0.68243    0.65914    0.70743         NA         NA 1.0002         NA        NA 0.51032      NA      NA 0.46872       NA      NA 0.46541         NA        NA 0.68463       NA       NA -0.83552      NA      NA -0.36357       NA      NA  0.033384       NA      NA  0.37999       NA      NA 0.79791      NA      NA 0.74356       NA       NA 0.37012      NA      NA   0.98492       0.98335       0.98635            NA            NA 0.0033133       NA      NA 0.9963         NA        NA 3.76544        NA        NA 3.93841        NA        NA          0.98521                   NA                   NA 0.0024354     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 282.9819  282.64331 283.32048       NA       NA  7.39009    7.15819    7.63763         NA         NA 282.95742 282.62042 283.29443       NA       NA  7.3555     7.12469    7.60189         NA         NA 0.9987      0.99858     0.99881          NA          NA      NA      NA     0          0          0  0.024475   0.0071791  0.041771       NA     NA 0.3775     0.36565    0.39015         NA         NA 1.00009        NA        NA 0.27118      NA      NA 0.14303       NA      NA 0.14243         NA        NA 0.37819       NA       NA -0.39828      NA      NA -0.1691        NA      NA  0.026916       NA      NA  0.21966       NA      NA 0.45814      NA      NA 0.38876       NA       NA 0.19519      NA      NA   0.99501       0.99453       0.99545            NA            NA 0.00059902      NA      NA 0.99736        NA        NA 3.70226        NA        NA 3.60419        NA        NA          0.995                     NA                   NA 0.0013366     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 281.67396 281.05166 282.29625       NA       NA  8.69523    8.27634    9.15911         NA         NA 281.58662 280.9709  282.20235       NA       NA  8.60337    8.18891    9.06235         NA         NA 0.99819     0.99791     0.99843          NA          NA      NA      NA     0          0          0  0.087334   0.0495     0.12517        NA     NA 0.52865    0.50318    0.55685         NA         NA 1.00031        NA        NA 0.38617      NA      NA 0.28672       NA      NA 0.27909         NA        NA 0.53546       NA       NA -0.51465      NA      NA -0.22283       NA      NA  0.044027       NA      NA  0.36911       NA      NA 0.73418      NA      NA 0.59194       NA       NA 0.29247      NA      NA   0.99354       0.99254       0.9944             NA            NA 0.0076273       NA      NA 0.99613        NA        NA 4.95412        NA        NA 4.77875        NA        NA          0.99459                   NA                   NA 0.0019016     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.66356 277.19625 278.13088       NA       NA  9.27126    8.9522     9.61409         NA         NA 277.85873 277.39305 278.32441       NA       NA  9.23884    8.92088    9.58046         NA         NA 0.99853     0.99837     0.99867          NA          NA      NA      NA     0          0          0 -0.19517   -0.22054   -0.1698         NA     NA 0.50338    0.48605    0.52199         NA         NA 0.9993         NA        NA 0.40218      NA      NA 0.29131       NA      NA 0.25322         NA        NA 0.53973       NA       NA -0.85753      NA      NA -0.49175       NA      NA -0.18283        NA      NA  0.10207       NA      NA 0.35096      NA      NA 0.59382       NA       NA 0.29598      NA      NA   0.99648       0.99611       0.99682            NA            NA 0.038092        NA      NA 0.99659        NA        NA 5.97736        NA        NA 6.00459        NA        NA          0.99595                   NA                   NA 0.0019425     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.38712 277.17351 277.60074       NA       NA 11.57546   11.42636   11.72852         NA         NA 277.42955 277.21645 277.64265       NA       NA 11.54745   11.39871   11.70014         NA         NA 0.99891     0.99887     0.99895          NA          NA      NA      NA     0          0          0 -0.042429  -0.052384  -0.032475       NA     NA 0.53941    0.53247    0.54655         NA         NA 0.99985        NA        NA 0.39878      NA      NA 0.29274       NA      NA 0.29094         NA        NA 0.54106       NA       NA -0.66593      NA      NA -0.3185        NA      NA -0.0089814      NA      NA  0.26559       NA      NA 0.60871      NA      NA 0.58408       NA       NA 0.29183      NA      NA   0.99402       0.9938        0.99424            NA            NA 0.0018002       NA      NA 0.9978         NA        NA 4.94492        NA        NA 4.95304        NA        NA          0.99403                   NA                   NA 0.0019502     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.73826 275.52635 275.95017       NA       NA 11.48305   11.33515   11.6349          NA         NA 275.84612 275.63503 276.0572        NA       NA 11.43825   11.29092   11.5895          NA         NA 0.99916     0.99913     0.99919          NA          NA      NA      NA     0          0          0 -0.10786   -0.11658   -0.099136       NA     NA 0.47256    0.46647    0.47881         NA         NA 0.99961        NA        NA 0.34069      NA      NA 0.23493       NA      NA 0.22329         NA        NA 0.48469       NA       NA -0.75186      NA      NA -0.40588       NA      NA -0.099739       NA      NA  0.15829       NA      NA 0.43752      NA      NA 0.56417       NA       NA 0.27777      NA      NA   0.99439       0.99418       0.99459            NA            NA 0.011633        NA      NA 0.9982         NA        NA 4.58024        NA        NA 4.61392        NA        NA          0.99447                   NA                   NA 0.0017571     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.86921 291.79896 291.93947       NA       NA  2.88537    2.83653    2.93592         NA         NA 291.87726 291.80746 291.94705       NA       NA  2.86659    2.81808    2.91682         NA         NA 0.9928      0.99244     0.99314          NA          NA      NA      NA     0          0          0 -0.008045  -0.016463   0.00037268     NA     NA 0.34572    0.33987    0.35178         NA         NA 0.99997        NA        NA 0.23646      NA      NA 0.11957       NA      NA 0.11951         NA        NA 0.34579       NA       NA -0.37449      NA      NA -0.17613       NA      NA -0.0086995      NA      NA  0.15423       NA      NA 0.34905      NA      NA 0.33036       NA       NA 0.16486      NA      NA   0.96755       0.96596       0.96907            NA            NA 6.4721e-05      NA      NA 0.98545        NA        NA 1.56351        NA        NA 1.57292        NA        NA          0.97571                   NA                   NA 0.0011847     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 263.42315 263.22032 263.62597       NA       NA  7.34669    7.20603    7.493           NA         NA 263.42924 263.22711 263.63138       NA       NA  7.32173    7.18154    7.46754         NA         NA 0.99676     0.99658     0.99694          NA          NA      NA      NA     0          0          0 -0.0060993 -0.022408   0.010209       NA     NA 0.59072    0.57941    0.60248         NA         NA 0.99998        NA        NA 0.44528      NA      NA 0.34892       NA      NA 0.34888         NA        NA 0.59069       NA       NA -0.64525      NA      NA -0.25454       NA      NA  0.070384       NA      NA  0.31134       NA      NA 0.72381      NA      NA 0.56588       NA       NA 0.27979      NA      NA   0.99547       0.99521       0.99571            NA            NA 3.7201e-05      NA      NA 0.99349        NA        NA 6.24801        NA        NA 6.15486        NA        NA          0.99558                   NA                   NA 0.0022423     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 258.84306 258.62678 259.05934       NA       NA  7.83399    7.68399    7.99            NA         NA 259.01078 258.7948  259.22676       NA       NA  7.82319    7.6734     7.97898         NA         NA 0.99712     0.99696     0.99728          NA          NA      NA      NA     0          0          0 -0.16772   -0.18412   -0.15132        NA     NA 0.59408    0.58271    0.60591         NA         NA 0.99935        NA        NA 0.46933      NA      NA 0.38099       NA      NA 0.35286         NA        NA 0.61725       NA       NA -0.93621      NA      NA -0.55473       NA      NA -0.17335        NA      NA  0.19751       NA      NA 0.60064      NA      NA 0.75224       NA       NA 0.37708      NA      NA   0.99425       0.99393       0.99456            NA            NA 0.028129        NA      NA 0.99377        NA        NA 5.80608        NA        NA 5.93036        NA        NA          0.99469                   NA                   NA 0.0023831     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260421_120000 20260421_120000 000000   20260421_120000 20260421_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 254.31637 253.84265 254.79008       NA       NA  9.48181    9.15827    9.82922         NA         NA 254.35091 253.87319 254.82862       NA       NA  9.56186    9.23559    9.9122          NA         NA 0.99914     0.99905     0.99922          NA          NA      NA      NA     0          0          0 -0.034541  -0.05466   -0.014422       NA     NA 0.40269    0.38895    0.41744         NA         NA 0.99986        NA        NA 0.31583      NA      NA 0.16325       NA      NA 0.16205         NA        NA 0.40404       NA       NA -0.49468      NA      NA -0.28321       NA      NA -0.022353       NA      NA  0.24809       NA      NA 0.49675      NA      NA 0.5313        NA       NA 0.26885      NA      NA   0.9934        0.99271       0.99402            NA            NA 0.0011931       NA      NA 0.99821        NA        NA 3.46968        NA        NA 3.52634        NA        NA          0.99346                   NA                   NA 0.0015885     NA     NA
