VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      FBAR_NCL  FBAR_NCU  FBAR_BCL FBAR_BCU FSTDEV   FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL  OBAR_NCU  OBAR_BCL OBAR_BCU OSTDEV   OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL     ME_NCU     ME_BCL ME_BCU ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS   MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE     MSE_BCL MSE_BCU BCMSE   BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL E10_BCU E25      E25_BCL E25_BCU E50        E50_BCL E50_BCU E75      E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL ME2_BCU MSESS   MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI        SI_BCL SI_BCU
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 281.77344 281.20953 282.33735       NA       NA 11.28711   10.90197   11.70066         NA         NA 281.78922 281.23106 282.34737       NA       NA 11.17192   10.79072   11.58125         NA         NA 0.99627     0.99588     0.99662          NA          NA      NA      NA     0          0          0 -0.015776  -0.064578   0.033027      NA     NA 0.97682    0.94349    1.01261         NA         NA 0.99994        NA        NA 0.78521      NA      NA 0.95381      NA      NA 0.95356        NA        NA 0.97663       NA       NA -1.33882      NA      NA -0.7381       NA      NA -0.045791       NA      NA 0.63466       NA      NA 1.14488      NA      NA 1.37276       NA       NA 0.68817      NA      NA   0.96934       0.96616       0.97221            NA            NA 0.00024887      NA      NA 0.99236        NA        NA 3.95477        NA        NA 4.14231        NA        NA          0.97196                   NA                   NA 0.0034658     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         0.05  CNT        1830 283.37891 283.04041 283.71741       NA       NA  7.38818    7.15634    7.63565         NA         NA 283.3296  283.00026 283.65894       NA       NA  7.18825    6.96268    7.42903         NA         NA 0.99529     0.99484     0.9957           NA          NA      NA      NA     0          0          0  0.049309   0.015631   0.082987      NA     NA 0.73506    0.712      0.75969         NA         NA 1.00017        NA        NA 0.53315      NA      NA 0.54245      NA      NA 0.54002        NA        NA 0.73652       NA       NA -0.83419      NA      NA -0.35834      NA      NA  0.069199       NA      NA 0.44418       NA      NA 0.81585      NA      NA 0.80252       NA       NA 0.40256      NA      NA   0.97396       0.97149       0.97621            NA            NA 0.0024314       NA      NA 0.9895         NA        NA 3.24599        NA        NA 3.13724        NA        NA          0.97395                   NA                   NA 0.0025995     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         0.05  CNT         750 282.36464 281.7599  282.96939       NA       NA  8.44993    8.04286    8.90073         NA         NA 282.30543 281.71087 282.89999       NA       NA  8.30764    7.90742    8.75084         NA         NA 0.99652     0.99598     0.99698          NA          NA      NA      NA     0          0          0  0.059217   0.0081412  0.11029       NA     NA 0.71367    0.67929    0.75175         NA         NA 1.00021        NA        NA 0.55164      NA      NA 0.51215      NA      NA 0.50865        NA        NA 0.71565       NA       NA -0.82334      NA      NA -0.44201      NA      NA -0.025743       NA      NA 0.46607       NA      NA 0.97853      NA      NA 0.90808       NA       NA 0.45214      NA      NA   0.98563       0.98343       0.98754            NA            NA 0.0035067       NA      NA 0.99258        NA        NA 4.80972        NA        NA 4.56237        NA        NA          0.98972                   NA                   NA 0.002535      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         0.05  CNT        1512 277.72833 277.30425 278.15242       NA       NA  8.41353    8.12398    8.72464         NA         NA 278.00639 277.58627 278.4265        NA       NA  8.3348     8.04796    8.643           NA         NA 0.99229     0.99147     0.99302          NA          NA      NA      NA     0          0          0 -0.27805   -0.33063   -0.22547       NA     NA 1.04316    1.00726    1.08173         NA         NA 0.999          NA        NA 0.75639      NA      NA 1.16477      NA      NA 1.08746        NA        NA 1.07925       NA       NA -1.60255      NA      NA -0.75208      NA      NA -0.18801        NA      NA 0.3091        NA      NA 0.84059      NA      NA 1.06119       NA       NA 0.5355       NA      NA   0.98304       0.98126       0.98466            NA            NA 0.077313        NA      NA 0.98323        NA        NA 5.688          NA        NA 5.64055        NA        NA          0.98188                   NA                   NA 0.0038821     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 277.58627 277.37329 277.79925       NA       NA 11.54118   11.39253   11.69379         NA         NA 277.66919 277.45532 277.88307       NA       NA 11.58943   11.44016   11.74268         NA         NA 0.99687     0.99675     0.99698          NA          NA      NA      NA     0          0          0 -0.082925  -0.099843  -0.066007      NA     NA 0.91674    0.90493    0.92886         NA         NA 0.9997         NA        NA 0.68679      NA      NA 0.84722      NA      NA 0.84034        NA        NA 0.92044       NA       NA -1.07627      NA      NA -0.54759      NA      NA  0.0060558      NA      NA 0.56703       NA      NA 1.14932      NA      NA 1.11461       NA       NA 0.55816      NA      NA   0.98044       0.97971       0.98114            NA            NA 0.0068766       NA      NA 0.99369        NA        NA 4.65099        NA        NA 4.66797        NA        NA          0.9805                    NA                   NA 0.0033149     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         0.05  CNT       11280 275.62591 275.4074  275.84442       NA       NA 11.84069   11.68818   11.99727         NA         NA 275.74972 275.53199 275.96745       NA       NA 11.79845   11.64649   11.95446         NA         NA 0.99716     0.99705     0.99726          NA          NA      NA      NA     0          0          0 -0.12381   -0.14028   -0.10734       NA     NA 0.89256    0.88106    0.90436         NA         NA 0.99955        NA        NA 0.65204      NA      NA 0.81191      NA      NA 0.79659        NA        NA 0.90106       NA       NA -1.28773      NA      NA -0.66999      NA      NA -0.13706        NA      NA 0.38936       NA      NA 0.96684      NA      NA 1.05935       NA       NA 0.52949      NA      NA   0.97729       0.97645       0.97811            NA            NA 0.015329        NA      NA 0.99417        NA        NA 4.31227        NA        NA 4.3288         NA        NA          0.97826                   NA                   NA 0.0032677     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         0.05  CNT        6480 291.88664 291.81649 291.95679       NA       NA  2.88121    2.83245    2.93169         NA         NA 291.90172 291.83209 291.97134       NA       NA  2.85963    2.81123    2.90973         NA         NA 0.9791      0.97806     0.98008          NA          NA      NA      NA     0          0          0 -0.015076  -0.029376  -0.0007771     NA     NA 0.5873     0.57736    0.59759         NA         NA 0.99995        NA        NA 0.40148      NA      NA 0.34509      NA      NA 0.34486        NA        NA 0.58744       NA       NA -0.62992      NA      NA -0.31544      NA      NA -0.017419       NA      NA 0.27052       NA      NA 0.57413      NA      NA 0.58596       NA       NA 0.29344      NA      NA   0.90542       0.90093       0.90971            NA            NA 0.0002273       NA      NA 0.9578         NA        NA 1.5404         NA        NA 1.59465        NA        NA          0.93036                   NA                   NA 0.0020125     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 263.41552 263.21097 263.62007       NA       NA  7.40914    7.26728    7.55669         NA         NA 263.27237 263.06343 263.4813        NA       NA  7.56806    7.42316    7.71878         NA         NA 0.99183     0.99137     0.99227          NA          NA      NA      NA     0          0          0  0.14316    0.11637    0.16994       NA     NA 0.97029    0.95171    0.98961         NA         NA 1.00054        NA        NA 0.77093      NA      NA 0.96177      NA      NA 0.94127        NA        NA 0.9807        NA       NA -0.94171      NA      NA -0.40503      NA      NA  0.22224        NA      NA 0.81028       NA      NA 1.36291      NA      NA 1.2153        NA       NA 0.60557      NA      NA   0.98667       0.98592       0.98738            NA            NA 0.020494        NA      NA 0.98321        NA        NA 5.98139        NA        NA 5.98827        NA        NA          0.98657                   NA                   NA 0.003725      NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         0.05  CNT        5040 257.97741 257.74755 258.20728       NA       NA  8.32609    8.16667    8.4919          NA         NA 258.09183 257.86102 258.32265       NA       NA  8.36051    8.20044    8.52701         NA         NA 0.991       0.99049     0.99148          NA          NA      NA      NA     0          0          0 -0.11442   -0.14534   -0.083499      NA     NA 1.12003    1.09858    1.14233         NA         NA 0.99956        NA        NA 0.83361      NA      NA 1.26731      NA      NA 1.25422        NA        NA 1.12575       NA       NA -1.50279      NA      NA -0.78549      NA      NA -0.18065        NA      NA 0.4732        NA      NA 1.15527      NA      NA 1.25869       NA       NA 0.62713      NA      NA   0.97688       0.97558       0.97811            NA            NA 0.013092        NA      NA 0.98187        NA        NA 5.35014        NA        NA 5.33647        NA        NA          0.97781                   NA                   NA 0.0043618     NA     NA
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 360000    20260422_120000 20260422_120000 000000   20260422_120000 20260422_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         0.05  CNT        1539 255.03593 254.58326 255.48861       NA       NA  9.06055    8.75139    9.39252         NA         NA 254.96763 254.50993 255.42534       NA       NA  9.16134    8.84874    9.497           NA         NA 0.99752     0.99726     0.99775          NA          NA      NA      NA     0          0          0  0.068301   0.035837   0.10076       NA     NA 0.64978    0.62761    0.67359         NA         NA 1.00027        NA        NA 0.48857      NA      NA 0.4266       NA      NA 0.42194        NA        NA 0.65315       NA       NA -0.69639      NA      NA -0.2943       NA      NA  0.074833       NA      NA 0.45784       NA      NA 0.93361      NA      NA 0.75213       NA       NA 0.3766       NA      NA   0.9818        0.97991       0.98352            NA            NA 0.004665        NA      NA 0.99492        NA        NA 3.49604        NA        NA 3.53662        NA        NA          0.98281                   NA                   NA 0.0025617     NA     NA
